date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,18.81,18.88,18.63,18.81,8.5613,110000.0,0.0,1.0
2000-01-04,18.75,18.81,18.63,18.75,8.534,176500.0,0.0,1.0
2000-01-05,18.75,18.88,18.69,18.88,8.5931,135400.0,0.0,1.0
2000-01-06,18.75,19.25,18.63,19.25,8.7615,186800.0,0.0,1.0
2000-01-07,19.25,20.38,19.19,20.25,9.2167,190200.0,0.0,1.0
2000-01-10,20.31,20.5,20.06,20.38,9.2759,64400.0,0.0,1.0
2000-01-11,20.25,20.25,19.56,19.63,8.9345,56900.0,0.0,1.0
2000-01-12,19.75,20.25,19.75,20.0,9.1029,96100.0,0.0,1.0
2000-01-13,19.88,20.06,19.63,19.94,9.0756,164200.0,0.0,1.0
2000-01-14,20.0,20.06,19.75,19.75,8.9891,53400.0,0.0,1.0
2000-01-18,20.0,20.06,19.81,20.0,9.1029,64000.0,0.0,1.0
2000-01-19,19.88,20.13,19.75,20.13,9.1621,154100.0,0.0,1.0
2000-01-20,20.19,20.25,20.13,20.19,9.1894,51900.0,0.0,1.0
2000-01-21,20.19,20.19,20.06,20.19,9.1894,29200.0,0.0,1.0
2000-01-24,20.13,20.19,20.0,20.0,9.1029,52600.0,0.0,1.0
2000-01-25,20.0,20.13,19.88,20.0,9.1029,66700.0,0.0,1.0
2000-01-26,20.06,20.06,20.0,20.0,9.1029,34200.0,0.0,1.0
2000-01-27,20.06,20.13,20.0,20.06,9.1302,61000.0,0.0,1.0
2000-01-28,20.0,20.06,20.0,20.06,9.1302,33400.0,0.0,1.0
2000-01-31,19.94,20.06,19.94,19.94,9.0756,57100.0,0.0,1.0
2000-02-01,20.06,20.06,19.88,20.06,9.1302,49100.0,0.0,1.0
2000-02-02,20.06,20.06,19.69,19.69,8.9618,171500.0,0.0,1.0
2000-02-03,19.75,19.81,19.69,19.75,8.9891,34500.0,0.0,1.0
2000-02-04,19.63,19.63,19.44,19.44,8.848,73000.0,0.0,1.0
2000-02-07,19.38,19.5,19.19,19.19,8.7342,99200.0,0.0,1.0
2000-02-08,19.19,19.25,19.0,19.13,8.7069,73500.0,0.0,1.0
2000-02-09,19.19,19.25,18.88,19.13,8.7069,70600.0,0.0,1.0
2000-02-10,19.0,19.38,18.94,19.31,8.7889,33400.0,0.0,1.0
2000-02-11,19.19,19.25,18.75,18.75,8.534,77400.0,0.0,1.0
2000-02-14,18.75,18.75,17.75,18.0,8.1926,143600.0,0.0,1.0
2000-02-15,18.0,18.25,17.88,18.0,8.1926,249000.0,0.0,1.0
