date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,35.38,35.5,34.06,34.44,10.0879,1039100.0,0.0,1.0
2000-01-04,34.06,34.44,33.56,33.81,9.9034,773400.0,0.0,1.0
2000-01-05,33.19,34.19,33.19,34.0,9.959,1009400.0,0.0,1.0
2000-01-06,33.56,34.0,32.94,33.56,9.9107,1646300.0,0.275,1.0
2000-01-07,34.44,34.56,33.5,33.63,9.9314,2264500.0,0.0,1.0
2000-01-10,33.63,33.81,32.88,32.94,9.7276,733100.0,0.0,1.0
2000-01-11,33.0,33.56,32.94,33.38,9.8575,926200.0,0.0,1.0
2000-01-12,33.25,33.94,33.19,33.31,9.8369,1093400.0,0.0,1.0
2000-01-13,33.0,33.88,32.88,33.44,9.8753,688800.0,0.0,1.0
2000-01-14,32.94,33.38,32.44,32.69,9.6538,757500.0,0.0,1.0
2000-01-18,32.0,33.25,31.81,33.0,9.7453,941600.0,0.0,1.0
2000-01-19,32.88,33.31,32.31,32.69,9.6538,1287700.0,0.0,1.0
2000-01-20,32.38,32.69,31.81,32.13,9.4884,968300.0,0.0,1.0
2000-01-21,32.13,32.25,31.31,31.5,9.3024,1143600.0,0.0,1.0
2000-01-24,31.5,32.0,31.0,31.19,9.2108,981400.0,0.0,1.0
2000-01-25,30.75,31.31,30.19,30.19,8.9155,578600.0,0.0,1.0
2000-01-26,31.44,31.56,30.56,31.0,9.1547,693800.0,0.0,1.0
2000-01-27,31.25,31.56,30.31,30.38,8.9716,660400.0,0.0,1.0
2000-01-28,30.88,30.94,30.0,30.25,8.9332,743000.0,0.0,1.0
2000-01-31,30.13,31.31,30.06,31.19,9.2108,671500.0,0.0,1.0
2000-02-01,31.56,31.63,30.0,30.25,8.9332,1628000.0,0.0,1.0
2000-02-02,30.25,30.81,29.5,30.13,8.8978,1287400.0,0.0,1.0
2000-02-03,30.13,30.69,29.38,30.63,9.0454,996900.0,0.0,1.0
2000-02-04,30.5,30.56,30.0,30.38,8.9716,717500.0,0.0,1.0
2000-02-07,30.88,31.13,29.5,30.56,9.0248,1205200.0,0.0,1.0
2000-02-08,30.94,31.0,30.56,30.81,9.0986,1179200.0,0.0,1.0
2000-02-09,30.81,30.94,30.44,30.5,9.007,1513400.0,0.0,1.0
2000-02-10,30.38,30.5,29.75,30.06,8.8771,1892000.0,0.0,1.0
2000-02-11,30.44,30.69,30.13,30.44,8.9893,913700.0,0.0,1.0
2000-02-14,30.5,31.0,30.5,31.0,9.1547,1206600.0,0.0,1.0
2000-02-15,31.25,32.44,31.25,32.44,9.58,1401400.0,0.0,1.0
2000-02-16,32.06,32.25,31.56,32.06,9.4677,866800.0,0.0,1.0
2000-02-17,32.13,32.56,31.75,32.38,9.5622,981600.0,0.0,1.0
2000-02-18,32.13,32.38,31.69,32.06,9.4677,714100.0,0.0,1.0
2000-02-22,32.06,33.56,32.06,33.44,9.8753,1170100.0,0.0,1.0
2000-02-23,33.19,33.81,32.88,33.44,9.8753,1564900.0,0.0,1.0
2000-02-24,33.38,33.38,32.63,33.13,9.7837,1523400.0,0.0,1.0
2000-02-25,32.94,33.13,32.69,33.0,9.7453,1681700.0,0.0,1.0
2000-02-28,32.94,33.13,32.81,32.94,9.7276,1030800.0,0.0,1.0
2000-02-29,32.94,33.19,32.75,32.94,9.7276,1217100.0,0.0,1.0
2000-03-01,33.06,33.81,32.94,33.19,9.8014,1431500.0,0.0,1.0
2000-03-02,32.81,32.88,31.5,32.19,9.5061,1595000.0,0.0,1.0
2000-03-03,32.19,32.75,31.88,32.38,9.5622,908000.0,0.0,1.0
2000-03-06,32.75,32.75,31.56,31.75,9.3762,1314100.0,0.0,1.0
2000-03-07,32.0,32.0,30.5,31.0,9.1547,2457500.0,0.0,1.0
2000-03-08,30.75,31.69,30.31,31.38,9.2669,1846200.0,0.0,1.0
2000-03-09,31.25,31.88,31.06,31.56,9.3201,1424800.0,0.0,1.0
2000-03-10,31.31,31.63,30.88,31.38,9.2669,1221000.0,0.0,1.0
2000-03-13,30.63,31.44,30.44,31.0,9.1547,1207600.0,0.0,1.0
