date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,129.13,129.94,118.81,121.81,32.6184,1550100.0,0.0,1.0
2000-01-04,119.3,119.5,109.1,110.0,29.4559,2004000.0,0.0,1.0
2000-01-05,110.0,110.6,103.3,106.6,28.5455,3132400.0,0.0,1.0
2000-01-06,106.8,108.3,104.4,105.0,28.117,2413000.0,0.0,1.0
2000-01-07,106.0,116.9,105.9,116.9,31.3036,3688700.0,0.0,1.0
2000-01-10,120.8,120.9,116.1,118.0,31.5982,1814800.0,0.0,1.0
2000-01-11,114.0,114.6,107.1,107.4,28.7597,1936100.0,0.0,1.0
2000-01-12,108.5,108.6,103.0,103.8,27.7957,1965700.0,0.0,1.0
2000-01-13,105.0,117.5,103.5,116.8,31.2768,2728700.0,0.0,1.0
2000-01-14,118.0,118.3,111.4,112.0,29.9915,1876700.0,0.0,1.0
2000-01-18,112.2,129.1,112.0,125.5,33.6065,3628900.0,0.0,1.0
2000-01-19,125.7,140.0,124.6,133.7,35.8023,4615900.0,0.0,1.0
2000-01-20,139.0,157.9,138.5,155.8,41.7203,6293900.0,0.0,1.0
2000-01-21,156.9,163.3,150.0,162.0,43.3805,4520400.0,0.0,1.0
2000-01-24,162.0,175.5,154.0,155.0,41.5061,4393400.0,0.0,1.0
2000-01-25,152.8,155.0,147.4,151.3,40.5153,4038500.0,0.0,1.0
2000-01-26,153.0,159.8,152.5,156.0,41.7738,6649300.0,0.0,1.0
2000-01-27,158.8,176.5,158.4,162.0,43.3805,4904700.0,0.0,1.0
2000-01-28,161.5,166.5,145.5,147.0,39.3638,3983900.0,0.0,1.0
2000-01-31,147.1,158.5,144.8,154.3,41.3186,3001200.0,0.0,1.0
2000-02-01,150.0,151.8,145.1,147.3,39.4441,3103600.0,0.0,1.0
2000-02-02,147.4,149.9,146.3,148.3,39.7119,2398300.0,0.0,1.0
2000-02-03,150.0,154.3,145.3,154.3,41.3186,3099900.0,0.0,1.0
2000-02-04,164.9,167.0,162.6,164.9,44.1571,3289000.0,0.0,1.0
2000-02-07,164.6,165.6,158.0,165.6,44.3445,1990200.0,0.0,1.0
2000-02-08,168.0,170.3,160.3,169.8,45.4692,2331300.0,0.0,1.0
2000-02-09,169.6,169.7,163.2,165.0,44.1839,1627500.0,0.0,1.0
2000-02-10,164.0,179.8,160.4,171.5,45.9244,2836600.0,0.0,1.0
2000-02-11,171.9,172.9,163.8,165.8,44.3981,1577900.0,0.0,1.0
2000-02-14,166.0,180.5,162.6,180.0,48.2006,4017700.0,0.0,1.0
2000-02-15,178.9,180.9,174.5,175.8,47.0759,3359100.0,0.0,1.0
2000-02-16,175.8,179.3,173.3,178.0,47.665,2132000.0,0.0,1.0
2000-02-17,179.3,192.5,178.6,191.1,51.1729,3464600.0,0.0,1.0
2000-02-18,191.1,194.9,190.0,193.3,51.7621,2670900.0,0.0,1.0
2000-02-22,196.0,198.1,184.4,190.0,50.8784,2563800.0,0.0,1.0
2000-02-23,191.0,191.3,186.4,188.3,50.4232,2638300.0,0.0,1.0
2000-02-24,189.6,194.3,186.8,192.3,51.4943,1981100.0,0.0,1.0
2000-02-25,193.3,193.5,184.5,187.8,50.2893,1493600.0,0.0,1.0
2000-02-28,187.1,187.6,168.5,179.8,48.147,3563700.0,0.0,1.0
2000-02-29,181.5,188.5,180.9,188.0,50.3428,2721900.0,0.0,1.0
2000-03-01,190.0,203.0,189.9,203.0,54.3595,3131200.0,0.0,1.0
2000-03-02,200.0,207.3,192.0,205.9,55.1843,2848800.0,0.18,1.0
2000-03-03,206.9,207.9,200.1,205.3,55.0235,2877200.0,0.0,1.0
2000-03-06,207.3,212.4,201.9,209.6,56.176,2406600.0,0.0,1.0
2000-03-07,214.0,216.9,194.5,197.0,52.799,3315300.0,0.0,1.0
2000-03-08,200.9,204.1,182.3,188.9,50.6281,3903500.0,0.0,1.0
2000-03-09,191.6,198.9,184.4,191.3,51.2713,2722300.0,0.0,1.0
2000-03-10,195.8,201.0,187.0,191.5,51.3249,2032800.0,0.0,1.0
2000-03-13,183.0,187.6,181.0,184.6,49.4756,2377200.0,0.0,1.0
2000-03-14,186.0,187.9,177.0,178.5,47.8407,2567000.0,0.0,1.0
2000-03-15,176.3,176.3,168.0,170.3,45.643,3797800.0,0.0,1.0
2000-03-16,181.0,181.0,167.0,174.4,46.7418,4930500.0,0.0,1.0
2000-03-17,179.75,195.5,178.06,189.38,50.7567,4857000.0,0.0,1.0
2000-03-20,192.0,199.9,189.6,197.0,52.799,2691000.0,0.0,1.0
2000-03-21,195.3,195.9,187.9,192.0,51.4589,2641100.0,0.0,1.0
2000-03-22,198.8,204.5,196.0,204.0,54.6751,3550900.0,0.0,1.0
2000-03-23,204.5,226.0,203.0,219.9,58.9365,4241300.0,0.0,1.0
2000-03-24,220.0,226.44,211.5,214.37,57.4544,2298700.0,0.0,1.0
2000-03-27,214.3,214.4,207.8,209.0,56.0152,1951300.0,0.0,1.0
2000-03-28,208.8,208.8,204.3,204.8,54.8895,2275500.0,0.0,1.0
2000-03-29,204.8,205.9,192.0,197.5,52.933,2840000.0,0.0,1.0
2000-03-30,193.5,198.1,180.1,188.0,50.3868,3327000.0,0.0,1.0
2000-03-31,188.0,197.2,180.1,194.0,51.9949,3173900.0,0.0,1.0
2000-04-03,196.0,196.0,179.9,180.9,48.4839,2740700.0,0.0,1.0
2000-04-04,183.5,185.0,141.0,168.0,45.0265,6745100.0,0.0,1.0
2000-04-05,164.0,174.5,158.0,166.0,44.4905,4924600.0,0.0,1.0
