date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2001-01-16,15.0,15.0,15.0,15.0,3.6115,800.0,0.0,1.0
2001-01-17,15.0,15.0,15.0,15.0,3.6115,30700.0,0.0,1.0
2001-01-18,15.32,16.32,15.32,16.32,3.9293,41800.0,0.0,1.0
2001-01-19,16.48,17.08,16.48,17.08,4.1122,14900.0,0.0,1.0
2001-01-22,17.0,18.32,17.0,18.16,4.3723,36700.0,0.0,1.0
2001-01-23,18.0,19.08,18.0,18.48,4.4493,19000.0,0.0,1.0
2001-01-24,18.32,18.32,18.16,18.16,4.3723,140000.0,0.0,1.0
2001-01-25,18.4,18.48,18.32,18.48,4.4493,35800.0,0.0,1.0
2001-01-26,18.32,18.36,18.32,18.32,4.4108,20500.0,0.0,1.0
2001-01-29,18.52,18.75,18.4,18.7,4.5023,65500.0,0.0,1.0
2001-01-30,18.7,18.7,18.35,18.6,4.4782,84800.0,0.0,1.0
2001-01-31,18.7,19.05,18.7,18.75,4.5143,81500.0,0.0,1.0
2001-02-01,19.0,21.2,18.76,20.9,5.032,639200.0,0.0,1.0
2001-02-02,20.75,21.0,20.6,20.83,5.0151,198900.0,0.0,1.0
2001-02-05,20.85,21.45,19.92,19.97,4.808,161200.0,0.0,1.0
2001-02-06,19.9,20.02,19.75,19.75,4.7551,334700.0,0.0,1.0
2001-02-07,19.7,20.0,19.65,20.0,4.8153,337600.0,0.0,1.0
2001-02-08,20.0,20.16,19.5,19.5,4.6949,144700.0,0.0,1.0
2001-02-09,19.5,19.75,19.5,19.75,4.7551,110400.0,0.0,1.0
2001-02-12,19.75,19.75,19.3,19.3,4.6467,81800.0,0.0,1.0
2001-02-13,19.3,19.54,19.25,19.25,4.6347,162200.0,0.0,1.0
2001-02-14,19.25,19.25,19.07,19.08,4.5938,33900.0,0.0,1.0
2001-02-15,19.1,19.15,18.3,18.3,4.406,113600.0,0.0,1.0
2001-02-16,18.1,18.1,17.4,18.07,4.3506,106800.0,0.0,1.0
2001-02-20,18.07,18.15,17.81,18.09,4.3554,250100.0,0.0,1.0
2001-02-21,18.09,18.09,17.9,18.08,4.353,110900.0,0.0,1.0
2001-02-22,18.08,18.14,17.9,18.03,4.341,155900.0,0.0,1.0
2001-02-23,18.1,18.7,18.0,18.45,4.4421,305700.0,0.0,1.0
2001-02-26,18.5,19.12,18.5,19.0,4.5745,295600.0,0.0,1.0
2001-02-27,19.0,19.0,18.9,18.9,4.5504,172500.0,0.0,1.0
2001-02-28,18.9,19.0,18.85,19.0,4.5745,81500.0,0.0,1.0
2001-03-01,18.9,18.9,18.7,18.7,4.5023,38800.0,0.0,1.0
2001-03-02,18.75,18.81,18.7,18.76,4.5167,209200.0,0.0,1.0
2001-03-05,18.75,19.05,18.75,19.01,4.5769,100700.0,0.0,1.0
2001-03-06,19.01,19.1,18.8,18.8,4.5264,152500.0,0.0,1.0
2001-03-07,18.8,18.99,18.8,18.99,4.5721,22400.0,0.0,1.0
2001-03-08,18.98,18.98,18.8,18.8,4.5264,52900.0,0.0,1.0
2001-03-09,18.8,18.81,18.7,18.78,4.5215,67400.0,0.0,1.0
