date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,28.06,28.75,27.12,27.19,22.5911,1730100.0,0.0,1.0
2000-01-04,27.25,28.0,26.88,27.38,22.7489,1373300.0,0.0,1.0
2000-01-05,27.38,27.81,27.0,27.06,22.4831,1450800.0,0.0,1.0
2000-01-06,26.63,27.38,26.5,26.69,22.1756,1269400.0,0.0,1.0
2000-01-07,27.69,28.44,26.38,27.69,23.0065,1509400.0,0.0,1.0
2000-01-10,29.0,29.0,27.63,28.0,23.2641,1381500.0,0.0,1.0
2000-01-11,28.0,28.13,27.56,27.88,23.1644,1357200.0,0.0,1.0
2000-01-12,28.0,29.13,28.0,28.44,23.6296,2002200.0,0.0,1.0
2000-01-13,28.5,28.75,28.13,28.13,23.3721,1132200.0,0.0,1.0
2000-01-14,28.25,28.38,27.44,27.5,22.8486,1553000.0,0.0,1.0
2000-01-18,27.63,28.19,27.5,27.56,22.8985,1095600.0,0.0,1.0
2000-01-19,27.88,28.44,27.25,27.25,22.6409,2531300.0,0.0,1.0
2000-01-20,27.0,27.06,26.13,26.13,21.7104,1705800.0,0.0,1.0
2000-01-21,26.13,26.19,24.5,25.25,20.9792,3337200.0,0.0,1.0
2000-01-24,25.69,25.75,25.06,25.06,20.8213,1050900.0,0.0,1.0
2000-01-25,25.31,25.44,24.13,24.13,20.0486,1206900.0,0.0,1.0
2000-01-26,24.25,24.88,24.25,24.38,20.2564,935900.0,0.0,1.0
2000-01-27,24.5,24.88,24.38,24.81,20.6136,645700.0,0.0,1.0
2000-01-28,24.63,24.69,23.06,23.44,19.4753,1650000.0,0.0,1.0
2000-01-31,23.25,23.75,22.75,23.75,19.7329,1505000.0,0.0,1.0
2000-02-01,23.69,24.5,23.25,24.0,19.9406,1224500.0,0.0,1.0
2000-02-02,23.94,24.0,22.63,23.25,19.3175,1013300.0,0.0,1.0
2000-02-03,22.75,23.25,22.44,22.75,18.9021,1733600.0,0.0,1.0
2000-02-04,22.81,22.81,22.25,22.25,18.4866,917200.0,0.0,1.0
2000-02-07,22.63,23.44,22.19,23.0,19.1098,1357200.0,0.0,1.0
2000-02-08,23.25,23.44,22.06,22.06,18.3288,1651700.0,0.0,1.0
2000-02-09,22.13,23.94,22.13,22.75,18.9021,2877600.0,0.0,1.0
2000-02-10,23.13,23.63,22.56,23.0,19.1098,2212100.0,0.0,1.0
2000-02-11,23.0,23.13,21.88,21.88,18.1792,1912400.0,0.0,1.0
2000-02-14,21.63,23.13,21.63,22.0,18.5282,1925000.0,0.3,1.0
2000-02-15,22.0,25.13,21.94,23.88,20.1115,2625900.0,0.0,1.0
2000-02-16,25.25,25.25,23.63,23.94,20.162,1907700.0,0.0,1.0
2000-02-17,24.38,24.38,23.38,23.38,19.6904,833300.0,0.0,1.0
2000-02-18,23.44,24.31,22.88,23.63,19.9009,1730500.0,0.0,1.0
2000-02-22,23.69,25.44,23.5,24.38,20.5326,1546500.0,0.0,1.0
2000-02-23,24.5,24.88,24.13,24.13,20.322,1164500.0,0.0,1.0
2000-02-24,24.13,24.81,23.44,23.44,19.7409,1613600.0,0.0,1.0
2000-02-25,23.69,24.44,22.88,22.88,19.2693,1234700.0,0.0,1.0
2000-02-28,22.94,23.38,22.63,22.75,19.1598,1035100.0,0.0,1.0
2000-02-29,22.38,22.94,22.06,22.88,19.2693,1413800.0,0.0,1.0
2000-03-01,22.63,22.75,21.63,21.63,18.2166,1815700.0,0.0,1.0
2000-03-02,22.5,22.63,21.75,22.44,18.8987,1135600.0,0.0,1.0
2000-03-03,22.19,23.13,21.88,22.06,18.5787,964900.0,0.0,1.0
2000-03-06,22.0,22.31,21.5,21.56,18.1576,940300.0,0.0,1.0
2000-03-07,21.5,21.56,20.75,20.75,17.4754,1377400.0,0.0,1.0
2000-03-08,21.0,21.75,20.63,20.69,17.4249,1512300.0,0.0,1.0
2000-03-09,20.5,21.56,20.38,20.63,17.3744,1092000.0,0.0,1.0
2000-03-10,20.88,21.75,20.5,20.88,17.5849,1306300.0,0.0,1.0
2000-03-13,20.5,21.0,20.5,20.56,17.3154,1155500.0,0.0,1.0
2000-03-14,20.63,20.88,20.38,20.38,17.1638,1018600.0,0.0,1.0
2000-03-15,20.5,22.38,20.44,21.94,18.4776,1259300.0,0.0,1.0
2000-03-16,23.88,24.19,22.75,23.0,19.3704,2280600.0,0.0,1.0
2000-03-17,23.13,24.94,23.06,23.44,19.7409,1639000.0,0.0,1.0
2000-03-20,24.0,24.19,23.31,23.31,19.6314,833900.0,0.0,1.0
2000-03-21,23.19,24.5,23.0,23.75,20.002,1057700.0,0.0,1.0
2000-03-22,23.75,24.19,23.31,23.44,19.7409,676500.0,0.0,1.0
2000-03-23,23.38,23.88,23.19,23.56,19.842,584800.0,0.0,1.0
2000-03-24,23.56,24.25,23.44,24.13,20.322,849600.0,0.0,1.0
2000-03-27,24.0,24.13,23.63,24.06,20.2631,840700.0,0.0,1.0
2000-03-28,23.63,23.75,23.06,23.06,19.4209,888600.0,0.0,1.0
2000-03-29,23.0,23.06,22.56,22.75,19.1598,1153100.0,0.0,1.0
2000-03-30,22.88,23.81,22.75,23.44,19.7409,943000.0,0.0,1.0
2000-03-31,23.38,23.44,22.88,23.31,19.6314,1297500.0,0.0,1.0
2000-04-03,23.44,25.5,22.94,25.31,21.3158,1682900.0,0.0,1.0
2000-04-04,26.0,27.06,25.75,26.44,22.2675,3625700.0,0.0,1.0
2000-04-05,26.63,27.19,26.38,26.56,22.3685,1189500.0,0.0,1.0
2000-04-06,26.56,27.19,26.31,26.5,22.318,824400.0,0.0,1.0
2000-04-07,26.5,26.56,25.06,25.06,21.1053,845100.0,0.0,1.0
2000-04-10,25.5,28.5,25.25,28.38,23.9013,2361000.0,0.0,1.0
2000-04-11,29.25,29.81,28.19,29.06,24.474,3233900.0,0.0,1.0
2000-04-12,29.25,29.69,28.63,29.0,24.4235,1614600.0,0.0,1.0
2000-04-13,30.0,31.63,29.19,29.88,25.1646,2658500.0,0.0,1.0
2000-04-14,30.13,30.56,27.56,27.56,23.2107,2358900.0,0.0,1.0
2000-04-17,28.19,29.5,28.06,28.63,24.1119,1454800.0,0.0,1.0
2000-04-18,28.5,29.13,28.25,28.75,24.2129,1069400.0,0.0,1.0
2000-04-19,28.81,29.5,28.25,28.5,24.0024,736800.0,0.0,1.0
