date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,18.74,18.86,18.3,18.37,12.1685,919500.0,0.0,1.0
2000-01-04,18.3,18.49,17.12,17.18,11.3802,1595100.0,0.0,1.0
2000-01-05,17.12,17.12,16.31,16.37,10.8436,1963700.0,0.0,1.0
2000-01-06,16.37,16.37,15.75,15.94,10.5588,3379300.0,0.0,1.0
2000-01-07,15.94,16.69,15.81,16.5,10.9298,2481600.0,0.0,1.0
2000-01-10,16.5,17.37,16.5,17.25,11.4266,1366800.0,0.0,1.0
2000-01-11,17.18,17.37,16.81,16.81,11.1351,1607900.0,0.0,1.0
2000-01-12,16.93,17.31,16.87,17.06,11.3007,751200.0,0.0,1.0
2000-01-13,17.0,17.31,16.93,16.93,11.2146,717900.0,0.0,1.0
2000-01-14,17.0,17.06,16.44,16.44,10.89,834200.0,0.0,1.0
2000-01-18,16.25,16.69,16.25,16.31,10.8039,585800.0,0.0,1.0
2000-01-19,16.31,16.44,15.81,15.94,10.5588,1707900.0,0.0,1.0
2000-01-20,16.0,16.0,15.32,15.44,10.2276,1500700.0,0.0,1.0
2000-01-21,15.56,16.06,15.38,15.44,10.2276,1731700.0,0.0,1.0
2000-01-24,15.5,16.0,15.44,15.75,10.433,1244900.0,0.0,1.0
2000-01-25,15.69,15.81,15.0,15.32,10.1481,1172500.0,0.0,1.0
2000-01-26,15.13,15.63,15.0,15.63,10.3535,1271900.0,0.0,1.0
2000-01-27,15.25,15.81,15.25,15.44,10.2276,556900.0,0.0,1.0
2000-01-28,15.81,15.81,15.19,15.5,10.3071,610600.0,0.06,1.0
2000-01-31,15.5,15.81,15.0,15.0,9.9746,1270600.0,0.0,1.0
2000-02-01,15.13,15.38,14.94,15.25,10.1409,1045200.0,0.0,1.0
2000-02-02,15.38,16.5,15.31,15.69,10.4334,1542900.0,0.0,1.0
2000-02-03,15.69,16.75,15.69,16.44,10.9322,1403900.0,0.0,1.0
