date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,23.69,24.0,21.5,22.44,12.5512,1184000.0,0.0,1.0
2000-01-04,22.25,22.5,21.56,21.75,12.1653,1327800.0,0.0,1.0
2000-01-05,21.63,21.75,21.25,21.5,12.0254,838200.0,0.0,1.0
2000-01-06,21.5,22.25,21.31,21.94,12.2715,401900.0,0.0,1.0
2000-01-07,22.13,22.25,21.94,22.13,12.3778,449500.0,0.0,1.0
2000-01-10,22.25,22.25,21.13,21.19,11.852,489000.0,0.0,1.0
2000-01-11,21.19,21.38,20.69,21.31,11.9192,405300.0,0.0,1.0
2000-01-12,21.06,21.88,21.06,21.31,11.9192,455400.0,0.0,1.0
2000-01-13,22.0,22.23,21.25,21.56,12.059,1044100.0,0.0,1.0
2000-01-14,21.75,22.13,21.56,21.94,12.2715,800200.0,0.0,1.0
2000-01-18,21.94,22.0,20.94,21.19,11.852,892100.0,0.0,1.0
2000-01-19,21.06,21.69,21.06,21.25,11.8856,1050900.0,0.0,1.0
2000-01-20,21.31,21.38,20.81,20.88,11.6786,886200.0,0.0,1.0
2000-01-21,20.94,21.25,20.38,20.5,11.4661,818200.0,0.0,1.0
2000-01-24,20.5,20.94,20.0,20.16,11.2759,453700.0,0.0,1.0
2000-01-25,20.13,20.69,19.88,20.5,11.4661,878200.0,0.0,1.0
2000-01-26,20.5,20.75,20.5,20.75,11.6059,1316400.0,0.0,1.0
2000-01-27,20.81,21.31,20.31,20.56,11.4997,720900.0,0.0,1.0
2000-01-28,20.56,21.0,19.63,19.69,11.0131,733400.0,0.0,1.0
2000-01-31,19.88,22.0,19.75,21.56,12.059,1338900.0,0.0,1.0
2000-02-01,21.19,21.31,20.69,21.25,11.8856,475800.0,0.0,1.0
2000-02-02,21.31,21.63,20.75,21.13,11.8185,1185900.0,0.0,1.0
2000-02-03,21.13,22.0,20.88,21.94,12.2715,1627100.0,0.0,1.0
2000-02-04,21.91,21.94,20.75,21.25,11.8856,946000.0,0.0,1.0
2000-02-07,20.94,20.94,20.25,20.88,11.6786,536200.0,0.0,1.0
2000-02-08,20.88,21.06,20.25,20.44,11.4325,574600.0,0.0,1.0
2000-02-09,20.69,21.0,20.63,20.75,11.6059,1131100.0,0.0,1.0
2000-02-10,20.88,21.5,20.75,21.44,11.9919,1503800.0,0.0,1.0
2000-02-11,21.19,21.44,21.13,21.38,11.9583,2200300.0,0.0,1.0
2000-02-14,21.31,21.5,21.0,21.11,11.8073,1235800.0,0.0,1.0
2000-02-15,21.19,22.0,21.06,21.56,12.059,470200.0,0.0,1.0
2000-02-16,21.63,21.63,20.94,21.19,11.852,374000.0,0.0,1.0
2000-02-17,21.63,21.75,21.13,21.13,11.8185,852200.0,0.0,1.0
2000-02-18,20.75,21.09,20.63,20.63,11.5388,1771800.0,0.0,1.0
2000-02-22,20.5,21.5,20.5,20.91,11.6954,791100.0,0.0,1.0
2000-02-23,20.88,21.25,20.5,20.81,11.6395,808900.0,0.0,1.0
2000-02-24,20.81,21.06,20.38,21.0,11.7458,1901900.0,0.0,1.0
2000-02-25,20.88,21.19,20.63,20.75,11.6059,2401300.0,0.0,1.0
2000-02-28,20.81,21.75,20.69,21.25,11.8856,614400.0,0.0,1.0
2000-02-29,21.25,21.25,20.0,20.88,11.6786,664500.0,0.0,1.0
2000-03-01,20.81,20.88,19.94,20.19,11.2927,474700.0,0.0,1.0
2000-03-02,20.69,20.69,19.75,19.88,11.1193,502200.0,0.0,1.0
2000-03-03,19.94,20.06,19.25,19.78,11.0634,506100.0,0.0,1.0
2000-03-06,19.75,19.81,19.19,19.56,10.9403,520900.0,0.0,1.0
2000-03-07,19.53,19.69,18.19,18.5,10.3475,562900.0,0.0,1.0
2000-03-08,18.63,18.63,17.75,17.81,9.9615,625100.0,0.0,1.0
2000-03-09,18.06,18.88,17.75,18.63,10.4202,601900.0,0.0,1.0
2000-03-10,18.56,18.69,18.13,18.56,10.381,413100.0,0.0,1.0
2000-03-13,18.22,18.63,17.75,18.56,10.381,515300.0,0.0,1.0
2000-03-14,18.47,18.5,17.88,18.06,10.2132,519600.0,0.2,1.0
2000-03-15,18.25,19.88,17.94,19.63,11.1011,1106700.0,0.0,1.0
2000-03-16,19.88,22.0,19.63,21.67,12.2547,1272400.0,0.0,1.0
2000-03-17,21.75,22.13,21.0,21.38,12.0907,1043500.0,0.0,1.0
2000-03-20,21.41,21.44,19.94,20.31,11.4856,525000.0,0.0,1.0
2000-03-21,20.19,21.44,20.13,21.13,11.9494,540700.0,0.0,1.0
2000-03-22,21.0,21.25,20.5,21.0,11.8758,492800.0,0.0,1.0
2000-03-23,20.88,21.75,20.5,21.69,12.266,500200.0,0.0,1.0
2000-03-24,21.13,22.25,21.06,21.13,11.9494,552600.0,0.0,1.0
2000-03-27,21.09,21.38,20.5,20.63,11.6666,1000400.0,0.0,1.0
2000-03-28,20.63,21.25,20.38,21.19,11.9833,447500.0,0.0,1.0
2000-03-29,21.88,22.13,21.5,21.88,12.3735,901300.0,0.0,1.0
2000-03-30,21.38,21.5,21.13,21.13,11.9494,495600.0,0.0,1.0
2000-03-31,21.25,22.75,21.13,22.38,12.6563,678900.0,0.0,1.0
2000-04-03,22.5,23.13,22.31,22.88,12.939,582100.0,0.0,1.0
2000-04-04,22.97,23.44,22.13,22.69,12.8316,896500.0,0.0,1.0
2000-04-05,22.0,23.0,21.81,22.19,12.5488,399400.0,0.0,1.0
2000-04-06,21.94,22.73,21.75,22.0,12.4414,206200.0,0.0,1.0
2000-04-07,22.06,22.13,21.13,21.19,11.9833,224800.0,0.0,1.0
2000-04-10,21.31,21.81,20.69,21.56,12.1925,433600.0,0.0,1.0
2000-04-11,21.38,21.75,20.88,21.63,12.2321,252400.0,0.0,1.0
