date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,47.12,47.12,45.06,45.25,31.054,571400.0,0.0,1.0
2000-01-04,44.25,44.5,43.31,43.75,30.0246,856900.0,0.0,1.0
2000-01-05,43.75,44.44,42.63,42.88,29.4275,797900.0,0.0,1.0
2000-01-06,42.5,43.0,42.25,42.81,29.3795,975700.0,0.0,1.0
2000-01-07,43.0,45.0,43.0,44.81,30.752,1578200.0,0.0,1.0
2000-01-10,45.06,45.06,44.0,44.06,30.2373,395800.0,0.0,1.0
2000-01-11,43.88,44.63,43.63,44.38,30.4569,703900.0,0.0,1.0
2000-01-12,44.38,44.63,43.31,43.56,29.8942,708800.0,0.0,1.0
2000-01-13,43.13,44.0,42.56,43.19,29.6402,924700.0,0.0,1.0
2000-01-14,43.38,44.06,43.25,43.69,29.9834,746200.0,0.0,1.0
2000-01-18,43.31,43.31,41.63,41.81,28.6932,445700.0,0.0,1.0
2000-01-19,40.25,41.06,40.25,40.5,27.7942,1199100.0,0.0,1.0
2000-01-20,41.0,41.0,39.25,39.44,27.0667,955300.0,0.0,1.0
2000-01-21,39.69,39.69,37.63,37.94,26.0373,848000.0,0.0,1.0
2000-01-24,38.0,39.0,38.0,38.69,26.552,1336500.0,0.0,1.0
2000-01-25,38.69,39.19,37.75,38.06,26.1197,753100.0,0.0,1.0
2000-01-26,38.0,39.31,37.25,39.0,26.7648,696100.0,0.0,1.0
2000-01-27,39.0,39.56,38.31,39.06,26.8059,750100.0,0.0,1.0
2000-01-28,39.38,39.38,36.88,37.31,25.6049,1286100.0,0.0,1.0
2000-01-31,37.38,38.5,36.81,38.13,26.1677,1228300.0,0.0,1.0
2000-02-01,38.13,39.06,37.5,38.81,26.6344,577700.0,0.0,1.0
2000-02-02,38.81,39.69,38.44,39.56,27.1491,607500.0,0.0,1.0
2000-02-03,39.06,41.25,39.0,40.75,27.9657,1342000.0,0.0,1.0
2000-02-04,41.88,41.88,40.25,41.88,28.7412,1006000.0,0.0,1.0
2000-02-07,40.38,40.56,39.13,39.94,27.4099,1282700.0,0.0,1.0
2000-02-08,39.69,40.0,37.44,37.5,25.7353,641000.0,0.0,1.0
2000-02-09,37.75,37.75,35.13,35.38,24.2804,1569900.0,0.0,1.0
2000-02-10,35.25,35.31,34.06,34.63,23.7657,1235200.0,0.0,1.0
2000-02-11,34.88,34.94,34.31,34.63,23.7657,1579400.0,0.0,1.0
2000-02-14,34.63,34.75,33.5,33.75,23.1618,972800.0,0.0,1.0
2000-02-15,34.0,36.0,33.75,35.31,24.2324,1618800.0,0.0,1.0
2000-02-16,35.25,35.25,33.25,34.0,23.3334,1108200.0,0.0,1.0
2000-02-17,34.38,34.5,32.81,34.0,23.3334,1123400.0,0.0,1.0
2000-02-18,34.0,34.0,32.56,33.06,22.6883,830300.0,0.0,1.0
2000-02-22,33.0,33.63,32.69,33.0,22.6471,1175100.0,0.0,1.0
2000-02-23,33.25,33.25,32.5,32.69,22.4344,658200.0,0.0,1.0
2000-02-24,33.25,33.25,32.19,32.5,22.304,1347800.0,0.0,1.0
2000-02-25,32.63,32.88,30.94,31.0,21.2745,716600.0,0.0,1.0
2000-02-28,31.25,31.81,30.88,31.0,21.4393,684000.0,0.24,1.0
2000-02-29,31.0,31.38,30.94,31.25,21.6122,700400.0,0.0,1.0
2000-03-01,31.25,31.88,30.88,31.13,21.5292,942400.0,0.0,1.0
2000-03-02,31.0,31.0,29.63,30.63,21.1834,827500.0,0.0,1.0
2000-03-03,30.75,31.06,30.13,31.0,21.4393,898900.0,0.0,1.0
2000-03-06,31.0,31.06,30.13,31.0,21.4393,1069600.0,0.0,1.0
2000-03-07,31.0,31.0,29.63,30.0,20.7477,1316300.0,0.0,1.0
2000-03-08,29.81,30.06,29.38,29.38,20.3189,725500.0,0.0,1.0
2000-03-09,29.75,30.38,29.56,30.13,20.8376,706000.0,0.0,1.0
2000-03-10,32.0,32.0,30.25,30.38,21.0105,1058800.0,0.0,1.0
2000-03-13,30.38,30.38,29.38,29.5,20.4019,711100.0,0.0,1.0
2000-03-14,29.5,30.25,29.44,30.0,20.7477,604200.0,0.0,1.0
2000-03-15,31.0,33.69,30.88,33.38,23.0852,1356300.0,0.0,1.0
2000-03-16,38.0,40.25,37.38,40.25,27.8365,1938800.0,0.0,1.0
2000-03-17,39.88,39.94,35.38,35.81,24.7658,1133300.0,0.0,1.0
2000-03-20,36.06,37.0,36.0,36.44,25.2015,568100.0,0.0,1.0
2000-03-21,36.31,40.0,35.81,40.0,27.6636,1641500.0,0.0,1.0
2000-03-22,40.25,40.5,39.63,40.13,27.7535,1533200.0,0.0,1.0
2000-03-23,41.0,42.69,41.0,41.5,28.7009,1630000.0,0.0,1.0
2000-03-24,41.56,43.75,41.06,43.19,29.8697,753900.0,0.0,1.0
2000-03-27,42.94,43.31,41.69,42.25,29.2196,959000.0,0.0,1.0
2000-03-28,42.25,44.0,42.19,42.31,29.2611,961700.0,0.0,1.0
2000-03-29,43.0,44.44,42.88,43.88,30.3469,1096200.0,0.0,1.0
2000-03-30,44.13,49.25,44.0,46.38,32.0759,1791100.0,0.0,1.0
2000-03-31,49.0,54.0,46.75,52.75,36.4813,2611100.0,0.0,1.0
2000-04-03,52.0,52.0,49.5,51.0,35.271,1852100.0,0.0,1.0
2000-04-04,50.88,52.06,48.5,49.88,34.4965,1324000.0,0.0,1.0
2000-04-05,49.25,49.38,48.5,48.94,33.8464,1816400.0,0.0,1.0
2000-04-06,49.44,49.69,45.5,47.63,32.9404,1628400.0,0.0,1.0
2000-04-07,47.88,48.25,46.5,46.56,32.2004,591700.0,0.0,1.0
2000-04-10,47.25,48.63,47.0,47.69,32.9819,747000.0,0.0,1.0
2000-04-11,47.44,48.5,47.25,47.38,32.7675,696100.0,0.0,1.0
2000-04-12,47.38,48.88,47.38,48.38,33.4591,1297500.0,0.0,1.0
2000-04-13,48.5,48.63,47.06,47.38,32.7675,585500.0,0.0,1.0
2000-04-14,46.44,46.5,44.25,44.25,30.6028,1049600.0,0.0,1.0
2000-04-17,44.13,47.56,44.0,46.81,32.3733,1107900.0,0.0,1.0
2000-04-18,45.0,47.5,44.69,46.63,32.2488,876700.0,0.0,1.0
2000-04-19,46.38,46.5,44.75,44.94,31.08,790800.0,0.0,1.0
2000-04-20,45.0,47.69,44.81,47.44,32.809,745000.0,0.0,1.0
2000-04-24,47.38,51.88,47.25,51.88,35.8796,1189400.0,0.0,1.0
2000-04-25,51.0,53.63,51.0,53.63,37.0899,1125400.0,0.0,1.0
2000-04-26,53.0,53.13,49.88,51.13,35.3609,892600.0,0.0,1.0
2000-04-27,51.13,52.63,49.5,49.94,34.5379,1183500.0,0.0,1.0
2000-04-28,50.0,53.25,49.5,52.06,36.0041,993700.0,0.0,1.0
2000-05-01,52.44,55.13,52.44,54.69,37.823,1117200.0,0.0,1.0
2000-05-02,54.75,55.13,52.75,54.0,37.3458,697100.0,0.0,1.0
2000-05-03,52.88,53.69,51.81,51.94,35.9211,493100.0,0.0,1.0
2000-05-04,52.19,52.75,51.13,51.25,35.4439,737300.0,0.0,1.0
2000-05-05,51.0,52.06,50.06,51.44,35.5753,406800.0,0.0,1.0
2000-05-08,52.44,53.25,52.0,52.88,36.5712,464000.0,0.0,1.0
2000-05-09,53.5,53.75,51.19,52.56,36.3499,574600.0,0.0,1.0
2000-05-10,52.81,53.19,51.13,52.06,36.0041,484900.0,0.0,1.0
2000-05-11,51.5,54.63,51.5,54.0,37.3458,639200.0,0.0,1.0
2000-05-12,54.06,54.06,52.06,53.27,36.8409,457700.0,0.0,1.0
2000-05-15,52.5,57.06,52.44,56.94,39.3791,936200.0,0.0,1.0
2000-05-16,56.63,57.0,55.38,55.94,38.6875,628100.0,0.0,1.0
2000-05-17,55.63,55.63,53.06,53.63,37.0899,431500.0,0.0,1.0
2000-05-18,54.06,56.5,54.06,56.44,39.0333,653000.0,0.0,1.0
2000-05-19,56.19,56.44,55.88,56.38,38.9918,596500.0,0.0,1.0
2000-05-22,56.31,59.25,56.0,58.75,40.6308,996700.0,0.0,1.0
2000-05-23,58.75,60.13,57.44,60.13,41.5852,1398000.0,0.0,1.0
2000-05-24,59.88,64.0,58.75,64.0,44.2617,1366000.0,0.0,1.0
2000-05-25,62.38,62.44,57.5,59.06,40.8452,1382200.0,0.0,1.0
2000-05-26,58.5,59.44,58.06,59.13,40.8936,539400.0,0.0,1.0
2000-05-30,59.38,61.19,58.56,61.06,42.3944,1060300.0,0.24,1.0
2000-05-31,60.38,60.38,59.0,59.06,41.0058,609000.0,0.0,1.0
2000-06-01,58.88,60.5,57.63,60.5,42.0056,891600.0,0.0,1.0
2000-06-02,61.25,61.25,59.5,60.0,41.6584,864200.0,0.0,1.0
2000-06-05,60.75,60.75,56.25,56.25,39.0548,626200.0,0.0,1.0
2000-06-06,55.5,55.56,53.88,54.94,38.1452,2687900.0,0.0,1.0
2000-06-07,54.81,56.19,54.81,55.75,38.7076,3761500.0,0.0,1.0
2000-06-08,55.75,55.88,54.75,55.44,38.4924,814900.0,0.0,1.0
2000-06-09,55.0,55.5,53.63,53.69,37.2774,954800.0,0.0,1.0
2000-06-12,53.88,54.5,53.06,54.5,37.8397,1041700.0,0.0,1.0
2000-06-13,54.88,54.94,54.06,54.5,37.8397,456100.0,0.0,1.0
2000-06-14,54.0,55.75,53.69,55.69,38.666,1202200.0,0.0,1.0
2000-06-15,55.69,55.94,54.31,55.44,38.4924,1500800.0,0.0,1.0
2000-06-16,55.0,55.0,53.38,53.56,37.1871,1141600.0,0.0,1.0
2000-06-19,52.0,55.75,52.0,55.31,38.4021,1399400.0,0.0,1.0
2000-06-20,55.25,55.25,52.25,52.79,36.6525,688300.0,0.0,1.0
2000-06-21,52.38,52.56,50.5,51.38,35.6735,976600.0,0.0,1.0
2000-06-22,50.63,50.88,49.44,50.81,35.2777,858800.0,0.0,1.0
2000-06-23,52.56,54.5,51.88,53.31,37.0135,1522100.0,0.0,1.0
2000-06-26,54.63,54.63,52.81,53.94,37.4509,1132500.0,0.0,1.0
2000-06-27,55.5,56.0,54.81,55.94,38.8395,1403500.0,0.0,1.0
2000-06-28,55.75,56.0,55.44,55.86,38.784,768200.0,0.0,1.0
2000-06-29,55.94,56.13,55.75,56.0,38.8812,570600.0,0.0,1.0
2000-06-30,56.0,56.38,55.81,55.94,38.8395,1594200.0,0.0,1.0
2000-07-03,55.94,56.63,55.38,56.63,39.3186,344500.0,0.0,1.0
2000-07-05,56.75,58.0,56.13,57.81,40.1379,727000.0,0.0,1.0
2000-07-06,57.81,58.19,56.69,57.38,39.8393,561900.0,0.0,1.0
2000-07-07,57.38,59.38,57.38,59.25,41.1377,732900.0,0.0,1.0
2000-07-10,59.0,59.63,58.75,59.25,41.1377,564000.0,0.0,1.0
2000-07-11,58.38,59.25,58.0,59.25,41.1377,453000.0,0.0,1.0
2000-07-12,59.25,59.88,59.06,59.81,41.5265,786400.0,0.0,1.0
2000-07-13,59.0,59.25,58.0,58.5,40.617,789700.0,0.0,1.0
2000-07-14,58.25,60.0,58.25,60.0,41.6584,489800.0,0.0,1.0
2000-07-17,59.75,59.75,58.56,59.0,40.9641,1238000.0,0.0,1.0
2000-07-18,58.94,58.94,57.25,57.44,39.881,757900.0,0.0,1.0
2000-07-19,57.19,57.19,56.13,56.38,39.145,1458500.0,0.0,1.0
2000-07-20,56.38,59.0,56.38,58.5,40.617,892800.0,0.0,1.0
2000-07-21,58.0,59.25,57.25,57.88,40.1865,609300.0,0.0,1.0
2000-07-24,57.0,58.31,57.0,58.31,40.4851,518100.0,0.0,1.0
2000-07-25,57.0,61.94,56.63,61.44,42.6582,1914800.0,0.0,1.0
2000-07-26,60.13,64.63,60.13,64.5,44.7828,2101700.0,0.0,1.0
2000-07-27,64.5,66.25,64.0,65.0,45.13,2733500.0,0.0,1.0
2000-07-28,65.0,65.5,63.63,63.69,44.2204,1586100.0,0.0,1.0
2000-07-31,63.19,65.5,62.88,64.25,44.6092,754700.0,0.0,1.0
2000-08-01,64.13,65.13,64.13,65.0,45.13,669900.0,0.0,1.0
2000-08-02,64.75,65.44,63.19,63.31,43.9566,609800.0,0.0,1.0
2000-08-03,62.63,65.88,62.56,65.5,45.4771,584100.0,0.0,1.0
2000-08-04,65.5,68.38,65.5,67.19,46.6505,1419200.0,0.0,1.0
2000-08-07,67.0,69.06,66.81,68.94,47.8655,1130300.0,0.0,1.0
2000-08-08,68.81,69.5,67.75,68.19,47.3448,811800.0,0.0,1.0
2000-08-09,67.5,67.5,65.0,65.75,45.6507,1056600.0,0.0,1.0
2000-08-10,64.38,65.5,64.0,64.0,44.4357,627000.0,0.0,1.0
2000-08-11,64.75,65.88,64.69,65.63,45.5674,786400.0,0.0,1.0
2000-08-14,66.25,66.31,64.88,64.94,45.0883,533600.0,0.0,1.0
2000-08-15,64.94,65.13,63.94,64.63,44.8731,1162300.0,0.0,1.0
2000-08-16,64.69,65.0,64.56,64.75,44.9564,727500.0,0.0,1.0
2000-08-17,64.13,65.69,64.0,65.31,45.3452,835900.0,0.0,1.0
2000-08-18,65.5,65.56,65.0,65.5,45.4771,800200.0,0.0,1.0
2000-08-21,65.5,66.19,65.31,66.06,45.8659,449200.0,0.0,1.0
2000-08-22,66.06,66.31,64.25,65.0,45.13,399300.0,0.0,1.0
2000-08-23,64.5,65.38,63.19,63.31,43.9566,347600.0,0.0,1.0
2000-08-24,63.38,63.38,62.25,62.75,43.5678,543300.0,0.0,1.0
2000-08-25,63.0,63.63,62.75,63.25,43.9149,451300.0,0.0,1.0
2000-08-28,62.88,65.0,62.88,64.63,44.8731,408300.0,0.0,1.0
2000-08-29,64.13,64.38,61.5,62.5,43.3942,534000.0,0.0,1.0
2000-08-30,63.25,66.38,62.75,65.94,45.9492,939800.0,0.24,1.0
2000-08-31,65.94,67.75,65.69,66.64,46.437,872600.0,0.0,1.0
2000-09-01,66.88,66.88,65.44,66.06,46.0329,759900.0,0.0,1.0
2000-09-05,65.81,67.31,65.63,66.56,46.3813,708400.0,0.0,1.0
2000-09-06,66.63,68.25,66.56,67.5,47.0363,692000.0,0.0,1.0
2000-09-07,66.81,67.44,65.44,66.63,46.4301,635400.0,0.0,1.0
2000-09-08,66.5,69.5,66.5,68.5,47.7331,783500.0,0.0,1.0
2000-09-11,69.0,71.44,68.69,70.88,49.3916,872500.0,0.0,1.0
2000-09-12,70.5,70.5,69.06,69.13,48.1721,895000.0,0.0,1.0
2000-09-13,70.0,71.44,68.88,69.5,48.43,1205000.0,0.0,1.0
2000-09-14,69.5,71.19,68.63,70.13,48.869,931600.0,0.0,1.0
