date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2011-03-22,35.72,37.6,34.0,37.49,35.1507,491400.0,0.0,1.0
2011-03-23,37.07,37.8,36.95,37.25,34.9256,601200.0,0.0,1.0
2011-03-24,37.5,37.5,37.15,37.25,34.9256,230400.0,0.0,1.0
2011-03-25,37.5,39.25,37.25,39.25,36.8008,497400.0,0.0,1.0
2011-03-28,39.0,39.0,37.75,37.75,35.3944,53100.0,0.0,1.0
2011-03-29,37.76,37.95,37.47,37.5,35.16,269300.0,0.0,1.0
2011-03-30,37.95,38.49,36.58,38.2,35.8164,8573500.0,0.0,1.0
2011-03-31,38.45,42.74,38.0,41.5,38.9105,2653000.0,0.0,1.0
2011-04-01,40.99,42.44,39.84,40.04,37.5416,2222900.0,0.0,1.0
2011-04-04,39.86,41.02,39.14,40.15,37.6447,1122700.0,0.0,1.0
2011-04-05,39.53,40.33,38.73,40.25,37.7384,1373400.0,0.0,1.0
2011-04-06,39.86,40.31,39.12,39.68,37.204,2080100.0,0.0,1.0
2011-04-07,38.25,39.25,37.51,38.8,36.3789,2134600.0,0.0,1.0
2011-04-08,38.33,38.88,38.2,38.5,36.0976,1307200.0,0.0,1.0
2011-04-11,38.5,38.58,38.28,38.32,35.9289,1563100.0,0.0,1.0
2011-04-12,37.91,38.42,37.66,38.05,35.6757,1637500.0,0.0,1.0
2011-04-13,37.71,38.37,37.28,38.0,35.6288,1649100.0,0.0,1.0
2011-04-14,37.9,39.36,37.85,38.77,36.3508,1232400.0,0.0,1.0
2011-04-15,38.89,40.75,38.81,40.14,37.6353,1502100.0,0.0,1.0
2011-04-18,39.45,40.22,38.59,40.05,37.5509,793700.0,0.0,1.0
2011-04-19,40.08,40.12,39.49,39.78,37.2978,802400.0,0.0,1.0
2011-04-20,40.14,40.36,39.5,40.06,37.5603,358200.0,0.0,1.0
2011-04-21,40.03,40.19,39.18,39.31,36.8571,799400.0,0.0,1.0
2011-04-25,39.13,39.409,38.61,39.07,36.6321,298000.0,0.0,1.0
2011-04-26,38.97,39.71,38.7,39.34,36.8852,696700.0,0.0,1.0
2011-04-27,38.97,40.2,38.1,40.01,37.5134,772000.0,0.0,1.0
2011-04-28,40.0,40.24,39.58,39.99,37.4947,692000.0,0.0,1.0
2011-04-29,40.0,40.17,39.94,40.0,37.504,556000.0,0.0,1.0
2011-05-02,39.41,41.19,39.05,40.98,38.4229,542100.0,0.0,1.0
2011-05-03,40.89,41.09,40.38,40.5,37.9728,539000.0,0.0,1.0
2011-05-04,40.4,40.6699,39.59,39.95,37.4572,591800.0,0.0,1.0
2011-05-05,39.81,41.204,39.5,39.84,37.354,635800.0,0.0,1.0
2011-05-06,40.01,40.15,39.34,39.5,37.0352,413800.0,0.0,1.0
2011-05-09,39.33,39.85,38.86,39.6,37.129,368900.0,0.0,1.0
2011-05-10,39.79,40.34,39.77,40.17,37.6634,709100.0,0.0,1.0
2011-05-11,39.48,39.5,38.5,38.78,36.3602,1297900.0,0.0,1.0
2011-05-12,38.8,38.9,38.27,38.39,35.9945,382000.0,0.0,1.0
2011-05-13,38.31,38.61,37.97,38.46,36.0601,435000.0,0.0,1.0
2011-05-16,38.2,38.89,38.2,38.69,36.2758,303700.0,0.0,1.0
2011-05-17,38.41,38.88,38.41,38.78,36.3602,369700.0,0.0,1.0
2011-05-18,38.64,38.65,38.09,38.5,36.0976,559900.0,0.0,1.0
