date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,63.5,63.62,62.06,62.44,23.1111,407700.0,0.0,1.0
2000-01-04,61.62,62.0,61.0,61.19,22.6485,364000.0,0.0,1.0
2000-01-05,61.19,61.19,60.25,60.75,22.4856,278200.0,0.0,1.0
2000-01-06,60.81,60.81,60.0,60.56,22.4153,295200.0,0.0,1.0
2000-01-07,60.44,60.5,59.62,60.25,22.3006,408000.0,0.0,1.0
2000-01-10,60.25,60.69,60.12,60.56,22.4153,549500.0,0.0,1.0
2000-01-11,60.5,61.81,60.38,61.19,22.6485,483300.0,0.0,1.0
2000-01-12,60.5,60.88,59.06,59.25,21.9304,428500.0,0.0,1.0
2000-01-13,59.5,60.12,59.25,59.5,22.023,228200.0,0.0,1.0
2000-01-14,60.0,60.75,59.94,60.69,22.4634,1043500.0,0.0,1.0
2000-01-18,60.44,62.5,60.0,62.31,23.063,965500.0,0.0,1.0
2000-01-19,66.5,70.0,66.0,69.38,25.6799,2210600.0,0.0,1.0
2000-01-20,69.38,72.88,68.0,72.5,26.8347,1169800.0,0.0,1.0
2000-01-21,72.25,72.25,70.38,71.38,26.4201,1297500.0,0.0,1.0
2000-01-24,71.44,72.06,71.12,71.38,26.4201,641600.0,0.0,1.0
2000-01-25,77.0,77.5,74.0,75.69,28.0154,2508500.0,0.0,1.0
2000-01-26,75.75,76.5,74.0,74.88,27.7156,1502700.0,0.0,1.0
2000-01-27,75.06,75.5,74.44,74.94,27.7378,1567500.0,0.0,1.0
2000-01-28,74.94,75.19,70.38,71.0,26.2795,10565200.0,0.0,1.0
2000-01-31,70.25,71.56,69.06,70.19,25.9797,1514000.0,0.0,1.0
2000-02-01,70.19,71.94,70.0,71.31,26.3942,941000.0,0.0,1.0
2000-02-02,71.88,71.88,70.75,71.44,26.4423,1008400.0,0.0,1.0
2000-02-03,71.19,72.0,70.62,72.0,26.6496,715500.0,0.0,1.0
2000-02-04,71.75,71.81,70.5,70.94,26.2573,376500.0,0.0,1.0
2000-02-07,70.12,70.94,69.94,70.75,26.187,632200.0,0.0,1.0
2000-02-08,70.0,72.0,69.94,71.38,26.4201,687000.0,0.0,1.0
2000-02-09,71.0,71.88,70.25,70.25,26.0019,540000.0,0.0,1.0
2000-02-10,69.81,70.62,69.81,70.12,25.9538,579000.0,0.0,1.0
2000-02-11,70.06,70.06,69.5,70.0,25.9094,470500.0,0.0,1.0
2000-02-14,70.25,70.25,68.62,69.31,25.654,568700.0,0.0,1.0
2000-02-15,69.75,70.12,68.06,70.12,25.9538,432800.0,0.0,1.0
2000-02-16,69.69,69.75,67.88,68.0,25.1691,504000.0,0.0,1.0
2000-02-17,68.25,68.25,66.12,66.88,24.7545,479800.0,0.0,1.0
2000-02-18,68.0,69.5,66.69,66.88,24.7545,919100.0,0.0,1.0
2000-02-22,68.0,68.06,66.62,67.62,25.0284,516300.0,0.0,1.0
2000-02-23,67.0,67.44,65.88,66.38,24.5695,373800.0,0.0,1.0
2000-02-24,66.62,66.75,64.25,64.81,23.9884,416100.0,0.0,1.0
2000-02-25,65.5,69.5,64.62,68.94,25.517,1002300.0,0.0,1.0
