date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,57.69,58.44,56.5,56.69,37.0153,2100800.0,0.0,1.0
2000-01-04,56.38,56.44,54.06,55.69,36.3623,2670300.0,0.0,1.0
2000-01-05,55.75,56.25,54.69,55.0,35.9118,2975700.0,0.0,1.0
2000-01-06,55.5,56.13,54.5,56.0,36.5648,2388000.0,0.0,1.0
2000-01-07,56.75,59.38,56.44,59.0,38.5236,3943400.0,0.0,1.0
2000-01-10,59.44,59.88,58.31,59.31,38.726,1467400.0,0.0,1.0
2000-01-11,59.94,60.19,58.75,58.88,38.4452,2641000.0,0.0,1.0
2000-01-12,59.38,59.75,59.06,59.44,38.8109,2046200.0,0.0,1.0
2000-01-13,59.94,60.0,59.5,59.88,39.0982,1543900.0,0.0,1.0
2000-01-14,60.0,60.5,59.25,59.88,39.0982,2549000.0,0.0,1.0
2000-01-18,59.75,60.38,57.63,59.0,38.5236,3184300.0,0.0,1.0
2000-01-19,59.0,59.0,52.5,54.25,35.4221,11410700.0,0.0,1.0
2000-01-20,54.5,55.25,52.56,52.88,34.5276,5193200.0,0.0,1.0
2000-01-21,53.0,53.13,49.94,51.31,33.5025,5065300.0,0.0,1.0
2000-01-24,51.44,51.44,47.0,47.75,31.178,6944600.0,0.0,1.0
2000-01-25,46.25,47.94,45.0,47.56,31.0539,5044200.0,0.0,1.0
2000-01-26,47.94,48.5,46.13,47.63,31.0996,4770500.0,0.0,1.0
2000-01-27,47.13,48.19,44.63,46.25,30.1986,4691000.0,0.0,1.0
2000-01-28,45.13,46.63,44.81,45.19,29.5064,3140100.0,0.0,1.0
2000-01-31,45.19,48.0,45.19,48.0,31.3412,3392700.0,0.0,1.0
2000-02-01,48.0,48.38,47.13,47.5,31.0147,2850600.0,0.0,1.0
2000-02-02,48.0,49.0,47.75,48.13,31.4261,2598900.0,0.0,1.0
2000-02-03,48.25,49.0,46.75,47.5,31.0147,2445100.0,0.0,1.0
2000-02-04,47.5,47.69,46.63,47.38,30.9364,3652000.0,0.0,1.0
2000-02-07,47.0,47.0,44.5,45.0,29.3824,2656600.0,0.0,1.0
2000-02-08,46.0,46.94,44.94,45.25,29.5456,4497100.0,0.0,1.0
2000-02-09,44.5,44.94,42.5,43.75,28.5662,3706600.0,0.0,1.0
2000-02-10,43.25,44.44,42.38,43.25,28.2397,3168200.0,0.0,1.0
2000-02-11,42.5,44.44,42.25,42.25,27.5868,3240000.0,0.0,1.0
2000-02-14,43.25,44.88,42.63,42.63,27.8349,3246700.0,0.0,1.0
2000-02-15,42.88,46.63,42.75,46.31,30.2377,3409900.0,0.0,1.0
2000-02-16,46.13,46.13,44.63,44.88,29.4265,2729000.0,0.1875,1.0
2000-02-17,46.25,46.88,45.44,46.44,30.4493,2385000.0,0.0,1.0
2000-02-18,46.19,46.38,43.94,44.31,29.0527,2392600.0,0.0,1.0
2000-02-22,44.06,47.25,43.0,47.25,30.9804,2469800.0,0.0,1.0
2000-02-23,47.25,47.25,43.94,45.19,29.6297,2193600.0,0.0,1.0
2000-02-24,45.19,46.06,42.56,45.75,29.9969,3503600.0,0.0,1.0
2000-02-25,45.75,46.75,44.38,46.56,30.528,2572500.0,0.0,1.0
2000-02-28,46.63,48.75,45.44,48.0,31.4722,2908400.0,0.0,1.0
2000-02-29,49.0,49.88,47.81,48.13,31.5574,2672500.0,0.0,1.0
2000-03-01,49.0,49.69,46.56,48.13,31.5574,2278600.0,0.0,1.0
2000-03-02,48.13,48.13,45.0,45.88,30.0821,2279400.0,0.0,1.0
2000-03-03,46.13,48.44,44.75,45.5,29.833,3157700.0,0.0,1.0
2000-03-06,45.75,45.75,44.0,44.31,29.0527,2306400.0,0.0,1.0
2000-03-07,43.5,43.63,41.19,41.81,27.4136,3169400.0,0.0,1.0
2000-03-08,41.69,43.13,40.31,42.69,27.9905,4356400.0,0.0,1.0
2000-03-09,44.38,45.13,42.81,44.0,28.8495,4679200.0,0.0,1.0
2000-03-10,45.5,45.63,43.88,45.38,29.7543,3238600.0,0.0,1.0
2000-03-13,44.88,45.44,43.88,44.63,29.2625,2134300.0,0.0,1.0
2000-03-14,44.69,46.0,44.25,45.0,29.5051,2332600.0,0.0,1.0
2000-03-15,44.13,46.5,43.5,45.94,30.1215,3996600.0,0.0,1.0
2000-03-16,47.88,50.31,46.56,49.75,32.6196,3976100.0,0.0,1.0
2000-03-17,48.63,49.63,46.88,46.88,30.7378,4364800.0,0.0,1.0
2000-03-20,47.75,49.88,46.25,47.5,31.1443,3410000.0,0.0,1.0
2000-03-21,47.0,50.0,46.94,50.0,32.7835,3067400.0,0.0,1.0
2000-03-22,49.38,49.38,46.25,46.25,30.3247,2866900.0,0.0,1.0
2000-03-23,46.75,47.63,45.88,46.25,30.3247,3263500.0,0.0,1.0
2000-03-24,46.31,49.69,46.0,49.62,32.5343,3008800.0,0.0,1.0
2000-03-27,48.75,49.31,47.0,48.0,31.4722,2897400.0,0.0,1.0
2000-03-28,47.38,48.63,46.63,46.81,30.6919,2313100.0,0.0,1.0
2000-03-29,46.63,49.63,46.63,49.0,32.1278,2489200.0,0.0,1.0
2000-03-30,49.06,52.25,49.0,51.5,33.767,4947800.0,0.0,1.0
2000-03-31,53.0,54.0,51.13,52.69,34.5472,4039700.0,0.0,1.0
2000-04-03,55.0,55.0,53.31,54.38,35.6553,3333100.0,0.0,1.0
2000-04-04,54.88,55.25,51.88,53.75,35.2423,2848400.0,0.0,1.0
2000-04-05,53.5,54.88,52.75,52.75,34.5866,1897400.0,0.0,1.0
2000-04-06,53.25,53.69,51.0,52.13,34.1801,1756000.0,0.0,1.0
2000-04-07,51.75,53.13,51.5,51.63,33.8522,1259900.0,0.0,1.0
2000-04-10,51.63,54.81,51.13,53.5,35.0783,2226800.0,0.0,1.0
2000-04-11,54.25,56.75,54.13,56.06,36.7569,2760500.0,0.0,1.0
2000-04-12,55.38,55.88,52.5,52.88,34.6718,1976000.0,0.0,1.0
2000-04-13,55.75,57.0,53.25,55.44,36.3503,4306600.0,0.0,1.0
2000-04-14,53.0,56.06,52.56,54.13,35.4914,3205900.0,0.0,1.0
2000-04-17,52.75,55.25,52.75,55.0,36.0618,2196900.0,0.0,1.0
2000-04-18,54.25,54.94,53.38,53.75,35.2423,2226800.0,0.0,1.0
2000-04-19,54.94,55.56,53.94,54.31,35.6094,2219000.0,0.0,1.0
2000-04-20,54.31,57.0,54.06,57.0,37.3732,2198600.0,0.0,1.0
2000-04-24,56.0,58.38,56.0,56.25,36.8814,2844100.0,0.0,1.0
2000-04-25,56.88,58.44,56.25,57.81,37.9043,2501000.0,0.0,1.0
2000-04-26,58.0,58.38,54.94,55.69,36.5143,2232500.0,0.0,1.0
2000-04-27,54.25,56.44,54.06,55.31,36.2651,2126900.0,0.0,1.0
2000-04-28,55.75,56.94,54.31,56.0,36.7175,1822600.0,0.0,1.0
2000-05-01,55.13,56.19,54.44,55.5,36.3897,1279200.0,0.0,1.0
2000-05-02,54.75,55.19,53.63,54.0,35.4062,1925200.0,0.0,1.0
2000-05-03,54.75,54.88,53.56,54.19,35.5307,1320700.0,0.0,1.0
2000-05-04,53.81,54.44,52.88,53.25,34.9144,2709800.0,0.0,1.0
2000-05-05,52.5,55.19,52.38,54.31,35.6094,1533300.0,0.0,1.0
2000-05-08,53.5,54.88,53.38,54.31,35.6094,798500.0,0.0,1.0
2000-05-09,53.31,54.63,53.31,54.0,35.4062,1158800.0,0.0,1.0
2000-05-10,54.06,54.38,52.75,53.81,35.2816,1155200.0,0.0,1.0
2000-05-11,54.5,54.69,53.44,53.63,35.1636,1502500.0,0.0,1.0
2000-05-12,53.25,54.5,53.0,53.21,34.8882,1126200.0,0.0,1.0
2000-05-15,53.75,56.44,53.44,55.56,36.429,2191400.0,0.0,1.0
2000-05-16,56.25,57.0,55.81,56.13,36.8027,1822100.0,0.0,1.0
2000-05-17,54.13,54.88,54.0,54.13,35.6143,1862200.0,0.1875,1.0
2000-05-18,54.13,55.63,54.13,54.99,36.1802,981200.0,0.0,1.0
2000-05-19,55.0,55.44,54.13,54.25,35.6933,2112200.0,0.0,1.0
2000-05-22,54.5,54.5,52.5,53.25,35.0354,939900.0,0.0,1.0
2000-05-23,54.0,54.75,53.13,53.38,35.1209,2785300.0,0.0,1.0
2000-05-24,54.0,54.44,53.44,54.0,35.5288,2258200.0,0.0,1.0
2000-05-25,54.0,54.13,52.5,53.44,35.1604,2061100.0,0.0,1.0
2000-05-26,53.5,54.38,52.75,53.56,35.2393,1541000.0,0.0,1.0
2000-05-30,53.88,55.44,53.75,55.19,36.3118,1897800.0,0.0,1.0
2000-05-31,55.38,55.81,54.0,54.25,35.6933,1632300.0,0.0,1.0
2000-06-01,54.44,57.13,54.44,56.56,37.2131,2125400.0,0.0,1.0
2000-06-02,58.0,59.13,54.5,56.63,37.2592,3298800.0,0.0,1.0
2000-06-05,57.25,57.44,55.75,56.75,37.3382,1599700.0,0.0,1.0
2000-06-06,56.25,56.81,55.0,56.5,37.1737,1544300.0,0.0,1.0
2000-06-07,56.5,56.56,53.5,53.81,35.4038,2497800.0,0.0,1.0
2000-06-08,53.81,53.94,49.94,51.5,33.884,4963200.0,0.0,1.0
2000-06-09,52.0,53.13,52.0,52.06,34.2524,1864800.0,0.0,1.0
2000-06-12,52.19,52.19,51.25,51.25,33.7195,1368600.0,0.0,1.0
2000-06-13,50.75,50.81,50.06,50.19,33.0221,1831100.0,0.0,1.0
2000-06-14,51.5,52.25,51.25,51.31,33.759,2388600.0,0.0,1.0
2000-06-15,51.38,51.69,50.69,50.88,33.476,1817900.0,0.0,1.0
2000-06-16,50.88,50.94,48.5,48.5,31.9101,2866300.0,0.0,1.0
2000-06-19,48.63,48.75,38.0,40.25,26.4821,20693700.0,0.0,1.0
2000-06-20,37.13,37.75,35.13,36.63,24.1004,24847300.0,0.0,1.0
2000-06-21,36.25,37.0,35.25,37.0,24.3438,13098700.0,0.0,1.0
2000-06-22,37.0,37.5,34.5,35.0,23.0279,15809600.0,0.0,1.0
2000-06-23,35.13,35.44,34.25,34.69,22.824,8240800.0,0.0,1.0
2000-06-26,34.88,34.94,33.5,34.25,22.5345,8344800.0,0.0,1.0
2000-06-27,33.75,34.56,33.06,33.25,21.8765,8098900.0,0.0,1.0
2000-06-28,33.38,34.75,32.13,34.09,22.4292,10891400.0,0.0,1.0
2000-06-29,33.38,34.75,33.0,33.75,22.2055,5581400.0,0.0,1.0
2000-06-30,34.31,34.75,33.38,33.69,22.166,5337300.0,0.0,1.0
2000-07-03,34.19,34.69,33.63,34.38,22.62,1992700.0,0.0,1.0
2000-07-05,34.5,35.0,33.63,34.0,22.37,4717300.0,0.0,1.0
2000-07-06,34.0,35.0,33.63,35.0,23.0279,5634200.0,0.0,1.0
2000-07-07,34.56,35.0,33.88,34.63,22.7845,5733600.0,0.0,1.0
