date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,40.62,40.81,40.0,40.25,3.5906,122100.0,0.0,1.0
2000-01-04,39.88,40.25,39.5,39.69,3.5407,181900.0,0.0,1.0
2000-01-05,39.94,40.63,39.88,40.38,3.6022,88000.0,0.0,1.0
2000-01-06,40.25,41.0,40.0,41.0,3.6575,96400.0,0.0,1.0
2000-01-07,40.81,41.63,40.81,41.38,3.6914,76200.0,0.0,1.0
2000-01-10,41.19,41.63,41.0,41.19,3.6745,65700.0,0.0,1.0
2000-01-11,40.94,41.94,40.94,41.25,3.6798,60000.0,0.0,1.0
2000-01-12,41.25,41.88,39.75,40.19,3.5853,111200.0,0.0,1.0
2000-01-13,40.25,40.63,39.75,40.63,3.6245,208100.0,0.0,1.0
2000-01-14,40.75,40.75,39.81,40.5,3.6129,121900.0,0.0,1.0
2000-01-18,40.25,40.81,40.06,40.69,3.6299,71300.0,0.0,1.0
2000-01-19,40.38,40.38,39.38,39.5,3.5393,117200.0,0.175,1.0
2000-01-20,39.69,39.69,39.19,39.63,3.551,66500.0,0.0,1.0
2000-01-21,40.0,40.0,39.06,39.44,3.5339,150900.0,0.0,1.0
2000-01-24,39.44,39.63,38.25,38.75,3.4721,142300.0,0.0,1.0
2000-01-25,38.69,38.81,38.25,38.5,3.4497,134000.0,0.0,1.0
2000-01-26,38.5,39.69,38.5,39.38,3.5286,147500.0,0.0,1.0
2000-01-27,39.63,39.94,38.75,38.75,3.4721,82300.0,0.0,1.0
2000-01-28,38.75,38.75,37.0,38.38,3.439,208600.0,0.0,1.0
2000-01-31,38.38,40.63,38.13,40.63,3.6406,124800.0,0.0,1.0
2000-02-01,40.38,40.38,38.0,38.81,3.4775,136300.0,0.0,1.0
2000-02-02,38.81,38.81,37.81,38.13,3.4166,166800.0,0.0,1.0
2000-02-03,38.13,38.19,37.25,37.88,3.3942,316300.0,0.0,1.0
2000-02-04,37.38,38.25,37.38,37.88,3.3942,187400.0,0.0,1.0
2000-02-07,37.63,37.69,37.0,37.13,3.327,125400.0,0.0,1.0
2000-02-08,37.13,38.25,37.0,38.0,3.4049,99300.0,0.0,1.0
2000-02-09,38.25,38.63,38.0,38.38,3.439,90600.0,0.0,1.0
2000-02-10,38.81,39.0,37.0,37.44,3.3547,191500.0,0.0,1.0
2000-02-11,37.38,37.38,35.44,35.88,3.215,208600.0,0.0,1.0
2000-02-14,35.88,36.31,35.5,35.56,3.1863,140100.0,0.0,1.0
2000-02-15,35.5,36.12,33.62,35.69,3.1979,327700.0,0.0,1.0
2000-02-16,18.0,18.44,17.13,18.0,3.2257,159100.0,0.0,2.0
2000-02-17,17.63,18.25,17.31,18.19,3.2598,292900.0,0.0,1.0
2000-02-18,17.94,18.5,17.5,18.0,3.2257,280700.0,0.0,1.0
2000-02-22,18.38,18.38,17.81,17.94,3.215,286100.0,0.0,1.0
2000-02-23,17.75,17.75,17.34,17.69,3.1702,121700.0,0.0,1.0
2000-02-24,17.5,17.63,17.0,17.5,3.1361,409100.0,0.0,1.0
2000-02-25,17.88,17.88,17.25,17.38,3.1146,453900.0,0.0,1.0
2000-02-28,17.31,17.5,16.81,16.94,3.0357,239700.0,0.0,1.0
2000-02-29,17.06,17.38,16.63,16.69,2.9909,302900.0,0.0,1.0
2000-03-01,16.63,17.25,16.63,16.94,3.0357,334300.0,0.0,1.0
2000-03-02,16.69,16.75,16.31,16.31,2.9228,397700.0,0.0,1.0
2000-03-03,16.38,16.38,15.0,15.19,2.7221,890600.0,0.0,1.0
2000-03-06,15.25,16.0,15.25,15.44,2.7669,481500.0,0.0,1.0
2000-03-07,15.5,15.63,14.5,14.5,2.5985,587200.0,0.0,1.0
2000-03-08,15.0,15.31,14.94,15.13,2.7114,405800.0,0.0,1.0
2000-03-09,16.0,16.0,15.0,15.06,2.6988,349800.0,0.0,1.0
2000-03-10,15.0,15.25,14.56,14.63,2.6218,225300.0,0.0,1.0
2000-03-13,14.5,15.0,14.19,14.31,2.5644,183100.0,0.0,1.0
2000-03-14,14.31,14.38,13.63,14.13,2.5322,451700.0,0.0,1.0
2000-03-15,14.25,16.94,13.88,15.25,2.7329,611600.0,0.0,1.0
2000-03-16,15.25,17.06,15.25,17.06,3.0573,516500.0,0.0,1.0
2000-03-17,15.75,16.5,15.0,15.0,2.6881,344600.0,0.0,1.0
2000-03-20,15.25,16.19,15.25,15.75,2.8225,521200.0,0.0,1.0
2000-03-21,16.0,16.0,15.25,15.38,2.7562,441300.0,0.0,1.0
2000-03-22,15.06,15.38,14.25,14.5,2.5985,373000.0,0.0,1.0
2000-03-23,15.0,15.13,14.75,15.0,2.6881,446600.0,0.0,1.0
2000-03-24,14.62,14.94,14.5,14.62,2.62,233200.0,0.0,1.0
2000-03-27,14.94,15.13,14.5,14.5,2.5985,177600.0,0.0,1.0
2000-03-28,14.25,14.5,14.0,14.19,2.5429,288500.0,0.0,1.0
2000-03-29,14.25,14.5,14.13,14.44,2.5877,147200.0,0.0,1.0
2000-03-30,15.0,16.88,14.81,15.0,2.6881,576500.0,0.0,1.0
2000-03-31,15.75,16.75,15.75,16.44,2.9461,549500.0,0.0,1.0
2000-04-03,16.19,16.63,14.5,14.63,2.6218,574400.0,0.0,1.0
2000-04-04,14.69,15.75,14.63,15.75,2.8225,278400.0,0.0,1.0
2000-04-05,15.75,16.06,15.56,15.94,2.8565,406100.0,0.0,1.0
2000-04-06,16.0,16.38,15.75,15.75,2.8225,323700.0,0.0,1.0
2000-04-07,15.81,15.88,15.5,15.5,2.7777,266000.0,0.0,1.0
2000-04-10,15.75,16.13,15.56,15.63,2.801,111800.0,0.0,1.0
2000-04-11,15.75,15.88,15.56,15.75,2.8225,114600.0,0.0,1.0
2000-04-12,15.81,16.25,15.75,16.06,2.878,247200.0,0.0,1.0
2000-04-13,16.19,16.38,16.0,16.31,2.9228,303300.0,0.0,1.0
2000-04-14,16.06,16.19,15.5,15.88,2.8458,254000.0,0.0,1.0
2000-04-17,16.5,16.63,15.75,16.44,2.9461,322200.0,0.0,1.0
2000-04-18,16.0,16.19,15.75,16.06,2.8938,248300.0,0.088,1.0
2000-04-19,16.13,16.31,15.94,16.0,2.883,145100.0,0.0,1.0
2000-04-20,16.0,16.06,15.63,15.81,2.8488,178300.0,0.0,1.0
2000-04-24,15.56,15.88,15.56,15.63,2.8163,178000.0,0.0,1.0
2000-04-25,15.63,16.38,15.56,16.25,2.9281,158800.0,0.0,1.0
2000-04-26,16.13,16.13,15.69,15.81,2.8488,152000.0,0.0,1.0
2000-04-27,15.88,15.88,15.56,15.63,2.8163,233000.0,0.0,1.0
2000-04-28,15.63,15.69,15.25,15.25,2.7479,177200.0,0.0,1.0
2000-05-01,15.5,15.56,15.25,15.38,2.7713,124700.0,0.0,1.0
2000-05-02,15.25,15.5,14.88,15.0,2.7028,509900.0,0.0,1.0
2000-05-03,15.06,15.75,15.06,15.19,2.7371,545700.0,0.0,1.0
2000-05-04,15.25,15.75,15.19,15.5,2.7929,501900.0,0.0,1.0
2000-05-05,15.56,15.69,15.13,15.25,2.7479,216900.0,0.0,1.0
2000-05-08,15.25,15.56,15.06,15.38,2.7713,140800.0,0.0,1.0
2000-05-09,15.38,15.56,15.06,15.38,2.7713,456000.0,0.0,1.0
2000-05-10,15.5,15.63,15.31,15.38,2.7713,213600.0,0.0,1.0
2000-05-11,15.38,18.0,15.25,17.0,3.0632,611400.0,0.0,1.0
2000-05-12,17.19,17.5,16.44,16.56,2.9839,321800.0,0.0,1.0
2000-05-15,16.31,17.25,16.31,16.81,3.029,121400.0,0.0,1.0
2000-05-16,16.44,17.13,16.44,16.69,3.0073,149100.0,0.0,1.0
2000-05-17,16.81,17.0,16.13,16.38,2.9515,127700.0,0.0,1.0
2000-05-18,16.56,17.0,16.5,16.81,3.029,151100.0,0.0,1.0
2000-05-19,16.88,17.0,16.44,16.88,3.0416,102900.0,0.0,1.0
2000-05-22,16.88,17.19,16.63,16.63,2.9965,128100.0,0.0,1.0
2000-05-23,16.88,17.19,16.56,16.56,2.9839,89700.0,0.0,1.0
2000-05-24,16.81,17.75,16.75,17.63,3.1767,164000.0,0.0,1.0
2000-05-25,17.63,17.94,17.13,17.25,3.1082,203100.0,0.0,1.0
2000-05-26,17.25,18.44,17.13,18.13,3.2668,229700.0,0.0,1.0
2000-05-30,18.13,18.38,17.56,17.94,3.2326,126500.0,0.0,1.0
2000-05-31,17.94,17.94,17.38,17.38,3.1317,160900.0,0.0,1.0
2000-06-01,17.44,18.19,17.31,17.44,3.1425,188300.0,0.0,1.0
2000-06-02,17.5,17.75,17.0,17.19,3.0974,212500.0,0.0,1.0
2000-06-05,17.13,17.81,17.06,17.44,3.1425,253000.0,0.0,1.0
2000-06-06,17.56,17.75,17.19,17.75,3.1983,166800.0,0.0,1.0
2000-06-07,17.63,18.5,17.63,18.38,3.3119,237700.0,0.0,1.0
2000-06-08,18.31,18.38,17.69,17.81,3.2091,86600.0,0.0,1.0
2000-06-09,18.0,18.0,17.31,17.44,3.1425,72900.0,0.0,1.0
2000-06-12,17.56,18.63,17.44,18.56,3.3443,169500.0,0.0,1.0
2000-06-13,18.31,18.81,18.13,18.19,3.2776,114200.0,0.0,1.0
2000-06-14,18.19,18.63,18.19,18.5,3.3335,116800.0,0.0,1.0
2000-06-15,18.38,19.69,18.13,19.69,3.5479,349800.0,0.0,1.0
2000-06-16,18.88,19.25,18.13,18.81,3.3893,292700.0,0.0,1.0
2000-06-19,18.56,18.69,18.25,18.56,3.3443,155000.0,0.0,1.0
2000-06-20,18.5,18.56,18.13,18.31,3.2992,122800.0,0.0,1.0
2000-06-21,18.25,18.44,17.63,18.38,3.3119,105300.0,0.0,1.0
2000-06-22,18.25,18.5,17.88,18.25,3.2884,109600.0,0.0,1.0
2000-06-23,18.0,18.31,17.81,18.31,3.2992,171300.0,0.0,1.0
2000-06-26,18.31,18.31,17.81,18.19,3.2776,305700.0,0.0,1.0
2000-06-27,18.25,18.38,17.63,17.81,3.2091,252600.0,0.0,1.0
2000-06-28,17.81,18.13,17.5,17.75,3.1983,207700.0,0.0,1.0
2000-06-29,17.94,18.31,17.44,17.69,3.1875,160000.0,0.0,1.0
2000-06-30,17.5,17.69,16.63,16.83,3.0326,637800.0,0.0,1.0
2000-07-03,17.06,17.69,16.75,17.38,3.1317,145700.0,0.0,1.0
2000-07-05,17.56,17.56,16.75,17.19,3.0974,282700.0,0.0,1.0
2000-07-06,17.25,17.25,16.69,16.75,3.0181,314400.0,0.0,1.0
2000-07-07,16.81,17.06,16.25,16.69,3.0073,393500.0,0.0,1.0
2000-07-10,16.63,16.75,16.06,16.31,2.9389,517900.0,0.0,1.0
2000-07-11,16.44,16.5,15.94,15.94,2.8722,270000.0,0.0,1.0
2000-07-12,15.94,16.88,15.94,16.75,3.0181,269700.0,0.0,1.0
2000-07-13,16.56,17.19,16.56,16.75,3.0181,150400.0,0.0,1.0
2000-07-14,16.88,17.25,16.75,17.0,3.0632,163100.0,0.0,1.0
2000-07-17,16.94,17.06,16.63,16.63,2.9965,235000.0,0.0,1.0
2000-07-18,16.69,16.75,16.5,16.5,2.9731,57000.0,0.0,1.0
2000-07-19,16.56,17.0,16.56,16.69,3.0232,127200.0,0.088,1.0
2000-07-20,16.75,16.88,16.13,16.5,2.9888,251600.0,0.0,1.0
2000-07-21,16.38,16.69,16.13,16.25,2.9435,57600.0,0.0,1.0
2000-07-24,16.0,16.38,16.0,16.31,2.9544,83300.0,0.0,1.0
2000-07-25,16.31,16.5,16.25,16.25,2.9435,53900.0,0.0,1.0
2000-07-26,16.44,16.56,16.0,16.31,2.9544,96100.0,0.0,1.0
2000-07-27,16.19,16.44,16.19,16.25,2.9435,36200.0,0.0,1.0
2000-07-28,16.25,16.5,16.06,16.44,2.9779,67500.0,0.0,1.0
2000-07-31,16.31,16.63,16.06,16.19,2.9326,101900.0,0.0,1.0
2000-08-01,16.31,16.94,16.31,16.75,3.0341,89400.0,0.0,1.0
2000-08-02,16.69,16.94,16.31,16.88,3.0576,108600.0,0.0,1.0
2000-08-03,16.75,16.88,16.25,16.63,3.0123,67600.0,0.0,1.0
2000-08-04,16.63,16.63,16.25,16.38,2.967,233300.0,0.0,1.0
2000-08-07,16.25,16.31,16.13,16.19,2.9326,57300.0,0.0,1.0
2000-08-08,16.25,16.25,16.0,16.19,2.9326,146300.0,0.0,1.0
2000-08-09,16.19,16.25,16.0,16.13,2.9218,202000.0,0.0,1.0
2000-08-10,16.31,16.38,16.06,16.13,2.9218,116600.0,0.0,1.0
2000-08-11,16.06,16.94,16.06,16.81,3.0449,278800.0,0.0,1.0
2000-08-14,16.69,16.75,16.5,16.75,3.0341,68800.0,0.0,1.0
2000-08-15,16.75,16.75,16.19,16.38,2.967,214500.0,0.0,1.0
2000-08-16,16.25,16.38,16.0,16.13,2.9218,162200.0,0.0,1.0
2000-08-17,15.81,16.13,15.25,16.0,2.8982,330500.0,0.0,1.0
2000-08-18,16.0,16.25,15.88,16.19,2.9326,94200.0,0.0,1.0
2000-08-21,16.38,16.38,15.88,16.06,2.9091,136300.0,0.0,1.0
2000-08-22,16.0,16.06,15.31,15.38,2.7859,142600.0,0.0,1.0
2000-08-23,15.38,15.5,15.06,15.19,2.7515,188800.0,0.0,1.0
2000-08-24,15.13,15.56,15.13,15.44,2.7968,118600.0,0.0,1.0
2000-08-25,15.69,15.81,15.06,15.25,2.7624,191500.0,0.0,1.0
2000-08-28,15.25,15.88,15.25,15.81,2.8638,176700.0,0.0,1.0
2000-08-29,15.81,15.94,15.56,15.81,2.8638,193200.0,0.0,1.0
2000-08-30,15.75,15.75,15.44,15.44,2.7968,229900.0,0.0,1.0
2000-08-31,15.38,15.63,15.38,15.44,2.7968,119800.0,0.0,1.0
2000-09-01,15.5,15.56,15.25,15.5,2.8076,111800.0,0.0,1.0
2000-09-05,15.38,15.56,15.19,15.31,2.7732,125600.0,0.0,1.0
2000-09-06,15.44,15.69,15.25,15.69,2.8421,174700.0,0.0,1.0
2000-09-07,15.75,16.38,15.66,16.25,2.9435,200300.0,0.0,1.0
2000-09-08,16.25,16.25,15.69,15.81,2.8638,352000.0,0.0,1.0
2000-09-11,15.94,15.94,15.25,15.44,2.7968,80100.0,0.0,1.0
2000-09-12,15.63,16.13,15.5,15.75,2.8529,182200.0,0.0,1.0
2000-09-13,15.69,15.94,15.63,15.63,2.8312,134500.0,0.0,1.0
2000-09-14,15.56,15.75,15.5,15.56,2.8185,149100.0,0.0,1.0
2000-09-15,15.44,16.06,15.44,15.94,2.8873,316500.0,0.0,1.0
2000-09-18,15.81,15.88,15.31,15.44,2.7968,86000.0,0.0,1.0
