date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,13.94,13.94,12.38,12.62,3.155,423400.0,0.0,1.0
2000-01-04,12.56,12.56,12.0,12.0,3.0,182000.0,0.0,1.0
2000-01-05,12.56,12.88,12.31,12.81,3.2025,588000.0,0.0,1.0
2000-01-06,12.75,13.0,12.5,12.69,3.1725,212200.0,0.0,1.0
2000-01-07,12.63,13.25,12.5,13.13,3.2825,800700.0,0.0,1.0
2000-01-10,13.25,14.25,13.13,13.94,3.485,453100.0,0.0,1.0
2000-01-11,14.0,14.0,13.38,13.63,3.4075,291800.0,0.0,1.0
2000-01-12,13.5,14.0,13.38,14.0,3.5,762200.0,0.0,1.0
2000-01-13,14.06,16.19,14.0,15.94,3.985,953900.0,0.0,1.0
2000-01-14,16.06,16.25,15.13,15.38,3.845,237100.0,0.0,1.0
2000-01-18,15.38,16.0,15.38,15.56,3.89,328900.0,0.0,1.0
2000-01-19,15.63,15.63,14.13,14.38,3.595,197100.0,0.0,1.0
2000-01-20,14.63,15.0,13.38,14.88,3.72,215000.0,0.0,1.0
2000-01-21,14.69,15.0,14.38,14.56,3.64,154200.0,0.0,1.0
2000-01-24,14.88,15.13,14.13,15.0,3.75,165400.0,0.0,1.0
2000-01-25,14.66,15.06,13.5,14.06,3.515,207900.0,0.0,1.0
2000-01-26,13.75,14.19,13.5,13.5,3.375,64300.0,0.0,1.0
2000-01-27,13.5,13.63,12.88,13.5,3.375,199600.0,0.0,1.0
2000-01-28,13.5,14.19,13.13,13.13,3.2825,287300.0,0.0,1.0
2000-01-31,13.13,13.63,13.13,13.19,3.2975,103800.0,0.0,1.0
2000-02-01,13.44,13.63,13.25,13.38,3.345,172300.0,0.0,1.0
2000-02-02,13.31,13.5,13.31,13.38,3.345,65800.0,0.0,1.0
2000-02-03,13.41,13.44,12.88,13.25,3.3125,234200.0,0.0,1.0
2000-02-04,13.31,13.31,13.25,13.31,3.3275,155400.0,0.0,1.0
2000-02-07,13.25,13.38,13.0,13.31,3.3275,134400.0,0.0,1.0
2000-02-08,13.31,13.44,13.19,13.31,3.3275,170600.0,0.0,1.0
2000-02-09,13.25,13.56,13.0,13.0,3.25,207600.0,0.0,1.0
2000-02-10,13.44,13.5,13.0,13.5,3.375,138200.0,0.0,1.0
2000-02-11,13.38,13.44,12.5,12.5,3.125,656300.0,0.0,1.0
2000-02-14,13.13,14.0,12.88,13.75,3.4375,261600.0,0.0,1.0
2000-02-15,13.75,14.0,13.5,13.63,3.4075,326400.0,0.0,1.0
2000-02-16,13.75,13.88,12.63,13.13,3.2825,313600.0,0.0,1.0
2000-02-17,12.97,13.63,12.75,13.38,3.345,409600.0,0.0,1.0
2000-02-18,13.41,13.44,12.88,13.0,3.25,193200.0,0.0,1.0
2000-02-22,14.13,14.5,13.13,13.5,3.375,733900.0,0.0,1.0
2000-02-23,14.06,14.75,13.5,14.63,3.6575,684000.0,0.0,1.0
2000-02-24,14.75,15.13,14.5,14.94,3.735,443700.0,0.0,1.0
2000-02-25,14.88,15.13,14.75,14.94,3.735,207200.0,0.0,1.0
2000-02-28,15.19,17.0,14.88,16.63,4.1575,517100.0,0.0,1.0
2000-02-29,17.25,18.75,17.13,18.75,4.6875,737400.0,0.0,1.0
2000-03-01,18.13,18.81,16.0,18.19,4.5475,665500.0,0.0,1.0
2000-03-02,17.56,17.63,15.31,15.69,3.9225,545900.0,0.0,1.0
2000-03-03,15.75,16.0,15.25,15.5,3.875,234800.0,0.0,1.0
2000-03-06,15.5,15.88,15.25,15.63,3.9075,175300.0,0.0,1.0
