date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,47.0,47.5,46.19,46.38,15.1723,453200.0,0.0,1.0
2000-01-04,45.75,46.0,44.44,44.63,14.5999,530000.0,0.0,1.0
2000-01-05,44.75,46.5,44.38,45.06,14.7405,543700.0,0.0,1.0
2000-01-06,45.06,47.31,44.88,46.0,15.048,501200.0,0.0,1.0
2000-01-07,46.06,46.94,45.25,46.13,15.0906,402900.0,0.0,1.0
2000-01-10,46.0,46.81,45.69,46.25,15.1298,329600.0,0.0,1.0
2000-01-11,46.25,46.5,44.75,45.31,14.8223,406600.0,0.0,1.0
2000-01-12,45.56,46.56,44.69,45.0,14.7209,342000.0,0.0,1.0
2000-01-13,45.0,45.44,44.56,44.69,14.6195,250300.0,0.0,1.0
2000-01-14,44.88,44.88,40.0,42.56,13.9227,4758500.0,0.0,1.0
2000-01-18,42.56,43.0,41.63,43.0,14.0666,501700.0,0.0,1.0
2000-01-19,42.5,43.38,42.13,43.13,14.1092,515700.0,0.0,1.0
2000-01-20,43.06,43.13,42.0,42.19,13.8017,543700.0,0.0,1.0
2000-01-21,42.19,42.44,40.75,41.25,13.4942,480100.0,0.0,1.0
2000-01-24,41.63,41.63,40.13,40.13,13.1278,332900.0,0.0,1.0
2000-01-25,40.38,41.19,39.31,39.81,13.0231,320800.0,0.0,1.0
2000-01-26,40.0,40.44,39.25,40.19,13.1474,499100.0,0.0,1.0
2000-01-27,40.13,40.13,39.0,39.44,12.9021,311800.0,0.0,1.0
2000-01-28,39.25,39.25,37.75,37.75,12.3492,703800.0,0.0,1.0
2000-01-31,38.5,42.81,38.44,42.5,13.9031,991200.0,0.0,1.0
2000-02-01,42.25,42.5,40.25,40.56,13.2684,599200.0,0.0,1.0
2000-02-02,40.5,41.19,40.38,40.75,13.3306,650000.0,0.0,1.0
2000-02-03,40.94,41.81,40.94,41.38,13.5367,487600.0,0.0,1.0
2000-02-04,41.63,41.75,41.0,41.5,13.5759,393400.0,0.0,1.0
2000-02-07,41.13,41.5,40.88,41.0,13.4124,313900.0,0.0,1.0
2000-02-08,41.0,42.19,41.0,42.19,13.8017,443800.0,0.0,1.0
2000-02-09,41.88,42.31,41.56,41.75,13.6577,455600.0,0.0,1.0
2000-02-10,41.5,42.13,41.19,42.0,13.7395,538800.0,0.0,1.0
2000-02-11,42.0,45.44,41.88,42.75,13.9849,1104600.0,0.0,1.0
2000-02-14,42.75,43.0,41.56,42.44,13.8835,442600.0,0.0,1.0
2000-02-15,42.25,44.13,42.25,43.81,14.3316,605700.0,0.0,1.0
2000-02-16,44.25,45.19,43.25,44.19,14.4559,825000.0,0.0,1.0
2000-02-17,44.06,45.06,44.0,44.56,14.577,419200.0,0.0,1.0
2000-02-18,44.5,45.19,44.5,45.13,14.7634,607700.0,0.0,1.0
2000-02-22,44.94,47.25,44.38,46.69,15.2738,818000.0,0.0,1.0
2000-02-23,46.13,47.38,45.5,46.13,15.1756,925100.0,0.26,1.0
2000-02-24,45.31,45.31,43.69,44.75,14.7216,1386400.0,0.0,1.0
2000-02-25,44.81,45.31,44.19,45.13,14.8466,813700.0,0.0,1.0
2000-02-28,45.0,45.06,43.94,44.13,14.5177,523600.0,0.0,1.0
2000-02-29,43.0,43.94,41.88,43.94,14.4552,1073900.0,0.0,1.0
2000-03-01,43.94,45.0,43.0,44.81,14.7414,742900.0,0.0,1.0
2000-03-02,44.56,44.63,42.94,43.69,14.3729,425100.0,0.0,1.0
2000-03-03,43.44,43.44,42.88,43.13,14.1887,414000.0,0.0,1.0
2000-03-06,42.5,42.75,41.56,42.19,13.8795,444600.0,0.0,1.0
2000-03-07,41.19,41.25,39.63,40.0,13.159,654100.0,0.0,1.0
2000-03-08,40.0,43.13,39.75,41.81,13.7544,920800.0,0.0,1.0
2000-03-09,40.44,41.63,40.31,41.13,13.5307,826300.0,0.0,1.0
2000-03-10,40.69,41.0,39.75,40.0,13.159,511000.0,0.0,1.0
2000-03-13,39.38,40.0,39.19,40.0,13.159,412900.0,0.0,1.0
2000-03-14,40.0,41.13,40.0,40.94,13.4682,534900.0,0.0,1.0
2000-03-15,41.0,43.88,40.63,43.75,14.3927,803300.0,0.0,1.0
2000-03-16,44.0,48.31,44.0,47.69,15.6888,946100.0,0.0,1.0
2000-03-17,46.5,47.0,46.13,46.13,15.1756,764700.0,0.0,1.0
2000-03-20,46.13,48.0,46.13,47.0,15.4618,729600.0,0.0,1.0
2000-03-21,47.25,47.25,46.0,46.94,15.4421,353900.0,0.0,1.0
2000-03-22,46.25,46.5,44.25,45.06,14.8236,525800.0,0.0,1.0
2000-03-23,44.63,45.44,43.81,45.31,14.9059,373300.0,0.0,1.0
2000-03-24,44.81,45.0,43.75,44.0,14.4749,487000.0,0.0,1.0
2000-03-27,43.13,43.94,43.0,43.19,14.2084,368200.0,0.0,1.0
2000-03-28,43.0,43.56,41.81,42.0,13.817,1169300.0,0.0,1.0
2000-03-29,42.19,47.0,42.19,46.81,15.3993,1459500.0,0.0,1.0
2000-03-30,46.81,49.81,46.75,49.0,16.1198,811500.0,0.0,1.0
2000-03-31,49.63,50.69,48.75,48.75,16.0375,786600.0,0.0,1.0
2000-04-03,48.5,48.88,47.0,47.0,15.4618,809700.0,0.0,1.0
2000-04-04,47.25,50.06,47.25,48.69,16.0178,791100.0,0.0,1.0
2000-04-05,48.0,49.63,47.44,48.0,15.7908,313600.0,0.0,1.0
2000-04-06,47.5,47.63,46.75,47.56,15.6461,373100.0,0.0,1.0
