date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,8.313,8.375,7.5,7.563,7.0849,1287300.0,0.0,1.0
2000-01-04,7.375,7.875,7.375,7.625,7.143,1238300.0,0.0,1.0
2000-01-05,7.5,7.875,7.5,7.75,7.2601,1096300.0,0.0,1.0
2000-01-06,7.75,8.25,7.5,8.125,7.6114,1026700.0,0.0,1.0
2000-01-07,8.188,9.125,8.063,8.75,8.1969,2419300.0,0.0,1.0
2000-01-10,8.875,8.938,8.375,8.375,7.8456,1276200.0,0.0,1.0
2000-01-11,8.375,8.75,8.25,8.25,7.7285,693700.0,0.0,1.0
2000-01-12,8.375,8.688,8.25,8.438,7.9046,764000.0,0.0,1.0
2000-01-13,8.563,9.5,8.563,9.25,8.6653,1760600.0,0.0,1.0
2000-01-14,9.375,9.625,8.25,8.25,7.7285,1429000.0,0.0,1.0
2000-01-18,9.0,9.0,8.375,8.625,8.0798,776600.0,0.0,1.0
2000-01-19,8.688,8.688,8.0,8.0,7.4943,1220100.0,0.0,1.0
2000-01-20,8.0,8.063,7.688,7.75,7.2601,1744500.0,0.0,1.0
2000-01-21,7.75,8.063,7.688,7.813,7.3191,1670100.0,0.0,1.0
2000-01-24,7.938,8.125,7.625,7.938,7.4362,1001400.0,0.0,1.0
2000-01-25,7.5,7.813,7.5,7.75,7.2601,994500.0,0.0,1.0
2000-01-26,7.75,8.063,7.75,7.875,7.3772,821500.0,0.0,1.0
2000-01-27,8.0,8.063,7.625,7.625,7.143,421200.0,0.0,1.0
2000-01-28,7.375,8.063,7.125,7.625,7.143,1775700.0,0.0,1.0
2000-01-31,7.625,8.188,7.625,8.0,7.4943,858700.0,0.0,1.0
2000-02-01,8.0,8.375,8.0,8.25,7.7285,783600.0,0.0,1.0
2000-02-02,8.313,8.625,8.25,8.313,7.7875,597300.0,0.0,1.0
2000-02-03,8.313,8.625,8.313,8.438,7.9046,773500.0,0.0,1.0
2000-02-04,8.563,8.688,8.375,8.375,7.8456,481200.0,0.0,1.0
2000-02-07,8.5,8.625,8.313,8.438,7.9046,574300.0,0.0,1.0
2000-02-08,8.438,8.563,8.063,8.188,7.6704,713800.0,0.0,1.0
2000-02-09,7.813,8.125,7.438,7.563,7.0849,1495000.0,0.0,1.0
2000-02-10,7.438,7.5,7.0,7.188,6.7336,1307800.0,0.0,1.0
2000-02-11,7.125,7.125,6.688,6.875,6.4404,983900.0,0.0,1.0
2000-02-14,6.938,7.5,6.813,7.438,6.9678,902200.0,0.0,1.0
2000-02-15,7.563,7.688,7.375,7.563,7.0849,753600.0,0.0,1.0
2000-02-16,7.563,7.688,7.188,7.375,6.9088,535300.0,0.0,1.0
2000-02-17,7.438,7.438,7.063,7.125,6.6746,417200.0,0.0,1.0
2000-02-18,7.125,7.25,7.0,7.063,6.6165,357400.0,0.0,1.0
2000-02-22,7.0,7.063,6.875,7.063,6.6165,517200.0,0.0,1.0
2000-02-23,7.0,7.25,6.813,7.125,6.6746,628800.0,0.0,1.0
2000-02-24,7.25,7.25,6.875,6.875,6.4404,467600.0,0.0,1.0
2000-02-25,6.875,7.063,6.625,6.625,6.2062,457300.0,0.0,1.0
2000-02-28,6.813,6.875,6.5,6.625,6.2062,496300.0,0.0,1.0
2000-02-29,6.625,6.938,6.563,6.813,6.3823,528900.0,0.0,1.0
2000-03-01,7.375,7.75,6.75,7.75,7.2601,1445100.0,0.0,1.0
2000-03-02,7.75,7.875,6.875,6.938,6.4994,1200200.0,0.0,1.0
2000-03-03,7.188,7.375,7.063,7.313,6.8507,904700.0,0.0,1.0
2000-03-06,7.063,7.125,6.875,7.0,6.5575,479500.0,0.0,1.0
2000-03-07,7.0,7.0,6.125,6.125,5.7378,759200.0,0.0,1.0
2000-03-08,6.563,6.75,6.25,6.5,6.0891,1122700.0,0.0,1.0
2000-03-09,6.438,6.688,6.313,6.563,6.1481,523300.0,0.0,1.0
2000-03-10,6.5,6.563,6.313,6.438,6.031,487000.0,0.0,1.0
2000-03-13,6.438,6.75,6.438,6.688,6.2652,448100.0,0.0,1.0
2000-03-14,6.688,6.813,6.5,6.625,6.2062,464800.0,0.0,1.0
2000-03-15,6.75,7.188,6.563,7.188,6.7336,718100.0,0.0,1.0
2000-03-16,7.063,7.313,6.875,7.25,6.7917,513900.0,0.0,1.0
2000-03-17,7.25,7.313,6.875,7.0,6.5575,527100.0,0.0,1.0
2000-03-20,7.188,7.188,7.0,7.125,6.6746,303000.0,0.0,1.0
2000-03-21,7.25,7.313,7.063,7.188,6.7336,417300.0,0.0,1.0
2000-03-22,7.063,7.375,7.063,7.188,6.7336,316200.0,0.0,1.0
2000-03-23,7.125,7.5,7.063,7.5,7.0259,504200.0,0.0,1.0
2000-03-24,7.313,7.5,7.25,7.313,6.8507,274300.0,0.0,1.0
2000-03-27,7.375,7.375,7.125,7.188,6.7336,303100.0,0.0,1.0
2000-03-28,7.063,7.375,7.063,7.313,6.8507,287000.0,0.0,1.0
2000-03-29,7.25,7.75,7.25,7.5,7.0259,566200.0,0.0,1.0
2000-03-30,7.625,8.0,7.563,7.563,7.0849,768900.0,0.0,1.0
2000-03-31,7.438,7.563,7.25,7.313,6.8507,370500.0,0.0,1.0
2000-04-03,7.438,7.875,7.375,7.688,7.202,392300.0,0.0,1.0
2000-04-04,7.5,7.75,7.188,7.625,7.143,437700.0,0.0,1.0
2000-04-05,7.625,7.625,7.188,7.5,7.0259,317200.0,0.0,1.0
2000-04-06,7.5,8.063,7.5,7.938,7.4362,734700.0,0.0,1.0
2000-04-07,7.938,8.25,7.938,8.188,7.6704,709200.0,0.0,1.0
2000-04-10,8.063,8.438,8.063,8.313,7.7875,716600.0,0.0,1.0
2000-04-11,8.188,8.25,8.0,8.125,7.6114,638000.0,0.0,1.0
2000-04-12,8.125,8.188,8.0,8.063,7.5533,673600.0,0.0,1.0
2000-04-13,7.563,7.875,7.563,7.813,7.3191,720100.0,0.0,1.0
2000-04-14,7.75,7.75,7.125,7.125,6.6746,636500.0,0.0,1.0
2000-04-17,7.125,7.375,7.0,7.188,6.7336,580500.0,0.0,1.0
2000-04-18,7.188,7.5,7.063,7.313,6.8507,417300.0,0.0,1.0
2000-04-19,7.5,8.0,7.5,7.875,7.3772,494700.0,0.0,1.0
2000-04-20,7.875,8.0,7.688,7.875,7.3772,280600.0,0.0,1.0
2000-04-24,7.813,8.813,7.813,8.688,8.1388,1399200.0,0.0,1.0
2000-04-25,8.375,8.625,8.313,8.438,7.9046,516600.0,0.0,1.0
2000-04-26,8.688,8.75,8.125,8.188,7.6704,319100.0,0.0,1.0
2000-04-27,8.125,8.438,8.063,8.375,7.8456,1046400.0,0.0,1.0
2000-04-28,8.375,8.438,7.688,7.688,7.202,729200.0,0.0,1.0
2000-05-01,7.688,7.938,7.625,7.75,7.2601,678300.0,0.0,1.0
2000-05-02,7.438,8.0,7.438,8.0,7.4943,530000.0,0.0,1.0
2000-05-03,7.625,7.688,6.563,6.688,6.2652,1594200.0,0.0,1.0
2000-05-04,6.938,6.938,6.438,6.625,6.2062,1084600.0,0.0,1.0
2000-05-05,6.625,7.0,6.438,7.0,6.5575,459700.0,0.0,1.0
2000-05-08,6.688,6.75,6.375,6.5,6.0891,682100.0,0.0,1.0
2000-05-09,6.5,6.563,6.25,6.313,5.9139,527200.0,0.0,1.0
2000-05-10,6.5,6.5,6.063,6.125,5.7378,837100.0,0.0,1.0
2000-05-11,6.25,6.438,6.125,6.313,5.9139,457400.0,0.0,1.0
2000-05-12,6.313,6.375,6.125,6.25,5.8549,378000.0,0.0,1.0
2000-05-15,6.5,6.688,6.5,6.5,6.0891,617000.0,0.0,1.0
2000-05-16,6.688,6.75,6.5,6.563,6.1481,441400.0,0.0,1.0
2000-05-17,6.563,6.688,6.5,6.5,6.0891,437200.0,0.0,1.0
2000-05-18,6.5,6.75,6.5,6.625,6.2062,526900.0,0.0,1.0
2000-05-19,6.5,6.563,6.188,6.375,5.972,548600.0,0.0,1.0
2000-05-22,6.375,6.375,6.125,6.25,5.8549,487700.0,0.0,1.0
2000-05-23,6.188,6.25,6.063,6.188,5.7968,883400.0,0.0,1.0
2000-05-24,6.25,6.313,5.813,5.875,5.5036,1400900.0,0.0,1.0
2000-05-25,5.938,6.063,5.75,5.75,5.3865,894100.0,0.0,1.0
2000-05-26,5.75,6.0,5.75,5.813,5.4456,422800.0,0.0,1.0
2000-05-30,5.813,5.938,5.563,5.563,5.2114,621300.0,0.0,1.0
2000-05-31,5.875,5.875,5.75,5.75,5.3865,805500.0,0.0,1.0
2000-06-01,5.75,6.0,5.75,5.938,5.5627,464500.0,0.0,1.0
2000-06-02,6.0,6.063,5.813,5.813,5.4456,767000.0,0.0,1.0
2000-06-05,5.938,6.0,5.688,5.688,5.3285,531300.0,0.0,1.0
2000-06-06,5.625,5.625,5.25,5.375,5.0352,1791200.0,0.0,1.0
2000-06-07,5.438,5.438,5.188,5.188,4.8601,938300.0,0.0,1.0
2000-06-08,5.188,5.188,4.813,5.0,4.6839,1420100.0,0.0,1.0
2000-06-09,5.063,5.25,4.813,5.0,4.6839,1254000.0,0.0,1.0
2000-06-12,5.0,5.25,4.938,5.125,4.801,732000.0,0.0,1.0
2000-06-13,5.25,5.25,5.0,5.188,4.8601,888400.0,0.0,1.0
2000-06-14,5.25,5.25,5.125,5.188,4.8601,436200.0,0.0,1.0
2000-06-15,5.125,5.25,4.938,5.0,4.6839,860800.0,0.0,1.0
2000-06-16,5.0,5.063,4.75,4.75,4.4497,1032100.0,0.0,1.0
2000-06-19,4.813,5.0,4.813,4.813,4.5088,681300.0,0.0,1.0
2000-06-20,4.938,5.0,4.813,4.875,4.5668,768300.0,0.0,1.0
2000-06-21,4.875,4.938,4.813,4.938,4.6259,672500.0,0.0,1.0
2000-06-22,5.0,5.188,4.938,5.0,4.6839,1158500.0,0.0,1.0
2000-06-23,5.0,5.125,4.938,5.0,4.6839,787300.0,0.0,1.0
2000-06-26,5.063,5.25,5.0,5.188,4.8601,930700.0,0.0,1.0
2000-06-27,5.188,5.25,5.125,5.188,4.8601,483100.0,0.0,1.0
2000-06-28,5.25,5.25,5.0,5.129,4.8048,1767300.0,0.0,1.0
2000-06-29,5.188,5.688,5.125,5.5,5.1523,3368100.0,0.0,1.0
2000-06-30,5.563,5.688,4.859,4.875,4.5668,2230400.0,0.0,1.0
2000-07-03,5.188,5.375,5.0,5.25,4.9181,500000.0,0.0,1.0
2000-07-05,5.375,5.438,5.188,5.25,4.9181,686300.0,0.0,1.0
2000-07-06,5.375,6.0,5.125,5.875,5.5036,2218100.0,0.0,1.0
2000-07-07,5.938,5.938,5.75,5.75,5.3865,1292400.0,0.0,1.0
2000-07-10,5.75,6.063,5.75,6.0,5.6207,687500.0,0.0,1.0
2000-07-11,5.938,6.0,5.813,5.938,5.5627,516100.0,0.0,1.0
2000-07-12,5.938,6.875,5.938,6.875,6.4404,3500700.0,0.0,1.0
2000-07-13,7.125,7.313,6.875,6.875,6.4404,1590200.0,0.0,1.0
2000-07-14,7.063,7.25,7.0,7.063,6.6165,1439300.0,0.0,1.0
2000-07-17,7.375,7.625,7.125,7.188,6.7336,1703300.0,0.0,1.0
2000-07-18,6.938,7.125,6.75,7.125,6.6746,1606400.0,0.0,1.0
2000-07-19,7.125,7.188,7.0,7.063,6.6165,511600.0,0.0,1.0
2000-07-20,7.063,7.438,7.0,7.438,6.9678,1189800.0,0.0,1.0
2000-07-21,7.438,7.625,7.438,7.563,7.0849,885000.0,0.0,1.0
2000-07-24,7.5,7.563,7.0,7.25,6.7917,539300.0,0.0,1.0
2000-07-25,7.063,7.375,7.0,7.313,6.8507,510900.0,0.0,1.0
2000-07-26,7.313,7.375,7.063,7.125,6.6746,547900.0,0.0,1.0
2000-07-27,7.188,7.438,7.125,7.375,6.9088,491600.0,0.0,1.0
2000-07-28,7.313,7.5,7.0,7.063,6.6165,554500.0,0.0,1.0
2000-07-31,7.375,7.375,7.063,7.313,6.8507,428600.0,0.0,1.0
2000-08-01,7.313,7.375,7.188,7.25,6.7917,930500.0,0.0,1.0
2000-08-02,7.375,7.375,7.125,7.25,6.7917,598900.0,0.0,1.0
2000-08-03,6.938,7.125,6.75,7.0,6.5575,804900.0,0.0,1.0
2000-08-04,6.938,7.188,6.938,7.125,6.6746,525100.0,0.0,1.0
2000-08-07,7.125,7.125,7.0,7.0,6.5575,391300.0,0.0,1.0
2000-08-08,6.938,7.125,6.813,6.813,6.3823,939600.0,0.0,1.0
2000-08-09,6.875,7.125,6.625,7.125,6.6746,783600.0,0.0,1.0
2000-08-10,7.25,7.375,7.063,7.188,6.7336,785200.0,0.0,1.0
2000-08-11,7.313,7.438,7.125,7.438,6.9678,815100.0,0.0,1.0
2000-08-14,7.438,8.625,7.375,8.563,8.0217,2775000.0,0.0,1.0
2000-08-15,8.438,8.438,8.0,8.0,7.4943,568900.0,0.0,1.0
2000-08-16,8.063,8.25,8.0,8.25,7.7285,377900.0,0.0,1.0
2000-08-17,8.313,8.563,8.125,8.438,7.9046,801500.0,0.0,1.0
2000-08-18,8.313,8.375,8.0,8.0,7.4943,348100.0,0.0,1.0
2000-08-21,8.0,8.188,8.0,8.063,7.5533,291800.0,0.0,1.0
2000-08-22,8.125,8.125,8.0,8.125,7.6114,288700.0,0.0,1.0
2000-08-23,8.063,8.125,7.938,8.0,7.4943,355500.0,0.0,1.0
2000-08-24,8.0,8.125,7.938,8.0,7.4943,262300.0,0.0,1.0
2000-08-25,8.063,8.5,7.938,7.938,7.4362,257200.0,0.0,1.0
