date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,37.62,37.94,35.0,35.56,23.8719,312300.0,0.0,1.0
2000-01-04,35.0,35.5,34.56,35.13,23.5833,318300.0,0.0,1.0
2000-01-05,35.38,35.44,34.56,35.31,23.7041,255400.0,0.0,1.0
2000-01-06,35.13,37.13,35.0,36.25,24.3352,212700.0,0.0,1.0
2000-01-07,36.5,37.63,36.38,37.31,25.0468,153000.0,0.0,1.0
2000-01-10,36.75,36.88,35.75,36.38,24.4224,185400.0,0.0,1.0
2000-01-11,36.25,36.81,35.81,36.44,24.4627,140500.0,0.0,1.0
2000-01-12,36.69,37.25,36.0,36.31,24.3754,183400.0,0.0,1.0
2000-01-13,36.25,37.56,36.25,36.94,24.7984,209400.0,0.0,1.0
2000-01-14,36.38,37.25,36.06,36.94,24.7984,406000.0,0.0,1.0
2000-01-18,36.0,36.75,35.75,36.44,24.4627,185100.0,0.0,1.0
2000-01-19,36.31,37.06,36.22,36.69,24.6305,248300.0,0.0,1.0
2000-01-20,36.69,37.06,36.56,36.81,24.7111,236200.0,0.0,1.0
2000-01-21,37.5,37.5,36.56,36.63,24.5903,246300.0,0.0,1.0
2000-01-24,36.38,36.56,35.81,35.81,24.0398,283600.0,0.0,1.0
2000-01-25,35.56,36.19,34.88,35.63,23.9189,404600.0,0.0,1.0
2000-01-26,35.63,36.25,34.75,36.19,24.2949,245600.0,0.0,1.0
2000-01-27,35.75,36.38,35.38,36.06,24.2076,154900.0,0.0,1.0
2000-01-28,36.06,36.19,34.69,35.88,24.0868,425100.0,0.0,1.0
2000-01-31,35.88,36.13,35.5,35.69,23.9592,206000.0,0.0,1.0
2000-02-01,35.44,35.63,35.0,35.44,23.7914,169500.0,0.0,1.0
2000-02-02,35.38,35.63,35.0,35.31,23.7041,269300.0,0.0,1.0
2000-02-03,35.0,36.31,35.0,36.19,24.2949,320200.0,0.0,1.0
2000-02-04,36.19,36.19,35.44,35.5,23.8317,224700.0,0.0,1.0
2000-02-07,35.25,35.5,34.88,35.0,23.496,317700.0,0.0,1.0
2000-02-08,34.0,34.56,33.5,34.56,23.2006,326900.0,0.0,1.0
2000-02-09,33.88,33.88,32.25,33.31,22.3615,510600.0,0.0,1.0
2000-02-10,33.31,33.75,32.75,33.5,22.489,274700.0,0.0,1.0
2000-02-11,33.0,33.75,31.56,32.56,21.858,374900.0,0.0,1.0
2000-02-14,32.0,32.44,31.31,32.44,21.7774,274300.0,0.0,1.0
2000-02-15,32.25,33.88,32.13,33.5,22.489,276800.0,0.0,1.0
2000-02-16,33.5,33.5,32.19,33.13,22.2407,204100.0,0.0,1.0
2000-02-17,33.38,33.5,31.75,32.38,21.7372,257600.0,0.0,1.0
2000-02-18,32.0,32.0,31.5,31.75,21.3142,196700.0,0.0,1.0
2000-02-22,31.31,32.44,31.13,31.69,21.274,375700.0,0.0,1.0
2000-02-23,31.75,31.75,30.25,30.31,20.3475,381100.0,0.0,1.0
2000-02-24,30.38,30.38,29.31,30.25,20.3073,780100.0,0.0,1.0
2000-02-25,29.94,30.25,29.25,29.75,19.9716,224200.0,0.0,1.0
2000-02-28,29.75,30.19,29.69,29.81,20.0119,476900.0,0.0,1.0
2000-02-29,29.56,30.63,29.19,30.0,20.1394,471200.0,0.0,1.0
2000-03-01,30.25,30.25,29.56,29.94,20.0992,296700.0,0.0,1.0
2000-03-02,30.19,30.19,29.0,29.31,19.6762,5187800.0,0.0,1.0
2000-03-03,29.25,32.0,28.81,30.0,20.1394,1271000.0,0.0,1.0
2000-03-06,30.38,30.38,28.75,29.88,20.0589,469300.0,0.0,1.0
2000-03-07,29.88,30.44,28.88,29.13,19.5554,646000.0,0.0,1.0
2000-03-08,29.13,30.69,29.13,29.88,20.0589,438400.0,0.0,1.0
2000-03-09,30.06,31.63,30.06,30.75,20.6429,502100.0,0.0,1.0
2000-03-10,30.38,31.63,29.38,31.25,20.9786,473100.0,0.0,1.0
2000-03-13,31.0,31.38,30.5,31.0,20.8108,396700.0,0.0,1.0
2000-03-14,31.0,31.25,30.56,31.13,20.898,223400.0,0.0,1.0
2000-03-15,31.94,34.19,31.0,33.81,22.6971,426500.0,0.0,1.0
2000-03-16,33.5,35.5,32.88,35.38,23.7511,517700.0,0.0,1.0
2000-03-17,35.44,35.44,34.5,35.0,23.496,368500.0,0.0,1.0
2000-03-20,35.0,35.0,34.19,34.44,23.1201,395800.0,0.0,1.0
2000-03-21,34.69,35.13,34.0,34.81,23.3685,256800.0,0.0,1.0
2000-03-22,34.13,34.25,33.19,33.44,22.7039,283400.0,0.38,1.0
2000-03-23,33.25,34.75,33.19,34.25,23.2538,158200.0,0.0,1.0
2000-03-24,34.0,34.5,33.81,34.19,23.2131,219100.0,0.0,1.0
2000-03-27,33.94,34.0,32.94,32.94,22.3644,202500.0,0.0,1.0
2000-03-28,33.06,33.88,32.69,32.69,22.1947,185800.0,0.0,1.0
2000-03-29,32.94,33.94,32.94,33.69,22.8736,202400.0,0.0,1.0
2000-03-30,33.69,35.06,33.38,33.81,22.9551,366100.0,0.0,1.0
2000-03-31,34.0,35.5,33.63,35.06,23.8038,176900.0,0.0,1.0
2000-04-03,35.0,36.38,34.75,35.81,24.313,260900.0,0.0,1.0
2000-04-04,35.56,36.88,34.69,35.69,24.2315,304100.0,0.0,1.0
2000-04-05,35.75,36.44,34.88,35.19,23.892,181400.0,0.0,1.0
2000-04-06,34.5,35.19,34.38,34.81,23.634,215900.0,0.0,1.0
2000-04-07,34.75,35.31,34.5,34.81,23.634,199100.0,0.0,1.0
2000-04-10,34.63,35.69,34.63,35.38,24.021,129900.0,0.0,1.0
2000-04-11,36.0,36.75,36.0,36.69,24.9104,212000.0,0.0,1.0
2000-04-12,36.44,37.81,36.25,36.31,24.6524,267200.0,0.0,1.0
2000-04-13,36.44,37.38,36.44,36.94,25.0802,167300.0,0.0,1.0
2000-04-14,36.25,36.69,34.63,34.94,23.7223,272700.0,0.0,1.0
2000-04-17,35.06,36.63,34.25,36.44,24.7407,300000.0,0.0,1.0
2000-04-18,36.25,36.25,34.13,35.25,23.9327,217700.0,0.0,1.0
2000-04-19,35.0,35.0,34.19,34.38,23.3421,183500.0,0.0,1.0
2000-04-20,35.0,35.38,34.0,34.75,23.5933,230700.0,0.0,1.0
2000-04-24,35.0,35.38,34.81,35.25,23.9327,154600.0,0.0,1.0
2000-04-25,35.06,36.13,34.56,36.0,24.442,123300.0,0.0,1.0
2000-04-26,36.25,36.5,34.88,35.19,23.892,181500.0,0.0,1.0
2000-04-27,37.0,37.0,34.44,34.75,23.5933,202500.0,0.0,1.0
2000-04-28,34.25,34.69,33.56,34.44,23.3828,253300.0,0.0,1.0
2000-05-01,33.88,34.75,33.5,34.56,23.4643,181200.0,0.0,1.0
2000-05-02,34.31,34.5,33.63,34.31,23.2945,203200.0,0.0,1.0
2000-05-03,34.06,34.13,33.5,33.94,23.0433,431100.0,0.0,1.0
2000-05-04,33.94,34.31,33.81,33.81,22.9551,124900.0,0.0,1.0
2000-05-05,33.81,34.13,33.44,33.63,22.8329,258800.0,0.0,1.0
2000-05-08,33.75,34.0,33.31,33.88,23.0026,158300.0,0.0,1.0
2000-05-09,34.0,34.25,33.63,34.0,23.0841,372900.0,0.0,1.0
2000-05-10,33.94,34.31,33.63,33.88,23.0026,259600.0,0.0,1.0
2000-05-11,33.94,34.0,33.5,33.69,22.8736,213500.0,0.0,1.0
2000-05-12,33.69,33.81,33.0,33.63,22.8329,155700.0,0.0,1.0
2000-05-15,33.38,33.81,32.25,32.5,22.0657,431900.0,0.0,1.0
2000-05-16,32.75,33.44,32.19,33.06,22.4459,307400.0,0.0,1.0
2000-05-17,32.81,33.06,32.44,32.81,22.2761,160100.0,0.0,1.0
2000-05-18,32.31,32.94,32.0,32.19,21.8552,236600.0,0.0,1.0
2000-05-19,32.19,33.31,31.75,32.94,22.3644,218300.0,0.0,1.0
2000-05-22,33.75,34.19,33.25,33.53,22.765,351500.0,0.0,1.0
