date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,54.56,54.63,51.44,53.0,15.5741,727150.0,0.0,1.0
2000-01-04,52.75,53.25,51.38,51.94,15.2626,999200.0,0.0,1.0
2000-01-05,51.88,53.25,51.25,52.75,15.5007,816550.0,0.0,1.0
2000-01-06,52.13,54.75,51.13,54.69,16.0707,1499350.0,0.0,1.0
2000-01-07,57.0,57.25,55.94,57.25,16.823,1229050.0,0.0,1.0
2000-01-10,57.75,57.75,55.25,56.06,16.4733,917300.0,0.0,1.0
2000-01-11,56.31,57.25,55.44,55.44,16.2911,688950.0,0.0,1.0
2000-01-12,55.19,56.38,54.38,54.56,16.0325,745900.0,0.0,1.0
2000-01-13,54.0,54.88,53.31,53.31,15.6652,1011450.0,0.0,1.0
2000-01-14,53.69,54.19,52.81,53.31,15.6652,662550.0,0.0,1.0
2000-01-18,52.88,53.5,52.19,53.0,15.5741,443800.0,0.0,1.0
2000-01-19,53.25,53.31,51.31,52.0,15.2803,1420100.0,0.0,1.0
2000-01-20,52.0,52.5,49.19,50.61,14.8718,1347650.0,0.0,1.0
2000-01-21,49.56,49.69,47.5,48.19,14.1607,1323200.0,0.0,1.0
2000-01-24,47.94,48.25,46.69,47.19,13.8668,1412000.0,0.0,1.0
2000-01-25,46.75,47.0,44.5,45.94,13.4995,1557450.0,0.0,1.0
2000-01-26,47.25,49.44,45.56,49.25,14.4722,1845400.0,0.0,1.0
2000-01-27,48.0,50.25,46.63,47.88,14.0696,1150300.0,0.0,1.0
2000-01-28,47.13,47.69,46.88,47.0,13.811,891750.0,0.0,1.0
2000-01-31,47.25,47.25,46.31,47.06,13.8286,602800.0,0.0,1.0
2000-02-01,46.75,47.56,45.81,46.06,13.5348,484600.0,0.0,1.0
2000-02-02,47.0,47.88,46.44,46.44,13.6465,621700.0,0.0,1.0
2000-02-03,46.44,47.25,45.38,45.81,13.4613,964650.0,0.0,1.0
2000-02-04,46.25,46.63,45.75,46.5,13.6641,1336850.0,0.0,1.0
2000-02-07,46.25,46.38,44.75,45.06,13.2409,837950.0,0.0,1.0
2000-02-08,45.06,45.75,44.19,44.38,13.0411,892900.0,0.0,1.0
2000-02-09,44.5,44.88,42.75,42.75,12.5621,1183750.0,0.0,1.0
2000-02-10,43.0,44.38,39.75,40.19,11.8099,3722900.0,0.0,1.0
2000-02-11,40.69,40.94,38.25,38.94,11.4925,1723250.0,0.17,1.0
2000-02-14,39.13,41.19,38.94,41.13,12.1389,1717100.0,0.0,1.0
2000-02-15,41.38,43.75,40.69,43.13,12.7291,1999050.0,0.0,1.0
2000-02-16,43.13,44.0,41.94,42.5,12.5432,960250.0,0.0,1.0
2000-02-17,42.38,42.44,41.09,41.81,12.3396,511650.0,0.0,1.0
2000-02-18,41.63,41.69,39.75,40.63,11.9913,730250.0,0.0,1.0
2000-02-22,40.38,41.06,39.5,40.75,12.0267,554250.0,0.0,1.0
2000-02-23,40.0,40.13,37.0,37.31,11.0115,1579100.0,0.0,1.0
2000-02-24,38.31,38.31,35.63,35.75,10.551,2386400.0,0.0,1.0
2000-02-25,36.5,36.56,35.13,35.38,10.4418,1448150.0,0.0,1.0
2000-02-28,35.38,37.88,35.19,37.13,10.9583,1733500.0,0.0,1.0
2000-02-29,36.88,38.81,36.88,38.31,11.3066,1759800.0,0.0,1.0
2000-03-01,38.13,38.25,37.0,37.81,11.159,733650.0,0.0,1.0
2000-03-02,37.56,37.56,35.06,35.94,10.6071,1153300.0,0.0,1.0
2000-03-03,36.75,38.38,36.19,36.88,10.8845,2057250.0,0.0,1.0
