date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,39.31,39.31,35.56,35.69,5.8916,197363.0,0.0,1.0
2000-01-04,35.69,36.38,33.5,34.56,5.705,105037.0,0.0,1.0
2000-01-05,34.38,34.56,33.5,33.69,5.5614,198400.0,0.0,1.0
2000-01-06,33.69,33.69,32.81,33.13,5.469,196326.0,0.0,1.0
2000-01-07,33.25,33.5,32.75,33.0,5.4475,185541.0,0.0,1.0
2000-01-10,33.06,35.0,33.0,34.69,5.7265,482341.0,0.0,1.0
2000-01-11,35.0,35.5,35.0,35.06,5.7876,72267.0,0.0,1.0
2000-01-12,35.0,35.0,33.25,33.69,5.5614,94844.0,0.0,1.0
2000-01-13,33.94,34.0,32.94,34.0,5.6126,137363.0,0.0,1.0
2000-01-14,34.0,34.25,33.88,33.94,5.6027,46489.0,0.0,1.0
2000-01-18,33.69,33.69,32.5,32.69,5.3963,130459.0,0.0,1.0
2000-01-19,32.88,33.06,32.63,32.69,5.3963,34815.0,0.0,1.0
2000-01-20,32.63,33.63,32.63,33.5,5.53,61481.0,0.0,1.0
2000-01-21,33.5,35.0,33.25,34.5,5.6951,222015.0,0.0,1.0
2000-01-24,34.56,35.69,34.56,34.88,5.7579,448415.0,0.0,1.0
2000-01-25,34.88,34.88,33.63,33.63,5.5515,130696.0,0.0,1.0
2000-01-26,33.63,34.94,33.5,33.5,5.53,139644.0,0.0,1.0
2000-01-27,33.63,34.25,33.5,33.5,5.53,270933.0,0.0,1.0
2000-01-28,33.63,34.38,33.0,34.0,5.6126,108919.0,0.0,1.0
2000-01-31,34.25,34.75,32.88,33.0,5.4475,138341.0,0.0,1.0
2000-02-01,32.88,32.88,32.06,32.63,5.3864,149185.0,0.0,1.0
2000-02-02,32.38,33.5,31.88,33.38,5.5102,84148.0,0.0,1.0
2000-02-03,33.13,34.25,33.13,33.63,5.5515,118193.0,0.0,1.0
2000-02-04,33.25,34.87,33.25,34.81,5.7463,48030.0,0.0,1.0
2000-02-07,34.63,34.63,32.75,33.0,5.4475,176326.0,0.0,1.0
2000-02-08,33.25,34.38,33.0,34.13,5.634,154104.0,0.0,1.0
2000-02-09,34.0,34.0,32.13,32.13,5.3039,88474.0,0.0,1.0
2000-02-10,32.13,32.13,30.56,31.44,5.19,158252.0,0.0,1.0
2000-02-11,31.44,32.5,30.88,31.38,5.1801,194756.0,0.0,1.0
2000-02-14,31.31,31.31,29.0,30.0,4.9523,352326.0,0.0,1.0
2000-02-15,30.25,31.38,30.25,31.06,5.1273,209896.0,0.0,1.0
2000-02-16,30.94,31.13,30.94,31.0,5.1174,82726.0,0.0,1.0
2000-02-17,31.06,33.94,31.06,33.44,5.5201,132059.0,0.0,1.0
2000-02-18,33.44,33.63,32.44,32.75,5.4062,80919.0,0.0,1.0
2000-02-22,32.38,32.38,32.0,32.06,5.2923,27733.0,0.0,1.0
2000-02-23,32.0,32.0,29.0,31.31,5.1685,227496.0,0.0,1.0
2000-02-24,31.31,31.31,30.13,30.5,5.0348,101481.0,0.0,1.0
2000-02-25,30.5,30.5,27.75,29.25,4.8285,306844.0,0.0,1.0
2000-02-28,29.0,29.75,28.0,29.19,4.8186,177185.0,0.0,1.0
2000-02-29,29.13,31.38,29.0,30.5,5.0348,413096.0,0.0,1.0
2000-03-01,30.0,31.0,30.0,30.44,5.0249,154963.0,0.0,1.0
2000-03-02,30.56,31.0,30.25,30.75,5.0761,87911.0,0.0,1.0
2000-03-03,30.88,31.38,30.81,31.31,5.1685,64356.0,0.0,1.0
2000-03-06,31.25,33.25,31.25,33.25,5.4888,229393.0,0.0,1.0
