date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,14.25,14.44,13.06,13.44,2.8491,61500.0,0.0,1.0
2000-01-04,13.06,13.25,12.75,12.75,2.7028,69900.0,0.0,1.0
2000-01-05,13.0,13.06,12.63,12.88,2.7304,36400.0,0.0,1.0
2000-01-06,13.0,13.38,13.0,13.25,2.8088,55900.0,0.0,1.0
2000-01-07,13.38,13.94,13.06,13.25,2.8088,41400.0,0.0,1.0
2000-01-10,13.38,13.63,12.75,12.88,2.7304,68100.0,0.0,1.0
2000-01-11,13.13,13.25,12.88,13.06,2.7685,33600.0,0.0,1.0
2000-01-12,12.75,13.06,12.69,12.94,2.7431,57300.0,0.0,1.0
2000-01-13,12.88,13.13,12.88,13.0,2.7558,75200.0,0.0,1.0
2000-01-14,12.88,13.06,12.69,13.0,2.7558,43000.0,0.0,1.0
2000-01-18,12.88,13.13,12.69,12.88,2.7304,64900.0,0.0,1.0
2000-01-19,12.63,12.75,12.44,12.44,2.6371,44900.0,0.0,1.0
2000-01-20,12.44,12.94,12.44,12.88,2.7304,66900.0,0.0,1.0
2000-01-21,12.88,12.88,12.31,12.31,2.6095,48200.0,0.0,1.0
2000-01-24,12.47,12.56,12.0,12.13,2.5714,52900.0,0.0,1.0
2000-01-25,12.38,12.63,12.0,12.0,2.5438,55600.0,0.0,1.0
2000-01-26,12.13,13.0,12.13,12.88,2.7304,61200.0,0.0,1.0
2000-01-27,12.88,13.19,12.25,12.41,2.6307,95500.0,0.0,1.0
2000-01-28,12.44,12.69,12.13,12.69,2.6901,53500.0,0.0,1.0
2000-01-31,12.0,12.75,11.75,12.63,2.6774,244200.0,0.0,1.0
2000-02-01,12.53,12.56,12.25,12.44,2.6477,41700.0,0.05,1.0
2000-02-02,12.44,12.72,12.38,12.69,2.7009,64000.0,0.0,1.0
2000-02-03,12.63,12.75,12.5,12.56,2.6732,63600.0,0.0,1.0
