date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,39.75,39.94,37.13,37.38,20.501,27718000.0,0.0,1.0
2000-01-04,36.88,37.75,35.75,36.06,19.777,21152800.0,0.0,1.0
2000-01-05,36.19,36.25,34.5,35.31,19.3657,25592400.0,0.0,1.0
2000-01-06,35.13,36.0,34.81,35.13,19.267,21321200.0,0.0,1.0
2000-01-07,35.0,35.75,34.06,35.63,19.5412,15770400.0,0.0,1.0
2000-01-10,36.25,36.88,35.88,36.75,20.1554,12923600.0,0.0,1.0
2000-01-11,36.94,36.94,34.13,34.31,18.8172,22435600.0,0.0,1.0
2000-01-12,33.25,33.75,32.0,32.25,17.6874,19673200.0,0.0,1.0
2000-01-13,33.25,34.38,32.56,34.38,18.8556,18454000.0,0.0,1.0
2000-01-14,35.69,36.0,33.44,34.88,19.1298,22944000.0,0.0,1.0
2000-01-18,36.25,40.13,35.75,40.0,21.9379,44281600.0,0.0,1.0
2000-01-19,38.94,39.38,37.44,38.0,20.841,36460000.0,0.0,1.0
2000-01-20,38.25,38.38,37.0,37.88,20.7752,16452000.0,0.0,1.0
2000-01-21,38.19,39.38,38.0,39.0,21.3894,23904800.0,0.0,1.0
2000-01-24,39.38,39.44,37.88,37.88,20.7752,20022400.0,0.0,1.0
2000-01-25,37.13,39.0,36.0,36.0,19.7441,15426800.0,0.0,1.0
2000-01-26,37.94,39.5,37.38,39.38,21.5979,31323200.0,0.0,1.0
2000-01-27,39.69,43.13,39.38,42.75,23.4461,56377200.0,0.0,1.0
2000-01-28,42.75,43.88,41.25,42.0,23.0348,40062400.0,0.0,1.0
2000-01-31,42.13,43.44,41.06,43.06,23.6161,19953200.0,0.0,1.0
2000-02-01,42.38,42.5,41.0,41.69,22.8648,24152800.0,0.0,1.0
2000-02-02,42.13,42.13,40.0,40.5,22.2121,22174000.0,0.0,1.0
2000-02-03,41.06,41.56,40.31,40.88,22.4205,13805600.0,0.0,1.0
2000-02-04,41.5,41.5,40.0,40.0,21.9379,11888000.0,0.0,1.0
2000-02-07,39.94,40.0,38.25,39.13,21.4607,17326000.0,0.0,1.0
2000-02-08,40.25,41.25,39.88,41.25,22.6235,16819600.0,0.0,1.0
2000-02-09,41.0,41.75,40.63,41.06,22.5192,17911600.0,0.0,1.0
2000-02-10,41.25,41.69,40.38,40.5,22.2121,11180000.0,0.0,1.0
2000-02-11,40.63,40.63,38.94,39.63,21.735,9944000.0,0.0,1.0
2000-02-14,39.06,39.88,38.56,38.94,21.3565,10647200.0,0.0,1.0
2000-02-15,38.75,39.0,37.94,38.63,21.1865,15599200.0,0.0,1.0
2000-02-16,38.25,38.5,37.44,38.31,21.011,11429200.0,0.0,1.0
2000-02-17,38.38,40.0,37.56,39.69,21.7679,36786000.0,0.0,1.0
2000-02-18,39.25,39.56,37.44,37.63,20.6381,17070800.0,0.0,1.0
2000-02-22,38.0,38.44,37.63,38.25,20.9781,9111200.0,0.0,1.0
2000-02-23,38.25,38.25,36.25,37.44,20.5339,10110400.0,0.0,1.0
2000-02-24,37.31,38.0,35.63,37.75,20.7039,17411200.0,0.0,1.0
2000-02-25,36.25,39.56,36.19,39.0,21.3894,18385600.0,0.0,1.0
2000-02-28,39.0,39.44,37.5,39.19,21.4936,13353200.0,0.0,1.0
2000-02-29,39.19,39.75,37.0,37.0,20.2925,18341200.0,0.0,1.0
2000-03-01,38.5,40.5,37.0,37.0,20.2925,30730800.0,0.0,1.0
2000-03-02,38.63,39.38,37.25,37.25,20.4297,21835200.0,0.0,1.0
2000-03-03,39.0,40.75,38.63,40.25,22.075,39311200.0,0.0,1.0
2000-03-06,40.88,42.06,40.38,40.69,22.3163,27140400.0,0.0,1.0
2000-03-07,40.94,41.25,38.75,39.25,21.5266,27131600.0,0.0,1.0
2000-03-08,39.75,42.0,39.69,42.0,23.0348,23225600.0,0.0,1.0
2000-03-09,41.5,45.81,41.5,44.63,24.4772,46496800.0,0.0,1.0
2000-03-10,46.38,48.75,45.63,48.5,26.5997,50430000.0,0.0,1.0
2000-03-13,45.38,48.0,45.31,46.0,25.2286,26442800.0,0.0,1.0
2000-03-14,45.88,47.19,44.06,44.38,24.3401,19106000.0,0.0,1.0
2000-03-15,44.56,46.44,43.38,46.44,25.4699,18033200.0,0.0,1.0
2000-03-16,46.25,47.75,45.75,47.5,26.0512,20424800.0,0.0,1.0
2000-03-17,46.88,48.44,46.81,47.25,25.9141,17688800.0,0.0,1.0
2000-03-20,47.75,48.94,47.63,47.88,26.2597,13528000.0,0.0,1.0
2000-03-21,48.0,48.19,46.75,48.0,26.3255,13119200.0,0.0,1.0
2000-03-22,47.75,48.94,47.06,48.5,26.5997,19777600.0,0.0,1.0
2000-03-23,49.25,50.25,48.94,49.38,27.0823,19928000.0,0.0,1.0
2000-03-24,50.0,53.25,49.69,52.0,28.5193,27358400.0,0.0,1.0
2000-03-27,51.5,51.56,50.5,50.56,27.7295,16654800.0,0.0,1.0
2000-03-28,49.75,51.19,49.63,50.5,27.6966,11349600.0,0.0,1.0
2000-03-29,50.56,51.06,49.25,49.88,27.3566,14317200.0,0.0,1.0
2000-03-30,49.94,52.5,49.0,49.88,27.3637,19978000.0,0.013,1.0
2000-03-31,51.0,51.44,49.88,50.13,27.5008,10455600.0,0.0,1.0
2000-04-03,50.88,50.88,49.88,50.5,27.7038,9589200.0,0.0,1.0
2000-04-04,50.25,50.44,43.38,47.31,25.9538,29471600.0,0.0,1.0
2000-04-05,46.75,47.81,46.56,46.75,25.6466,10089600.0,0.0,1.0
2000-04-06,47.19,48.88,47.13,47.75,26.1952,8770800.0,0.0,1.0
2000-04-07,48.13,50.19,48.0,49.88,27.3637,10924800.0,0.0,1.0
2000-04-10,49.88,50.25,48.69,49.63,27.2265,11693200.0,0.0,1.0
2000-04-11,49.0,49.75,48.13,49.5,27.1552,7208800.0,0.0,1.0
2000-04-12,49.0,49.88,46.0,46.56,25.5424,14384800.0,0.0,1.0
2000-04-13,46.81,47.13,46.0,46.0,25.2352,12630000.0,0.0,1.0
2000-04-14,45.0,45.13,42.75,43.5,23.8637,17027200.0,0.0,1.0
2000-04-17,42.63,46.0,42.25,45.88,25.1693,15468000.0,0.0,1.0
2000-04-18,45.5,45.63,42.06,43.75,24.0008,28873600.0,0.0,1.0
2000-04-19,43.94,45.19,43.81,44.13,24.2093,13858400.0,0.0,1.0
2000-04-20,44.38,46.06,44.31,44.88,24.6207,11728000.0,0.0,1.0
2000-04-24,44.94,45.69,44.38,44.38,24.3464,10722800.0,0.0,1.0
2000-04-25,45.5,48.5,45.31,48.13,26.4036,13404000.0,0.0,1.0
2000-04-26,48.06,49.25,47.06,47.19,25.888,12022400.0,0.0,1.0
2000-04-27,47.13,47.75,46.81,47.13,25.8551,6947200.0,0.0,1.0
2000-04-28,47.5,47.56,45.81,45.94,25.2022,7688400.0,0.0,1.0
2000-05-01,45.94,48.5,45.75,47.81,26.2281,9104800.0,0.0,1.0
2000-05-02,47.63,48.63,47.31,48.0,26.3323,9314000.0,0.0,1.0
2000-05-03,47.63,48.75,46.38,46.75,25.6466,8386800.0,0.0,1.0
2000-05-04,47.0,48.81,47.0,48.06,26.3652,11780800.0,0.0,1.0
2000-05-05,48.0,49.94,47.81,49.38,27.0894,13430400.0,0.0,1.0
2000-05-08,48.63,50.5,48.19,50.06,27.4624,13285600.0,0.0,1.0
2000-05-09,50.5,50.94,49.5,49.5,27.1552,14086400.0,0.0,1.0
2000-05-10,49.38,49.81,48.0,49.0,26.8809,12849600.0,0.0,1.0
2000-05-11,49.38,49.69,47.56,48.69,26.7109,9206800.0,0.0,1.0
2000-05-12,49.0,50.63,48.69,50.0,27.4295,14390400.0,0.0,1.0
2000-05-15,50.38,51.38,49.81,50.75,27.841,10920800.0,0.0,1.0
2000-05-16,50.38,51.25,49.94,51.13,28.0494,10618800.0,0.0,1.0
2000-05-17,50.63,50.88,50.0,50.56,27.7367,7788800.0,0.0,1.0
2000-05-18,50.5,50.63,49.5,50.19,27.5337,5898000.0,0.0,1.0
2000-05-19,47.75,49.0,47.44,47.52,26.069,19637600.0,0.0,1.0
2000-05-22,47.63,47.88,43.0,44.0,24.138,14110400.0,0.0,1.0
2000-05-23,44.0,44.31,41.0,42.0,23.0408,38193200.0,0.0,1.0
2000-05-24,43.0,44.5,42.88,44.38,24.3464,15159600.0,0.0,1.0
2000-05-25,44.81,47.25,44.75,45.44,24.9279,12682800.0,0.0,1.0
