date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,32.56,32.56,31.94,31.94,7.862,105600.0,0.0,1.0
2000-01-04,31.94,32.13,31.63,31.75,7.8152,63000.0,0.0,1.0
2000-01-05,31.63,32.25,31.63,32.13,7.9087,102300.0,0.0,1.0
2000-01-06,31.88,32.25,31.75,32.09,7.8989,125700.0,0.0,1.0
2000-01-07,32.25,32.88,32.25,32.81,8.0761,64400.0,0.0,1.0
2000-01-10,33.0,33.13,32.25,33.0,8.1229,50000.0,0.0,1.0
2000-01-11,32.88,32.88,32.69,32.88,8.0934,28600.0,0.0,1.0
2000-01-12,32.94,32.94,32.0,32.19,7.9235,15800.0,0.0,1.0
2000-01-13,32.19,32.81,32.06,32.38,7.9703,44100.0,0.0,1.0
2000-01-14,32.38,32.56,32.31,32.44,7.985,43200.0,0.0,1.0
2000-01-18,32.63,32.63,31.44,31.63,7.7857,107700.0,0.0,1.0
2000-01-19,31.5,32.31,31.5,31.75,7.8152,57800.0,0.0,1.0
2000-01-20,31.75,31.94,31.0,31.13,7.6626,108600.0,0.0,1.0
2000-01-21,30.88,30.94,29.81,30.0,7.3844,112500.0,0.0,1.0
2000-01-24,30.0,30.56,29.81,29.88,7.3549,86200.0,0.0,1.0
2000-01-25,29.38,29.63,29.19,29.44,7.2466,87400.0,0.0,1.0
2000-01-26,29.44,30.0,29.44,29.63,7.2934,109300.0,0.0,1.0
2000-01-27,29.63,30.06,29.5,29.75,7.3229,122600.0,0.0,1.0
2000-01-28,29.88,30.0,29.75,29.75,7.3229,155100.0,0.0,1.0
2000-01-31,29.88,30.0,29.5,29.5,7.2614,118700.0,0.0,1.0
2000-02-01,29.5,30.38,29.06,30.31,7.4608,171600.0,0.0,1.0
2000-02-02,30.31,31.19,30.31,31.0,7.6306,146700.0,0.0,1.0
2000-02-03,30.94,31.5,30.81,30.94,7.6158,118300.0,0.0,1.0
2000-02-04,30.88,31.31,30.63,30.94,7.6158,59000.0,0.0,1.0
2000-02-07,31.19,31.19,30.88,30.94,7.6158,84000.0,0.0,1.0
2000-02-08,30.88,30.94,30.06,30.19,7.4312,78700.0,0.0,1.0
2000-02-09,30.44,30.44,29.94,29.94,7.3697,128200.0,0.0,1.0
2000-02-10,29.69,29.94,29.06,29.13,7.1703,120200.0,0.0,1.0
2000-02-11,29.13,29.69,28.69,28.69,7.062,111900.0,0.0,1.0
2000-02-14,28.75,28.75,28.0,28.31,6.9685,97700.0,0.0,1.0
2000-02-15,28.44,28.56,27.88,28.5,7.0152,73200.0,0.0,1.0
2000-02-16,28.5,28.88,28.0,28.56,7.03,81700.0,0.0,1.0
2000-02-17,28.5,29.0,28.38,28.56,7.03,98800.0,0.0,1.0
2000-02-18,28.31,28.31,27.75,28.0,6.8922,42100.0,0.0,1.0
2000-02-22,28.25,28.88,27.94,28.81,7.0915,96500.0,0.0,1.0
2000-02-23,28.81,28.81,27.5,27.69,6.8158,65200.0,0.0,1.0
2000-02-24,27.94,28.19,27.5,27.69,6.8158,38000.0,0.0,1.0
2000-02-25,27.69,27.75,27.31,27.44,6.7543,23700.0,0.0,1.0
2000-02-28,27.31,27.38,27.0,27.38,6.7395,42400.0,0.0,1.0
2000-02-29,27.88,28.25,27.56,28.06,6.9069,113000.0,0.0,1.0
2000-03-01,28.06,28.63,28.0,28.44,7.0005,59200.0,0.0,1.0
2000-03-02,28.56,28.56,28.25,28.5,7.0152,62100.0,0.0,1.0
2000-03-03,28.56,28.56,27.5,27.94,6.8774,81500.0,0.0,1.0
2000-03-06,27.81,28.06,27.69,28.0,6.8922,172200.0,0.0,1.0
2000-03-07,28.06,28.19,27.13,27.13,6.678,32600.0,0.0,1.0
2000-03-08,27.25,27.44,27.19,27.38,6.7395,79500.0,0.0,1.0
2000-03-09,27.63,28.19,27.63,28.0,6.8922,82400.0,0.0,1.0
2000-03-10,27.88,28.0,27.75,27.81,6.8454,94600.0,0.0,1.0
2000-03-13,27.63,27.81,27.25,27.25,6.7075,59700.0,0.0,1.0
2000-03-14,27.25,27.25,26.75,26.94,6.6312,93900.0,0.0,1.0
