Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,5.5,5.5,5.297,5.4375,5.4375,208000
2000-01-04,5.422,5.422,5.1565,5.2815,5.2815,377600
2000-01-05,5.315,5.3285,5.219,5.25,5.25,82000
2000-01-06,5.22,5.422,5.2035,5.375,5.375,57200
2000-01-07,5.33,5.375,5.3125,5.3595,5.3595,91200
2000-01-10,5.375,5.375,5.297,5.297,5.297,68000
2000-01-11,5.315,5.344,4.875,4.875,4.875,623200
2000-01-12,4.89,4.891,4.844,4.875,4.875,519600
2000-01-13,4.922,4.922,4.75,4.797,4.797,389200
2000-01-14,4.83,5.125,4.797,5.1095,5.1095,474800
2000-01-18,5.14,5.141,4.969,5.016,5.016,512000
2000-01-19,5.11,5.172,4.9845,5.125,5.125,279600
2000-01-20,5.16,5.1875,4.922,5.0625,5.0625,795600
2000-01-21,5.03,5.5625,5.0,5.266,5.266,458800
2000-01-24,5.235,5.7345,5.2345,5.375,5.375,630800
2000-01-25,5.375,5.4375,5.2815,5.375,5.375,194000
2000-01-26,5.4065,5.4065,5.172,5.2345,5.2345,190400
2000-01-27,5.25,5.6875,5.172,5.641,5.641,396800
2000-01-28,5.66,5.719,5.5625,5.5625,5.5625,314400
2000-01-31,5.594,5.594,5.5,5.516,5.516,262400
2000-02-01,5.5,5.797,5.5,5.75,5.75,451200
2000-02-02,5.8,5.9065,5.6875,5.75,5.75,256800
2000-02-03,5.72,5.875,5.6875,5.844,5.844,272000
2000-02-04,5.815,6.1095,5.75,6.047,6.047,168400
2000-02-07,6.065,6.2345,6.047,6.2345,6.2345,320400
2000-02-08,6.235,6.3125,6.141,6.141,6.141,254000
2000-02-09,6.11,6.172,6.094,6.1095,6.1095,116800
2000-02-10,6.125,6.141,6.016,6.094,6.094,283200
2000-02-11,6.14,6.219,6.0625,6.094,6.094,483600
2000-02-14,6.125,6.172,6.125,6.1565,6.1565,196800
2000-02-15,6.095,6.125,5.844,5.922,5.922,138400
2000-02-16,5.925,5.969,5.891,5.891,5.891,58800
2000-02-17,5.89,5.891,5.75,5.797,5.797,287600
2000-02-18,5.797,5.797,5.6875,5.6875,5.6875,102000
2000-02-22,5.625,5.6875,5.344,5.469,5.469,193600
2000-02-23,5.4845,5.4845,5.391,5.469,5.469,320000
2000-02-24,5.4845,5.4845,5.4065,5.469,5.469,467600
2000-02-25,5.5,5.625,5.4845,5.5315,5.5315,189200
2000-02-28,5.515,5.5785,5.5,5.5315,5.5315,152800
2000-02-29,5.5,5.875,5.5,5.844,5.844,409600
2000-03-01,5.845,5.875,5.766,5.766,5.766,284000
2000-03-02,5.797,5.797,5.6875,5.7345,5.7345,123200
2000-03-03,5.705,5.8595,5.7035,5.75,5.75,248800
2000-03-06,5.75,5.9065,5.6875,5.6875,5.6875,162800
2000-03-07,5.625,5.672,5.469,5.5,5.5,130000
2000-03-08,5.565,5.6875,5.5,5.672,5.672,280000
2000-03-09,5.61,5.844,5.6095,5.7345,5.7345,177200
2000-03-10,5.75,6.0,5.719,5.8125,5.8125,314000
2000-03-13,5.75,5.75,5.6875,5.7035,5.7035,125200
2000-03-14,5.6565,5.6565,5.422,5.4535,5.4535,134000
2000-03-15,5.455,5.4845,5.0,5.0625,5.0625,1583200
2000-03-16,5.11,5.4535,5.094,5.4065,5.4065,595200
2000-03-17,5.315,5.5,5.3125,5.4845,5.4845,145200
