date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,349.12,350.0,333.0,344.0,53.9269,937700.0,0.0,1.0
2000-01-04,333.4,353.0,321.0,328.9,51.5598,1064500.0,0.0,1.0
2000-01-05,323.1,340.0,314.0,327.2,51.2933,1260400.0,0.0,1.0
2000-01-06,327.0,339.0,308.1,312.0,48.9105,510600.0,0.0,1.0
2000-01-07,303.8,325.0,300.0,324.9,50.9327,826200.0,0.0,1.0
2000-01-10,338.9,339.0,317.6,325.5,51.0268,3007900.0,0.0,1.0
2000-01-11,328.8,346.0,323.8,323.9,50.776,1356500.0,0.0,1.0
2000-01-12,329.0,329.0,293.0,307.8,48.2521,1896000.0,0.0,1.0
2000-01-13,317.9,318.0,306.0,314.4,49.2867,1080800.0,0.0,1.0
2000-01-14,333.0,343.0,330.0,340.1,53.3156,1750100.0,0.0,1.0
2000-01-18,110.3,120.0,110.3,118.8,55.8708,1408000.0,0.0,3.0
2000-01-19,121.8,122.5,113.6,119.0,55.9649,4525500.0,0.0,1.0
2000-01-20,120.5,120.6,114.9,116.9,54.9773,3049700.0,0.0,1.0
2000-01-21,118.1,150.2,116.5,149.9,70.4969,7553000.0,0.0,1.0
2000-01-24,148.6,149.8,138.8,141.4,66.4994,3978600.0,0.0,1.0
2000-01-25,143.0,145.9,134.0,142.9,67.2049,2501900.0,0.0,1.0
2000-01-26,145.0,149.1,141.3,143.8,67.6281,1849900.0,0.0,1.0
2000-01-27,145.3,148.0,141.1,142.4,66.9697,1776600.0,0.0,1.0
2000-01-28,139.0,145.9,138.4,140.8,66.2173,1907900.0,0.0,1.0
2000-01-31,138.0,138.6,125.1,135.3,63.6307,1478100.0,0.0,1.0
2000-02-01,136.4,143.4,134.2,138.5,65.1356,1242400.0,0.0,1.0
2000-02-02,141.0,144.8,137.0,137.1,64.4772,1054600.0,0.0,1.0
2000-02-03,141.1,156.3,140.5,154.9,72.8484,4414100.0,0.0,1.0
2000-02-04,156.0,171.5,156.0,170.0,79.9498,4200300.0,0.0,1.0
2000-02-07,181.1,181.9,168.8,173.0,81.3607,2383100.0,0.0,1.0
2000-02-08,172.0,174.1,169.5,169.6,79.7617,3017700.0,0.0,1.0
2000-02-09,172.5,204.7,171.5,185.9,87.4275,5052100.0,0.0,1.0
2000-02-10,189.0,214.0,180.6,208.5,98.0561,3424300.0,0.0,1.0
2000-02-11,216.1,230.0,207.0,215.9,101.5363,3543400.0,0.0,1.0
2000-02-14,222.0,231.0,200.8,204.1,95.9868,3251900.0,0.0,1.0
2000-02-15,206.8,218.5,200.3,212.9,100.1254,2447000.0,0.0,1.0
2000-02-16,215.0,222.0,207.1,220.5,103.6996,2621900.0,0.0,1.0
2000-02-17,224.3,251.3,223.0,241.3,113.4817,3101300.0,0.0,1.0
2000-02-18,248.9,269.8,230.4,238.3,112.0708,4010800.0,0.0,1.0
2000-02-22,245.5,247.4,220.5,230.8,108.5436,2320800.0,0.0,1.0
2000-02-23,234.0,249.8,222.5,234.9,110.4718,1523000.0,0.0,1.0
2000-02-24,239.9,242.0,223.3,229.0,107.6971,2135400.0,0.0,1.0
2000-02-25,229.8,238.9,229.7,232.8,109.4842,962200.0,0.0,1.0
2000-02-28,232.6,240.0,228.8,229.1,107.7441,1211900.0,0.0,1.0
2000-02-29,239.8,280.8,232.9,274.3,129.0014,4059000.0,0.0,1.0
2000-03-01,283.0,295.8,264.3,271.0,127.4494,3088400.0,0.0,1.0
2000-03-02,277.4,278.0,260.0,260.3,122.4173,1623600.0,0.0,1.0
2000-03-03,274.0,276.5,260.5,264.4,124.3455,2316200.0,0.0,1.0
2000-03-06,269.8,284.9,267.0,270.6,127.2613,1975400.0,0.0,1.0
2000-03-07,279.4,281.0,264.4,278.7,131.0707,2273900.0,0.0,1.0
2000-03-08,287.5,287.5,258.5,274.6,129.1425,2436200.0,0.0,1.0
2000-03-09,276.4,279.6,267.1,276.0,129.8009,2154500.0,0.0,1.0
2000-03-10,275.0,301.3,271.0,282.4,132.8108,2424000.0,0.0,1.0
