date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,26.19,26.38,25.5,25.75,8.1382,441100.0,0.0,1.0
2000-01-04,25.25,25.5,24.69,24.75,7.8221,348400.0,0.0,1.0
2000-01-05,24.69,24.94,24.38,24.56,7.7621,278100.0,0.0,1.0
2000-01-06,24.63,25.94,24.31,25.5,8.0592,632400.0,0.0,1.0
2000-01-07,26.25,26.38,25.25,25.5,8.0592,434900.0,0.0,1.0
2000-01-10,25.38,25.44,25.0,25.25,7.9802,222300.0,0.0,1.0
2000-01-11,25.13,25.25,24.69,24.94,7.8822,581400.0,0.0,1.0
2000-01-12,24.88,24.94,23.81,23.94,7.5662,381400.0,0.0,1.0
2000-01-13,23.75,23.75,22.56,22.88,7.2311,794100.0,0.0,1.0
2000-01-14,23.13,23.69,22.94,23.19,7.3291,477300.0,0.0,1.0
2000-01-18,22.69,23.0,22.25,22.5,7.111,494900.0,0.0,1.0
2000-01-19,22.5,23.56,22.31,23.25,7.3481,471500.0,0.0,1.0
2000-01-20,23.25,23.38,22.63,22.69,7.1711,392900.0,0.0,1.0
2000-01-21,23.0,23.25,22.25,22.31,7.051,374300.0,0.0,1.0
2000-01-24,22.5,22.63,21.88,21.88,6.9151,414300.0,0.0,1.0
2000-01-25,21.75,22.31,21.69,21.94,6.9341,400000.0,0.0,1.0
2000-01-26,22.06,23.06,21.88,22.88,7.2311,430200.0,0.0,1.0
2000-01-27,22.88,23.13,22.25,22.5,7.111,569200.0,0.0,1.0
2000-01-28,22.25,22.38,21.63,21.81,6.893,446100.0,0.0,1.0
2000-01-31,21.81,22.0,21.31,22.0,6.953,449100.0,0.0,1.0
2000-02-01,21.94,22.31,21.38,22.06,6.972,426000.0,0.0,1.0
2000-02-02,22.0,22.5,21.88,22.13,6.9941,289000.0,0.0,1.0
2000-02-03,22.19,23.38,22.19,22.5,7.111,547000.0,0.0,1.0
2000-02-04,22.62,23.0,22.38,23.0,7.2691,625500.0,0.0,1.0
2000-02-07,22.94,23.25,22.56,22.63,7.1521,784900.0,0.0,1.0
2000-02-08,22.63,24.25,22.63,23.75,7.5061,526500.0,0.0,1.0
2000-02-09,23.5,23.69,22.88,22.88,7.2311,972700.0,0.0,1.0
2000-02-10,22.88,23.31,22.88,22.94,7.2501,617000.0,0.0,1.0
2000-02-11,22.94,22.94,22.0,22.0,6.953,980800.0,0.0,1.0
2000-02-14,21.25,21.38,19.0,21.0,6.637,2128500.0,0.0,1.0
2000-02-15,20.5,20.56,20.25,20.44,6.46,496600.0,0.0,1.0
2000-02-16,20.56,20.56,19.25,19.44,6.1439,681600.0,0.0,1.0
2000-02-17,19.5,19.88,18.25,19.88,6.283,1087100.0,0.0,1.0
2000-02-18,20.69,21.44,20.06,21.0,6.637,1065000.0,0.0,1.0
2000-02-22,21.06,21.75,21.0,21.25,6.716,806500.0,0.0,1.0
2000-02-23,21.0,21.25,21.0,21.0,6.637,432500.0,0.0,1.0
2000-02-24,21.0,21.0,19.88,20.0,6.3209,888000.0,0.0,1.0
2000-02-25,20.06,21.25,20.0,20.38,6.4663,549700.0,0.08,1.0
2000-02-28,20.5,21.0,20.25,20.44,6.4853,480400.0,0.0,1.0
2000-02-29,20.25,21.75,20.13,21.31,6.7614,994100.0,0.0,1.0
2000-03-01,21.31,21.56,21.0,21.31,6.7614,232400.0,0.0,1.0
2000-03-02,21.56,22.44,21.13,21.38,6.7836,678600.0,0.0,1.0
2000-03-03,22.25,24.0,22.0,22.5,7.139,818600.0,0.0,1.0
2000-03-06,22.5,22.5,21.63,22.0,6.9803,516300.0,0.0,1.0
2000-03-07,21.56,21.69,21.13,21.25,6.7423,395300.0,0.0,1.0
2000-03-08,21.06,22.13,20.88,21.81,6.92,399400.0,0.0,1.0
2000-03-09,21.88,22.94,21.81,22.31,7.0787,418800.0,0.0,1.0
2000-03-10,22.63,22.63,22.0,22.13,7.0216,324300.0,0.0,1.0
2000-03-13,21.94,21.94,21.31,21.56,6.8407,339300.0,0.0,1.0
2000-03-14,21.75,21.88,21.06,21.25,6.7423,501000.0,0.0,1.0
2000-03-15,21.19,23.25,21.19,23.25,7.3769,593300.0,0.0,1.0
2000-03-16,23.38,25.5,23.38,24.88,7.8941,1098500.0,0.0,1.0
2000-03-17,24.88,24.88,23.63,23.94,7.5959,701200.0,0.0,1.0
2000-03-20,24.63,24.88,23.5,24.13,7.6561,523600.0,0.0,1.0
2000-03-21,24.13,25.13,23.88,24.94,7.9131,588500.0,0.0,1.0
2000-03-22,24.44,24.75,23.88,24.63,7.8148,292300.0,0.0,1.0
2000-03-23,24.75,27.75,24.44,27.56,8.7444,1425900.0,0.0,1.0
2000-03-24,27.63,30.25,27.5,28.0,8.884,1291600.0,0.0,1.0
2000-03-27,28.25,29.5,28.13,28.81,9.141,641100.0,0.0,1.0
2000-03-28,28.56,28.94,28.06,28.06,8.9031,466700.0,0.0,1.0
2000-03-29,28.0,28.69,27.19,27.63,8.7666,573200.0,0.0,1.0
2000-03-30,27.38,28.38,26.56,28.19,8.9443,786800.0,0.0,1.0
2000-03-31,28.81,29.94,28.19,29.5,9.36,1088800.0,0.0,1.0
2000-04-03,29.94,30.88,29.19,30.31,9.617,970800.0,0.0,1.0
2000-04-04,30.75,32.88,29.44,30.94,9.8169,1597600.0,0.0,1.0
2000-04-05,30.5,33.0,30.38,32.56,10.3309,914200.0,0.0,1.0
2000-04-06,32.5,32.75,31.63,31.94,10.1341,803200.0,0.0,1.0
2000-04-07,31.75,32.0,31.06,31.69,10.0548,473700.0,0.0,1.0
2000-04-10,31.56,32.69,31.44,32.0,10.1532,336600.0,0.0,1.0
2000-04-11,32.0,32.31,31.69,32.19,10.2135,460500.0,0.0,1.0
2000-04-12,32.5,34.5,32.38,33.75,10.7084,849100.0,0.0,1.0
2000-04-13,34.13,34.38,33.31,33.56,10.6482,485600.0,0.0,1.0
2000-04-14,31.0,32.25,29.0,29.5,9.36,1059000.0,0.0,1.0
2000-04-17,29.25,29.5,27.5,27.94,8.865,704900.0,0.0,1.0
2000-04-18,28.19,30.44,28.13,29.88,9.4805,466000.0,0.0,1.0
2000-04-19,29.69,30.75,29.69,30.5,9.6773,269700.0,0.0,1.0
2000-04-20,30.0,30.13,29.31,29.63,9.4012,375400.0,0.0,1.0
2000-04-24,29.88,31.13,29.81,31.0,9.8359,1016500.0,0.0,1.0
2000-04-25,31.06,32.75,31.0,32.56,10.3309,857500.0,0.0,1.0
2000-04-26,32.69,32.69,30.81,30.88,9.7978,1013500.0,0.0,1.0
