date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,21.5,21.62,20.56,20.75,11.4004,1291100.0,0.0,1.0
2000-01-04,20.5,20.63,19.94,20.5,11.263,1921900.0,0.0,1.0
2000-01-05,20.81,20.94,20.06,20.19,11.0927,1671500.0,0.0,1.0
2000-01-06,20.13,21.0,19.94,20.88,11.4718,1127500.0,0.0,1.0
2000-01-07,21.25,21.44,20.81,21.44,11.7795,909300.0,0.0,1.0
2000-01-10,21.69,21.69,20.56,20.75,11.4004,873000.0,0.0,1.0
2000-01-11,20.25,20.94,20.25,20.75,11.4004,1049500.0,0.0,1.0
2000-01-12,20.69,21.19,20.63,21.0,11.5378,846900.0,0.0,1.0
2000-01-13,21.25,21.69,21.13,21.56,11.8454,757100.0,0.0,1.0
2000-01-14,21.94,22.13,21.63,22.0,12.0872,920300.0,0.0,1.0
2000-01-18,21.44,21.56,20.94,21.13,11.6092,861500.0,0.0,1.0
2000-01-19,21.25,21.81,20.5,20.63,11.3345,1410600.0,0.0,1.0
2000-01-20,20.88,20.88,20.25,20.5,11.263,999700.0,0.0,1.0
2000-01-21,20.56,21.44,20.31,21.38,11.7465,2572600.0,0.0,1.0
2000-01-24,21.5,21.56,20.38,20.44,11.2301,1335700.0,0.0,1.0
2000-01-25,20.5,20.69,19.81,20.13,11.0598,1966900.0,0.0,1.0
2000-01-26,20.38,21.63,20.25,21.56,11.8454,1775500.0,0.0,1.0
2000-01-27,21.5,21.63,20.69,21.06,11.5707,1158700.0,0.0,1.0
2000-01-28,21.0,21.0,20.38,20.5,11.263,1075600.0,0.0,1.0
2000-01-31,20.63,21.0,20.19,21.0,11.5378,1499400.0,0.0,1.0
2000-02-01,20.94,21.06,20.56,20.75,11.4004,1311300.0,0.0,1.0
2000-02-02,20.75,20.75,20.44,20.5,11.263,1037700.0,0.0,1.0
2000-02-03,20.56,20.75,20.38,20.44,11.2301,1351500.0,0.0,1.0
2000-02-04,20.13,20.56,20.06,20.13,11.0598,1255600.0,0.0,1.0
2000-02-07,20.13,20.31,19.94,20.0,10.9883,1078400.0,0.0,1.0
2000-02-08,20.0,20.38,19.94,20.38,11.1971,1166700.0,0.0,1.0
2000-02-09,20.06,20.06,19.44,19.5,10.7136,1393500.0,0.0,1.0
2000-02-10,19.31,19.5,18.38,18.75,10.3016,2713700.0,0.0,1.0
2000-02-11,18.5,18.94,18.19,18.69,10.2686,2172900.0,0.0,1.0
2000-02-14,18.44,18.5,18.0,18.19,9.9939,1438000.0,0.0,1.0
2000-02-15,18.38,18.75,17.88,18.56,10.1972,2061300.0,0.0,1.0
2000-02-16,18.25,18.44,17.81,17.88,9.8236,1970700.0,0.0,1.0
2000-02-17,18.31,18.44,17.75,17.94,9.8565,993600.0,0.0,1.0
2000-02-18,17.69,17.81,17.0,17.25,9.4774,2011700.0,0.0,1.0
2000-02-22,17.44,17.69,17.31,17.44,9.5818,1760900.0,0.0,1.0
2000-02-23,17.44,17.5,17.19,17.19,9.4445,1511500.0,0.0,1.0
2000-02-24,17.38,17.5,16.81,17.44,9.5818,1818600.0,0.0,1.0
2000-02-25,17.44,17.56,16.81,17.0,9.4939,1988400.0,0.28,1.0
2000-02-28,17.0,17.25,16.81,17.0,9.4939,2103200.0,0.0,1.0
2000-02-29,17.0,17.13,16.56,16.94,9.4604,1340600.0,0.0,1.0
2000-03-01,17.0,17.13,16.56,17.13,9.5665,1556100.0,0.0,1.0
2000-03-02,17.0,17.06,16.63,16.94,9.4604,1080600.0,0.0,1.0
2000-03-03,17.5,17.69,16.94,17.44,9.7397,1646600.0,0.0,1.0
2000-03-06,17.44,17.63,17.0,17.38,9.7061,1088500.0,0.0,1.0
2000-03-07,17.25,17.25,15.94,16.0,8.9355,2859400.0,0.0,1.0
2000-03-08,16.25,16.31,15.56,15.69,8.7623,2702700.0,0.0,1.0
2000-03-09,15.69,15.81,15.56,15.81,8.8294,2084900.0,0.0,1.0
2000-03-10,16.0,16.19,15.88,16.06,8.969,1970900.0,0.0,1.0
2000-03-13,16.25,16.31,15.81,16.25,9.0751,1596800.0,0.0,1.0
2000-03-14,16.25,16.38,15.75,15.88,8.8684,1714000.0,0.0,1.0
2000-03-15,16.25,17.88,15.94,17.69,9.8793,3508300.0,0.0,1.0
2000-03-16,18.5,19.38,17.75,18.88,10.5438,2780000.0,0.0,1.0
2000-03-17,19.5,19.5,18.75,18.81,10.5048,2093800.0,0.0,1.0
2000-03-20,18.69,18.75,17.94,18.19,10.1585,1425200.0,0.0,1.0
2000-03-21,18.56,18.94,18.31,18.94,10.5774,1464200.0,0.0,1.0
2000-03-22,19.0,19.5,18.63,19.44,10.8566,1369600.0,0.0,1.0
2000-03-23,19.44,19.56,19.0,19.5,10.8901,1810000.0,0.0,1.0
2000-03-24,19.56,19.69,19.0,19.12,10.6779,1733700.0,0.0,1.0
2000-03-27,19.13,19.13,18.31,18.69,10.4377,1037200.0,0.0,1.0
2000-03-28,18.75,19.25,18.63,19.19,10.717,1705000.0,0.0,1.0
2000-03-29,19.19,19.25,18.63,19.0,10.6109,1324500.0,0.0,1.0
2000-03-30,18.81,19.13,18.69,18.75,10.4712,1231900.0,0.0,1.0
2000-03-31,18.88,19.06,18.44,19.0,10.6109,1564900.0,0.0,1.0
2000-04-03,19.25,19.69,19.13,19.5,10.8901,1783600.0,0.0,1.0
2000-04-04,19.31,19.94,18.31,19.19,10.717,1856800.0,0.0,1.0
2000-04-05,19.19,19.44,18.63,18.75,10.4712,1173500.0,0.0,1.0
2000-04-06,18.75,19.0,18.5,18.81,10.5048,1511100.0,0.0,1.0
2000-04-07,18.81,18.81,18.06,18.13,10.125,1065100.0,0.0,1.0
