date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,112.3,112.3,107.5,108.5,31.8691,1884700.0,0.0,1.0
2000-01-04,106.6,110.4,103.6,103.9,30.518,1564900.0,0.0,1.0
2000-01-05,101.9,102.0,96.63,99.98,29.3666,2739300.0,0.0,1.0
2000-01-06,97.19,101.5,97.0,99.44,29.2079,4175500.0,0.0,1.0
2000-01-07,99.81,105.5,97.5,105.3,30.9292,3019100.0,0.0,1.0
2000-01-10,108.12,118.25,107.94,116.56,34.2365,2588500.0,0.0,1.0
2000-01-11,113.5,120.0,113.3,115.6,33.9545,2494100.0,0.0,1.0
2000-01-12,115.9,121.4,111.6,119.2,35.0119,3056500.0,0.0,1.0
2000-01-13,117.5,122.0,113.8,119.8,35.1882,3515000.0,0.0,1.0
2000-01-14,125.1,139.8,124.9,138.0,40.534,5072800.0,0.0,1.0
2000-01-18,136.3,137.2,129.1,130.6,38.3604,3377700.0,0.0,1.0
2000-01-19,64.56,67.13,62.5,64.31,37.7788,1398300.0,0.0,2.0
2000-01-20,65.06,66.13,59.5,63.25,37.1561,4974600.0,0.0,1.0
2000-01-21,63.63,65.13,61.88,64.25,37.7436,3352900.0,0.0,1.0
2000-01-24,65.0,66.0,59.0,59.81,35.1353,3038100.0,0.0,1.0
2000-01-25,60.69,62.13,56.75,61.94,36.3866,2354200.0,0.0,1.0
2000-01-26,62.25,62.5,58.38,58.38,34.2953,2487700.0,0.0,1.0
2000-01-27,59.31,62.0,54.38,56.94,33.4493,3446300.0,0.0,1.0
2000-01-28,55.0,57.88,54.5,56.31,33.0792,3466400.0,0.0,1.0
2000-01-31,55.38,60.31,54.88,58.63,34.4421,4471300.0,0.0,1.0
2000-02-01,58.44,62.25,57.25,60.63,35.617,3138800.0,0.0,1.0
2000-02-02,59.25,65.13,59.25,64.75,38.0373,5396500.0,0.0,1.0
2000-02-03,64.94,66.5,63.5,66.19,38.8832,3979900.0,0.0,1.0
2000-02-04,67.25,67.88,65.81,65.94,38.7364,5089400.0,0.0,1.0
2000-02-07,65.63,69.0,65.0,68.19,40.0581,2810400.0,0.0,1.0
2000-02-08,68.88,70.0,67.5,69.75,40.9745,3813800.0,0.0,1.0
2000-02-09,68.25,71.13,66.19,67.81,39.8349,4037400.0,0.0,1.0
2000-02-10,67.69,71.0,66.69,70.44,41.3799,1995400.0,0.0,1.0
2000-02-11,70.63,70.75,67.75,68.5,40.2402,1689800.0,0.0,1.0
2000-02-14,68.0,69.13,65.88,67.63,39.7292,2027100.0,0.0,1.0
2000-02-15,67.0,70.5,65.0,69.69,40.9393,2724100.0,0.0,1.0
2000-02-16,71.0,73.38,70.38,71.75,42.1494,3866200.0,0.0,1.0
2000-02-17,72.38,74.13,70.38,74.0,43.4712,2928900.0,0.0,1.0
2000-02-18,72.88,73.44,67.88,68.0,39.9465,2433800.0,0.0,1.0
2000-02-22,67.94,73.0,65.13,71.63,42.0789,2742100.0,0.0,1.0
2000-02-23,71.38,73.69,70.19,72.31,42.4784,2477200.0,0.0,1.0
2000-02-24,73.75,74.38,70.31,72.81,42.7721,3568500.0,0.0,1.0
2000-02-25,72.94,74.75,68.63,68.63,40.3166,2569800.0,0.0,1.0
2000-02-28,67.88,70.53,64.34,69.81,41.0098,3464600.0,0.0,1.0
2000-02-29,71.73,78.81,71.63,77.94,45.7857,5754100.0,0.0,1.0
2000-03-01,78.88,80.0,75.19,75.31,44.2408,2647500.0,0.0,1.0
2000-03-02,77.13,78.25,72.13,72.13,42.3727,2101700.0,0.0,1.0
2000-03-03,76.25,83.25,76.13,83.25,48.9051,3855900.0,0.0,1.0
2000-03-06,85.0,86.25,83.0,83.94,49.3104,4428700.0,0.0,1.0
2000-03-07,84.88,85.38,80.13,84.0,49.3457,3361900.0,0.0,1.0
2000-03-08,83.88,84.0,77.13,79.0,46.4084,4588300.0,0.0,1.0
2000-03-09,79.06,85.25,78.06,85.0,49.9331,2837500.0,0.0,1.0
