date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,64.5,64.56,63.88,63.94,34.3023,1120200.0,0.0,1.0
2000-01-04,63.44,63.81,62.31,63.38,34.0018,1285300.0,0.0,1.0
2000-01-05,63.63,63.88,62.06,62.81,33.6961,1681000.0,0.0,1.0
2000-01-06,63.06,64.31,62.38,64.0,34.3345,1985500.0,0.0,1.0
2000-01-07,65.0,65.94,64.38,65.88,35.343,1780200.0,0.0,1.0
2000-01-10,66.5,68.0,65.56,67.38,36.1477,1913200.0,0.0,1.0
2000-01-11,68.0,68.0,65.0,65.88,35.343,1293700.0,0.0,1.0
2000-01-12,65.81,66.0,64.75,65.38,35.0748,1269000.0,0.0,1.0
2000-01-13,65.63,66.5,64.44,65.94,35.3752,1589300.0,0.0,1.0
2000-01-14,66.0,66.0,64.69,65.44,35.107,1083600.0,0.0,1.0
2000-01-18,65.31,65.31,63.81,64.06,34.3666,1879100.0,0.0,1.0
2000-01-19,65.25,65.38,63.13,64.19,34.4364,1351200.0,0.0,1.0
2000-01-20,64.25,66.0,64.06,64.25,34.4686,1713300.0,0.0,1.0
2000-01-21,66.13,66.13,63.94,64.69,34.7046,2090800.0,0.0,1.0
2000-01-24,64.25,64.38,61.25,63.06,33.8302,1819500.0,0.0,1.0
2000-01-25,64.25,64.25,60.88,62.25,33.3956,1748000.0,0.0,1.0
2000-01-26,63.19,65.56,63.19,64.94,34.8387,2641400.0,0.0,1.0
2000-01-27,64.94,66.06,64.63,65.06,34.9031,2124100.0,0.0,1.0
2000-01-28,64.5,64.94,62.19,63.13,33.8677,1013300.0,0.0,1.0
2000-01-31,63.13,63.13,60.75,62.13,33.3312,1767200.0,0.0,1.0
2000-02-01,61.94,62.63,60.44,61.56,33.0255,1392300.0,0.0,1.0
2000-02-02,60.69,61.69,60.38,61.63,33.063,1839500.0,0.0,1.0
2000-02-03,60.81,62.44,60.81,62.44,33.4976,1813700.0,0.0,1.0
2000-02-04,62.44,63.0,60.63,61.56,33.0255,1669600.0,0.0,1.0
2000-02-07,61.0,61.5,60.06,61.38,32.9289,1206600.0,0.0,1.0
2000-02-08,62.0,62.94,61.75,61.94,33.2293,1622200.0,0.0,1.0
2000-02-09,61.88,61.88,60.19,61.0,32.725,1742700.0,0.0,1.0
2000-02-10,60.63,60.63,57.25,58.63,31.4536,1751900.0,0.0,1.0
2000-02-11,58.38,58.44,54.69,57.94,31.0834,2823100.0,0.0,1.0
2000-02-14,58.75,59.0,56.75,57.31,30.7454,1307800.0,0.0,1.0
2000-02-15,56.0,58.56,56.0,58.0,31.1156,1739800.0,0.0,1.0
2000-02-16,57.56,58.06,56.0,57.0,30.5791,1460100.0,0.0,1.0
2000-02-17,57.25,57.75,54.81,55.0,29.5062,1875000.0,0.0,1.0
2000-02-18,54.25,54.88,51.88,52.88,28.3688,1880500.0,0.0,1.0
2000-02-22,53.0,56.25,53.0,55.31,29.6725,1646300.0,0.0,1.0
2000-02-23,55.06,56.13,54.44,54.88,29.4418,2042400.0,0.0,1.0
2000-02-24,55.0,55.5,52.5,53.25,28.5673,2503700.0,0.0,1.0
2000-02-25,52.13,52.69,51.06,51.44,27.5963,1808800.0,0.0,1.0
2000-02-28,51.31,52.63,50.75,51.91,27.8485,2315700.0,0.0,1.0
2000-02-29,52.0,52.5,51.5,51.5,27.6285,2181800.0,0.0,1.0
2000-03-01,51.44,51.5,48.5,48.88,26.2229,2928900.0,0.0,1.0
2000-03-02,49.0,49.75,48.38,49.25,26.4214,2249600.0,0.0,1.0
2000-03-03,49.5,52.63,49.38,51.81,27.7948,1856600.0,0.0,1.0
2000-03-06,50.56,51.13,49.06,50.63,27.1618,1781900.0,0.0,1.0
2000-03-07,42.25,46.56,42.0,45.38,24.3453,7638100.0,0.0,1.0
2000-03-08,46.75,50.06,46.31,49.0,26.4322,5496700.0,0.27,1.0
2000-03-09,49.0,50.19,48.31,50.19,27.0741,2526300.0,0.0,1.0
2000-03-10,50.0,50.31,46.44,47.5,25.623,3065000.0,0.0,1.0
2000-03-13,46.38,48.0,46.13,47.69,25.7255,1974700.0,0.0,1.0
2000-03-14,47.75,47.88,45.81,46.49,25.0782,2307700.0,0.0,1.0
2000-03-15,46.13,51.75,46.0,50.88,27.4463,3264500.0,0.0,1.0
2000-03-16,52.5,57.38,52.0,55.63,30.0086,3338200.0,0.0,1.0
2000-03-17,54.88,56.94,52.94,54.0,29.1293,2637200.0,0.0,1.0
2000-03-20,54.0,54.69,53.0,53.44,28.8272,1846100.0,0.0,1.0
2000-03-21,53.56,54.94,52.31,53.0,28.5899,1779500.0,0.0,1.0
2000-03-22,51.63,52.75,51.0,51.81,27.948,1463100.0,0.0,1.0
2000-03-23,51.75,53.81,51.44,53.44,28.8272,2121800.0,0.0,1.0
2000-03-24,53.44,54.94,52.75,53.13,28.66,1849700.0,0.0,1.0
2000-03-27,53.13,54.0,51.81,52.0,28.0505,1526800.0,0.0,1.0
2000-03-28,51.0,52.5,51.0,51.69,27.8832,1821700.0,0.0,1.0
2000-03-29,51.69,53.31,51.63,53.13,28.66,2097800.0,0.0,1.0
2000-03-30,53.63,57.81,53.25,56.63,30.548,2531100.0,0.0,1.0
2000-03-31,56.88,58.25,55.19,56.06,30.2406,2402500.0,0.0,1.0
2000-04-03,56.38,59.31,56.19,59.31,31.9937,1527600.0,0.0,1.0
2000-04-04,59.31,61.38,56.25,59.06,31.8589,2302500.0,0.0,1.0
2000-04-05,59.06,59.06,55.88,55.88,30.1435,1640000.0,0.0,1.0
2000-04-06,56.75,57.06,55.5,56.13,30.2783,1061400.0,0.0,1.0
2000-04-07,56.25,56.88,55.69,56.25,30.3431,790100.0,0.0,1.0
2000-04-10,56.13,58.0,55.81,56.06,30.2406,1537400.0,0.0,1.0
2000-04-11,56.44,58.69,56.13,57.56,31.0497,1529000.0,0.0,1.0
2000-04-12,57.44,60.44,57.44,59.56,32.1286,2355400.0,0.0,1.0
2000-04-13,59.56,60.5,57.5,60.5,32.6356,2257800.0,0.0,1.0
2000-04-14,59.0,59.13,55.94,56.88,30.6829,1924400.0,0.0,1.0
2000-04-17,55.88,58.75,54.0,58.75,31.6916,2293300.0,0.0,1.0
2000-04-18,58.25,59.0,57.0,58.25,31.4219,2425500.0,0.0,1.0
2000-04-19,58.25,58.38,57.56,58.0,31.2871,1481500.0,0.0,1.0
2000-04-20,58.0,60.0,57.63,59.63,32.1663,1491300.0,0.0,1.0
2000-04-24,59.0,60.44,58.88,60.38,32.5709,1713800.0,0.0,1.0
2000-04-25,60.44,61.75,58.88,61.0,32.9054,3218300.0,0.0,1.0
2000-04-26,60.25,60.63,59.44,60.0,32.3659,2030700.0,0.0,1.0
2000-04-27,59.0,59.5,58.19,58.88,31.7618,1676900.0,0.0,1.0
2000-04-28,58.25,58.63,56.31,57.94,31.2547,1609800.0,0.0,1.0
2000-05-01,56.5,58.56,56.5,57.13,30.8178,1419300.0,0.0,1.0
2000-05-02,57.19,58.06,56.19,57.88,31.2223,1709200.0,0.0,1.0
2000-05-03,57.0,57.94,57.0,57.81,31.1846,1022200.0,0.0,1.0
2000-05-04,57.88,58.94,57.06,58.44,31.5244,1723000.0,0.0,1.0
2000-05-05,58.5,59.31,57.81,58.94,31.7941,1504400.0,0.0,1.0
2000-05-08,58.38,59.44,58.25,58.63,31.6269,856000.0,0.0,1.0
2000-05-09,59.13,60.81,58.94,60.44,32.6033,1165600.0,0.0,1.0
2000-05-10,60.0,60.63,59.25,60.0,32.3659,1474900.0,0.0,1.0
2000-05-11,60.25,62.25,59.94,61.56,33.2074,1339400.0,0.0,1.0
2000-05-12,61.31,61.31,59.13,60.21,32.4792,977900.0,0.0,1.0
2000-05-15,60.25,62.0,60.06,61.0,32.9054,1050900.0,0.0,1.0
2000-05-16,61.25,62.5,60.0,61.25,33.0402,1150500.0,0.0,1.0
2000-05-17,60.88,62.94,60.63,62.56,33.7469,1212900.0,0.0,1.0
2000-05-18,61.88,62.06,60.38,60.88,32.8406,1101400.0,0.0,1.0
2000-05-19,59.88,60.5,59.5,60.5,32.6356,1051000.0,0.0,1.0
2000-05-22,61.75,61.75,59.81,60.0,32.3659,1370900.0,0.0,1.0
2000-05-23,59.75,60.06,57.75,59.75,32.2311,1046300.0,0.0,1.0
2000-05-24,59.81,60.81,59.81,59.81,32.2634,807700.0,0.0,1.0
2000-05-25,59.56,59.63,58.06,58.44,31.5244,1068000.0,0.0,1.0
2000-05-26,58.5,58.63,57.31,58.0,31.2871,773200.0,0.0,1.0
2000-05-30,58.13,58.94,58.06,58.63,31.6269,1378100.0,0.0,1.0
2000-05-31,58.5,59.13,58.0,59.13,31.8966,1914400.0,0.0,1.0
2000-06-01,60.0,62.06,59.69,61.25,33.0402,1694800.0,0.0,1.0
2000-06-02,61.25,61.94,59.19,59.94,32.3336,1058200.0,0.0,1.0
2000-06-05,60.0,60.5,59.44,59.63,32.1663,913500.0,0.0,1.0
2000-06-06,59.69,61.13,59.44,60.63,32.7058,918100.0,0.0,1.0
2000-06-07,60.0,60.44,58.63,58.69,31.8049,1563200.0,0.27,1.0
2000-06-08,56.81,59.13,56.81,58.25,31.5665,2345700.0,0.0,1.0
