date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,71.06,71.06,67.0,68.38,26.8751,625000.0,0.0,1.0
2000-01-04,68.13,69.38,67.38,67.56,26.5528,642800.0,0.0,1.0
2000-01-05,67.69,69.38,67.5,67.56,26.5528,755100.0,0.0,1.0
2000-01-06,69.0,70.81,69.0,70.69,27.7829,1009000.0,0.0,1.0
2000-01-07,70.69,75.69,70.69,75.56,29.697,949200.0,0.0,1.0
2000-01-10,75.5,76.25,73.81,75.75,29.7717,678900.0,0.0,1.0
2000-01-11,75.88,76.5,74.88,75.13,29.528,610900.0,0.0,1.0
2000-01-12,75.0,76.0,72.5,73.06,28.7144,481900.0,0.0,1.0
2000-01-13,73.56,74.56,73.0,73.63,28.9384,610100.0,0.0,1.0
2000-01-14,75.5,77.88,74.75,77.0,30.2629,906100.0,0.0,1.0
2000-01-18,76.31,77.69,76.0,76.69,30.1411,455000.0,0.0,1.0
2000-01-19,76.69,78.25,76.69,77.38,30.4123,768100.0,0.0,1.0
2000-01-20,77.13,77.44,76.0,76.56,30.09,547100.0,0.0,1.0
2000-01-21,78.44,78.44,75.88,76.31,29.9917,849300.0,0.0,1.0
2000-01-24,77.0,77.0,73.38,73.44,28.8638,613100.0,0.0,1.0
2000-01-25,73.69,74.13,70.31,71.81,28.2231,732100.0,0.0,1.0
2000-01-26,72.0,74.31,71.25,73.31,28.8127,820000.0,0.0,1.0
2000-01-27,73.06,73.06,70.0,71.0,27.9048,735100.0,0.0,1.0
2000-01-28,70.75,71.0,68.13,68.81,27.0441,899700.0,0.0,1.0
2000-01-31,69.06,70.75,69.0,70.13,27.5629,596900.0,0.0,1.0
2000-02-01,71.25,73.88,70.38,73.13,28.7419,620700.0,0.0,1.0
2000-02-02,73.13,74.75,72.25,73.75,28.9856,1019100.0,0.0,1.0
2000-02-03,75.5,78.0,75.25,77.5,30.4594,1593300.0,0.0,1.0
2000-02-04,78.25,81.81,78.06,80.13,31.4931,1279500.0,0.0,1.0
2000-02-07,80.0,81.13,79.31,79.94,31.4184,1134800.0,0.0,1.0
2000-02-08,79.69,80.88,79.06,80.75,31.7368,548400.0,0.0,1.0
2000-02-09,81.0,81.0,78.56,78.56,30.8761,776700.0,0.0,1.0
2000-02-10,78.81,80.0,78.0,79.63,31.2966,497100.0,0.0,1.0
2000-02-11,79.38,80.0,79.0,79.5,31.2455,298100.0,0.0,1.0
2000-02-14,78.75,79.19,77.75,77.88,30.6088,736000.0,0.0,1.0
2000-02-15,77.88,77.88,75.5,76.38,30.0193,728800.0,0.0,1.0
2000-02-16,75.88,75.88,71.5,71.94,28.2742,1219900.0,0.0,1.0
2000-02-17,71.5,72.25,68.13,69.25,27.217,1323400.0,0.0,1.0
2000-02-18,69.5,72.38,69.5,71.13,27.9559,1060500.0,0.0,1.0
2000-02-22,70.88,71.75,70.5,71.06,27.9284,940900.0,0.0,1.0
2000-02-23,71.06,73.5,71.06,72.38,28.4472,730400.0,0.0,1.0
2000-02-24,72.38,72.38,68.88,69.06,27.1423,1867400.0,0.0,1.0
2000-02-25,70.0,71.63,69.06,69.56,27.3388,1845100.0,0.0,1.0
2000-02-28,69.56,74.38,69.56,74.06,29.1074,1347500.0,0.0,1.0
2000-02-29,73.81,77.13,73.56,75.81,29.7952,1158100.0,0.0,1.0
2000-03-01,77.63,79.75,76.5,78.69,30.9271,1623000.0,0.0,1.0
2000-03-02,78.0,78.5,76.5,77.0,30.2629,763300.0,0.0,1.0
2000-03-03,77.0,78.0,75.88,76.0,29.8699,808400.0,0.0,1.0
2000-03-06,76.0,78.94,74.5,76.81,30.1883,819200.0,0.0,1.0
2000-03-07,77.88,79.25,73.69,75.44,29.6498,1282300.0,0.0,1.0
2000-03-08,76.75,80.75,75.88,80.0,31.442,1187100.0,0.0,1.0
2000-03-09,80.0,89.0,77.88,87.0,34.1932,1755400.0,0.0,1.0
2000-03-10,86.81,86.81,82.38,86.31,33.922,1469200.0,0.0,1.0
2000-03-13,78.75,86.56,78.75,84.69,33.2853,1391000.0,0.0,1.0
2000-03-14,84.94,84.94,82.88,83.38,32.7704,875000.0,0.0,1.0
2000-03-15,83.19,85.75,82.38,85.19,33.4818,1097400.0,0.0,1.0
2000-03-16,87.0,95.0,85.81,94.63,37.192,3822700.0,0.0,1.0
2000-03-17,93.0,93.69,89.38,89.81,35.2976,1667200.0,0.0,1.0
2000-03-20,90.63,94.5,90.5,93.0,36.5513,1157600.0,0.0,1.0
2000-03-21,92.0,95.0,91.69,95.0,37.3374,711700.0,0.0,1.0
2000-03-22,94.88,95.0,91.25,92.75,36.4531,925200.0,0.0,1.0
2000-03-23,93.0,96.44,90.75,94.13,36.9955,935500.0,0.0,1.0
2000-03-24,94.19,101.25,93.94,96.56,37.9505,1612400.0,0.0,1.0
2000-03-27,96.63,97.75,95.56,96.38,37.8798,631000.0,0.0,1.0
2000-03-28,95.75,98.0,94.5,95.13,37.3885,989000.0,0.0,1.0
2000-03-29,95.25,96.38,94.5,95.88,37.6832,1206700.0,0.0,1.0
2000-03-30,95.94,99.81,95.5,99.56,39.1296,1247000.0,0.0,1.0
2000-03-31,99.88,104.3,99.88,102.5,40.2851,1894100.0,0.0,1.0
2000-04-03,103.3,104.7,102.1,104.1,40.9139,842200.0,0.0,1.0
2000-04-04,104.7,104.9,98.06,99.63,39.1571,1482100.0,0.0,1.0
2000-04-05,98.88,102.0,95.13,100.9,39.6562,885000.0,0.0,1.0
2000-04-06,100.9,106.0,100.9,103.9,40.8353,836900.0,0.0,1.0
2000-04-07,104.1,106.7,103.1,106.2,41.7393,793600.0,0.0,1.0
2000-04-10,106.2,109.6,105.1,108.8,42.7611,844400.0,0.0,1.0
2000-04-11,108.6,108.6,105.3,106.0,41.6607,765600.0,0.0,1.0
2000-04-12,105.9,109.1,104.5,107.1,42.093,981400.0,0.0,1.0
2000-04-13,105.9,106.4,101.0,101.1,39.7348,984400.0,0.0,1.0
2000-04-14,98.0,98.25,87.13,91.63,36.0129,1563000.0,0.0,1.0
2000-04-17,91.38,92.5,88.5,90.56,35.5924,1407600.0,0.0,1.0
2000-04-18,91.38,98.94,91.0,98.06,38.54,1144900.0,0.0,1.0
2000-04-19,98.06,99.5,96.06,98.94,38.8859,1166900.0,0.0,1.0
2000-04-20,99.19,103.0,98.75,102.1,40.1279,932300.0,0.0,1.0
2000-04-24,101.8,103.4,98.94,100.0,39.3025,957900.0,0.0,1.0
2000-04-25,50.5,52.5,50.25,52.5,41.2676,665550.0,0.0,2.0
2000-04-26,52.5,53.0,51.5,52.06,40.9218,1192900.0,0.0,1.0
2000-04-27,50.13,51.63,49.5,50.94,40.0414,1618000.0,0.0,1.0
2000-04-28,51.13,51.25,48.0,48.13,37.8326,1915700.0,0.0,1.0
2000-05-01,48.5,52.38,48.5,52.0,40.8746,2022100.0,0.0,1.0
2000-05-02,51.75,52.5,51.06,51.81,40.7253,938900.0,0.0,1.0
2000-05-03,46.25,48.0,44.0,48.0,37.7304,5102900.0,0.0,1.0
2000-05-04,48.0,48.0,44.13,47.5,37.3374,2787700.0,0.0,1.0
2000-05-05,47.19,50.0,46.5,49.75,39.106,1694900.0,0.0,1.0
2000-05-08,49.38,49.38,48.06,48.75,38.3199,1309600.0,0.0,1.0
2000-05-09,48.88,49.94,47.69,48.0,37.7304,1625600.0,0.0,1.0
2000-05-10,48.44,48.69,47.5,48.06,37.7776,1248200.0,0.0,1.0
2000-05-11,48.0,49.0,47.63,48.94,38.4693,802500.0,0.0,1.0
2000-05-12,48.69,51.0,48.44,49.96,39.2711,1557900.0,0.0,1.0
2000-05-15,50.0,51.44,49.06,51.19,40.2379,1015300.0,0.0,1.0
2000-05-16,51.19,52.44,51.0,51.38,40.3873,857600.0,0.0,1.0
2000-05-17,52.19,52.94,49.88,52.88,41.5663,1734500.0,0.0,1.0
2000-05-18,52.94,54.44,52.56,54.0,42.4467,1150300.0,0.0,1.0
2000-05-19,53.31,53.44,52.13,52.31,41.1183,1115000.0,0.0,1.0
2000-05-22,53.19,53.19,50.25,51.25,40.2851,911300.0,0.0,1.0
2000-05-23,52.5,53.5,52.19,52.63,41.3698,1832200.0,0.0,1.0
2000-05-24,51.5,51.56,47.0,48.25,37.9269,4453000.0,0.0,1.0
2000-05-25,49.0,49.25,47.63,49.0,38.5165,2114700.0,0.0,1.0
2000-05-26,49.0,49.0,47.06,48.75,38.3199,1078700.0,0.0,1.0
2000-05-30,48.75,50.0,48.25,49.56,38.9566,1326500.0,0.0,1.0
2000-05-31,49.75,52.25,49.5,51.88,40.7803,1675600.0,0.0,1.0
2000-06-01,53.0,54.94,52.75,54.5,42.8397,1397700.0,0.0,1.0
2000-06-02,56.88,59.63,56.38,59.25,46.5735,2376000.0,0.0,1.0
2000-06-05,58.5,58.5,55.5,56.0,44.0188,4489600.0,0.0,1.0
2000-06-06,55.81,56.0,55.13,55.88,43.9245,1590200.0,0.0,1.0
2000-06-07,55.75,56.88,55.38,55.81,43.8695,1481500.0,0.0,1.0
2000-06-08,55.88,56.0,54.06,54.63,42.9419,1145000.0,0.0,1.0
2000-06-09,54.63,55.19,53.25,53.56,42.1008,2141500.0,0.0,1.0
2000-06-12,53.63,53.63,51.5,51.75,40.6781,2003400.0,0.0,1.0
2000-06-13,51.69,52.38,50.19,52.38,41.1733,2730200.0,0.0,1.0
2000-06-14,52.25,52.88,51.75,52.5,41.2676,1042100.0,0.0,1.0
2000-06-15,53.0,54.75,52.56,54.5,42.8397,1178300.0,0.0,1.0
2000-06-16,54.13,54.38,53.56,54.31,42.6904,1521300.0,0.0,1.0
2000-06-19,54.31,55.0,53.69,54.75,43.0362,1057900.0,0.0,1.0
2000-06-20,54.56,55.19,54.38,55.0,43.2328,672900.0,0.0,1.0
2000-06-21,55.06,55.31,54.5,55.25,43.4293,638600.0,0.0,1.0
2000-06-22,55.19,55.25,54.13,54.13,42.5489,1084400.0,0.0,1.0
2000-06-23,54.25,56.75,53.69,55.44,43.5786,1056900.0,0.0,1.0
2000-06-26,55.44,56.38,55.0,55.06,43.2799,901000.0,0.0,1.0
2000-06-27,55.06,55.81,54.0,54.69,42.9891,1251600.0,0.0,1.0
2000-06-28,54.81,55.5,54.13,54.23,42.6275,1074500.0,0.0,1.0
2000-06-29,54.06,54.81,53.13,53.75,42.2502,2461200.0,0.0,1.0
2000-06-30,53.94,56.06,53.75,55.63,43.728,1732600.0,0.0,1.0
2000-07-03,54.94,55.0,54.38,54.88,43.1384,697100.0,0.0,1.0
2000-07-05,55.5,55.5,54.19,54.25,42.6432,1458700.0,0.0,1.0
2000-07-06,55.63,56.88,54.56,56.44,44.3647,1428900.0,0.0,1.0
2000-07-07,58.25,60.5,57.75,60.06,47.2102,1970500.0,0.0,1.0
2000-07-10,60.13,63.69,59.63,63.0,49.5212,2246900.0,0.0,1.0
2000-07-11,62.0,64.5,62.0,63.5,49.9142,2137100.0,0.0,1.0
