date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,60.19,60.5,58.94,59.06,8.3433,413700.0,0.0,1.0
2000-01-04,58.81,59.5,58.63,58.69,8.291,341000.0,0.0,1.0
2000-01-05,58.63,59.19,58.31,58.38,8.2472,300300.0,0.0,1.0
2000-01-06,57.75,58.13,57.5,57.94,8.1851,333800.0,0.0,1.0
2000-01-07,57.81,59.13,57.75,58.88,8.3179,250600.0,0.0,1.0
2000-01-10,59.0,59.25,57.88,58.56,8.2726,432500.0,0.0,1.0
2000-01-11,58.38,59.25,58.38,58.5,8.2642,312100.0,0.0,1.0
2000-01-12,58.69,59.5,58.69,59.25,8.3701,202100.0,0.0,1.0
2000-01-13,59.25,60.69,59.25,60.19,8.5029,218300.0,0.0,1.0
2000-01-14,60.69,60.94,59.63,60.38,8.5298,188100.0,0.0,1.0
2000-01-18,61.13,61.13,60.38,60.63,8.5651,358600.0,0.0,1.0
2000-01-19,60.38,61.0,57.06,60.0,8.4761,237800.0,0.0,1.0
2000-01-20,59.75,59.88,58.19,58.38,8.2472,148400.0,0.0,1.0
2000-01-21,58.38,59.0,58.38,58.63,8.2825,280500.0,0.0,1.0
2000-01-24,58.69,58.69,57.5,57.5,8.1229,329500.0,0.0,1.0
2000-01-25,57.5,57.81,56.94,57.0,8.0523,289800.0,0.0,1.0
2000-01-26,57.25,57.5,56.75,57.13,8.0706,442300.0,0.0,1.0
2000-01-27,57.38,57.38,56.19,56.31,7.9548,292600.0,0.0,1.0
2000-01-28,56.13,56.25,55.5,55.63,7.8941,258200.0,0.25,1.0
2000-01-31,55.19,56.44,55.19,56.0,7.9466,427000.0,0.0,1.0
2000-02-01,56.0,57.0,55.81,57.0,8.0885,276100.0,0.0,1.0
2000-02-02,56.75,57.25,56.63,56.69,8.0445,132400.0,0.0,1.0
2000-02-03,56.75,57.88,56.63,57.31,8.1324,291800.0,0.0,1.0
2000-02-04,57.19,57.81,57.06,57.38,8.1424,231700.0,0.0,1.0
2000-02-07,57.38,57.94,56.63,57.0,8.0885,1292000.0,0.0,1.0
2000-02-08,56.56,56.56,52.63,52.81,7.4939,322700.0,0.0,1.0
2000-02-09,52.81,54.25,51.81,52.44,7.4414,305300.0,0.0,1.0
2000-02-10,52.44,53.25,52.06,52.06,7.3875,312000.0,0.0,1.0
2000-02-11,52.06,52.19,50.31,50.5,7.1661,330900.0,0.0,1.0
2000-02-14,50.5,50.5,49.5,49.5,7.0242,368800.0,0.0,1.0
2000-02-15,49.31,49.38,48.25,48.44,6.8738,520700.0,0.0,1.0
2000-02-16,48.56,48.81,48.31,48.75,6.9178,407800.0,0.0,1.0
2000-02-17,48.94,49.0,48.31,48.44,6.8738,330500.0,0.0,1.0
2000-02-18,48.0,48.06,46.31,46.81,6.6425,320900.0,0.0,1.0
2000-02-22,46.88,47.31,46.06,46.94,6.6609,178000.0,0.0,1.0
2000-02-23,46.94,47.0,45.94,46.25,6.563,167600.0,0.0,1.0
2000-02-24,45.0,45.75,43.56,45.56,6.4651,683300.0,0.0,1.0
2000-02-25,45.75,46.44,45.5,45.63,6.475,539300.0,0.0,1.0
2000-02-28,45.88,48.13,45.81,46.94,6.6609,476100.0,0.0,1.0
2000-02-29,46.0,46.13,44.25,44.5,6.3147,834400.0,0.0,1.0
2000-03-01,44.56,45.25,43.75,44.63,6.3331,400800.0,0.0,1.0
2000-03-02,44.5,44.69,43.75,43.88,6.2267,365800.0,0.0,1.0
2000-03-03,43.88,45.56,43.0,43.69,6.1997,621300.0,0.0,1.0
2000-03-06,43.94,43.94,42.0,42.25,5.9954,311200.0,0.0,1.0
2000-03-07,42.25,42.25,41.25,41.31,5.862,300100.0,0.0,1.0
2000-03-08,40.5,41.88,39.94,40.0,5.6761,404800.0,0.0,1.0
2000-03-09,40.06,40.94,40.0,40.94,5.8095,786100.0,0.0,1.0
2000-03-10,40.5,40.63,39.88,40.06,5.6846,494400.0,0.0,1.0
2000-03-13,38.25,40.44,38.25,40.25,5.7116,554200.0,0.0,1.0
2000-03-14,40.38,41.88,40.06,40.94,5.8095,546900.0,0.0,1.0
2000-03-15,40.94,42.94,40.94,42.81,6.0749,249300.0,0.0,1.0
2000-03-16,43.38,46.44,43.25,45.69,6.4835,295300.0,0.0,1.0
2000-03-17,45.0,46.75,44.88,45.5,6.4566,332800.0,0.0,1.0
2000-03-20,45.75,46.5,44.81,45.13,6.4041,283900.0,0.0,1.0
2000-03-21,44.5,48.25,44.5,47.13,6.6879,513800.0,0.0,1.0
2000-03-22,46.94,47.56,46.69,46.94,6.6609,313500.0,0.0,1.0
2000-03-23,46.69,48.13,46.38,48.0,6.8113,492900.0,0.0,1.0
2000-03-24,48.06,48.19,47.56,47.56,6.7489,231800.0,0.0,1.0
2000-03-27,48.5,48.5,46.5,46.63,6.6169,194800.0,0.0,1.0
2000-03-28,46.38,49.0,46.25,47.88,6.7943,272000.0,0.0,1.0
2000-03-29,47.88,48.88,47.63,47.69,6.7673,232800.0,0.0,1.0
2000-03-30,48.75,51.31,48.63,49.0,6.9532,438800.0,0.0,1.0
