date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,43.44,43.69,40.31,40.56,8.1557,963500.0,0.0,1.0
2000-01-04,40.44,41.12,39.62,39.75,7.9928,1200200.0,0.0,1.0
2000-01-05,39.62,39.94,39.19,39.19,7.8802,435400.0,0.0,1.0
2000-01-06,40.06,40.06,37.88,38.56,7.7535,1056900.0,0.0,1.0
2000-01-07,39.12,39.25,38.38,38.81,7.8038,780800.0,0.0,1.0
2000-01-10,38.69,39.0,38.25,38.31,7.7033,684400.0,0.0,1.0
2000-01-11,38.38,38.62,36.88,37.12,7.464,886300.0,0.0,1.0
2000-01-12,37.25,37.69,36.19,36.69,7.3775,728800.0,0.0,1.0
2000-01-13,36.62,36.69,34.94,35.06,7.0498,1146300.0,0.0,1.0
2000-01-14,34.62,36.19,34.62,35.12,7.0618,1047200.0,0.0,1.0
2000-01-18,34.94,35.62,33.88,34.19,6.8748,521100.0,0.0,1.0
2000-01-19,34.25,34.5,33.5,34.0,6.8366,825500.0,0.0,1.0
2000-01-20,33.75,34.31,32.78,34.06,6.8487,751400.0,0.0,1.0
2000-01-21,34.44,34.44,33.12,33.31,6.6979,1265100.0,0.0,1.0
2000-01-24,33.31,33.31,31.81,32.75,6.5853,541000.0,0.0,1.0
2000-01-25,32.38,33.12,32.31,32.56,6.5471,1255600.0,0.0,1.0
2000-01-26,33.25,33.44,32.44,32.62,6.5591,710600.0,0.0,1.0
2000-01-27,33.12,33.44,31.5,31.81,6.3963,1500300.0,0.0,1.0
2000-01-28,31.88,31.94,30.19,30.5,6.1328,1869600.0,0.0,1.0
2000-01-31,30.75,30.94,30.31,30.69,6.171,663200.0,0.0,1.0
2000-02-01,30.88,32.12,30.75,31.12,6.2575,1524000.0,0.0,1.0
2000-02-02,32.0,35.0,31.62,33.25,6.6858,1787500.0,0.0,1.0
2000-02-03,35.0,36.0,33.75,34.81,6.9995,2328300.0,0.0,1.0
2000-02-04,35.06,35.56,34.56,35.5,7.1382,1731100.0,0.0,1.0
2000-02-07,35.69,35.69,34.81,34.94,7.0256,1334800.0,0.0,1.0
2000-02-08,35.5,35.62,34.88,35.5,7.1382,1101200.0,0.0,1.0
2000-02-09,35.5,35.56,34.25,34.5,6.9371,649000.0,0.0,1.0
2000-02-10,34.75,34.75,34.06,34.31,6.8989,704800.0,0.0,1.0
2000-02-11,34.38,34.38,33.12,33.31,6.6979,586800.0,0.0,1.0
2000-02-14,33.38,33.62,32.69,33.5,6.7361,704000.0,0.0,1.0
2000-02-15,33.75,34.12,33.69,33.81,6.7984,692500.0,0.0,1.0
2000-02-16,33.75,33.75,30.5,31.12,6.2575,1295200.0,0.0,1.0
2000-02-17,31.38,31.81,30.62,30.69,6.171,926500.0,0.0,1.0
2000-02-18,30.44,30.88,30.19,30.62,6.157,702400.0,0.0,1.0
2000-02-22,31.5,31.69,30.69,31.44,6.3219,703100.0,0.0,1.0
2000-02-23,31.69,32.25,30.5,30.69,6.171,1301200.0,0.0,1.0
2000-02-24,30.75,30.81,28.88,29.19,5.8694,1571700.0,0.0,1.0
2000-02-25,29.12,30.25,29.12,30.12,6.0564,1459100.0,0.0,1.0
2000-02-28,31.25,31.62,30.38,31.31,6.2957,1195300.0,0.0,1.0
2000-02-29,32.0,34.0,31.62,34.0,6.8366,1315700.0,0.0,1.0
2000-03-01,33.31,33.75,32.56,33.62,6.7904,1276900.0,0.15,1.0
2000-03-02,33.62,33.81,33.06,33.62,6.7904,1708600.0,0.0,1.0
2000-03-03,33.62,33.81,33.06,33.81,6.8287,807900.0,0.0,1.0
2000-03-06,33.5,33.69,32.81,33.5,6.7661,788500.0,0.0,1.0
2000-03-07,33.81,33.81,31.88,31.94,6.451,1159100.0,0.0,1.0
2000-03-08,32.38,32.44,31.56,32.25,6.5137,883900.0,0.0,1.0
2000-03-09,32.0,34.0,32.0,34.0,6.8671,962500.0,0.0,1.0
2000-03-10,34.0,34.06,33.44,34.0,6.8671,613400.0,0.0,1.0
2000-03-13,33.88,33.88,32.88,33.44,6.754,612100.0,0.0,1.0
2000-03-14,33.44,33.75,32.81,33.38,6.7419,780600.0,0.0,1.0
2000-03-15,33.19,36.44,33.19,35.69,7.2084,960900.0,0.0,1.0
2000-03-16,35.69,39.56,35.69,39.5,7.978,1574800.0,0.0,1.0
2000-03-17,38.75,38.81,37.25,37.38,7.5498,889100.0,0.0,1.0
2000-03-20,37.0,38.62,36.88,37.94,7.6629,633100.0,0.0,1.0
2000-03-21,38.44,39.5,38.31,38.56,7.7881,1386700.0,0.0,1.0
2000-03-22,38.5,38.5,37.5,38.25,7.7255,1171100.0,0.0,1.0
2000-03-23,38.25,38.44,37.94,38.31,7.7376,1021700.0,0.0,1.0
2000-03-24,38.31,38.94,38.12,38.69,7.8144,317000.0,0.0,1.0
2000-03-27,38.44,39.56,38.31,39.38,7.9537,867400.0,0.0,1.0
2000-03-28,39.75,39.88,38.38,38.56,7.7881,603400.0,0.0,1.0
2000-03-29,38.69,39.31,38.62,39.31,7.9396,356000.0,0.0,1.0
2000-03-30,39.44,41.38,39.06,41.31,8.3435,1199400.0,0.0,1.0
2000-03-31,40.5,42.81,40.5,42.12,8.5071,1330800.0,0.0,1.0
2000-04-03,42.19,43.88,42.19,43.44,8.7737,1337200.0,0.0,1.0
2000-04-04,43.44,43.5,39.31,41.19,8.3193,1442600.0,0.0,1.0
2000-04-05,40.88,41.94,40.56,41.69,8.4203,656000.0,0.0,1.0
2000-04-06,45.0,47.5,43.88,46.81,9.4544,3732500.0,0.0,1.0
2000-04-07,47.0,51.5,46.94,48.75,9.8462,2805800.0,0.0,1.0
2000-04-10,48.62,49.5,47.31,48.81,9.8583,1193400.0,0.0,1.0
2000-04-11,48.88,51.75,48.81,51.44,10.3895,1572600.0,0.0,1.0
2000-04-12,50.5,50.75,47.81,47.81,9.6564,863900.0,0.0,1.0
2000-04-13,48.0,49.5,46.88,46.88,9.4685,691500.0,0.0,1.0
2000-04-14,46.56,46.81,44.0,44.19,8.9252,885600.0,0.0,1.0
2000-04-17,44.19,44.75,41.88,42.94,8.6728,1554300.0,0.0,1.0
2000-04-18,43.5,44.81,43.12,44.0,8.8869,1088700.0,0.0,1.0
2000-04-19,43.75,44.94,43.75,44.75,9.0383,744100.0,0.0,1.0
2000-04-20,44.5,44.75,43.06,43.94,8.8747,817800.0,0.0,1.0
2000-04-24,43.38,46.62,43.38,46.25,9.3413,924900.0,0.0,1.0
2000-04-25,47.0,47.38,46.06,46.69,9.4302,900000.0,0.0,1.0
2000-04-26,46.81,47.75,46.25,46.69,9.4302,1344000.0,0.0,1.0
2000-04-27,46.12,46.69,44.38,44.94,9.0767,1468100.0,0.0,1.0
2000-04-28,45.0,45.81,44.88,45.19,9.1272,971400.0,0.0,1.0
2000-05-01,45.44,48.69,45.38,48.62,9.82,1263100.0,0.0,1.0
2000-05-02,48.38,50.0,46.81,50.0,10.0987,1418600.0,0.0,1.0
2000-05-03,46.56,47.31,44.12,44.5,8.9878,1561700.0,0.0,1.0
2000-05-04,44.5,46.06,44.44,45.69,9.2282,1146500.0,0.0,1.0
2000-05-05,45.44,47.38,45.12,47.38,9.5695,1022000.0,0.0,1.0
2000-05-08,47.12,47.81,46.75,47.81,9.6564,479400.0,0.0,1.0
2000-05-09,48.0,49.38,48.0,49.38,9.9735,589900.0,0.0,1.0
2000-05-10,49.12,49.12,48.56,49.12,9.921,1314000.0,0.0,1.0
2000-05-11,49.12,49.38,48.62,49.38,9.9735,437900.0,0.0,1.0
2000-05-12,49.88,50.0,49.44,49.62,10.0219,508300.0,0.0,1.0
2000-05-15,47.5,50.12,47.5,50.12,10.1229,1384700.0,0.0,1.0
2000-05-16,49.25,50.88,48.94,49.62,10.0219,1140200.0,0.0,1.0
2000-05-17,49.62,49.62,47.19,48.44,9.7836,1384100.0,0.0,1.0
2000-05-18,47.88,48.94,47.88,48.5,9.7957,325500.0,0.0,1.0
2000-05-19,47.62,48.62,47.25,48.62,9.82,504300.0,0.0,1.0
2000-05-22,48.62,49.62,48.5,49.25,9.9472,589700.0,0.0,1.0
2000-05-23,49.0,49.69,48.31,48.75,9.8462,631600.0,0.0,1.0
2000-05-24,48.75,48.75,46.25,47.94,9.6826,995900.0,0.0,1.0
2000-05-25,48.19,51.69,48.19,49.5,9.9977,1859600.0,0.0,1.0
2000-05-26,49.31,50.0,47.06,47.38,9.5695,2385100.0,0.0,1.0
2000-05-30,47.5,48.56,47.5,48.12,9.719,1171200.0,0.0,1.0
2000-05-31,24.0,24.44,23.81,24.12,9.7432,806450.0,0.0,2.0
2000-06-01,24.31,24.38,23.25,23.62,9.5412,1284100.0,0.0,1.0
2000-06-02,23.62,24.31,23.62,23.81,9.618,3052200.0,0.0,1.0
2000-06-05,23.88,24.5,23.69,24.25,9.7957,1466400.0,0.0,1.0
2000-06-06,24.0,24.19,22.88,23.0,9.2908,1467500.0,0.0,1.0
2000-06-07,22.62,24.12,22.38,22.88,9.2726,5579300.0,0.075,1.0
2000-06-08,23.5,23.5,22.81,22.88,9.2726,992700.0,0.0,1.0
2000-06-09,23.25,23.38,22.31,22.44,9.0943,635500.0,0.0,1.0
2000-06-12,22.62,22.62,21.81,22.12,8.9646,1614700.0,0.0,1.0
2000-06-13,21.88,22.19,21.69,22.0,8.916,1063400.0,0.0,1.0
2000-06-14,22.0,22.44,21.88,22.12,8.9646,388700.0,0.0,1.0
2000-06-15,22.38,22.62,22.38,22.62,9.1673,2768700.0,0.0,1.0
2000-06-16,22.5,22.62,22.06,22.19,8.993,1415700.0,0.0,1.0
2000-06-19,22.81,22.81,21.75,21.81,8.839,908000.0,0.0,1.0
2000-06-20,21.75,22.12,21.69,21.94,8.8917,932400.0,0.0,1.0
2000-06-21,22.19,22.19,21.56,21.62,8.762,547400.0,0.0,1.0
2000-06-22,21.25,21.44,21.12,21.25,8.612,895000.0,0.0,1.0
2000-06-23,21.94,21.94,21.25,21.25,8.612,1145100.0,0.0,1.0
2000-06-26,21.75,21.81,21.22,21.38,8.6647,895300.0,0.0,1.0
2000-06-27,21.62,22.12,21.19,21.94,8.8917,1428400.0,0.0,1.0
2000-06-28,22.0,22.0,20.94,21.45,8.6931,1434700.0,0.0,1.0
2000-06-29,21.69,21.69,20.94,21.38,8.6647,1054800.0,0.0,1.0
2000-06-30,21.44,22.38,21.31,21.62,8.762,1931000.0,0.0,1.0
2000-07-03,21.94,21.94,21.38,21.56,8.7377,471200.0,0.0,1.0
2000-07-05,21.94,21.94,21.31,21.75,8.8147,725700.0,0.0,1.0
2000-07-06,21.94,22.31,21.62,21.88,8.8674,960600.0,0.0,1.0
2000-07-07,22.12,23.25,22.06,23.12,9.3699,1715500.0,0.0,1.0
2000-07-10,23.5,23.94,23.12,23.69,9.6009,1632300.0,0.0,1.0
2000-07-11,23.94,23.94,23.12,23.81,9.6495,1130800.0,0.0,1.0
2000-07-12,23.31,23.75,23.31,23.62,9.5725,507500.0,0.0,1.0
2000-07-13,23.44,23.81,23.38,23.75,9.6252,425700.0,0.0,1.0
2000-07-14,23.56,23.69,23.06,23.25,9.4226,943000.0,0.0,1.0
2000-07-17,23.06,23.56,23.0,23.5,9.5239,632700.0,0.0,1.0
2000-07-18,23.56,23.62,23.19,23.31,9.4469,527400.0,0.0,1.0
2000-07-19,23.5,23.5,22.81,22.88,9.2726,540000.0,0.0,1.0
2000-07-20,23.0,23.31,22.69,23.19,9.3983,572900.0,0.0,1.0
2000-07-21,23.31,23.38,22.81,22.88,9.2726,569500.0,0.0,1.0
2000-07-24,23.19,23.19,22.5,22.5,9.1186,558000.0,0.0,1.0
2000-07-25,22.69,22.75,21.94,22.19,8.993,619800.0,0.0,1.0
2000-07-26,22.62,22.81,22.19,22.44,9.0943,1268300.0,0.0,1.0
2000-07-27,22.44,22.88,22.06,22.31,9.0416,478500.0,0.0,1.0
2000-07-28,22.06,22.31,21.38,21.56,8.7377,734400.0,0.0,1.0
2000-07-31,21.56,21.62,20.25,20.44,8.2838,1679900.0,0.0,1.0
2000-08-01,20.56,20.62,19.5,20.19,8.1824,1415700.0,0.0,1.0
2000-08-02,20.0,20.19,19.44,19.62,7.9514,1837800.0,0.0,1.0
2000-08-03,19.44,19.81,19.38,19.44,7.8785,1020900.0,0.0,1.0
2000-08-04,19.5,19.88,19.31,19.62,7.9514,1161300.0,0.0,1.0
2000-08-07,19.62,19.88,19.5,19.75,8.0041,1376100.0,0.0,1.0
2000-08-08,19.5,21.0,19.44,21.0,8.5107,2032200.0,0.0,1.0
2000-08-09,20.81,21.12,20.62,20.88,8.4621,1495500.0,0.0,1.0
2000-08-10,20.88,20.94,20.44,20.62,8.3567,2264600.0,0.0,1.0
2000-08-11,20.75,20.94,20.25,20.38,8.2594,2057600.0,0.0,1.0
2000-08-14,20.38,20.88,20.38,20.75,8.4094,825900.0,0.0,1.0
2000-08-15,20.5,20.5,20.06,20.06,8.1298,899200.0,0.0,1.0
2000-08-16,19.5,19.62,18.69,19.19,7.7772,2113500.0,0.0,1.0
2000-08-17,19.25,19.94,19.12,19.25,7.8015,1418100.0,0.0,1.0
2000-08-18,19.25,19.56,18.88,19.22,7.7893,2098100.0,0.0,1.0
2000-08-21,19.0,19.31,18.31,18.88,7.6515,2053300.0,0.0,1.0
2000-08-22,19.12,20.62,19.06,20.31,8.2311,9879900.0,0.0,1.0
2000-08-23,20.75,20.75,20.25,20.25,8.2068,953100.0,0.0,1.0
2000-08-24,20.06,20.19,19.62,19.81,8.0284,1020400.0,0.0,1.0
2000-08-25,19.88,21.5,19.88,21.12,8.5593,1999500.0,0.0,1.0
2000-08-28,21.19,21.38,20.19,20.25,8.2068,4572000.0,0.0,1.0
2000-08-29,20.25,20.69,20.19,20.5,8.3081,618100.0,0.0,1.0
2000-08-30,20.25,20.44,19.56,19.94,8.1115,1029800.0,0.075,1.0
2000-08-31,20.5,20.56,19.62,20.02,8.1441,2295600.0,0.0,1.0
2000-09-01,20.38,21.25,20.06,20.75,8.441,1787500.0,0.0,1.0
2000-09-05,20.94,21.19,20.62,21.06,8.5671,2442400.0,0.0,1.0
2000-09-06,21.19,21.88,21.06,21.56,8.7705,2079300.0,0.0,1.0
2000-09-07,21.44,21.69,21.25,21.44,8.7217,1402700.0,0.0,1.0
2000-09-08,22.5,22.81,22.0,22.75,9.2546,4070900.0,0.0,1.0
2000-09-11,22.75,23.0,22.38,22.88,9.3075,1078800.0,0.0,1.0
2000-09-12,22.75,23.81,22.56,23.56,9.5841,1587500.0,0.0,1.0
2000-09-13,23.94,24.5,23.25,24.19,9.8404,7415100.0,0.0,1.0
