date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,21.25,21.38,20.06,20.56,10.8761,361300.0,0.0,1.0
2000-01-04,20.31,20.31,19.44,19.5,10.3154,560900.0,0.0,1.0
2000-01-05,19.63,19.81,19.0,19.5,10.3154,870300.0,0.0,1.0
2000-01-06,19.31,19.63,19.06,19.44,10.2836,776400.0,0.0,1.0
2000-01-07,19.5,19.75,19.06,19.75,10.4476,485400.0,0.0,1.0
2000-01-10,19.88,19.94,19.06,19.69,10.4159,435400.0,0.0,1.0
2000-01-11,19.5,20.19,19.5,19.81,10.4793,402200.0,0.0,1.0
2000-01-12,19.81,19.88,19.19,19.19,10.1514,421100.0,0.0,1.0
2000-01-13,19.19,19.25,18.69,19.19,10.1514,472200.0,0.0,1.0
2000-01-14,19.25,19.44,18.88,19.31,10.2149,341500.0,0.0,1.0
2000-01-18,19.13,19.31,18.94,19.31,10.2149,368600.0,0.0,1.0
2000-01-19,19.25,19.31,18.94,19.0,10.0509,332300.0,0.0,1.0
2000-01-20,18.94,19.06,18.38,18.5,9.7864,494300.0,0.0,1.0
2000-01-21,19.0,19.13,18.5,19.06,10.0826,661100.0,0.0,1.0
2000-01-24,19.13,19.31,18.5,18.69,9.8869,293400.0,0.0,1.0
2000-01-25,18.56,18.69,17.81,18.06,9.5536,467600.0,0.0,1.0
2000-01-26,18.25,18.44,17.63,18.19,9.6224,528700.0,0.0,1.0
2000-01-27,18.0,18.56,17.75,18.13,9.5906,358100.0,0.0,1.0
2000-01-28,18.13,18.25,17.75,17.94,9.4901,355600.0,0.0,1.0
2000-01-31,17.81,18.0,17.56,18.0,9.5219,498000.0,0.0,1.0
2000-02-01,17.88,18.5,17.38,18.25,9.6541,699600.0,0.0,1.0
2000-02-02,18.0,18.0,17.56,17.69,9.3579,467900.0,0.0,1.0
2000-02-03,17.75,18.5,17.69,18.19,9.6224,595600.0,0.0,1.0
2000-02-04,17.94,18.38,17.56,17.63,9.3261,582900.0,0.0,1.0
2000-02-07,17.56,17.63,17.0,17.31,9.1569,520400.0,0.0,1.0
2000-02-08,17.56,17.75,17.25,17.5,9.2574,304400.0,0.0,1.0
2000-02-09,17.25,18.0,17.06,17.31,9.1569,548700.0,0.0,1.0
2000-02-10,17.44,17.44,16.94,17.06,9.0246,431800.0,0.0,1.0
2000-02-11,16.94,17.25,16.69,16.75,8.8606,384500.0,0.0,1.0
2000-02-14,17.0,17.31,16.69,16.75,8.8606,461900.0,0.0,1.0
2000-02-15,16.75,16.81,16.31,16.5,8.7284,907300.0,0.0,1.0
2000-02-16,16.56,17.0,16.56,16.75,8.8606,443400.0,0.0,1.0
2000-02-17,16.88,17.06,16.63,16.81,8.8924,312400.0,0.0,1.0
2000-02-18,16.56,16.81,16.06,16.25,8.5961,551900.0,0.0,1.0
2000-02-22,16.5,16.69,16.19,16.31,8.6279,335200.0,0.0,1.0
2000-02-23,16.19,16.44,16.0,16.31,8.6808,388700.0,0.1,1.0
2000-02-24,16.31,16.56,16.06,16.06,8.5477,906800.0,0.0,1.0
2000-02-25,16.13,16.44,15.94,16.06,8.5477,694800.0,0.0,1.0
2000-02-28,16.31,16.31,15.88,16.06,8.5477,620400.0,0.0,1.0
2000-02-29,16.13,16.94,15.94,16.81,8.9469,716600.0,0.0,1.0
2000-03-01,16.75,16.75,16.19,16.31,8.6808,1226700.0,0.0,1.0
2000-03-02,16.38,16.81,16.0,16.19,8.6169,1154700.0,0.0,1.0
2000-03-03,16.19,16.5,15.88,16.0,8.5158,489000.0,0.0,1.0
