date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,16.13,16.25,15.75,15.94,6.1214,190300.0,0.0,1.0
2000-01-04,15.69,16.0,15.69,15.81,6.0715,269500.0,0.0,1.0
2000-01-05,15.88,16.06,15.81,15.88,6.0984,109500.0,0.0,1.0
2000-01-06,15.81,15.94,15.69,15.88,6.0984,251300.0,0.0,1.0
2000-01-07,15.88,16.31,15.81,16.19,6.2174,449500.0,0.0,1.0
2000-01-10,16.19,16.5,16.0,16.31,6.2635,1035400.0,0.0,1.0
2000-01-11,16.38,16.38,16.0,16.0,6.1445,285400.0,0.0,1.0
2000-01-12,16.25,16.56,15.75,16.13,6.1944,446700.0,0.0,1.0
2000-01-13,16.38,16.75,16.38,16.5,6.3365,153400.0,0.0,1.0
2000-01-14,16.63,17.0,16.56,16.56,6.3595,197300.0,0.0,1.0
2000-01-18,16.63,16.69,16.44,16.44,6.3134,335100.0,0.0,1.0
2000-01-19,16.06,16.63,16.06,16.31,6.2635,221000.0,0.0,1.0
2000-01-20,16.31,16.5,16.25,16.44,6.3134,333000.0,0.0,1.0
2000-01-21,16.38,16.5,16.13,16.31,6.2635,546400.0,0.0,1.0
2000-01-24,16.31,16.5,16.25,16.31,6.2635,538600.0,0.0,1.0
2000-01-25,16.38,16.44,16.13,16.19,6.2174,524900.0,0.0,1.0
2000-01-26,16.31,16.31,16.06,16.13,6.1944,659800.0,0.0,1.0
2000-01-27,16.13,16.38,16.06,16.19,6.2174,402000.0,0.0,1.0
2000-01-28,16.31,16.31,15.75,15.75,6.0485,319200.0,0.0,1.0
2000-01-31,16.0,16.13,15.88,15.94,6.1214,223800.0,0.0,1.0
2000-02-01,16.0,16.13,15.94,16.0,6.1445,314500.0,0.0,1.0
2000-02-02,16.0,16.06,16.0,16.0,6.1445,153300.0,0.0,1.0
2000-02-03,16.06,17.0,16.0,16.38,6.2954,316000.0,0.013,1.0
2000-02-04,16.44,16.75,16.31,16.63,6.3915,1185600.0,0.0,1.0
2000-02-07,16.5,16.75,16.25,16.31,6.2685,667200.0,0.0,1.0
2000-02-08,16.19,17.25,16.13,16.13,6.1993,233600.0,0.0,1.0
2000-02-09,16.38,16.63,16.38,16.56,6.3646,176900.0,0.0,1.0
2000-02-10,16.5,16.5,16.06,16.19,6.2224,264700.0,0.0,1.0
2000-02-11,16.06,16.13,15.81,15.81,6.0763,149300.0,0.0,1.0
2000-02-14,16.0,16.0,15.75,15.88,6.1032,119700.0,0.0,1.0
2000-02-15,15.88,16.63,15.88,16.63,6.3915,286400.0,0.0,1.0
2000-02-16,16.38,16.44,16.0,16.0,6.1493,107000.0,0.0,1.0
2000-02-17,16.06,18.63,16.06,16.94,6.5106,1420000.0,0.0,1.0
2000-02-18,17.13,17.5,16.38,16.63,6.3915,461900.0,0.0,1.0
2000-02-22,16.75,16.88,16.31,16.31,6.2685,260300.0,0.0,1.0
2000-02-23,16.31,16.38,15.75,15.94,6.1263,591500.0,0.0,1.0
2000-02-24,16.19,16.19,15.25,15.75,6.0533,408000.0,0.0,1.0
2000-02-25,15.75,15.75,15.56,15.63,6.0071,130700.0,0.0,1.0
2000-02-28,15.56,15.94,15.44,15.94,6.1263,116200.0,0.0,1.0
2000-02-29,15.69,16.5,15.69,16.5,6.3415,137100.0,0.0,1.0
2000-03-01,16.44,16.88,16.31,16.88,6.4876,157100.0,0.0,1.0
2000-03-02,16.88,17.13,16.81,16.88,6.4876,129300.0,0.0,1.0
2000-03-03,17.13,17.5,17.0,17.06,6.5567,163900.0,0.0,1.0
2000-03-06,17.06,17.38,16.63,16.94,6.5106,157800.0,0.0,1.0
2000-03-07,16.69,17.06,16.25,16.25,6.2454,94400.0,0.0,1.0
2000-03-08,16.38,16.69,16.38,16.56,6.3646,167400.0,0.0,1.0
2000-03-09,16.25,16.88,16.25,16.88,6.4876,114700.0,0.0,1.0
2000-03-10,16.88,17.13,16.63,16.88,6.4876,177700.0,0.0,1.0
2000-03-13,16.5,17.06,16.5,16.81,6.4607,119200.0,0.0,1.0
2000-03-14,16.69,17.19,16.69,16.88,6.4876,101400.0,0.0,1.0
2000-03-15,16.88,18.44,16.69,18.0,6.918,379700.0,0.0,1.0
2000-03-16,18.06,19.88,18.06,19.13,7.3523,624500.0,0.0,1.0
2000-03-17,19.75,20.75,19.63,20.75,7.9749,632100.0,0.0,1.0
2000-03-20,20.63,21.25,20.31,21.25,8.1671,347300.0,0.0,1.0
2000-03-21,21.31,21.31,20.5,20.88,8.0249,468800.0,0.0,1.0
2000-03-22,20.81,20.94,20.44,20.5,7.8788,382500.0,0.0,1.0
2000-03-23,20.5,21.19,20.5,21.13,8.121,477100.0,0.0,1.0
2000-03-24,21.13,21.19,20.38,21.06,8.0941,387100.0,0.0,1.0
2000-03-27,21.0,21.0,20.63,20.88,8.0249,176400.0,0.0,1.0
2000-03-28,20.88,20.94,20.5,20.63,7.9288,256200.0,0.0,1.0
2000-03-29,20.63,20.69,20.5,20.56,7.9019,156000.0,0.0,1.0
2000-03-30,20.56,21.44,20.5,20.94,8.048,553400.0,0.0,1.0
2000-03-31,21.0,21.75,20.94,21.69,8.3362,279800.0,0.0,1.0
2000-04-03,21.5,21.56,20.06,20.63,7.9288,490400.0,0.0,1.0
2000-04-04,21.13,21.13,19.63,19.63,7.5445,307800.0,0.0,1.0
2000-04-05,19.38,20.88,19.38,20.5,7.8788,460300.0,0.0,1.0
2000-04-06,20.69,20.88,20.44,20.44,7.8558,195700.0,0.0,1.0
2000-04-07,20.5,20.81,20.44,20.5,7.8788,286100.0,0.0,1.0
2000-04-10,20.38,20.69,20.25,20.25,7.7828,280000.0,0.0,1.0
2000-04-11,20.31,20.31,19.88,19.94,7.6636,255100.0,0.0,1.0
2000-04-12,20.0,21.06,20.0,20.5,7.8788,261500.0,0.0,1.0
2000-04-13,20.69,20.94,20.56,20.56,7.9019,123100.0,0.0,1.0
2000-04-14,20.69,20.69,18.94,19.06,7.3254,292000.0,0.0,1.0
2000-04-17,18.81,19.0,18.38,18.63,7.1601,320500.0,0.0,1.0
2000-04-18,18.63,19.63,18.31,19.63,7.5445,265800.0,0.0,1.0
2000-04-19,19.38,19.63,19.25,19.44,7.4715,143600.0,0.0,1.0
2000-04-20,19.38,19.88,19.13,19.63,7.5445,158200.0,0.0,1.0
2000-04-24,19.63,19.69,19.0,19.0,7.3023,127500.0,0.0,1.0
2000-04-25,19.25,19.5,19.0,19.31,7.4215,302700.0,0.0,1.0
2000-04-26,19.25,19.25,18.75,18.81,7.2293,135400.0,0.0,1.0
2000-04-27,19.0,19.0,18.75,18.94,7.2793,149400.0,0.0,1.0
2000-04-28,19.0,19.06,18.19,18.63,7.1601,305900.0,0.0,1.0
2000-05-01,18.75,19.19,18.75,18.88,7.2562,92300.0,0.0,1.0
2000-05-02,18.63,18.81,18.25,18.31,7.0372,177500.0,0.0,1.0
2000-05-03,18.13,18.88,17.88,18.38,7.0691,356500.0,0.013,1.0
2000-05-04,18.25,18.88,18.25,18.5,7.1152,157200.0,0.0,1.0
2000-05-05,18.25,18.81,18.25,18.81,7.2344,265900.0,0.0,1.0
