date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,41.5,41.5,39.5,39.94,14.9308,207100.0,0.0,1.0
2000-01-04,39.69,39.75,38.62,39.25,14.6729,81600.0,0.0,1.0
2000-01-05,39.62,40.12,38.81,40.06,14.9757,141200.0,0.0,1.0
2000-01-06,40.0,40.0,39.25,39.81,14.8822,71600.0,0.0,1.0
2000-01-07,39.81,39.81,38.81,39.5,14.7663,85700.0,0.0,1.0
2000-01-10,40.0,40.62,39.62,40.0,14.9532,153000.0,0.0,1.0
2000-01-11,40.0,40.0,38.38,38.56,14.4149,77800.0,0.0,1.0
2000-01-12,38.56,39.25,38.0,38.94,14.557,145800.0,0.0,1.0
2000-01-13,39.19,39.31,37.19,37.25,13.9252,66800.0,0.0,1.0
2000-01-14,37.5,39.12,37.5,38.81,14.5084,257600.0,0.0,1.0
2000-01-18,38.94,38.94,38.06,38.12,14.2504,62100.0,0.0,1.0
2000-01-19,38.25,38.44,37.5,37.69,14.0897,79800.0,0.0,1.0
2000-01-20,37.88,37.94,36.88,37.0,13.8317,95800.0,0.0,1.0
2000-01-21,37.0,37.0,35.88,35.94,13.4355,57300.0,0.0,1.0
2000-01-24,36.06,36.94,36.06,36.38,13.6,60100.0,0.0,1.0
2000-01-25,36.38,36.94,35.69,35.69,13.342,58000.0,0.0,1.0
2000-01-26,36.0,38.0,36.0,37.75,14.1121,363200.0,0.0,1.0
2000-01-27,40.5,40.88,39.19,39.69,14.8373,949100.0,0.0,1.0
2000-01-28,39.75,41.25,39.5,41.16,15.3869,1537300.0,0.0,1.0
2000-01-31,40.94,41.0,39.75,40.25,15.0467,273900.0,0.0,1.0
2000-02-01,40.5,41.81,40.25,41.0,15.3271,107900.0,0.0,1.0
2000-02-02,42.75,44.25,42.12,43.25,16.1682,287500.0,0.0,1.0
2000-02-03,43.5,44.0,42.5,44.0,16.4485,276500.0,0.0,1.0
2000-02-04,44.0,44.5,43.75,44.25,16.542,167600.0,0.0,1.0
2000-02-07,44.75,45.0,43.56,45.0,16.8224,112400.0,0.0,1.0
2000-02-08,45.25,46.62,45.25,45.94,17.1738,145100.0,0.0,1.0
2000-02-09,45.88,46.44,45.69,46.0,17.1962,137300.0,0.0,1.0
2000-02-10,46.25,46.88,45.0,45.25,16.9158,108900.0,0.0,1.0
2000-02-11,44.5,45.25,44.5,44.88,16.7775,158600.0,0.0,1.0
2000-02-14,44.88,45.12,43.81,44.0,16.4485,89700.0,0.0,1.0
2000-02-15,43.75,44.75,43.62,43.81,16.3775,174800.0,0.0,1.0
2000-02-16,43.94,44.62,43.75,44.0,16.4485,92800.0,0.0,1.0
2000-02-17,44.0,44.06,43.62,44.0,16.4485,220200.0,0.0,1.0
2000-02-18,44.19,44.19,42.38,42.62,15.9327,90900.0,0.0,1.0
2000-02-22,42.75,43.0,42.0,42.94,16.0523,63100.0,0.0,1.0
2000-02-23,42.88,43.0,42.62,42.88,16.0299,82200.0,0.0,1.0
2000-02-24,42.75,43.19,42.56,42.94,16.0523,227100.0,0.0,1.0
2000-02-25,43.0,43.69,42.81,43.19,16.1457,60100.0,0.0,1.0
2000-02-28,43.12,43.12,41.12,42.0,15.7009,110500.0,0.0,1.0
2000-02-29,42.25,43.0,41.75,42.56,15.9102,71500.0,0.0,1.0
2000-03-01,42.31,43.5,41.75,43.12,16.1196,59400.0,0.0,1.0
2000-03-02,43.12,44.75,42.75,44.0,16.4485,98400.0,0.0,1.0
2000-03-03,44.38,45.88,44.12,44.25,16.542,165500.0,0.0,1.0
2000-03-06,44.75,45.12,44.12,44.12,16.4934,105700.0,0.0,1.0
2000-03-07,44.38,48.94,44.25,47.06,17.5925,154700.0,0.0,1.0
2000-03-08,47.0,47.44,42.5,42.81,16.0037,120000.0,0.0,1.0
2000-03-09,43.0,44.94,43.0,43.62,16.3065,115500.0,0.0,1.0
2000-03-10,43.62,45.69,43.62,44.56,16.6579,188800.0,0.0,1.0
2000-03-13,44.69,44.69,43.75,43.94,16.4261,92800.0,0.0,1.0
2000-03-14,44.0,44.75,43.06,43.94,16.4261,127700.0,0.0,1.0
2000-03-15,44.12,44.12,43.75,44.06,16.471,148300.0,0.0,1.0
2000-03-16,44.12,46.56,44.12,46.5,17.3831,103300.0,0.0,1.0
2000-03-17,46.5,47.69,46.38,47.62,17.8018,263100.0,0.0,1.0
2000-03-20,48.12,49.5,48.12,49.38,18.4598,201700.0,0.0,1.0
2000-03-21,49.62,49.75,48.19,48.81,18.2467,207400.0,0.0,1.0
2000-03-22,49.06,50.25,49.06,49.88,18.6467,215200.0,0.0,1.0
2000-03-23,50.12,50.19,49.62,49.88,18.6467,71900.0,0.0,1.0
2000-03-24,49.81,49.88,49.0,49.56,18.527,60700.0,0.0,1.0
2000-03-27,49.75,50.06,48.5,48.5,18.1308,124700.0,0.0,1.0
2000-03-28,48.5,48.56,46.0,46.0,17.1962,77800.0,0.0,1.0
2000-03-29,46.0,46.44,44.75,46.44,17.3607,71700.0,0.0,1.0
2000-03-30,46.5,47.5,46.0,46.25,17.2897,119600.0,0.0,1.0
2000-03-31,46.5,52.0,46.5,51.94,19.4168,208500.0,0.0,1.0
2000-04-03,51.81,52.0,45.81,46.25,17.2897,344500.0,0.0,1.0
2000-04-04,46.38,47.62,44.12,45.62,17.0542,158300.0,0.0,1.0
2000-04-05,45.81,47.12,45.81,46.81,17.499,155900.0,0.0,1.0
2000-04-06,47.06,50.12,47.06,50.0,18.6915,299600.0,0.0,1.0
2000-04-07,50.0,50.38,49.5,50.12,18.7364,125100.0,0.0,1.0
2000-04-10,50.19,50.19,48.56,48.56,18.1532,57600.0,0.0,1.0
2000-04-11,48.56,49.12,47.38,48.0,17.9439,101300.0,0.0,1.0
2000-04-12,48.12,48.19,46.88,46.88,17.5252,54100.0,0.0,1.0
2000-04-13,47.0,47.88,46.94,47.0,17.57,68900.0,0.0,1.0
2000-04-14,46.94,47.0,44.38,45.25,16.9158,83300.0,0.0,1.0
