date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,65.0,67.0,65.0,65.56,36.1971,2645000.0,0.0,1.0
2000-01-04,64.25,65.44,62.75,63.5,35.0598,3701000.0,0.0,1.0
2000-01-05,63.13,65.31,63.0,64.44,35.5788,3411000.0,0.0,1.0
2000-01-06,65.0,66.19,64.31,66.19,36.545,2460100.0,0.0,1.0
2000-01-07,68.0,71.06,67.5,71.06,39.2338,5863300.0,0.0,1.0
2000-01-10,71.06,71.06,67.94,68.13,37.6161,2830500.0,0.0,1.0
2000-01-11,67.0,69.38,67.0,68.5,37.8204,3309700.0,0.0,1.0
2000-01-12,67.63,68.31,66.94,67.5,37.2683,3573600.0,0.0,1.0
2000-01-13,65.75,68.38,65.63,66.69,36.821,3639400.0,0.0,1.0
2000-01-14,68.94,69.25,68.0,68.31,37.7155,3750300.0,0.0,1.0
2000-01-18,69.38,69.38,66.5,67.31,37.1634,2082900.0,0.0,1.0
2000-01-19,66.0,68.0,65.75,67.75,37.4063,2193700.0,0.0,1.0
2000-01-20,67.69,68.25,65.56,66.78,36.8707,2136400.0,0.0,1.0
2000-01-21,65.13,65.63,64.13,64.75,35.7499,4051000.0,0.0,1.0
2000-01-24,64.63,64.81,61.56,62.13,34.3034,4206900.0,0.0,1.0
2000-01-25,62.38,63.25,61.75,62.31,34.4027,3148700.0,0.0,1.0
2000-01-26,62.94,63.38,62.13,62.75,34.6457,2233100.0,0.0,1.0
2000-01-27,62.0,64.38,61.5,64.25,35.4739,3052200.0,0.0,1.0
2000-01-28,65.0,67.38,64.88,65.31,36.0591,4284500.0,0.0,1.0
2000-01-31,65.94,67.0,62.38,66.88,36.9259,3334100.0,0.0,1.0
2000-02-01,65.88,66.5,64.69,65.56,36.1971,2981300.0,0.0,1.0
2000-02-02,65.5,66.06,63.88,65.06,35.9211,2066300.0,0.0,1.0
2000-02-03,65.31,65.81,63.63,65.25,36.026,2643600.0,0.0,1.0
2000-02-04,64.88,65.25,64.5,64.88,35.8217,1717600.0,0.0,1.0
2000-02-07,65.44,65.44,62.75,63.31,34.9549,1957400.0,0.0,1.0
2000-02-08,62.63,63.75,62.63,63.31,34.9549,2536700.0,0.0,1.0
2000-02-09,64.38,64.38,61.69,61.75,34.0936,3211000.0,0.0,1.0
2000-02-10,61.88,63.0,61.81,62.31,34.4027,2080000.0,0.0,1.0
2000-02-11,62.5,62.56,61.06,61.63,34.1709,3268100.0,0.26,1.0
2000-02-14,61.38,62.0,60.44,60.75,33.6829,2758000.0,0.0,1.0
2000-02-15,60.88,61.69,60.63,61.19,33.9269,2989400.0,0.0,1.0
2000-02-16,62.0,62.44,61.19,61.25,33.9602,3292800.0,0.0,1.0
2000-02-17,61.75,61.94,60.19,60.19,33.3724,3290500.0,0.0,1.0
2000-02-18,60.31,60.38,58.25,58.5,32.4354,3684000.0,0.0,1.0
2000-02-22,59.75,60.38,57.63,59.5,32.9899,2716500.0,0.0,1.0
2000-02-23,59.75,60.88,58.31,60.31,33.439,2489800.0,0.0,1.0
2000-02-24,59.94,60.25,57.88,58.56,32.4687,2612700.0,0.0,1.0
2000-02-25,58.44,58.81,56.13,56.69,31.4319,2554400.0,0.0,1.0
2000-02-28,57.0,58.44,57.0,57.5,31.881,3832900.0,0.0,1.0
2000-02-29,58.5,60.5,58.38,59.44,32.9566,4138700.0,0.0,1.0
2000-03-01,59.44,60.25,58.0,58.88,32.6461,4186700.0,0.0,1.0
2000-03-02,57.88,59.38,57.19,57.69,31.9863,2095800.0,0.0,1.0
2000-03-03,58.63,59.0,57.56,58.0,32.1582,2085200.0,0.0,1.0
2000-03-06,57.25,58.69,57.13,57.63,31.953,2549700.0,0.0,1.0
2000-03-07,57.88,57.94,54.0,54.5,30.2176,3998100.0,0.0,1.0
2000-03-08,55.0,57.38,54.5,55.5,30.7721,4282600.0,0.0,1.0
2000-03-09,56.44,60.06,56.44,60.06,33.3004,3853500.0,0.0,1.0
2000-03-10,60.13,61.94,60.0,61.19,33.9269,3535800.0,0.0,1.0
2000-03-13,61.0,61.0,57.63,59.25,32.8513,2115500.0,0.0,1.0
2000-03-14,58.25,58.69,57.38,57.44,31.8477,2133000.0,0.0,1.0
2000-03-15,57.44,63.5,57.38,62.75,34.7918,4364700.0,0.0,1.0
2000-03-16,63.88,65.94,63.0,64.75,35.9007,5316400.0,0.0,1.0
2000-03-17,63.88,63.94,61.0,61.38,34.0322,4843300.0,0.0,1.0
2000-03-20,61.38,61.44,59.63,60.75,33.6829,2271100.0,0.0,1.0
2000-03-21,59.75,62.0,59.69,61.69,34.2041,2987000.0,0.0,1.0
2000-03-22,62.38,64.31,61.63,63.56,35.2409,3347000.0,0.0,1.0
2000-03-23,64.19,64.81,63.56,64.38,35.6956,3159800.0,0.0,1.0
2000-03-24,64.12,64.19,61.12,62.12,34.4425,2061200.0,0.0,1.0
2000-03-27,62.0,62.31,59.94,60.5,33.5443,2013000.0,0.0,1.0
2000-03-28,59.81,61.0,59.5,60.25,33.4057,2114100.0,0.0,1.0
2000-03-29,60.13,61.5,60.13,61.0,33.8215,2834600.0,0.0,1.0
2000-03-30,61.25,63.13,60.75,60.75,33.6829,3098400.0,0.0,1.0
2000-03-31,61.25,64.5,60.13,62.63,34.7253,3243800.0,0.0,1.0
2000-04-03,64.25,65.5,64.0,65.38,36.25,2741300.0,0.0,1.0
2000-04-04,65.63,69.38,65.44,69.0,38.2572,6700500.0,0.0,1.0
2000-04-05,68.13,69.0,66.88,67.46,37.4033,3470900.0,0.0,1.0
2000-04-06,66.0,67.0,65.06,65.88,36.5273,2190400.0,0.0,1.0
2000-04-07,65.63,65.75,64.19,64.31,35.6568,1607200.0,0.0,1.0
2000-04-10,64.0,66.75,63.75,64.88,35.9728,2884200.0,0.0,1.0
2000-04-11,65.0,66.94,64.88,66.88,37.0817,2373300.0,0.0,1.0
2000-04-12,66.25,67.0,64.75,65.13,36.1114,2618200.0,0.0,1.0
2000-04-13,68.44,70.0,68.0,70.0,38.8116,4523000.0,0.0,1.0
2000-04-14,68.5,69.94,66.5,67.44,37.3922,4056300.0,0.0,1.0
2000-04-17,67.44,70.0,67.38,70.0,38.8116,3876700.0,0.0,1.0
2000-04-18,69.81,74.0,69.5,73.25,40.6136,6465300.0,0.0,1.0
2000-04-19,74.19,76.25,73.25,75.63,41.9332,6148700.0,0.0,1.0
2000-04-20,76.44,76.88,75.0,75.75,41.9997,4305000.0,0.0,1.0
2000-04-24,75.75,78.5,75.75,77.5,42.97,4803800.0,0.0,1.0
2000-04-25,77.06,77.31,76.19,77.0,42.6928,3801900.0,0.0,1.0
2000-04-26,76.5,78.13,75.5,77.81,43.1419,4066100.0,0.0,1.0
2000-04-27,77.0,78.0,76.19,77.94,43.214,2522200.0,0.0,1.0
2000-04-28,77.13,77.69,76.0,77.13,42.7649,2653700.0,0.0,1.0
2000-05-01,78.0,79.44,77.0,77.38,42.9035,3418600.0,0.0,1.0
2000-05-02,76.94,78.69,76.88,78.0,43.2472,2582900.0,0.0,1.0
2000-05-03,78.0,79.06,77.31,79.0,43.8017,2586400.0,0.0,1.0
2000-05-04,79.0,79.63,77.69,79.25,43.9403,2963800.0,0.0,1.0
2000-05-05,77.5,79.94,77.5,79.75,44.2175,3169400.0,0.0,1.0
2000-05-08,79.94,80.5,78.75,80.5,44.6334,2496200.0,0.0,1.0
2000-05-09,80.25,80.31,79.0,79.63,44.151,2654900.0,0.0,1.0
