date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,38.88,39.25,38.88,39.06,26.0251,512000.0,0.0,1.0
2000-01-04,38.88,39.06,37.56,37.94,25.2788,729300.0,0.0,1.0
2000-01-05,38.0,39.06,37.25,37.44,24.9457,520000.0,0.0,1.0
2000-01-06,37.0,37.5,36.19,37.0,24.8457,518400.0,0.29,1.0
2000-01-07,37.75,39.06,37.19,37.94,25.477,279700.0,0.0,1.0
2000-01-10,38.5,38.69,36.38,38.0,25.5172,624700.0,0.0,1.0
2000-01-11,37.13,37.63,37.13,37.44,25.1412,330800.0,0.0,1.0
2000-01-12,37.5,37.5,35.5,37.25,25.0136,794700.0,0.0,1.0
2000-01-13,38.0,39.63,37.88,39.5,26.5245,786600.0,0.0,1.0
2000-01-14,41.38,41.38,38.44,38.88,26.1082,470600.0,0.0,1.0
2000-01-18,38.0,38.44,37.63,37.94,25.477,335500.0,0.0,1.0
2000-01-19,37.0,37.63,35.63,36.63,24.5973,603200.0,0.0,1.0
2000-01-20,36.63,36.63,34.38,34.75,23.3348,702600.0,0.0,1.0
2000-01-21,35.0,36.5,33.63,35.81,24.0466,999500.0,0.0,1.0
2000-01-24,36.5,36.75,34.56,34.94,23.4624,710600.0,0.0,1.0
2000-01-25,34.63,36.0,34.5,35.88,24.0937,1016700.0,0.0,1.0
2000-01-26,35.63,36.31,34.38,36.25,24.3421,504900.0,0.0,1.0
2000-01-27,35.75,36.56,35.69,36.06,24.2145,586400.0,0.0,1.0
2000-01-28,34.88,36.81,34.88,35.81,24.0466,607200.0,0.0,1.0
2000-01-31,35.94,36.94,35.81,36.94,24.8054,347100.0,0.0,1.0
2000-02-01,38.0,39.38,37.5,37.69,25.3091,964500.0,0.0,1.0
2000-02-02,37.25,38.81,37.0,38.44,25.8127,911400.0,0.0,1.0
2000-02-03,37.38,38.13,36.25,37.5,25.1815,610800.0,0.0,1.0
2000-02-04,36.19,37.38,35.94,36.19,24.3018,592000.0,0.0,1.0
2000-02-07,36.75,36.88,34.13,34.25,22.9991,1175400.0,0.0,1.0
2000-02-08,34.69,35.56,34.38,35.25,23.6706,776800.0,0.0,1.0
2000-02-09,34.44,35.13,33.56,33.56,22.5358,511100.0,0.0,1.0
2000-02-10,33.06,33.88,32.5,33.06,22.2,483800.0,0.0,1.0
2000-02-11,32.81,33.88,32.25,32.25,21.6561,387900.0,0.0,1.0
2000-02-14,32.75,32.75,31.75,32.25,21.6561,355100.0,0.0,1.0
2000-02-15,32.44,33.06,32.13,32.63,21.9113,503500.0,0.0,1.0
2000-02-16,30.75,31.94,30.75,31.44,21.1122,551900.0,0.0,1.0
2000-02-17,31.63,32.0,30.88,30.94,20.7764,489700.0,0.0,1.0
2000-02-18,30.88,31.69,30.38,30.38,20.4004,537500.0,0.0,1.0
2000-02-22,29.5,30.69,28.38,29.75,19.9773,834700.0,0.0,1.0
2000-02-23,30.0,30.06,28.75,29.69,19.937,721600.0,0.0,1.0
2000-02-24,29.5,29.94,28.5,29.56,19.8497,853200.0,0.0,1.0
2000-02-25,29.56,29.69,28.0,28.38,19.0574,1324600.0,0.0,1.0
2000-02-28,27.5,28.69,27.13,28.25,18.9701,1265700.0,0.0,1.0
2000-02-29,28.13,28.19,27.63,27.63,18.5537,532800.0,0.0,1.0
2000-03-01,27.81,29.38,27.19,28.5,19.1379,774200.0,0.0,1.0
2000-03-02,28.5,28.5,26.81,27.13,18.218,3139500.0,0.0,1.0
2000-03-03,27.63,27.63,27.0,27.06,18.171,899800.0,0.0,1.0
2000-03-06,27.25,27.38,25.94,26.5,17.7949,790100.0,0.0,1.0
2000-03-07,26.25,26.5,24.5,24.56,16.4922,944400.0,0.0,1.0
2000-03-08,25.0,25.44,24.0,24.19,16.2437,859600.0,0.0,1.0
2000-03-09,25.0,25.94,24.06,25.0,16.7877,818500.0,0.0,1.0
