date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,27.5,27.5,26.62,26.81,5.8037,114700.0,0.0,1.0
2000-01-04,26.56,26.94,26.44,26.81,5.8037,119800.0,0.0,1.0
2000-01-05,26.75,28.38,26.75,28.12,6.0873,142100.0,0.0,1.0
2000-01-06,28.0,28.5,27.69,28.12,6.0873,71400.0,0.0,1.0
2000-01-07,28.12,28.62,28.0,28.5,6.1696,65200.0,0.0,1.0
2000-01-10,28.44,28.69,28.25,28.56,6.1826,102900.0,0.0,1.0
2000-01-11,28.44,28.69,28.38,28.5,6.1696,96700.0,0.0,1.0
2000-01-12,28.25,28.88,28.19,28.81,6.2367,75100.0,0.0,1.0
2000-01-13,28.81,29.25,28.81,29.06,6.2908,88500.0,0.0,1.0
2000-01-14,29.25,29.25,28.44,28.69,6.2107,113200.0,0.0,1.0
2000-01-18,28.5,28.75,28.06,28.5,6.1696,109900.0,0.0,1.0
2000-01-19,28.44,28.94,28.25,28.75,6.2237,123900.0,0.0,1.0
2000-01-20,28.62,29.88,28.25,29.88,6.4683,202600.0,0.0,1.0
2000-01-21,30.06,34.75,30.0,33.44,7.239,756600.0,0.0,1.0
2000-01-24,33.44,37.75,33.44,34.62,7.4944,910600.0,0.0,1.0
2000-01-25,34.62,35.25,30.62,31.25,6.7649,292200.0,0.0,1.0
2000-01-26,31.25,31.25,30.19,30.56,6.6155,783400.0,0.0,1.0
2000-01-27,30.19,30.19,29.69,29.88,6.5766,441300.0,0.5,1.0
2000-01-28,29.88,29.88,29.38,29.69,6.5347,159500.0,0.0,1.0
2000-01-31,29.5,29.81,29.38,29.81,6.5611,157800.0,0.0,1.0
2000-02-01,29.81,29.81,29.5,29.81,6.5611,315500.0,0.0,1.0
2000-02-02,29.81,29.81,28.88,28.88,6.3565,178100.0,0.0,1.0
2000-02-03,29.12,29.5,29.12,29.5,6.4929,319100.0,0.0,1.0
2000-02-04,29.5,29.5,28.75,29.06,6.3961,118700.0,0.0,1.0
2000-02-07,29.0,29.12,28.75,29.06,6.3961,79800.0,0.0,1.0
2000-02-08,29.19,29.25,28.94,29.12,6.4093,361500.0,0.0,1.0
2000-02-09,29.06,29.38,29.06,29.31,6.4511,106500.0,0.0,1.0
2000-02-10,29.19,30.0,29.19,29.75,6.5479,246300.0,0.0,1.0
