date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,113.0,113.0,109.3,112.4,35.6037,1061300.0,0.0,1.0
2000-01-04,109.2,111.5,106.1,107.5,34.0516,1098600.0,0.0,1.0
2000-01-05,107.0,109.0,102.8,105.1,33.2913,1031600.0,0.0,1.0
2000-01-06,104.8,109.0,103.0,105.2,33.323,880700.0,0.0,1.0
2000-01-07,105.5,107.3,99.5,106.8,33.8298,1228200.0,0.0,1.0
2000-01-10,107.1,115.0,107.1,112.3,35.572,1879100.0,0.0,1.0
2000-01-11,110.8,118.9,110.0,110.9,35.1285,1430100.0,0.0,1.0
2000-01-12,111.8,116.3,107.9,114.0,36.1105,1712700.0,0.0,1.0
2000-01-13,114.7,115.3,110.9,113.8,36.0471,909700.0,0.0,1.0
2000-01-14,116.1,131.6,116.0,129.8,41.1153,2852400.0,0.0,1.0
2000-01-18,127.8,131.8,125.3,129.7,41.0836,1901600.0,0.0,1.0
2000-01-19,130.3,138.8,125.4,136.4,43.2059,1776600.0,0.0,1.0
2000-01-20,138.3,144.6,133.9,143.1,45.3282,2080300.0,0.0,1.0
2000-01-21,149.5,149.6,134.9,138.9,43.9978,2503000.0,0.0,1.0
2000-01-24,144.9,145.1,133.8,134.5,42.604,1503900.0,0.0,1.0
2000-01-25,135.9,140.0,130.5,137.9,43.681,1198400.0,0.0,1.0
2000-01-26,136.3,139.5,128.8,129.0,40.8619,1786600.0,0.0,1.0
2000-01-27,131.5,136.7,129.0,129.5,41.0202,1050000.0,0.0,1.0
2000-01-28,129.4,131.0,120.0,123.9,39.2464,1047900.0,0.0,1.0
2000-01-31,122.4,125.5,116.9,124.9,39.5632,1457900.0,0.0,1.0
2000-02-01,124.9,131.8,122.5,131.4,41.6221,1225000.0,0.0,1.0
2000-02-02,131.4,137.6,129.4,137.3,43.491,1008400.0,0.0,1.0
2000-02-03,137.7,141.1,133.7,140.2,44.4096,1085400.0,0.0,1.0
2000-02-04,140.8,143.6,134.3,137.1,43.4276,1114400.0,0.0,1.0
2000-02-07,138.3,141.9,135.9,139.0,44.0295,999600.0,0.0,1.0
2000-02-08,140.5,141.4,136.0,138.9,43.9978,939100.0,0.0,1.0
2000-02-09,136.8,143.1,134.3,136.8,43.3326,956100.0,0.0,1.0
2000-02-10,136.7,144.8,133.6,143.9,45.5816,880100.0,0.0,1.0
2000-02-11,142.4,144.3,137.4,140.2,44.4096,736500.0,0.0,1.0
2000-02-14,141.1,145.0,140.2,144.4,45.7399,737100.0,0.0,1.0
2000-02-15,144.4,144.4,137.9,143.0,45.2965,777100.0,0.0,1.0
2000-02-16,143.4,150.0,141.3,142.1,45.0114,1527700.0,0.0,1.0
2000-02-17,142.5,146.6,136.5,146.0,46.2468,1134100.0,0.0,1.0
2000-02-18,146.6,147.0,138.0,138.4,43.8394,788800.0,0.0,1.0
2000-02-22,137.2,141.8,129.3,138.9,43.9978,927700.0,0.0,1.0
2000-02-23,140.8,147.0,140.3,146.6,46.4368,1355300.0,0.0,1.0
2000-02-24,147.7,150.0,139.1,143.0,45.2965,1086500.0,0.0,1.0
2000-02-25,143.1,145.0,136.3,137.5,43.5543,1004800.0,0.0,1.0
2000-02-28,136.6,140.5,131.3,138.1,43.7444,868000.0,0.0,1.0
2000-02-29,139.7,156.1,139.7,156.1,49.446,2686800.0,0.0,1.0
2000-03-01,157.0,159.1,145.5,150.8,47.7672,1630200.0,0.0,1.0
2000-03-02,151.5,154.1,148.0,150.3,47.6088,1331100.0,0.0,1.0
2000-03-03,152.0,158.0,149.3,151.8,48.084,1712000.0,0.0,1.0
2000-03-06,152.1,156.4,150.3,151.4,47.9573,779900.0,0.0,1.0
2000-03-07,155.6,159.0,150.3,152.0,48.1473,1106700.0,0.0,1.0
2000-03-08,154.2,154.2,143.4,146.9,46.5318,902600.0,0.0,1.0
2000-03-09,146.1,159.6,144.8,159.1,50.3963,1019800.0,0.0,1.0
2000-03-10,157.0,165.0,156.1,162.4,51.4416,1782700.0,0.0,1.0
2000-03-13,161.7,161.7,152.5,154.5,48.9392,796200.0,0.0,1.0
2000-03-14,155.8,157.4,143.0,143.3,45.3915,1005100.0,0.0,1.0
2000-03-15,143.9,143.9,132.6,133.1,42.1606,1347900.0,0.0,1.0
2000-03-16,136.9,141.4,126.0,134.1,42.4773,2874900.0,0.0,1.0
2000-03-17,42.88,49.25,42.5,49.0,46.5635,1774400.0,0.0,3.0
2000-03-20,48.75,50.94,48.0,48.81,46.383,2796600.0,0.0,1.0
2000-03-21,48.75,49.5,45.94,48.5,46.0884,3597800.0,0.0,1.0
2000-03-22,48.63,52.0,48.56,50.81,48.2835,2973200.0,0.0,1.0
2000-03-23,52.11,54.44,50.5,52.19,49.5949,2643000.0,0.0,1.0
2000-03-24,54.38,55.88,53.25,54.25,51.5525,4955100.0,0.0,1.0
2000-03-27,55.81,56.13,52.63,53.0,50.3646,1994300.0,0.0,1.0
2000-03-28,53.5,54.31,49.25,49.88,47.3998,1585800.0,0.0,1.0
2000-03-29,50.0,50.25,44.75,45.31,43.057,2994800.0,0.0,1.0
2000-03-30,44.38,46.94,43.88,45.56,43.2946,4207000.0,0.0,1.0
2000-03-31,48.56,48.63,43.25,45.06,42.8194,2280400.0,0.0,1.0
2000-04-03,45.19,45.25,38.5,39.0,37.0608,4652600.0,0.0,1.0
2000-04-04,39.19,42.0,33.88,40.94,38.9043,7629400.0,0.0,1.0
2000-04-05,39.63,50.0,39.5,46.25,43.9503,5680500.0,0.0,1.0
2000-04-06,48.94,51.25,48.0,49.75,47.2762,4979400.0,0.0,1.0
2000-04-07,50.0,55.75,50.0,55.56,52.7973,5967700.0,0.0,1.0
2000-04-10,56.81,56.81,48.25,49.25,46.8011,3895100.0,0.0,1.0
2000-04-11,47.94,52.5,47.0,49.5,47.0387,4384600.0,0.0,1.0
2000-04-12,51.41,51.81,46.88,47.5,45.1381,2941300.0,0.0,1.0
2000-04-13,48.81,50.06,42.5,42.94,40.8048,3466500.0,0.0,1.0
2000-04-14,42.5,45.75,36.0,36.5,34.6851,3913100.0,0.0,1.0
2000-04-17,36.38,43.0,36.0,42.88,40.7478,5242800.0,0.0,1.0
2000-04-18,44.25,49.13,42.38,48.88,46.4495,5656600.0,0.0,1.0
2000-04-19,48.13,48.13,41.19,42.56,40.4437,6711500.0,0.0,1.0
2000-04-20,43.0,44.13,40.44,42.81,40.6813,2844100.0,0.0,1.0
2000-04-24,38.75,42.13,37.31,40.0,38.011,3760600.0,0.0,1.0
2000-04-25,42.06,43.0,37.88,41.5,39.4365,7505800.0,0.0,1.0
2000-04-26,41.75,43.5,38.38,39.06,37.1178,3853900.0,0.0,1.0
2000-04-27,37.5,45.19,37.38,44.75,42.5248,4537100.0,0.0,1.0
2000-04-28,45.25,47.25,44.75,45.88,43.5987,3111500.0,0.0,1.0
2000-05-01,46.63,47.25,43.5,44.13,41.9357,3653500.0,0.0,1.0
2000-05-02,43.63,45.88,42.06,42.31,40.2062,3318700.0,0.0,1.0
2000-05-03,42.13,42.25,37.63,39.0,37.0608,3735500.0,0.0,1.0
2000-05-04,39.94,40.5,38.13,38.38,36.4716,3326700.0,0.0,1.0
2000-05-05,39.06,41.0,38.75,40.0,38.011,5274900.0,0.0,1.0
2000-05-08,39.31,40.13,36.0,36.19,34.3905,5447600.0,0.0,1.0
2000-05-09,38.13,38.13,33.0,33.44,31.7772,5732500.0,0.0,1.0
2000-05-10,32.81,35.75,32.06,32.44,30.827,4949100.0,0.0,1.0
2000-05-11,33.5,35.0,32.06,32.75,31.1215,5990200.0,0.0,1.0
2000-05-12,33.97,36.0,33.31,33.38,31.7202,4568200.0,0.0,1.0
2000-05-15,34.38,34.44,32.19,34.19,32.4899,2653300.0,0.0,1.0
2000-05-16,36.13,36.5,33.88,35.0,33.2597,3573300.0,0.0,1.0
2000-05-17,34.0,36.0,33.63,34.31,32.604,2689800.0,0.0,1.0
2000-05-18,35.0,35.25,33.25,33.63,31.9578,1994100.0,0.0,1.0
2000-05-19,33.25,33.38,29.44,30.38,28.8694,4467200.0,0.0,1.0
2000-05-22,30.63,30.69,26.75,29.44,27.9761,4723600.0,0.0,1.0
2000-05-23,28.31,30.88,26.38,26.44,25.1253,5900900.0,0.0,1.0
2000-05-24,26.25,27.81,23.25,27.13,25.781,11386700.0,0.0,1.0
2000-05-25,27.75,29.75,27.0,27.63,26.2561,7874600.0,0.0,1.0
2000-05-26,28.22,29.0,26.63,27.88,26.4937,2987500.0,0.0,1.0
2000-05-30,29.0,32.31,29.0,32.06,30.4658,4495100.0,0.0,1.0
2000-05-31,31.86,34.25,30.25,32.13,30.5324,5345600.0,0.0,1.0
2000-06-01,33.63,37.06,33.5,36.06,34.2669,6596100.0,0.0,1.0
2000-06-02,39.75,42.13,39.5,40.56,38.5432,6955300.0,0.0,1.0
2000-06-05,40.25,41.19,38.0,38.94,37.0037,3624600.0,0.0,1.0
2000-06-06,38.59,40.38,36.75,37.19,35.3408,4346400.0,0.0,1.0
2000-06-07,37.88,38.88,36.63,38.81,36.8802,2941100.0,0.0,1.0
2000-06-08,39.0,42.25,39.0,39.94,37.954,4123400.0,0.0,1.0
2000-06-09,41.81,42.56,41.38,41.69,39.617,2660700.0,0.0,1.0
2000-06-12,42.56,42.63,39.31,39.69,37.7165,2439600.0,0.0,1.0
2000-06-13,39.63,40.94,38.06,40.44,38.4292,2086100.0,0.0,1.0
2000-06-14,40.84,40.84,38.56,38.63,36.7092,2086900.0,0.0,1.0
2000-06-15,39.06,39.13,37.44,38.19,36.291,2005900.0,0.0,1.0
2000-06-16,38.44,40.13,37.5,39.56,37.5929,2994000.0,0.0,1.0
2000-06-19,39.5,44.75,39.44,44.0,41.8121,4560800.0,0.0,1.0
2000-06-20,44.5,46.0,42.0,42.94,40.8048,5096900.0,0.0,1.0
2000-06-21,42.06,44.44,41.44,43.48,41.318,2786000.0,0.0,1.0
2000-06-22,43.38,44.5,41.88,42.0,39.9116,2522200.0,0.0,1.0
2000-06-23,42.47,42.5,40.25,40.63,38.6097,1470100.0,0.0,1.0
2000-06-26,41.25,41.69,39.38,40.25,38.2486,1732200.0,0.0,1.0
2000-06-27,40.19,41.31,38.0,38.75,36.8232,2732000.0,0.0,1.0
2000-06-28,39.63,41.63,38.5,40.19,38.1916,2567500.0,0.0,1.0
2000-06-29,39.63,39.75,37.38,37.63,35.7589,2867300.0,0.0,1.0
2000-06-30,38.75,38.75,35.81,37.5,35.6353,7427100.0,0.0,1.0
2000-07-03,37.75,39.38,37.0,39.19,37.2413,1015200.0,0.0,1.0
2000-07-05,37.06,37.5,32.0,32.38,30.7699,6663000.0,0.0,1.0
