date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,16.19,16.38,15.69,15.87,9.9398,2185200.0,0.0,1.0
2000-01-04,15.88,16.13,15.44,15.44,9.6705,3134667.0,0.0,1.0
2000-01-05,15.44,15.63,15.38,15.44,9.6705,2288600.0,0.0,1.0
2000-01-06,15.38,15.5,15.19,15.31,9.5891,1873000.0,0.0,1.0
2000-01-07,15.38,16.0,15.31,15.88,9.9461,3311400.0,0.0,1.0
2000-01-10,15.88,16.25,15.88,16.06,10.0588,2114600.0,0.0,1.0
2000-01-11,16.5,17.0,16.44,16.56,10.372,3482800.0,0.0,1.0
2000-01-12,16.56,16.88,16.5,16.63,10.4158,1303867.0,0.0,1.0
2000-01-13,16.38,16.44,16.06,16.06,10.0588,1858467.0,0.0,1.0
2000-01-14,16.25,16.38,16.06,16.19,10.1403,1426867.0,0.0,1.0
2000-01-18,15.94,16.0,15.69,15.75,9.8647,2423800.0,0.0,1.0
2000-01-19,15.56,15.69,15.38,15.5,9.7081,1917200.0,0.0,1.0
2000-01-20,15.38,15.44,15.06,15.13,9.4763,2237667.0,0.0,1.0
2000-01-21,15.38,15.38,15.0,15.31,9.5891,2116267.0,0.0,1.0
2000-01-24,15.13,15.38,15.13,15.13,9.4763,2042667.0,0.0,1.0
2000-01-25,15.38,15.44,15.25,15.38,9.6329,2745200.0,0.0,1.0
2000-01-26,15.5,15.75,15.5,15.56,9.7457,2216200.0,0.0,1.0
2000-01-27,15.81,16.13,15.69,16.0,10.0213,2077000.0,0.0,1.0
2000-01-28,15.56,16.0,15.56,15.69,9.8271,1902067.0,0.0,1.0
2000-01-31,15.69,16.0,15.63,15.94,9.9837,2394200.0,0.0,1.0
2000-02-01,15.88,16.06,15.56,15.69,9.8271,3757067.0,0.0,1.0
2000-02-02,15.69,16.19,15.56,16.0,10.0213,2432667.0,0.0,1.0
2000-02-03,16.19,16.19,15.88,15.88,9.9461,1822400.0,0.0,1.0
2000-02-04,16.19,16.25,15.94,16.13,10.1027,1836400.0,0.0,1.0
2000-02-07,16.25,16.31,16.06,16.19,10.1403,1573200.0,0.0,1.0
2000-02-08,16.19,16.25,16.0,16.19,10.1403,1706667.0,0.0,1.0
2000-02-09,16.06,16.19,16.0,16.0,10.0213,2223200.0,0.0,1.0
2000-02-10,16.06,16.06,15.63,15.75,9.8647,2521400.0,0.0,1.0
2000-02-11,15.75,15.81,15.13,15.44,9.6705,3047600.0,0.0,1.0
2000-02-14,15.25,15.44,15.13,15.38,9.6329,2526600.0,0.0,1.0
2000-02-15,15.38,15.56,15.13,15.5,9.7081,3045600.0,0.0,1.0
2000-02-16,15.31,16.44,15.25,16.13,10.1027,5167067.0,0.0,1.0
2000-02-17,16.13,16.44,16.0,16.38,10.2593,3207867.0,0.0,1.0
2000-02-18,16.44,16.63,16.06,16.19,10.1403,3161600.0,0.0,1.0
2000-02-22,16.25,16.81,16.25,16.44,10.2968,3325000.0,0.0,1.0
2000-02-23,16.63,17.88,16.5,17.69,11.0797,4293600.0,0.0,1.0
2000-02-24,17.94,17.94,17.0,17.44,10.9232,3424000.0,0.0,1.0
