date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2010-04-28,22.25,22.25,21.7,22.0,14.3339,5244400.0,0.0,1.0
2010-04-29,22.0,23.25,21.9,23.0,14.9854,8773600.0,0.0,1.0
2010-04-30,22.95,23.0,22.25,22.3,14.5294,1644400.0,0.0,1.0
2010-05-03,22.75,22.95,22.65,22.8,14.8551,3302700.0,0.0,1.0
2010-05-04,22.8,22.8,21.5,21.5,14.0081,2276500.0,0.0,1.0
2010-05-05,22.0,22.0,20.0,20.59,13.4152,6999200.0,0.0,1.0
2010-05-06,20.5,20.55,18.45,19.45,12.6725,8029400.0,0.0,1.0
2010-05-07,19.5,19.55,17.9,18.6,12.1187,3881500.0,0.0,1.0
2010-05-10,19.75,19.85,18.7,19.01,12.3858,3861100.0,0.0,1.0
2010-05-11,18.75,19.28,18.75,18.9,12.3141,2626900.0,0.0,1.0
2010-05-12,19.2,20.04,19.2,19.8,12.9005,5714300.0,0.0,1.0
2010-05-13,19.85,20.1,19.6,19.65,12.8028,2475900.0,0.0,1.0
2010-05-14,19.3,19.4,18.75,18.75,12.2164,3133400.0,0.0,1.0
2010-05-17,19.0,19.2,18.7,18.85,12.2815,10117000.0,0.0,1.0
2010-05-18,19.05,19.32,18.25,18.79,12.2424,6219800.0,0.0,1.0
2010-05-19,18.9,18.93,17.55,17.7,11.5323,6227700.0,0.0,1.0
2010-05-20,17.14,17.14,16.2,16.9,11.011,10248400.0,0.0,1.0
2010-05-21,16.35,17.12,16.25,16.55,10.783,4560800.0,0.0,1.0
2010-05-24,16.7,17.15,16.68,16.9,11.011,1761300.0,0.0,1.0
2010-05-25,16.79,16.79,16.2,16.57,10.796,4649600.0,0.0,1.0
2010-05-26,16.99,17.4,16.8,17.15,11.1739,2079300.0,0.0,1.0
2010-05-27,17.65,18.0,17.65,17.9,11.6626,3156100.0,0.0,1.0
2010-05-28,17.9,17.9,16.25,17.77,11.5779,222200.0,0.0,1.0
2010-06-01,17.65,17.8,17.2,17.5,11.402,900800.0,0.0,1.0
2010-06-02,17.61,17.66,17.22,17.33,11.2912,829900.0,0.0,1.0
2010-06-03,17.45,17.5,17.15,17.33,11.2912,2173600.0,0.0,1.0
2010-06-04,17.05,17.1,16.75,17.05,11.1088,3147200.0,0.0,1.0
2010-06-07,17.15,17.2,16.74,16.89,11.0045,2826800.0,0.0,1.0
2010-06-08,17.03,17.03,16.5,16.75,10.9133,2037700.0,0.0,1.0
2010-06-09,16.79,17.1,16.7,16.79,10.9394,1410200.0,0.0,1.0
2010-06-10,16.97,17.07,16.85,16.97,11.0566,1401000.0,0.0,1.0
2010-06-11,16.94,17.19,16.94,17.14,11.1674,452500.0,0.0,1.0
2010-06-14,17.19,17.58,17.19,17.49,11.3954,1008500.0,0.0,1.0
2010-06-15,17.48,18.0,17.35,17.97,11.7082,1974300.0,0.0,1.0
2010-06-16,17.93,17.97,17.63,17.64,11.4932,1041500.0,0.0,1.0
2010-06-17,17.68,17.75,17.14,17.3,11.2716,1090600.0,0.0,1.0
2010-06-18,17.3299,17.35,17.15,17.21,11.213,1373700.0,0.0,1.0
2010-06-21,17.45,17.53,17.09,17.1,11.1413,514100.0,0.0,1.0
2010-06-22,17.09,17.1,16.8,16.84,10.9719,1502900.0,0.0,1.0
2010-06-23,16.9,16.95,16.6,16.65,10.8481,1125700.0,0.0,1.0
2010-06-24,16.69,16.92,16.35,16.8,10.9459,2151600.0,0.0,1.0
2010-06-25,16.9,16.92,16.7,16.82,10.9589,612000.0,0.0,1.0
2010-06-28,16.87,16.87,16.7,16.87,10.9915,355800.0,0.0,1.0
2010-06-29,16.74,16.74,16.25,16.25,10.5875,2561000.0,0.0,1.0
2010-06-30,16.27,16.5,16.15,16.15,10.5224,1534100.0,0.0,1.0
2010-07-01,16.2399,16.3,15.4,15.55,10.1315,4006100.0,0.0,1.0
2010-07-02,15.58,15.69,15.4,15.48,10.0858,231700.0,0.0,1.0
2010-07-06,15.5,15.59,14.9,15.06,9.8122,833700.0,0.0,1.0
2010-07-07,15.05,15.15,14.86,15.0,9.7731,2137200.0,0.0,1.0
2010-07-08,14.95,15.15,14.95,15.05,9.8057,2422200.0,0.0,1.0
2010-07-09,15.1,16.02,15.0,15.8,10.2943,1478700.0,0.0,1.0
2010-07-12,15.82,16.02,15.8,15.82,10.3074,786100.0,0.0,1.0
2010-07-13,15.83,16.5,15.83,16.4,10.6853,1647300.0,0.0,1.0
2010-07-14,16.4,16.45,16.25,16.4,10.6853,1537200.0,0.0,1.0
2010-07-15,16.43,16.43,16.0,16.37,10.6657,905900.0,0.0,1.0
2010-07-16,16.3,16.3,16.0,16.2,10.555,624700.0,0.0,1.0
2010-07-19,16.175,16.7,16.11,16.45,10.7178,497300.0,0.0,1.0
2010-07-20,16.44,16.44,16.15,16.19,10.5484,1244700.0,0.0,1.0
2010-07-21,16.19,16.3,16.19,16.24,10.581,1801200.0,0.0,1.0
2010-07-22,16.26,16.59,16.26,16.55,10.783,1126300.0,0.0,1.0
2010-07-23,16.55,16.79,16.52,16.78,10.9328,1415100.0,0.0,1.0
2010-07-26,17.0,17.7,17.0,17.65,11.4997,3400400.0,0.0,1.0
2010-07-27,17.92,18.34,17.25,18.23,11.8776,5778800.0,0.0,1.0
2010-07-28,18.22,18.22,17.82,17.93,11.6821,2440000.0,0.0,1.0
2010-07-29,18.1,18.15,17.84,17.94,11.6886,1598500.0,0.0,1.0
2010-07-30,17.92,18.07,17.68,18.0,11.7277,2023100.0,0.0,1.0
2010-08-02,18.15,18.26,18.05,18.06,11.7668,1543000.0,0.0,1.0
2010-08-03,18.09,18.12,17.7,17.9,11.6626,1558700.0,0.0,1.0
2010-08-04,17.9,18.46,17.9,18.3,11.9232,4194300.0,0.0,1.0
2010-08-05,18.3,18.3,18.2,18.24,11.8841,252300.0,0.0,1.0
2010-08-06,18.22,18.25,17.92,18.0,11.7277,500600.0,0.0,1.0
2010-08-09,18.0,18.15,17.99,18.05,11.7603,1252900.0,0.0,1.0
2010-08-10,18.05,18.05,17.9,17.99,11.7212,1056300.0,0.0,1.0
2010-08-11,17.8,17.8,17.6,17.61,11.4736,2021000.0,0.0,1.0
2010-08-12,17.63,17.63,17.4,17.5,11.402,3260500.0,0.0,1.0
2010-08-13,17.51,18.03,17.51,18.02,11.7408,2973700.0,0.0,1.0
2010-08-16,18.85,19.3,18.65,18.7,12.1838,10729700.0,0.0,1.0
2010-08-17,18.95,19.2,18.95,19.07,12.4249,4572800.0,0.0,1.0
2010-08-18,19.1,20.05,19.1,19.8,12.9005,3564800.0,0.0,1.0
2010-08-19,19.89,20.09,19.0,19.8,12.9005,5313000.0,0.0,1.0
2010-08-20,19.8,20.02,19.76,19.89,12.9591,3292700.0,0.0,1.0
2010-08-23,19.9,20.25,19.9,20.06,13.0699,2222900.0,0.0,1.0
2010-08-24,19.8,20.05,19.7,19.99,13.0243,5178500.0,0.0,1.0
2010-08-25,19.94,20.05,19.87,19.93,12.9852,3994300.0,0.0,1.0
2010-08-26,19.95,20.5,19.95,20.0,13.0308,2807100.0,0.0,1.0
2010-08-27,20.14,20.44,19.98,20.44,13.3175,1984200.0,0.0,1.0
2010-08-30,20.4,20.8,20.22,20.22,13.1741,1728000.0,0.0,1.0
2010-08-31,20.22,20.51,20.22,20.5,13.3566,2316300.0,0.0,1.0
2010-09-01,20.5,21.3,20.49,21.02,13.6954,5464700.0,0.0,1.0
2010-09-02,21.05,21.05,20.76,20.95,13.6498,1548700.0,0.0,1.0
2010-09-03,20.99,21.3,20.99,21.13,13.767,1072600.0,0.0,1.0
2010-09-07,21.12,21.12,20.8,20.96,13.6563,1540000.0,0.0,1.0
2010-09-08,20.95,21.13,20.95,20.99,13.6758,2135400.0,0.0,1.0
2010-09-09,21.0,21.15,20.67,20.7,13.4869,2958400.0,0.0,1.0
2010-09-10,20.71,20.82,20.69,20.79,13.5455,806500.0,0.0,1.0
2010-09-13,20.78,21.41,20.78,21.38,13.9299,3431400.0,0.0,1.0
2010-09-14,21.39,21.57,21.31,21.51,14.0146,2403900.0,0.0,1.0
2010-09-15,21.51,21.64,21.45,21.56,14.0472,1302100.0,0.0,1.0
2010-09-16,21.75,22.28,21.75,21.85,14.2362,4179800.0,0.0,1.0
2010-09-17,22.19,22.25,22.01,22.25,14.4968,2845700.0,0.0,1.0
2010-09-20,22.25,22.27,22.19,22.2,14.4642,1651400.0,0.0,1.0
2010-09-21,22.21,22.27,22.17,22.21,14.4707,3081900.0,0.0,1.0
2010-09-22,22.24,22.28,21.85,21.94,14.2948,1636900.0,0.0,1.0
2010-09-23,21.85,21.95,21.6,21.85,14.2362,1356500.0,0.0,1.0
2010-09-24,22.0,22.47,22.0,22.46,14.6336,2632000.0,0.0,1.0
2010-09-27,22.69,23.11,22.69,23.1,15.0506,4341200.0,0.0,1.0
2010-09-28,23.1,23.64,23.03,23.445,15.2754,2932200.0,0.0,1.0
2010-09-29,23.38,23.95,23.37,23.62,15.3894,3805000.0,0.0,1.0
2010-09-30,23.65,23.95,23.26,23.9,15.5718,4344600.0,0.0,1.0
2010-10-01,23.92,24.06,23.71,23.87,15.5523,6646000.0,0.0,1.0
2010-10-04,24.03,24.4,23.93,24.09,15.6956,3833700.0,0.0,1.0
2010-10-05,24.04,25.0,24.03,24.79,16.1517,7091600.0,0.0,1.0
2010-10-06,24.85,24.88,23.95,24.22,15.7803,1901200.0,0.0,1.0
2010-10-07,24.26,24.54,24.19,24.45,15.9302,2172800.0,0.0,1.0
2010-10-08,24.7,25.28,24.7,25.25,16.4514,6419900.0,0.0,1.0
2010-10-11,25.19,26.6,25.125,26.16,17.0443,8024800.0,0.0,1.0
2010-10-12,26.1,26.35,25.45,26.3,17.1355,7003500.0,0.0,1.0
2010-10-13,26.4,27.12,26.29,26.97,17.572,12316200.0,0.0,1.0
2010-10-14,27.65,27.65,26.0,27.02,17.6046,1518022.0,0.0,1.0
2010-10-15,27.1,27.1,26.5,26.5,17.2658,3207600.0,0.0,1.0
2010-10-18,26.6,27.04,26.41,26.75,17.4287,4034900.0,0.0,1.0
2010-10-19,26.99,26.99,26.44,26.52,17.2789,7782900.0,0.0,1.0
2010-10-20,26.7,27.2,26.65,27.13,17.6763,6081700.0,0.0,1.0
2010-10-21,27.19,28.0,27.1,27.56,17.9565,6521800.0,0.0,1.0
2010-10-22,27.6,27.68,27.3,27.55,17.9499,2442100.0,0.0,1.0
2010-10-25,27.835,28.27,27.72,27.96,18.2171,3935100.0,0.0,1.0
2010-10-26,28.07,28.12,26.5,27.72,18.0607,5532600.0,0.0,1.0
2010-10-27,27.83,27.83,26.85,27.21,17.7284,3619200.0,0.0,1.0
2010-10-28,27.38,27.79,26.99,27.51,17.9239,3821600.0,0.0,1.0
2010-10-29,27.85,28.25,26.6,26.86,17.5004,7190600.0,0.0,1.0
2010-11-01,26.76,27.16,25.7,26.0,16.9401,4165000.0,0.0,1.0
2010-11-02,26.3,26.79,26.18,26.63,17.3505,3387900.0,0.0,1.0
2010-11-03,26.91,27.47,26.35,26.95,17.559,3338400.0,0.0,1.0
2010-11-04,27.25,27.56,26.99,27.41,17.8587,5118300.0,0.0,1.0
2010-11-05,27.45,28.53,26.76,28.35,18.4712,7669000.0,0.0,1.0
2010-11-08,28.5,28.85,28.24,28.85,18.7969,4110700.0,0.0,1.0
2010-11-09,29.02,29.1,28.17,28.44,18.5298,2267300.0,0.0,1.0
2010-11-10,28.4,28.5,27.74,28.34,18.4647,2717000.0,0.0,1.0
2010-11-11,28.12,28.8,28.0201,28.29,18.4321,2478300.0,0.0,1.0
2010-11-12,28.32,28.37,27.33,27.4,17.8522,4365200.0,0.0,1.0
2010-11-15,27.25,27.99,27.2,27.66,18.0216,4142500.0,0.0,1.0
2010-11-16,27.57,27.65,26.25,26.7,17.3961,2919300.0,0.0,1.0
2010-11-17,26.74,27.31,26.34,27.23,17.7414,3193800.0,0.0,1.0
2010-11-18,28.06,28.2325,27.54,27.69,18.0412,3376600.0,0.0,1.0
2010-11-19,27.77,28.88,27.5,28.75,18.7318,17483400.0,0.0,1.0
2010-11-22,28.63,29.82,28.55,29.68,19.3377,6153800.0,0.0,1.0
2010-11-23,29.25,29.25,28.81,28.95,18.8621,4384400.0,0.0,1.0
2010-11-24,29.1,29.54,28.86,29.5,19.2204,3341100.0,0.0,1.0
2010-11-26,29.2,29.55,29.15,29.38,19.1423,740600.0,0.0,1.0
2010-11-29,29.9,29.97,28.86,29.75,19.3833,3414900.0,0.0,1.0
2010-11-30,29.23,29.5,29.06,29.21,19.0315,2831300.0,0.0,1.0
2010-12-01,29.69,30.04,29.63,29.88,19.468,7132500.0,0.0,1.0
2010-12-02,30.21,30.5,29.4105,30.49,19.8655,7641100.0,0.0,1.0
2010-12-03,30.04,30.71,29.53,30.52,19.885,5584300.0,0.0,1.0
2010-12-06,30.62,31.12,30.5,31.08,20.2499,4628200.0,0.0,1.0
2010-12-07,31.5,31.75,30.93,31.6,20.5887,6296400.0,0.0,1.0
2010-12-08,31.6,31.85,30.73,30.86,20.1065,3558100.0,0.0,1.0
2010-12-09,31.23,31.34,29.6,30.61,19.9437,4306200.0,0.0,1.0
2010-12-10,30.56,31.17,30.46,31.1,20.2629,3383400.0,0.0,1.0
2010-12-13,31.08,31.97,31.03,31.86,20.7581,38066400.0,0.0,1.0
2010-12-14,31.61,32.46,31.07,31.99,20.8428,3875100.0,0.0,1.0
2010-12-15,31.99,32.19,31.52,31.75,20.6864,1458700.0,0.0,1.0
2010-12-16,32.01,32.07,30.91,31.2,20.3281,2498500.0,0.0,1.0
2010-12-17,31.14,32.0,30.72,31.87,20.7646,3980000.0,0.0,1.0
2010-12-20,31.91,32.12,31.62,32.1,20.9144,2500900.0,0.0,1.0
2010-12-21,32.0,32.57,32.0,32.55,21.2076,3301200.0,0.0,1.0
2010-12-22,32.34,32.98,32.34,32.95,21.4683,3212600.0,0.0,1.0
2010-12-23,32.95,33.0,32.789,32.93,21.4552,724400.0,0.0,1.0
2010-12-27,32.67,33.03,32.65,32.96,21.4748,679600.0,0.0,1.0
2010-12-28,32.94,33.3,32.83,33.28,21.6833,1111600.0,0.0,1.0
2010-12-29,33.21,33.45,33.18,33.4,21.7615,1290400.0,0.0,1.0
2010-12-30,33.43,33.82,33.26,33.76,21.996,1605600.0,0.0,1.0
2010-12-31,33.85,34.54,33.83,34.4,22.413,1877900.0,0.0,1.0
2011-01-03,34.75,34.99,34.43,34.56,22.5172,3403400.0,0.0,1.0
2011-01-04,34.8,34.95,34.54,34.87,22.7192,5475700.0,0.0,1.0
2011-01-05,34.68,35.0,34.63,34.85,22.7062,2780800.0,0.0,1.0
2011-01-06,34.93,35.11,34.72,34.97,22.7844,3249400.0,0.0,1.0
2011-01-07,35.18,35.23,34.45,34.62,22.5563,1889700.0,0.0,1.0
2011-01-10,34.92,35.3,34.6,35.24,22.9603,4051600.0,0.0,1.0
2011-01-11,35.6,36.58,35.51,36.47,23.7617,4729500.0,0.0,1.0
2011-01-12,36.66,37.0,36.51,36.74,23.9376,2867900.0,0.0,1.0
2011-01-13,36.84,36.84,35.85,36.4,23.7161,4404500.0,0.0,1.0
2011-01-14,36.28,37.0,36.04,36.61,23.8529,3841100.0,0.0,1.0
2011-01-18,36.95,37.0,36.46,36.5,23.7812,2166600.0,0.0,1.0
2011-01-19,36.67,36.7,35.53,35.66,23.2339,3682500.0,0.0,1.0
2011-01-20,35.26,35.77,33.57,35.42,23.0776,7837700.0,0.0,1.0
2011-01-21,35.88,36.22,34.4,35.05,22.8365,3647600.0,0.0,1.0
2011-01-24,35.6,35.735,34.75,35.65,23.2274,2489700.0,0.0,1.0
2011-01-25,35.7,36.15,35.525,35.7,23.26,6351500.0,0.0,1.0
2011-01-26,35.78,36.25,35.54,36.0,23.4555,2325700.0,0.0,1.0
2011-01-27,36.06,36.51,35.825,36.2,23.5858,2718800.0,0.0,1.0
2011-01-28,36.3,36.48,34.62,34.86,22.7127,1961300.0,0.0,1.0
2011-01-31,34.77,36.04,34.77,35.94,23.4164,2250400.0,0.0,1.0
2011-02-01,36.19,37.0,35.97,36.84,24.0028,2823400.0,0.0,1.0
2011-02-02,36.51,36.88,36.17,36.55,23.8138,1646500.0,0.0,1.0
2011-02-03,36.83,37.44,36.0,36.12,23.5336,3667200.0,0.0,1.0
2011-02-04,36.44,36.76,35.34,36.17,23.5662,4087000.0,0.0,1.0
2011-02-07,36.49,36.77,35.29,35.52,23.1427,4454900.0,0.0,1.0
2011-02-08,35.77,35.85,34.36,35.48,23.1167,5053800.0,0.0,1.0
2011-02-09,35.24,35.95,34.59,35.84,23.3512,5237600.0,0.0,1.0
2011-02-10,35.33,36.83,35.33,36.75,23.9441,2841300.0,0.0,1.0
2011-02-11,36.17,38.89,35.76,37.07,24.1526,4639500.0,0.0,1.0
2011-02-14,37.42,37.44,36.81,37.4,24.3676,2764300.0,0.0,1.0
2011-02-15,37.39,37.67,36.56,37.48,24.4197,2470500.0,0.0,1.0
2011-02-16,37.47,37.8,37.09,37.54,24.4588,2955500.0,0.0,1.0
2011-02-17,37.59,38.6,37.26,38.59,25.1429,6305700.0,0.0,1.0
2011-02-18,36.9,38.12,35.34,37.95,24.726,15389100.0,0.0,1.0
2011-02-22,36.53,38.75,35.74,35.84,23.3512,6342400.0,0.0,1.0
2011-02-23,35.55,37.0,34.88,36.64,23.8724,6188600.0,0.0,1.0
2011-02-24,36.66,37.39,36.26,36.7,23.9115,4456100.0,0.0,1.0
2011-02-25,37.52,38.545,37.5,38.17,24.8693,4899300.0,0.0,1.0
2011-02-28,38.88,40.0,37.71,38.08,24.8107,12466200.0,0.0,1.0
2011-03-01,38.37,38.85,36.76,37.06,24.1461,3520100.0,0.0,1.0
2011-03-02,37.2,38.58,36.84,38.07,24.8041,3930500.0,0.0,1.0
2011-03-03,38.65,39.85,38.65,39.56,25.7749,5558300.0,0.0,1.0
2011-03-04,40.2,40.3,39.34,39.64,25.8271,4308600.0,0.0,1.0
2011-03-07,40.19,40.3,39.46,39.83,25.9509,4343300.0,0.0,1.0
2011-03-08,39.72,41.08,39.36,40.73,26.5372,3269300.0,0.0,1.0
2011-03-09,40.92,41.12,40.31,40.9,26.648,2698300.0,0.0,1.0
2011-03-10,40.38,41.0,38.53,39.69,25.8596,7360400.0,0.0,1.0
2011-03-11,39.05,39.66,38.2,39.16,25.5143,3965500.0,0.0,1.0
2011-03-14,39.08,40.41,38.75,39.19,25.5339,1751000.0,0.0,1.0
2011-03-15,37.45,38.64,37.33,38.28,24.941,3694900.0,0.0,1.0
2011-03-16,38.12,39.41,37.99,38.09,24.8172,3071500.0,0.0,1.0
2011-03-17,38.83,39.31,38.77,38.99,25.4036,1526200.0,0.0,1.0
2011-03-18,39.52,39.58,38.21,38.4,25.0192,2805700.0,0.0,1.0
2011-03-21,39.35,40.0,38.8,39.67,25.8466,2810700.0,0.0,1.0
2011-03-22,39.63,39.69,38.69,39.05,25.4427,1433600.0,0.0,1.0
2011-03-23,38.83,39.97,38.51,39.87,25.9769,1289300.0,0.0,1.0
