date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,50.25,50.5,49.94,50.38,18.0413,1246600.0,0.0,1.0
2000-01-04,49.38,49.75,48.19,48.94,17.5256,763500.0,0.0,1.0
2000-01-05,49.13,49.81,48.25,49.5,17.7262,877700.0,0.0,1.0
2000-01-06,50.0,50.0,48.31,49.44,17.7047,831600.0,0.0,1.0
2000-01-07,49.25,51.0,49.06,50.81,18.1953,1039200.0,0.0,1.0
2000-01-10,50.88,53.19,50.88,52.38,18.7575,1438600.0,0.0,1.0
2000-01-11,53.31,53.88,50.63,50.69,18.1523,1316300.0,0.0,1.0
2000-01-12,50.81,51.13,49.63,50.56,18.1058,1345800.0,0.0,1.0
2000-01-13,50.25,51.69,49.81,51.25,18.3529,1378100.0,0.0,1.0
2000-01-14,51.25,51.63,46.0,47.88,17.1461,5018900.0,0.0,1.0
2000-01-18,46.81,48.13,46.81,47.94,17.1675,2090500.0,0.0,1.0
2000-01-19,48.13,49.31,47.38,47.81,17.121,1246100.0,0.0,1.0
2000-01-20,47.63,47.63,45.0,46.26,16.5659,1366700.0,0.0,1.0
2000-01-21,45.0,45.0,43.31,43.88,15.7136,1233800.0,0.0,1.0
2000-01-24,44.13,44.5,41.06,41.25,14.7718,1140700.0,0.0,1.0
2000-01-25,42.13,43.69,41.5,43.06,15.42,923400.0,0.0,1.0
2000-01-26,43.69,45.13,42.75,45.0,16.1147,1495600.0,0.0,1.0
2000-01-27,44.25,44.25,42.13,42.69,15.2875,1117100.0,0.0,1.0
2000-01-28,42.44,42.75,41.38,41.63,14.9079,666700.0,0.0,1.0
2000-01-31,41.5,42.44,41.0,41.63,14.9079,801200.0,0.0,1.0
2000-02-01,41.63,43.31,41.44,42.13,15.087,871200.0,0.0,1.0
2000-02-02,42.0,42.88,41.5,42.81,15.3305,591900.0,0.0,1.0
2000-02-03,42.94,42.94,41.0,41.31,14.7933,1431200.0,0.0,1.0
2000-02-04,41.06,41.25,39.38,39.94,14.3027,1591000.0,0.0,1.0
2000-02-07,39.94,39.94,36.94,37.31,13.3609,1616300.0,0.0,1.0
2000-02-08,38.06,39.0,37.81,38.88,13.9231,3037300.0,0.0,1.0
2000-02-09,39.0,39.06,36.88,37.94,13.5865,1738700.0,0.0,1.0
2000-02-10,38.0,38.31,37.06,37.69,13.497,815400.0,0.0,1.0
