date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2006-05-25,40.3,47.2,40.2,46.0,4.3582,39534300.0,0.0,1.0
2006-05-26,46.31,46.74,44.11,44.93,4.2568,10304400.0,0.0,1.0
2006-05-30,44.97,44.98,42.85,44.0,4.1687,4989800.0,0.0,1.0
2006-05-31,44.35,45.36,44.35,44.94,4.2577,3000200.0,0.0,1.0
2006-06-01,44.93,48.1,44.9,47.51,4.5012,6234400.0,0.0,1.0
2006-06-02,47.51,48.7,46.79,46.99,4.452,3725300.0,0.0,1.0
2006-06-05,47.05,49.75,47.0,49.15,4.6566,3718800.0,0.0,1.0
2006-06-06,49.61,50.63,47.8,48.3,4.5761,4904500.0,0.0,1.0
2006-06-07,48.33,48.4,46.75,47.6,4.5098,2501300.0,0.0,1.0
2006-06-08,47.25,47.72,45.5,47.72,4.5211,3443900.0,0.0,1.0
2006-06-09,48.8,48.8,47.68,47.91,4.5391,1337200.0,0.0,1.0
2006-06-12,47.94,48.25,46.3,46.95,4.4482,1454600.0,0.0,1.0
2006-06-13,46.75,47.35,45.3,45.5,4.3108,1671600.0,0.0,1.0
2006-06-14,45.27,45.45,44.44,45.12,4.2748,1597100.0,0.0,1.0
2006-06-15,45.4,46.12,45.13,45.95,4.3534,1650000.0,0.0,1.0
2006-06-16,45.95,46.0,45.0,45.02,4.2653,1228000.0,0.0,1.0
2006-06-19,45.05,45.45,44.1,44.34,4.2009,1150900.0,0.0,1.0
2006-06-20,44.74,45.0,43.47,44.02,4.1706,2379200.0,0.0,1.0
2006-06-21,44.02,46.25,44.0,45.3,4.2918,1806300.0,0.0,1.0
2006-06-22,46.4,47.0,45.88,46.6,4.415,1303800.0,0.0,1.0
2006-06-23,47.0,47.93,46.87,46.95,4.4482,1161200.0,0.0,1.0
2006-06-26,47.0,47.5,46.43,47.5,4.5003,856500.0,0.0,1.0
2006-06-27,47.5,48.03,47.25,47.31,4.4823,982600.0,0.0,1.0
2006-06-28,46.85,47.4,46.5,46.96,4.4491,875600.0,0.0,1.0
2006-06-29,46.95,48.09,46.95,48.0,4.5476,1447000.0,0.0,1.0
2006-06-30,47.65,48.0,46.6,48.0,4.5476,2596400.0,0.0,1.0
2006-07-03,47.9,48.0,46.8101,47.3,4.4813,702900.0,0.0,1.0
2006-07-05,47.4,47.84,46.71,47.6,4.5098,1326600.0,0.0,1.0
2006-07-06,47.0,47.35,46.79,46.8,4.434,809700.0,0.0,1.0
2006-07-07,46.75,46.85,45.75,46.12,4.3695,838000.0,0.0,1.0
2006-07-10,46.2,46.57,46.12,46.49,4.4046,497800.0,0.0,1.0
2006-07-11,46.49,46.49,45.3,46.35,4.3913,807900.0,0.0,1.0
2006-07-12,46.4,46.4,45.54,45.55,4.3155,767200.0,0.0,1.0
2006-07-13,45.18,45.18,44.3,44.72,4.2369,1662500.0,0.0,1.0
2006-07-14,44.62,44.68,43.9,43.95,4.1639,966300.0,0.0,1.0
2006-07-17,44.1,44.17,43.75,43.99,4.1677,645800.0,0.0,1.0
2006-07-18,43.99,44.1,43.67,43.9,4.1592,1248300.0,0.0,1.0
2006-07-19,43.91,45.45,43.8,45.28,4.2899,1584000.0,0.0,1.0
2006-07-20,45.4,45.78,45.1,45.55,4.3155,882900.0,0.0,1.0
2006-07-21,45.55,45.55,44.77,45.28,4.2899,851000.0,0.0,1.0
2006-07-24,45.45,45.53,44.99,45.0,4.2634,501700.0,0.0,1.0
2006-07-25,45.2,46.4,45.16,46.08,4.3657,690000.0,0.0,1.0
2006-07-26,46.14,47.85,45.8,46.68,4.4226,1033800.0,0.0,1.0
2006-07-27,46.9,47.17,46.52,46.52,4.4074,600900.0,0.0,1.0
2006-07-28,46.51,46.8,46.26,46.3,4.3866,433900.0,0.0,1.0
2006-07-31,46.3,46.41,45.86,45.87,4.3458,461600.0,0.0,1.0
2006-08-01,45.92,45.92,44.7,45.0,4.2634,739000.0,0.0,1.0
2006-08-02,48.0,50.05,47.31,50.02,4.739,5337200.0,0.0,1.0
2006-08-03,49.13,50.24,48.65,49.99,4.7362,2168900.0,0.0,1.0
2006-08-04,50.3,51.5,49.99,50.05,4.7419,1421600.0,0.0,1.0
2006-08-07,50.25,51.3,50.25,51.1,4.8414,691800.0,0.0,1.0
2006-08-08,51.1,52.67,51.0501,52.57,4.9806,1407300.0,0.0,1.0
2006-08-09,53.0,54.5,52.0,52.85,5.0072,1504300.0,0.0,1.0
2006-08-10,52.2,53.91,52.1,53.56,5.0744,872500.0,0.0,1.0
2006-08-11,53.5,54.45,53.25,53.68,5.0858,907800.0,0.0,1.0
2006-08-14,53.75,54.54,53.52,54.23,5.1379,631400.0,0.0,1.0
2006-08-15,54.7,54.93,54.26,54.49,5.1625,855300.0,0.0,1.0
2006-08-16,54.65,55.43,54.1601,54.27,5.1417,1534400.0,0.0,1.0
2006-08-17,54.2,54.24,53.19,53.46,5.0649,1021600.0,0.0,1.0
2006-08-18,53.1,53.65,52.46,53.45,5.064,934300.0,0.0,1.0
2006-08-21,53.3,55.55,52.8,54.26,5.1407,1248700.0,0.0,1.0
2006-08-22,54.2,55.5,54.2,55.23,5.2326,976100.0,0.0,1.0
2006-08-23,55.48,55.75,54.5416,54.6,5.173,1043900.0,0.0,1.0
2006-08-24,54.9,55.85,54.82,55.65,5.2724,542000.0,0.0,1.0
2006-08-25,55.75,55.8525,54.93,55.0,5.2108,801600.0,0.0,1.0
2006-08-28,54.85,55.45,54.766,55.02,5.2127,374800.0,0.0,1.0
2006-08-29,55.25,55.65,55.1604,55.35,5.244,321100.0,0.0,1.0
2006-08-30,55.48,55.7756,55.17,55.25,5.2345,580100.0,0.0,1.0
2006-08-31,55.25,56.17,55.25,55.9,5.2961,702300.0,0.0,1.0
2006-09-01,55.97,57.5,55.97,56.55,5.3577,2055900.0,0.0,1.0
2006-09-05,56.9,57.24,56.2501,56.85,5.3861,461800.0,0.0,1.0
2006-09-06,56.9,58.88,56.57,58.88,5.5785,1569400.0,0.0,1.0
2006-09-07,58.51,60.87,58.5,60.12,5.6959,2654900.0,0.0,1.0
2006-09-08,61.0,61.25,59.29,59.75,5.6609,1517600.0,0.0,1.0
2006-09-11,59.75,61.99,59.6,61.87,5.8617,1706400.0,0.0,1.0
2006-09-12,60.99,62.1499,60.99,62.1,5.8835,1699200.0,0.0,1.0
2006-09-13,62.0,62.3,60.9,61.35,5.8125,1235500.0,0.0,1.0
2006-09-14,60.85,63.25,60.7,62.79,5.9489,1301000.0,0.0,1.0
2006-09-15,62.79,65.2,62.79,64.97,6.1554,1931400.0,0.0,1.0
2006-09-18,65.74,67.55,64.3,65.12,6.1696,2365600.0,0.0,1.0
2006-09-19,65.0,66.15,64.3,64.84,6.1431,1726300.0,0.0,1.0
2006-09-20,65.1,66.7,64.5,66.55,6.3051,1347600.0,0.0,1.0
2006-09-21,67.53,69.6,67.01,69.05,6.542,2906300.0,0.0,1.0
2006-09-22,69.0,69.5,65.08,65.93,6.2464,2987400.0,0.0,1.0
2006-09-25,65.25,65.7,62.2,64.4,6.1014,3567700.0,0.0,1.0
2006-09-26,63.4,67.33,62.76,66.0,6.253,3996900.0,0.0,1.0
2006-09-27,66.999,67.9,65.45,67.84,6.4273,1963300.0,0.0,1.0
2006-09-28,67.65,68.91,67.65,68.65,6.5041,1339500.0,0.0,1.0
2006-09-29,68.65,70.45,67.56,70.35,6.6651,2005600.0,0.0,1.0
2006-10-02,70.35,70.35,69.6566,69.96,6.6282,1739300.0,0.0,1.0
2006-10-03,68.4,70.9,68.4,69.68,6.6017,1673300.0,0.0,1.0
2006-10-04,70.0,70.41,68.75,69.53,6.5875,1367900.0,0.0,1.0
2006-10-05,69.78,72.9,69.01,72.59,6.8859,2575600.0,0.09,1.0
2006-10-06,72.4,75.85,72.01,75.15,7.1287,3541000.0,0.0,1.0
2006-10-09,72.25,73.2299,70.9505,72.8,6.9058,3708400.0,0.0,1.0
2006-10-10,71.15,73.25,70.5,71.91,6.8214,2676400.0,0.0,1.0
2006-10-11,70.95,71.0,68.28,69.5,6.5928,3548300.0,0.0,1.0
2006-10-12,69.1,70.82,68.72,70.41,6.6791,1511700.0,0.0,1.0
2006-10-13,71.0,71.7,69.82,70.09,6.6487,1132100.0,0.0,1.0
2006-10-16,70.0,71.71,69.85,71.3,6.7635,880200.0,0.0,1.0
2006-10-17,71.1,71.2,69.27,69.5,6.5928,986500.0,0.0,1.0
2006-10-18,69.61,71.18,69.54,70.45,6.6829,856200.0,0.0,1.0
2006-10-19,70.45,72.9,69.75,72.33,6.8612,1341400.0,0.0,1.0
2006-10-20,72.8,72.85,71.0,71.22,6.7559,526400.0,0.0,1.0
2006-10-23,71.35,71.62,69.801,70.25,6.6639,738900.0,0.0,1.0
2006-10-24,70.15,71.5,69.92,71.2,6.754,851200.0,0.0,1.0
2006-10-25,71.25,71.25,70.5,70.75,6.7114,1134900.0,0.0,1.0
2006-10-26,70.85,74.0,69.89,72.2,6.8489,2115200.0,0.0,1.0
2006-10-27,71.0,73.0,69.0001,72.64,6.8906,2674100.0,0.0,1.0
