date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,22.62,22.88,22.44,22.5,7.5437,28800.0,0.0,1.0
2000-01-04,22.44,22.63,22.38,22.63,7.5873,38800.0,0.0,1.0
2000-01-05,22.44,22.88,22.38,22.5,7.5437,62900.0,0.0,1.0
2000-01-06,22.38,23.0,22.38,22.75,7.6275,29000.0,0.0,1.0
2000-01-07,22.63,23.0,22.63,22.94,7.6912,17700.0,0.0,1.0
2000-01-10,22.94,22.94,22.69,22.75,7.6275,20400.0,0.0,1.0
2000-01-11,22.75,22.75,22.44,22.5,7.5437,35000.0,0.0,1.0
2000-01-12,22.44,22.56,22.44,22.5,7.5437,18400.0,0.0,1.0
2000-01-13,22.44,22.56,22.44,22.5,7.5437,17500.0,0.0,1.0
2000-01-14,22.44,22.75,22.31,22.44,7.5236,36600.0,0.0,1.0
2000-01-18,22.56,23.0,22.56,23.0,7.7113,33900.0,0.0,1.0
2000-01-19,23.13,23.38,23.0,23.25,7.7952,56800.0,0.0,1.0
2000-01-20,22.5,22.75,22.25,22.25,7.6543,64300.0,0.58,1.0
2000-01-21,22.38,22.44,22.13,22.44,7.7197,10600.0,0.0,1.0
2000-01-24,22.25,22.38,22.06,22.13,7.6131,24100.0,0.0,1.0
2000-01-25,22.06,22.38,22.06,22.25,7.6543,15100.0,0.0,1.0
2000-01-26,22.13,22.44,22.06,22.06,7.589,17200.0,0.0,1.0
2000-01-27,22.25,22.25,22.0,22.06,7.589,24000.0,0.0,1.0
2000-01-28,22.19,22.38,22.0,22.06,7.589,20400.0,0.0,1.0
2000-01-31,22.25,22.38,22.13,22.13,7.6131,13800.0,0.0,1.0
2000-02-01,22.38,22.38,22.0,22.19,7.6337,47700.0,0.0,1.0
2000-02-02,22.25,22.25,22.0,22.13,7.6131,26400.0,0.0,1.0
2000-02-03,22.19,22.31,22.0,22.19,7.6337,26400.0,0.0,1.0
2000-02-04,22.06,22.19,22.0,22.06,7.589,28600.0,0.0,1.0
2000-02-07,22.06,22.31,22.06,22.25,7.6543,27100.0,0.0,1.0
2000-02-08,22.38,22.44,22.13,22.25,7.6543,22400.0,0.0,1.0
2000-02-09,22.25,22.25,22.13,22.25,7.6543,20500.0,0.0,1.0
2000-02-10,22.19,22.44,22.19,22.31,7.675,21300.0,0.0,1.0
2000-02-11,22.31,22.38,22.25,22.38,7.6991,24900.0,0.0,1.0
2000-02-14,22.25,22.38,22.19,22.31,7.675,24500.0,0.0,1.0
2000-02-15,22.31,22.5,22.25,22.5,7.7404,76600.0,0.0,1.0
