date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,31.56,31.63,30.44,30.5,11.8864,1239689.0,0.0,1.0
2000-01-04,30.31,30.75,30.06,30.31,11.8123,512494.0,0.0,1.0
2000-01-05,30.31,31.06,30.31,30.94,12.0578,475053.0,0.0,1.0
2000-01-06,30.88,31.25,30.69,31.25,12.1786,439888.0,0.0,1.0
2000-01-07,31.25,32.31,31.25,32.13,12.5216,551220.0,0.0,1.0
2000-01-10,33.0,34.75,32.88,33.81,13.1763,1368975.0,0.0,1.0
2000-01-11,33.56,34.13,32.63,32.63,12.7165,777693.0,0.0,1.0
2000-01-12,32.63,33.19,32.0,32.94,12.8373,504778.0,0.0,1.0
2000-01-13,32.94,33.5,32.88,33.0,12.8607,465755.0,0.0,1.0
2000-01-14,33.0,33.44,32.69,32.75,12.7632,394781.0,0.0,1.0
2000-01-18,32.5,32.94,32.13,32.31,12.5917,469761.0,0.0,1.0
2000-01-19,32.06,32.94,32.06,32.5,12.6658,461749.0,0.0,1.0
2000-01-20,32.13,32.56,32.0,32.19,12.545,435437.0,0.0,1.0
2000-01-21,32.19,32.38,31.94,32.06,12.4943,587325.0,0.0,1.0
2000-01-24,32.06,32.06,30.13,30.19,11.7655,761767.0,0.0,1.0
2000-01-25,30.13,31.94,30.13,30.94,12.0578,626398.0,0.0,1.0
2000-01-26,31.0,31.13,30.25,31.13,12.1319,512395.0,0.0,1.0
2000-01-27,31.0,31.88,31.0,31.25,12.1786,509378.0,0.0,1.0
2000-01-28,31.06,32.13,30.75,30.81,12.0072,1012623.0,0.0,1.0
2000-01-31,31.0,31.19,30.44,31.06,12.1046,523721.0,0.0,1.0
2000-02-01,31.0,32.63,30.94,31.94,12.4476,477971.0,0.0,1.0
2000-02-02,31.69,32.25,31.38,31.44,12.2527,379647.0,0.0,1.0
2000-02-03,31.44,32.5,31.38,32.25,12.5684,779127.0,0.0,1.0
2000-02-04,32.13,33.94,32.0,33.88,13.2036,723881.0,0.0,1.0
2000-02-07,33.44,33.88,32.5,33.25,12.9581,658694.0,0.0,1.0
2000-02-08,33.25,33.94,32.88,33.5,13.0555,965934.0,0.0,1.0
2000-02-09,33.13,33.69,32.63,32.69,12.7398,853662.0,0.0,1.0
2000-02-10,32.81,32.81,31.94,32.06,12.4943,890904.0,0.0,1.0
2000-02-11,32.06,33.25,31.81,32.69,12.7398,419016.0,0.0,1.0
2000-02-14,32.75,33.38,31.81,32.25,12.5684,538905.0,0.0,1.0
2000-02-15,32.63,33.44,32.13,32.81,12.7866,362683.0,0.0,1.0
2000-02-16,33.0,33.44,31.38,32.69,12.7398,608345.0,0.0,1.0
2000-02-17,32.44,32.63,30.75,31.63,12.3267,629514.0,0.0,1.0
2000-02-18,31.38,31.94,30.56,30.75,11.9838,349922.0,0.0,1.0
2000-02-22,30.75,30.75,29.63,30.31,11.8123,382070.0,0.0,1.0
2000-02-23,30.31,30.31,29.63,29.69,11.5707,493254.0,0.0,1.0
2000-02-24,29.75,29.75,26.81,27.38,10.6704,849557.0,0.0,1.0
2000-02-25,28.0,29.19,27.88,27.88,10.8653,773241.0,0.0,1.0
2000-02-28,27.25,28.19,27.19,28.0,10.9121,995362.0,0.0,1.0
2000-02-29,28.0,28.13,27.19,27.56,10.7406,955992.0,0.0,1.0
2000-03-01,27.44,27.69,27.25,27.5,10.7172,572290.0,0.0,1.0
2000-03-02,27.38,27.56,27.13,27.38,10.6704,433755.0,0.0,1.0
2000-03-03,27.06,27.38,26.81,27.19,10.5964,634558.0,0.0,1.0
2000-03-06,27.13,27.5,26.56,26.69,10.4015,866076.0,0.0,1.0
2000-03-07,26.69,27.31,26.56,26.63,10.3782,1199380.0,0.0,1.0
