date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,23.0,23.44,22.88,23.44,20.3817,1810300.0,0.0,1.0
2000-01-04,23.13,23.13,21.75,21.94,19.0774,1153400.0,0.0,1.0
2000-01-05,22.06,22.25,21.5,21.81,18.9644,1309500.0,0.0,1.0
2000-01-06,22.13,24.25,22.06,23.75,20.6513,2030600.0,0.0,1.0
2000-01-07,23.94,24.25,23.25,23.5,20.4339,1195700.0,0.0,1.0
2000-01-10,25.5,25.88,24.0,24.0,20.8686,2476300.0,0.0,1.0
2000-01-11,25.25,28.0,25.0,26.94,23.425,5369300.0,0.0,1.0
2000-01-12,27.44,27.44,25.5,25.94,22.5555,2052200.0,0.0,1.0
2000-01-13,26.0,26.69,25.63,26.38,22.9381,1131500.0,0.0,1.0
2000-01-14,27.0,27.0,26.06,26.38,22.9381,1055400.0,0.0,1.0
2000-01-18,26.31,27.0,25.94,26.81,23.312,1328700.0,0.0,1.0
2000-01-19,26.63,26.88,26.0,26.19,22.7729,889100.0,0.0,1.0
2000-01-20,26.06,26.13,25.25,25.25,21.9555,1538800.0,0.0,1.0
2000-01-21,25.94,25.94,25.0,25.13,21.8512,1622000.0,0.0,1.0
2000-01-24,25.13,25.38,24.81,24.88,21.6338,799200.0,0.0,1.0
2000-01-25,22.0,22.75,21.25,22.0,19.1296,4931900.0,0.0,1.0
2000-01-26,21.94,22.0,21.38,21.69,18.86,1739800.0,0.0,1.0
2000-01-27,21.88,21.94,20.13,20.88,18.1557,3096400.0,0.0,1.0
2000-01-28,20.94,20.94,20.13,20.13,17.5036,1084000.0,0.0,1.0
2000-01-31,20.06,20.94,20.0,20.56,17.8775,952200.0,0.0,1.0
2000-02-01,20.88,21.06,20.5,20.88,18.1557,1244000.0,0.0,1.0
2000-02-02,20.88,21.19,20.38,20.38,17.721,1533300.0,0.0,1.0
2000-02-03,20.75,20.94,20.38,20.56,17.8775,1375500.0,0.0,1.0
2000-02-04,20.5,20.88,20.44,20.5,17.8253,550300.0,0.0,1.0
2000-02-07,20.5,20.69,20.25,20.31,17.6601,574200.0,0.0,1.0
2000-02-08,20.69,21.19,20.38,20.38,17.721,973700.0,0.0,1.0
2000-02-09,20.44,20.56,20.25,20.38,17.721,918900.0,0.0,1.0
2000-02-10,20.5,20.5,18.94,19.13,16.634,2522800.0,0.0,1.0
2000-02-11,19.44,19.44,18.81,18.88,16.4167,3993600.0,0.0,1.0
2000-02-14,18.69,19.19,18.63,18.94,16.4688,622200.0,0.0,1.0
2000-02-15,18.88,18.94,18.31,18.63,16.1993,1196700.0,0.0,1.0
2000-02-16,19.06,20.19,19.0,20.0,17.3905,1167600.0,0.0,1.0
2000-02-17,20.0,20.5,19.63,20.0,17.3905,1381000.0,0.0,1.0
2000-02-18,20.25,20.44,19.75,19.94,17.3384,985800.0,0.0,1.0
2000-02-22,19.69,19.88,19.13,19.75,17.1732,762000.0,0.0,1.0
2000-02-23,19.63,19.75,19.13,19.13,16.634,840300.0,0.0,1.0
2000-02-24,19.13,19.63,18.63,19.5,16.9558,1044700.0,0.0,1.0
2000-02-25,19.44,19.5,19.06,19.31,16.7906,846300.0,0.0,1.0
2000-02-28,19.0,19.5,18.75,19.31,16.8427,881000.0,0.06,1.0
2000-02-29,19.5,19.69,19.19,19.38,16.9038,1212200.0,0.0,1.0
2000-03-01,19.38,19.69,19.06,19.5,17.0085,697900.0,0.0,1.0
2000-03-02,19.13,19.38,18.69,18.94,16.52,775500.0,0.0,1.0
2000-03-03,19.0,19.69,18.75,19.25,16.7904,1147600.0,0.0,1.0
2000-03-06,19.63,19.69,19.25,19.38,16.9038,511600.0,0.0,1.0
2000-03-07,19.13,19.31,18.5,18.56,16.1886,793900.0,0.0,1.0
2000-03-08,18.5,18.81,18.38,18.5,16.1362,619300.0,0.0,1.0
2000-03-09,18.5,19.31,18.25,19.06,16.6247,1004900.0,0.0,1.0
2000-03-10,19.31,19.5,18.5,18.63,16.2496,787300.0,0.0,1.0
2000-03-13,18.38,18.88,18.25,18.88,16.4677,888300.0,0.0,1.0
2000-03-14,18.88,18.88,18.25,18.25,15.9182,1026600.0,0.0,1.0
2000-03-15,18.25,19.38,18.19,19.13,16.6857,1523300.0,0.0,1.0
2000-03-16,19.38,19.88,19.13,19.75,17.2265,1730400.0,0.0,1.0
2000-03-17,19.75,19.75,19.0,19.13,16.6857,1296200.0,0.0,1.0
2000-03-20,19.13,19.5,19.06,19.25,16.7904,1082800.0,0.0,1.0
2000-03-21,19.25,19.38,19.0,19.19,16.7381,1157900.0,0.0,1.0
2000-03-22,19.06,19.5,19.06,19.06,16.6247,1300000.0,0.0,1.0
2000-03-23,18.94,19.25,18.81,19.19,16.7381,1109700.0,0.0,1.0
2000-03-24,19.19,19.62,19.06,19.5,17.0085,1094000.0,0.0,1.0
