date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,50.31,50.31,47.19,47.25,9.7774,255500.0,0.0,1.0
2000-01-04,47.25,47.69,46.25,46.81,9.6863,102000.0,0.0,1.0
2000-01-05,46.75,46.75,45.75,46.06,9.5311,125400.0,0.0,1.0
2000-01-06,45.25,48.0,44.81,47.75,9.8808,335300.0,0.0,1.0
2000-01-07,47.75,48.38,47.25,47.25,9.7774,115600.0,0.0,1.0
2000-01-10,47.38,48.75,46.0,48.31,9.9967,157100.0,0.0,1.0
2000-01-11,48.38,48.38,45.88,45.88,9.4939,147300.0,0.0,1.0
2000-01-12,45.94,47.25,44.75,46.75,9.6739,343100.0,0.0,1.0
2000-01-13,46.88,46.94,45.56,45.63,9.4422,154300.0,0.0,1.0
2000-01-14,45.88,46.63,45.5,46.13,9.5456,84000.0,0.0,1.0
2000-01-18,46.38,46.75,45.63,46.13,9.5456,97300.0,0.0,1.0
2000-01-19,45.88,47.63,45.75,47.56,9.8415,277900.0,0.0,1.0
2000-01-20,48.75,49.56,47.38,47.44,9.8167,549000.0,0.0,1.0
2000-01-21,46.5,46.5,44.75,46.06,9.5311,483600.0,0.0,1.0
2000-01-24,46.25,46.56,43.63,43.81,9.0655,186800.0,0.0,1.0
2000-01-25,43.81,43.81,42.94,43.5,9.0014,360400.0,0.0,1.0
2000-01-26,43.94,43.94,43.0,43.13,8.9248,193600.0,0.0,1.0
2000-01-27,43.06,43.31,41.38,41.94,8.6786,509400.0,0.0,1.0
2000-01-28,41.88,42.63,41.38,41.56,8.6,424500.0,0.0,1.0
2000-01-31,41.69,42.06,41.25,41.38,8.5627,273100.0,0.0,1.0
2000-02-01,42.25,43.44,42.13,42.88,8.8731,414600.0,0.0,1.0
2000-02-02,42.63,43.44,42.38,42.5,8.7945,289600.0,0.0,1.0
2000-02-03,42.75,42.94,42.06,42.13,8.7179,83500.0,0.0,1.0
2000-02-04,42.56,44.31,42.56,44.31,9.169,282600.0,0.0,1.0
2000-02-07,44.13,44.13,42.38,42.56,8.8069,158700.0,0.0,1.0
2000-02-08,42.88,43.75,42.75,42.81,8.8793,170500.0,0.1,1.0
2000-02-09,43.06,43.25,42.25,42.38,8.7901,110600.0,0.0,1.0
2000-02-10,42.56,42.69,42.0,42.63,8.842,47300.0,0.0,1.0
2000-02-11,42.69,43.0,42.19,42.19,8.7507,81800.0,0.0,1.0
2000-02-14,42.38,42.88,42.0,42.13,8.7383,88900.0,0.0,1.0
2000-02-15,42.13,42.44,41.5,42.19,8.7507,325800.0,0.0,1.0
2000-02-16,42.0,42.44,41.75,42.0,8.7113,187100.0,0.0,1.0
2000-02-17,41.88,43.69,41.88,43.25,8.9706,118500.0,0.0,1.0
2000-02-18,43.25,43.25,41.81,42.19,8.7507,393100.0,0.0,1.0
2000-02-22,42.13,42.13,40.13,40.38,8.3753,133900.0,0.0,1.0
2000-02-23,39.13,42.06,38.5,41.81,8.6719,858700.0,0.0,1.0
2000-02-24,42.06,42.13,38.75,41.44,8.5952,745900.0,0.0,1.0
2000-02-25,41.19,41.19,39.0,39.19,8.1285,453600.0,0.0,1.0
2000-02-28,19.81,20.5,19.31,20.19,8.3753,183000.0,0.0,2.0
2000-02-29,20.19,20.5,19.56,19.88,8.2467,283500.0,0.0,1.0
2000-03-01,19.75,19.81,18.63,19.0,7.8817,472300.0,0.0,1.0
2000-03-02,18.5,19.19,18.44,19.0,7.8817,580500.0,0.0,1.0
2000-03-03,19.5,19.63,18.75,19.0,7.8817,189700.0,0.0,1.0
2000-03-06,20.5,20.69,19.25,19.5,8.0891,808300.0,0.0,1.0
2000-03-07,19.75,19.75,19.0,19.63,8.143,866000.0,0.0,1.0
2000-03-08,19.75,19.75,18.81,19.25,7.9854,449500.0,0.0,1.0
2000-03-09,19.25,20.25,19.0,20.13,8.3504,701200.0,0.0,1.0
2000-03-10,20.0,20.38,19.69,20.19,8.3753,471500.0,0.0,1.0
2000-03-13,20.06,20.06,19.25,19.5,8.0891,464300.0,0.0,1.0
2000-03-14,19.44,19.5,18.88,19.0,7.8817,448800.0,0.0,1.0
2000-03-15,19.25,20.38,19.13,20.19,8.3753,879900.0,0.0,1.0
2000-03-16,20.38,22.5,20.13,22.5,9.3335,901100.0,0.0,1.0
2000-03-17,22.25,22.63,21.31,21.56,8.9436,787700.0,0.0,1.0
2000-03-20,21.63,22.63,20.81,22.5,9.3335,538700.0,0.0,1.0
2000-03-21,22.63,22.63,22.06,22.31,9.2547,305000.0,0.0,1.0
2000-03-22,22.38,22.69,21.63,22.31,9.2547,311200.0,0.0,1.0
2000-03-23,22.0,22.06,21.0,21.0,8.7113,444000.0,0.0,1.0
2000-03-24,21.12,21.12,20.75,21.0,8.7113,385100.0,0.0,1.0
2000-03-27,21.0,21.0,20.25,20.5,8.5039,932500.0,0.0,1.0
2000-03-28,20.25,22.13,20.0,21.94,9.1012,1641200.0,0.0,1.0
2000-03-29,24.0,24.13,22.81,23.19,9.6198,1973200.0,0.0,1.0
2000-03-30,22.88,23.0,22.06,22.94,9.5161,845800.0,0.0,1.0
2000-03-31,23.0,25.0,23.0,24.0,9.9558,1751600.0,0.0,1.0
2000-04-03,24.5,24.5,23.75,24.0,9.9558,279200.0,0.0,1.0
2000-04-04,23.88,24.0,23.0,23.94,9.9309,983700.0,0.0,1.0
2000-04-05,23.69,24.75,23.38,24.75,10.2669,1783300.0,0.0,1.0
2000-04-06,24.63,25.63,24.38,25.38,10.5282,524700.0,0.0,1.0
2000-04-07,25.94,27.25,25.75,27.06,11.2251,1419700.0,0.0,1.0
2000-04-10,27.06,28.44,27.06,28.44,11.7976,1370600.0,0.0,1.0
2000-04-11,28.63,29.13,28.13,28.67,11.893,1352200.0,0.0,1.0
2000-04-12,29.0,29.75,28.25,29.63,12.2912,959500.0,0.0,1.0
2000-04-13,29.5,29.5,28.38,29.25,12.1336,443900.0,0.0,1.0
2000-04-14,28.0,28.0,27.0,27.0,11.2002,836500.0,0.0,1.0
2000-04-17,27.0,27.0,25.94,26.19,10.8642,1217100.0,0.0,1.0
2000-04-18,26.06,28.88,26.06,26.94,11.1754,1220400.0,0.0,1.0
2000-04-19,27.0,28.13,27.0,27.5,11.4077,532500.0,0.0,1.0
2000-04-20,27.5,28.25,27.38,28.25,11.7188,639400.0,0.0,1.0
2000-04-24,28.25,28.25,27.25,27.63,11.4616,118600.0,0.0,1.0
2000-04-25,27.94,29.0,27.88,28.94,12.005,401900.0,0.0,1.0
2000-04-26,29.5,29.63,28.38,28.63,11.8764,512600.0,0.0,1.0
2000-04-27,28.38,28.38,27.88,28.19,11.6939,318600.0,0.0,1.0
2000-04-28,29.25,29.94,28.81,29.5,12.2373,483900.0,0.0,1.0
2000-05-01,29.75,29.94,29.38,29.5,12.2373,162900.0,0.0,1.0
2000-05-02,29.56,29.94,29.0,29.0,12.0299,315200.0,0.0,1.0
2000-05-03,28.88,28.88,28.38,28.56,11.8474,361400.0,0.0,1.0
2000-05-04,28.81,29.69,28.81,29.13,12.0838,229000.0,0.0,1.0
2000-05-05,28.94,30.5,28.94,29.88,12.3949,653300.0,0.0,1.0
2000-05-08,30.0,31.25,30.0,31.0,12.8595,1129700.0,0.0,1.0
2000-05-09,30.94,31.94,30.94,31.75,13.1707,876000.0,0.0,1.0
2000-05-10,31.81,32.38,31.56,31.94,13.2495,712700.0,0.0,1.0
2000-05-11,31.94,33.13,31.94,33.13,13.7431,1670200.0,0.0,1.0
2000-05-12,33.25,34.56,33.25,34.38,14.2616,1435600.0,0.0,1.0
2000-05-15,34.5,35.25,34.0,34.56,14.3363,1504500.0,0.0,1.0
2000-05-16,34.38,34.63,33.44,33.75,14.0003,1365800.0,0.0,1.0
2000-05-17,33.75,34.0,33.25,33.56,13.9215,1091000.0,0.0,1.0
2000-05-18,33.0,33.31,32.0,33.25,13.7929,1507000.0,0.0,1.0
2000-05-19,33.25,34.0,33.25,33.69,13.9754,1189100.0,0.0,1.0
2000-05-22,33.69,33.69,33.0,33.13,13.7431,675300.0,0.0,1.0
2000-05-23,33.13,33.44,32.88,33.0,13.6892,420000.0,0.0,1.0
2000-05-24,33.06,33.06,32.63,33.06,13.7141,637700.0,0.0,1.0
