date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,30.0,30.0,27.37,27.94,9.5124,208200.0,0.0,1.0
2000-01-04,27.87,28.37,27.56,28.31,9.6384,64900.0,0.0,1.0
2000-01-05,28.06,28.69,27.81,28.56,9.7235,114800.0,0.0,1.0
2000-01-06,28.31,28.44,27.31,28.19,9.5975,75400.0,0.0,1.0
2000-01-07,28.06,28.31,27.87,28.06,9.5533,40400.0,0.0,1.0
2000-01-10,27.81,27.81,26.75,26.81,9.1277,114100.0,0.0,1.0
2000-01-11,26.87,27.37,26.56,26.62,9.063,162100.0,0.0,1.0
2000-01-12,26.37,26.75,25.12,26.62,9.063,206600.0,0.0,1.0
2000-01-13,26.87,28.37,26.87,27.25,9.2775,259900.0,0.0,1.0
2000-01-14,27.37,28.12,27.37,27.5,9.3626,248800.0,0.0,1.0
2000-01-18,27.5,27.62,26.0,26.0,8.8519,255100.0,0.0,1.0
2000-01-19,26.0,26.19,24.75,25.44,8.6613,240100.0,0.0,1.0
2000-01-20,25.37,25.44,25.0,25.12,8.5523,110900.0,0.0,1.0
2000-01-21,25.37,25.44,24.56,25.0,8.5115,133700.0,0.0,1.0
2000-01-24,24.87,25.06,23.81,24.12,8.2119,209700.0,0.0,1.0
2000-01-25,24.25,24.62,23.75,24.06,8.1914,204100.0,0.0,1.0
2000-01-26,24.25,25.87,24.25,24.62,8.3821,411800.0,0.0,1.0
2000-01-27,25.37,26.25,25.19,25.37,8.6374,194800.0,0.0,1.0
2000-01-28,25.25,26.0,24.75,25.87,8.8077,184500.0,0.0,1.0
2000-01-31,25.75,26.69,25.75,26.44,9.0017,119900.0,0.0,1.0
2000-02-01,26.5,26.5,25.44,26.19,8.9166,106600.0,0.0,1.0
2000-02-02,26.0,26.06,24.31,24.75,8.4264,156700.0,0.0,1.0
2000-02-03,25.25,26.25,25.12,26.0,8.8519,272600.0,0.0,1.0
2000-02-04,26.37,27.5,26.0,27.25,9.2775,260400.0,0.0,1.0
2000-02-07,27.06,27.06,26.12,26.44,9.0017,154400.0,0.0,1.0
2000-02-08,26.37,27.37,26.37,27.0,9.1924,124300.0,0.0,1.0
2000-02-09,26.81,27.06,26.69,27.06,9.2128,97400.0,0.0,1.0
2000-02-10,27.06,27.5,27.0,27.12,9.2332,140300.0,0.0,1.0
2000-02-11,27.25,27.62,27.06,27.12,9.2332,205900.0,0.0,1.0
2000-02-14,27.06,27.19,26.94,27.06,9.2128,106200.0,0.0,1.0
2000-02-15,27.0,28.06,27.0,28.06,9.5533,190400.0,0.0,1.0
