date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,94.5,94.63,93.25,94.56,29.7586,1083200.0,0.0,1.0
2000-01-04,94.0,95.44,88.75,90.31,28.4211,2138600.0,0.0,1.0
2000-01-05,90.31,90.88,86.13,87.69,27.5965,1868800.0,0.0,1.0
2000-01-06,88.0,92.75,86.5,92.44,29.233,918200.0,0.45,1.0
2000-01-07,92.38,95.75,91.38,95.38,30.1627,797200.0,0.0,1.0
2000-01-10,95.63,96.69,93.63,95.75,30.2797,1335000.0,0.0,1.0
2000-01-11,95.25,96.94,95.19,96.63,30.558,826600.0,0.0,1.0
2000-01-12,97.0,97.38,94.5,95.81,30.2987,1404500.0,0.0,1.0
2000-01-13,96.0,97.88,95.75,97.5,30.8332,1376000.0,0.0,1.0
2000-01-14,98.0,104.8,98.0,103.9,32.8571,1391800.0,0.0,1.0
2000-01-18,103.6,103.6,100.4,102.1,32.2878,814700.0,0.0,1.0
2000-01-19,101.8,104.4,101.8,102.9,32.5408,1471700.0,0.0,1.0
2000-01-20,103.1,103.6,99.25,101.1,31.9716,1249500.0,0.0,1.0
2000-01-21,103.0,103.0,100.1,101.5,32.0981,1048300.0,0.0,1.0
2000-01-24,102.3,103.2,101.8,102.3,32.3511,754900.0,0.0,1.0
2000-01-25,102.1,102.3,100.1,100.9,31.9084,900100.0,0.0,1.0
2000-01-26,101.0,102.0,99.63,100.8,31.8767,820700.0,0.0,1.0
2000-01-27,101.5,101.9,97.19,100.8,31.8767,1280800.0,0.0,1.0
2000-01-28,96.0,97.13,94.63,96.0,30.3588,1649200.0,0.0,1.0
2000-01-31,94.75,94.81,89.5,94.0,29.7263,1401400.0,0.0,1.0
2000-02-01,93.94,99.25,93.25,97.56,30.8521,1081600.0,0.0,1.0
2000-02-02,97.56,98.69,93.75,94.69,29.9445,1203600.0,0.0,1.0
2000-02-03,95.38,96.63,94.5,96.63,30.558,849100.0,0.0,1.0
2000-02-04,95.38,97.13,95.38,96.69,30.577,534500.0,0.0,1.0
2000-02-07,95.81,95.81,93.38,95.19,30.1026,723200.0,0.0,1.0
2000-02-08,95.63,97.13,94.44,95.0,30.0426,696600.0,0.0,1.0
2000-02-09,95.13,95.19,89.25,91.94,29.0749,984700.0,0.0,1.0
2000-02-10,91.56,91.56,84.38,87.31,27.6107,1356500.0,0.0,1.0
2000-02-11,87.81,87.81,83.38,84.44,26.7031,1133500.0,0.0,1.0
2000-02-14,84.44,84.88,82.56,83.38,26.3679,903000.0,0.0,1.0
2000-02-15,83.31,85.38,81.81,84.5,26.7221,1096000.0,0.0,1.0
2000-02-16,84.38,85.94,82.56,82.75,26.1687,710400.0,0.0,1.0
2000-02-17,84.5,86.13,82.75,86.13,27.2375,1025900.0,0.0,1.0
2000-02-18,86.13,86.63,82.13,82.88,26.2098,1001200.0,0.0,1.0
2000-02-22,82.25,83.88,80.19,81.44,25.7544,776400.0,0.0,1.0
2000-02-23,82.0,82.0,80.0,81.0,25.6152,655300.0,0.0,1.0
2000-02-24,81.5,82.0,78.5,79.81,25.2389,871200.0,0.0,1.0
2000-02-25,80.06,81.38,75.75,77.63,24.5495,988400.0,0.0,1.0
2000-02-28,78.13,78.88,76.44,77.25,24.4293,1310200.0,0.0,1.0
2000-02-29,74.75,77.75,74.75,77.38,24.4705,1893400.0,0.0,1.0
2000-03-01,76.75,78.56,76.31,78.06,24.6855,862900.0,0.0,1.0
2000-03-02,79.0,80.63,78.0,80.0,25.299,980500.0,0.0,1.0
2000-03-03,79.81,81.13,78.75,79.63,25.182,724300.0,0.0,1.0
2000-03-06,79.63,79.63,77.56,78.0,24.6665,459200.0,0.0,1.0
2000-03-07,79.5,79.63,73.5,73.56,23.2624,767300.0,0.0,1.0
2000-03-08,73.75,74.63,71.44,73.25,23.1644,686300.0,0.0,1.0
2000-03-09,73.0,75.25,70.5,73.0,23.0853,775400.0,0.0,1.0
2000-03-10,73.25,75.69,72.94,74.56,23.5787,529400.0,0.0,1.0
2000-03-13,73.13,76.75,72.88,75.69,23.936,712700.0,0.0,1.0
2000-03-14,77.5,79.81,77.5,79.63,25.182,1854900.0,0.0,1.0
2000-03-15,83.75,92.0,83.38,90.56,28.6385,2129600.0,0.0,1.0
2000-03-16,91.0,99.94,89.75,99.56,31.4846,2013700.0,0.0,1.0
2000-03-17,97.0,97.25,94.25,94.38,29.8465,1590700.0,0.0,1.0
2000-03-20,93.38,94.38,90.06,92.06,29.1128,717300.0,0.0,1.0
2000-03-21,90.63,94.31,90.38,93.63,29.6093,843900.0,0.0,1.0
2000-03-22,92.5,94.88,92.44,94.88,30.0046,833400.0,0.0,1.0
2000-03-23,93.88,96.94,92.94,96.94,30.6561,742600.0,0.0,1.0
2000-03-24,96.0,97.75,94.56,96.0,30.3588,981000.0,0.0,1.0
2000-03-27,96.06,96.06,91.25,92.5,29.252,675600.0,0.0,1.0
2000-03-28,92.0,96.75,91.63,94.63,29.9256,1025900.0,0.0,1.0
2000-03-29,94.63,95.5,92.81,93.88,29.6884,607000.0,0.0,1.0
2000-03-30,93.94,104.5,93.63,103.6,32.7622,2307500.0,0.0,1.0
2000-03-31,103.5,110.7,100.8,110.3,34.881,2317100.0,0.0,1.0
2000-04-03,106.8,106.9,104.9,106.2,33.5844,2533900.0,0.0,1.0
2000-04-04,105.0,106.4,102.3,105.0,33.2049,2495000.0,0.0,1.0
2000-04-05,102.5,103.4,100.8,101.4,32.0665,1603700.0,0.0,1.0
2000-04-06,101.9,105.3,101.8,104.9,33.3156,1096800.0,0.45,1.0
2000-04-07,104.0,104.1,99.75,100.3,31.8547,718800.0,0.0,1.0
2000-04-10,100.1,102.0,98.75,101.4,32.204,1049800.0,0.0,1.0
2000-04-11,101.4,103.1,100.4,101.6,32.2676,1277700.0,0.0,1.0
2000-04-12,101.7,105.8,101.7,102.9,32.6804,999500.0,0.0,1.0
2000-04-13,102.0,103.1,100.1,102.3,32.4899,673400.0,0.0,1.0
2000-04-14,100.5,100.5,94.63,95.63,30.3715,1058400.0,0.0,1.0
2000-04-17,95.56,95.56,91.38,91.81,29.1583,1017000.0,0.0,1.0
2000-04-18,91.94,95.38,91.88,94.94,30.1524,1288800.0,0.0,1.0
2000-04-19,95.75,95.88,93.13,94.13,29.8951,434000.0,0.0,1.0
2000-04-20,95.25,97.25,94.75,96.69,30.7082,401700.0,0.0,1.0
2000-04-24,96.63,98.0,94.75,96.44,30.6288,458000.0,0.0,1.0
2000-04-25,97.5,103.8,97.13,102.0,32.3946,869100.0,0.0,1.0
2000-04-26,101.8,101.8,99.5,100.0,31.7594,594600.0,0.0,1.0
2000-04-27,98.0,100.9,97.13,100.4,31.8864,645000.0,0.0,1.0
2000-04-28,99.75,100.9,96.75,98.56,31.3021,464400.0,0.0,1.0
2000-05-01,98.13,103.8,98.13,103.1,32.744,1052600.0,0.0,1.0
2000-05-02,102.5,103.3,99.44,102.1,32.4264,500500.0,0.0,1.0
2000-05-03,101.5,101.5,97.31,97.63,31.0067,304800.0,0.0,1.0
2000-05-04,97.75,99.88,97.31,99.25,31.5212,574500.0,0.0,1.0
2000-05-05,98.75,99.0,97.75,98.31,31.2227,291600.0,0.0,1.0
2000-05-08,98.31,100.5,97.63,100.0,31.7594,378200.0,0.0,1.0
2000-05-09,99.75,99.94,97.13,97.94,31.1052,318100.0,0.0,1.0
2000-05-10,97.81,98.88,94.63,95.0,30.1714,664800.0,0.0,1.0
2000-05-11,96.0,97.44,95.44,97.19,30.867,772800.0,0.0,1.0
2000-05-12,96.94,97.0,95.5,96.06,30.5081,594300.0,0.0,1.0
2000-05-15,96.19,106.0,95.88,106.0,33.665,938100.0,0.0,1.0
2000-05-16,106.3,109.4,106.1,107.7,34.2049,1096000.0,0.0,1.0
2000-05-17,106.8,108.0,105.3,107.1,34.0143,775400.0,0.0,1.0
2000-05-18,106.3,109.5,106.3,107.4,34.1096,565000.0,0.0,1.0
2000-05-19,106.5,106.8,103.3,104.4,33.1568,577800.0,0.0,1.0
2000-05-22,104.9,106.7,103.7,106.3,33.7603,569900.0,0.0,1.0
2000-05-23,104.8,106.3,104.0,104.9,33.3156,505000.0,0.0,1.0
2000-05-24,104.9,109.6,104.9,107.3,34.0778,758800.0,0.0,1.0
2000-05-25,108.3,111.4,105.5,107.7,34.2049,1210900.0,0.0,1.0
2000-05-26,107.7,109.0,105.9,107.9,34.2684,532300.0,0.0,1.0
2000-05-30,109.0,111.4,107.9,111.1,35.2847,641500.0,0.0,1.0
2000-05-31,111.0,112.5,110.5,111.5,35.4117,918400.0,0.0,1.0
2000-06-01,108.5,109.6,107.4,108.9,34.586,1157100.0,0.0,1.0
2000-06-02,110.0,111.8,110.0,110.8,35.1894,1165000.0,0.0,1.0
2000-06-05,110.6,110.6,106.5,107.3,34.0778,501500.0,0.0,1.0
2000-06-06,106.5,107.1,102.5,103.6,32.9027,701700.0,0.0,1.0
2000-06-07,103.6,105.9,103.1,104.9,33.3156,839800.0,0.0,1.0
2000-06-08,104.9,105.4,101.6,102.9,32.6804,575700.0,0.0,1.0
2000-06-09,103.1,103.5,100.7,100.9,32.0452,416700.0,0.0,1.0
2000-06-12,101.5,101.9,100.5,100.5,31.9182,377100.0,0.0,1.0
2000-06-13,100.5,103.8,99.69,103.1,32.744,711400.0,0.0,1.0
2000-06-14,103.1,109.0,102.9,108.5,34.459,840000.0,0.0,1.0
2000-06-15,108.8,108.8,105.3,108.2,34.3637,809300.0,0.0,1.0
2000-06-16,107.3,107.9,105.1,105.7,33.5697,786800.0,0.0,1.0
2000-06-19,104.4,107.7,104.4,107.1,34.0143,574500.0,0.0,1.0
2000-06-20,108.3,108.3,106.1,107.3,34.0778,487500.0,0.0,1.0
2000-06-21,107.6,107.6,104.6,105.6,33.5379,343900.0,0.0,1.0
2000-06-22,105.9,105.9,103.1,103.5,32.871,677500.0,0.0,1.0
2000-06-23,103.5,106.9,103.5,105.3,33.4427,398600.0,0.0,1.0
2000-06-26,106.3,108.4,105.7,108.2,34.3637,745000.0,0.0,1.0
2000-06-27,108.6,110.0,108.1,109.3,34.713,547300.0,0.0,1.0
2000-06-28,109.3,111.1,108.6,108.7,34.5225,466300.0,0.0,1.0
2000-06-29,108.6,111.3,106.4,110.6,35.1259,469800.0,0.0,1.0
2000-06-30,109.4,109.4,102.7,104.4,33.1568,1083300.0,0.0,1.0
2000-07-03,104.3,104.9,102.8,104.9,33.3156,273100.0,0.0,1.0
2000-07-05,105.8,109.8,104.1,106.8,33.919,831700.0,0.0,1.0
2000-07-06,106.6,107.5,105.8,106.1,33.8555,667200.0,0.5,1.0
2000-07-07,107.1,109.4,106.8,108.1,34.4937,467100.0,0.0,1.0
2000-07-10,107.9,109.9,107.7,109.1,34.8128,678000.0,0.0,1.0
2000-07-11,109.1,110.3,108.1,109.4,34.9085,493400.0,0.0,1.0
2000-07-12,109.8,110.2,107.2,107.9,34.4299,767300.0,0.0,1.0
2000-07-13,108.6,110.8,107.5,110.6,35.2914,679000.0,0.0,1.0
2000-07-14,110.6,110.9,108.5,110.6,35.2914,415200.0,0.0,1.0
2000-07-17,108.8,109.4,107.6,109.4,34.9085,769100.0,0.0,1.0
2000-07-18,108.9,108.9,107.6,108.4,34.5894,579000.0,0.0,1.0
2000-07-19,108.6,110.5,108.1,110.0,35.1,626900.0,0.0,1.0
2000-07-20,111.5,114.8,111.5,112.2,35.802,992500.0,0.0,1.0
2000-07-21,112.4,115.3,109.8,110.5,35.2595,1000100.0,0.0,1.0
2000-07-24,111.8,114.1,109.1,110.3,35.1957,638500.0,0.0,1.0
2000-07-25,110.9,114.9,110.6,114.9,36.6635,760200.0,0.0,1.0
2000-07-26,115.3,117.7,115.0,115.6,36.8869,1717900.0,0.0,1.0
2000-07-27,114.8,120.9,114.5,120.1,38.3228,1279300.0,0.0,1.0
2000-07-28,119.6,119.9,116.5,117.3,37.4293,801800.0,0.0,1.0
2000-07-31,120.0,127.4,119.5,122.0,38.9291,2038500.0,0.0,1.0
2000-08-01,122.8,125.2,122.3,124.3,39.663,1587200.0,0.0,1.0
2000-08-02,124.4,124.4,118.3,118.5,37.8123,1604700.0,0.0,1.0
