date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-10-18,20.0,21.81,19.75,21.5,8.1512,13945600.0,0.0,1.0
2000-10-19,22.0,24.13,21.63,24.0,9.099,1975100.0,0.0,1.0
2000-10-20,23.63,23.69,22.06,23.13,8.7692,1228100.0,0.0,1.0
2000-10-23,23.19,23.19,21.63,22.0,8.3408,987300.0,0.0,1.0
2000-10-24,22.06,22.25,21.0,22.13,8.3901,687700.0,0.0,1.0
2000-10-25,22.13,23.25,22.13,22.94,8.6972,534300.0,0.0,1.0
2000-10-26,22.94,23.5,21.81,23.44,8.8867,383400.0,0.0,1.0
2000-10-27,23.44,24.0,23.31,23.94,9.0763,352100.0,0.0,1.0
2000-10-30,23.69,25.31,23.63,24.63,9.3379,375100.0,0.0,1.0
2000-10-31,24.38,26.0,22.88,25.5,9.6677,1147700.0,0.0,1.0
2000-11-01,25.25,25.25,23.63,23.75,9.0043,306000.0,0.0,1.0
2000-11-02,23.63,23.63,22.63,23.06,8.7427,320300.0,0.0,1.0
2000-11-03,23.25,23.25,22.56,22.94,8.6972,218600.0,0.0,1.0
2000-11-06,23.13,24.0,23.13,23.31,8.8374,200100.0,0.0,1.0
2000-11-07,23.19,23.25,22.38,23.25,8.8147,128000.0,0.0,1.0
2000-11-08,23.25,23.25,22.88,23.06,8.7427,104900.0,0.0,1.0
2000-11-09,22.94,23.38,22.88,23.0,8.7199,151100.0,0.0,1.0
2000-11-10,22.81,22.81,22.25,22.5,8.5303,155600.0,0.0,1.0
2000-11-13,22.38,22.94,22.19,22.56,8.5531,170500.0,0.0,1.0
2000-11-14,23.13,23.44,22.81,23.44,8.8867,222100.0,0.0,1.0
2000-11-15,24.25,24.44,24.0,24.38,9.2431,396300.0,0.0,1.0
2000-11-16,24.13,24.25,23.75,23.81,9.027,228700.0,0.0,1.0
2000-11-17,23.69,24.25,23.63,24.13,9.1483,323600.0,0.0,1.0
2000-11-20,24.0,24.13,23.19,23.31,8.8374,315800.0,0.0,1.0
2000-11-21,23.56,23.56,23.06,23.13,8.7692,145900.0,0.0,1.0
2000-11-22,22.88,23.0,22.5,22.81,8.6479,166200.0,0.0,1.0
2000-11-24,23.0,23.69,23.0,23.44,8.8867,29800.0,0.0,1.0
2000-11-27,23.56,23.63,23.19,23.56,8.9322,141200.0,0.0,1.0
2000-11-28,23.5,24.0,23.5,23.88,9.0535,231000.0,0.0,1.0
2000-11-29,23.88,25.0,23.88,25.0,9.4782,138900.0,0.0,1.0
2000-11-30,24.75,25.13,24.25,25.06,9.5009,639900.0,0.0,1.0
2000-12-01,24.94,25.25,24.5,24.81,9.4061,198900.0,0.0,1.0
2000-12-04,24.56,25.25,24.31,25.25,9.5729,162100.0,0.0,1.0
2000-12-05,25.13,25.63,25.0,25.25,9.5729,371400.0,0.0,1.0
2000-12-06,25.13,25.63,25.0,25.31,9.5957,123500.0,0.0,1.0
2000-12-07,25.25,25.56,24.75,24.94,9.4554,136300.0,0.0,1.0
2000-12-08,25.19,25.25,23.75,24.88,9.4327,139300.0,0.0,1.0
2000-12-11,24.88,25.69,24.88,25.69,9.7398,92900.0,0.0,1.0
2000-12-12,25.56,25.56,24.94,25.13,9.5275,75500.0,0.0,1.0
2000-12-13,25.13,25.56,25.06,25.25,9.5729,111500.0,0.0,1.0
2000-12-14,25.25,25.38,25.19,25.38,9.6222,80700.0,0.0,1.0
2000-12-15,25.25,25.44,25.13,25.38,9.6222,71300.0,0.0,1.0
2000-12-18,25.38,25.63,25.19,25.63,9.717,70800.0,0.0,1.0
2000-12-19,25.5,25.69,25.25,25.38,9.6222,37900.0,0.0,1.0
2000-12-20,25.13,25.19,24.81,25.06,9.5009,64400.0,0.0,1.0
2000-12-21,24.94,24.94,23.94,23.94,9.0763,63900.0,0.0,1.0
2000-12-22,23.69,24.25,23.5,23.69,8.9815,168100.0,0.0,1.0
2000-12-26,23.88,24.19,23.75,24.06,9.1218,85000.0,0.0,1.0
2000-12-27,24.06,25.31,24.06,25.19,9.5502,116400.0,0.0,1.0
2000-12-28,25.19,26.38,25.0,26.19,9.9293,148800.0,0.0,1.0
2000-12-29,26.25,27.38,26.13,27.06,10.2592,140500.0,0.0,1.0
2001-01-02,27.06,29.13,26.88,28.25,10.7103,108800.0,0.0,1.0
2001-01-03,30.13,32.63,29.0,31.38,11.897,956200.0,0.0,1.0
2001-01-04,31.25,31.75,30.5,30.5,11.5975,514700.0,0.09,1.0
