date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,17.0,17.06,16.5,16.75,13.8483,816800.0,0.0,1.0
2000-01-04,16.38,16.62,16.19,16.38,13.5424,484600.0,0.0,1.0
2000-01-05,16.38,17.19,16.31,17.0,14.055,703600.0,0.0,1.0
2000-01-06,17.25,17.81,17.0,17.25,14.2617,871300.0,0.0,1.0
2000-01-07,17.5,17.94,17.38,17.5,14.4684,890200.0,0.0,1.0
2000-01-10,17.75,18.81,17.75,18.62,15.3943,900900.0,0.0,1.0
2000-01-11,18.5,18.75,18.19,18.19,15.0388,367900.0,0.0,1.0
2000-01-12,18.12,18.38,17.94,18.0,14.8818,318600.0,0.0,1.0
2000-01-13,19.38,19.38,18.5,18.75,15.5018,1169700.0,0.0,1.0
2000-01-14,18.69,18.75,18.06,18.12,14.981,692900.0,0.0,1.0
2000-01-18,18.12,18.69,18.12,18.38,15.1959,578200.0,0.0,1.0
2000-01-19,18.44,18.62,17.69,17.81,14.7247,465300.0,0.0,1.0
2000-01-20,17.88,17.94,17.25,17.25,14.2617,314900.0,0.0,1.0
2000-01-21,17.5,18.0,17.12,17.19,14.2121,646700.0,0.0,1.0
2000-01-24,17.5,17.88,16.94,17.31,14.3113,500900.0,0.0,1.0
2000-01-25,17.06,17.38,16.75,17.12,14.1542,407800.0,0.0,1.0
2000-01-26,17.25,17.25,16.88,16.94,14.0054,374300.0,0.0,1.0
2000-01-27,16.81,16.94,16.19,16.31,13.4845,542600.0,0.0,1.0
2000-01-28,16.5,16.94,16.31,16.88,13.9558,335800.0,0.0,1.0
2000-01-31,16.88,16.88,15.88,16.38,13.5424,821100.0,0.0,1.0
2000-02-01,17.25,17.44,17.0,17.25,14.2617,622500.0,0.0,1.0
2000-02-02,17.06,17.44,17.06,17.19,14.2121,720000.0,0.0,1.0
2000-02-03,17.12,17.31,16.44,16.69,13.7987,542600.0,0.0,1.0
2000-02-04,16.69,16.88,16.25,16.38,13.5424,336700.0,0.0,1.0
2000-02-07,16.75,16.88,16.44,16.56,13.6912,377700.0,0.0,1.0
2000-02-08,16.5,17.0,16.25,16.94,14.0054,903300.0,0.0,1.0
2000-02-09,16.88,16.94,15.88,15.94,13.1786,505600.0,0.0,1.0
2000-02-10,16.06,16.12,15.44,15.62,12.9141,509500.0,0.0,1.0
2000-02-11,15.62,15.88,15.0,15.0,12.4015,676200.0,0.0,1.0
2000-02-14,15.25,16.12,15.12,15.88,13.129,290400.0,0.0,1.0
2000-02-15,15.94,16.44,15.94,16.0,13.2282,475500.0,0.0,1.0
2000-02-16,16.0,16.19,15.56,15.62,12.9141,516900.0,0.0,1.0
2000-02-17,15.88,16.19,15.5,15.5,12.8148,487800.0,0.0,1.0
2000-02-18,15.38,15.56,14.5,15.0,12.4015,701600.0,0.0,1.0
2000-02-22,14.94,15.38,14.69,15.38,12.7156,464300.0,0.0,1.0
2000-02-23,15.31,15.38,14.56,15.0,12.4015,608300.0,0.0,1.0
2000-02-24,15.0,15.12,14.69,14.75,12.1948,295000.0,0.0,1.0
2000-02-25,14.94,15.06,14.75,14.75,12.1948,282800.0,0.0,1.0
2000-02-28,14.12,15.0,14.12,14.56,12.0377,451500.0,0.0,1.0
2000-02-29,14.62,14.94,13.5,13.5,11.1613,2301000.0,0.0,1.0
2000-03-01,13.62,13.88,13.5,13.75,11.368,343000.0,0.0,1.0
2000-03-02,13.69,13.94,13.5,13.81,11.4176,214100.0,0.0,1.0
2000-03-03,13.81,14.25,13.75,13.88,11.4755,222600.0,0.0,1.0
2000-03-06,13.81,13.88,12.94,13.06,10.7975,514900.0,0.0,1.0
2000-03-07,13.0,13.25,12.69,12.94,10.6983,699100.0,0.0,1.0
2000-03-08,13.06,13.62,12.75,13.0,10.7479,384400.0,0.0,1.0
2000-03-09,13.12,13.62,12.69,12.88,10.6487,1273500.0,0.0,1.0
2000-03-10,12.88,13.0,12.81,12.94,10.6983,950200.0,0.0,1.0
2000-03-13,12.81,12.81,12.62,12.62,10.4338,337200.0,0.0,1.0
2000-03-14,12.69,13.31,12.62,13.31,11.0042,684400.0,0.0,1.0
2000-03-15,13.25,15.88,13.25,15.0,12.4015,2080600.0,0.0,1.0
2000-03-16,15.5,15.62,15.0,15.44,12.7652,1329100.0,0.0,1.0
2000-03-17,15.44,15.5,14.81,14.94,12.3519,320000.0,0.0,1.0
2000-03-20,15.0,15.38,14.81,15.19,12.5585,277300.0,0.0,1.0
2000-03-21,15.06,15.38,15.0,15.25,12.6082,188900.0,0.0,1.0
2000-03-22,15.44,15.81,15.38,15.69,12.9719,261000.0,0.0,1.0
2000-03-23,15.56,15.56,15.12,15.44,12.7652,232500.0,0.0,1.0
2000-03-24,15.31,15.38,15.06,15.19,12.5585,106700.0,0.0,1.0
2000-03-27,15.12,15.38,14.81,15.06,12.4511,209600.0,0.0,1.0
2000-03-28,15.0,15.38,14.81,15.06,12.4511,349900.0,0.0,1.0
2000-03-29,15.06,15.25,14.25,14.44,11.9385,620900.0,0.0,1.0
2000-03-30,14.56,15.19,14.44,15.06,12.4511,635800.0,0.0,1.0
2000-03-31,15.19,15.69,14.5,14.69,12.1452,778300.0,0.0,1.0
2000-04-03,14.75,15.38,14.75,14.88,12.3022,351100.0,0.0,1.0
2000-04-04,15.12,15.25,14.25,14.81,12.2444,509400.0,0.0,1.0
2000-04-05,14.69,14.88,14.0,14.19,11.7318,310700.0,0.0,1.0
2000-04-06,14.06,14.62,14.0,14.0,11.5747,591700.0,0.0,1.0
2000-04-07,14.38,14.44,13.75,13.75,11.368,627300.0,0.0,1.0
2000-04-10,14.12,14.31,13.75,13.94,11.5251,321000.0,0.0,1.0
2000-04-11,13.62,13.81,13.25,13.69,11.3184,501300.0,0.0,1.0
2000-04-12,14.0,14.56,13.69,14.5,11.9881,682600.0,0.0,1.0
2000-04-13,14.5,14.69,14.19,14.25,11.7814,208300.0,0.0,1.0
2000-04-14,14.38,14.56,13.62,13.62,11.2605,502500.0,0.0,1.0
2000-04-17,13.75,14.12,13.75,14.12,11.6739,568100.0,0.0,1.0
2000-04-18,14.06,14.44,14.06,14.31,11.831,421700.0,0.0,1.0
2000-04-19,14.31,14.5,13.38,13.62,11.2605,488300.0,0.0,1.0
2000-04-20,13.75,14.69,13.62,14.25,11.7814,416100.0,0.0,1.0
2000-04-24,13.88,14.38,13.88,14.19,11.7318,308700.0,0.0,1.0
2000-04-25,14.25,15.25,14.06,15.0,12.4015,540200.0,0.0,1.0
2000-04-26,15.62,15.62,15.0,15.31,12.6578,669600.0,0.0,1.0
2000-04-27,15.56,16.0,15.56,15.62,12.9141,774600.0,0.0,1.0
2000-04-28,15.75,15.94,15.38,15.44,12.7652,481800.0,0.0,1.0
2000-05-01,15.62,16.0,15.38,15.81,13.0711,476900.0,0.0,1.0
2000-05-02,15.81,16.56,15.62,16.25,13.4349,461600.0,0.0,1.0
2000-05-03,16.5,16.5,15.19,15.19,12.5585,517500.0,0.0,1.0
2000-05-04,15.44,16.5,15.44,16.44,13.592,951700.0,0.0,1.0
2000-05-05,16.38,16.75,16.31,16.69,13.7987,538000.0,0.0,1.0
2000-05-08,16.62,17.38,16.5,17.25,14.2617,492700.0,0.0,1.0
2000-05-09,17.31,17.31,17.12,17.25,14.2617,291200.0,0.0,1.0
2000-05-10,17.12,17.19,16.5,16.69,13.7987,387100.0,0.0,1.0
2000-05-11,16.94,17.44,16.94,17.19,14.2121,789600.0,0.0,1.0
2000-05-12,17.19,17.75,17.0,17.19,14.2121,444200.0,0.0,1.0
2000-05-15,17.12,17.75,16.62,16.62,13.7408,390400.0,0.0,1.0
2000-05-16,17.0,17.19,16.75,16.94,14.0054,298900.0,0.0,1.0
2000-05-17,16.75,17.0,16.62,17.0,14.055,265000.0,0.0,1.0
2000-05-18,17.06,17.19,16.94,17.06,14.1046,340900.0,0.0,1.0
2000-05-19,16.62,17.06,16.62,17.06,14.1046,387600.0,0.0,1.0
2000-05-22,17.06,17.06,16.62,16.69,13.7987,441600.0,0.0,1.0
2000-05-23,16.75,17.25,16.62,17.25,14.2617,512800.0,0.0,1.0
2000-05-24,17.19,17.25,16.88,17.12,14.1542,379000.0,0.0,1.0
2000-05-25,16.75,16.75,15.94,16.44,13.592,794400.0,0.0,1.0
2000-05-26,16.5,16.5,15.12,15.5,12.8148,411000.0,0.0,1.0
2000-05-30,15.75,16.19,15.62,16.06,13.2778,470200.0,0.0,1.0
2000-05-31,16.06,16.06,15.38,15.38,12.7156,395900.0,0.0,1.0
2000-06-01,15.5,15.81,15.5,15.62,12.9141,195700.0,0.0,1.0
2000-06-02,15.75,15.88,15.44,15.5,12.8148,349100.0,0.0,1.0
2000-06-05,15.5,15.5,15.19,15.38,12.7156,208000.0,0.0,1.0
2000-06-06,15.5,15.5,15.12,15.44,12.7652,257800.0,0.0,1.0
2000-06-07,15.56,15.56,14.94,15.12,12.5007,401100.0,0.0,1.0
2000-06-08,15.19,15.44,14.69,14.88,12.3022,321500.0,0.0,1.0
2000-06-09,14.94,14.94,14.5,14.62,12.0873,365400.0,0.0,1.0
2000-06-12,14.75,15.0,14.56,14.62,12.0873,273500.0,0.0,1.0
2000-06-13,14.62,15.06,14.5,14.94,12.3519,307700.0,0.0,1.0
2000-06-14,14.62,14.75,14.19,14.75,12.1948,423000.0,0.0,1.0
2000-06-15,14.88,14.88,14.56,14.75,12.1948,322600.0,0.0,1.0
2000-06-16,14.62,14.94,14.5,14.88,12.3022,499700.0,0.0,1.0
2000-06-19,14.75,14.88,14.19,14.19,11.7318,471600.0,0.0,1.0
2000-06-20,14.19,14.19,13.56,13.81,11.4176,282300.0,0.0,1.0
2000-06-21,13.94,13.94,13.62,13.88,11.4755,116000.0,0.0,1.0
2000-06-22,14.0,14.0,13.44,13.44,11.1117,276800.0,0.0,1.0
2000-06-23,13.69,13.69,13.31,13.31,11.0042,199900.0,0.0,1.0
2000-06-26,13.38,13.81,13.19,13.69,11.3184,366000.0,0.0,1.0
2000-06-27,14.25,15.12,13.88,13.94,11.5251,770000.0,0.0,1.0
2000-06-28,14.0,14.25,13.88,13.94,11.5251,333700.0,0.0,1.0
2000-06-29,13.94,14.06,13.75,13.81,11.4176,277000.0,0.0,1.0
2000-06-30,13.75,14.12,13.0,13.02,10.7645,413100.0,0.0,1.0
2000-07-03,13.25,13.88,13.12,13.88,11.4755,297000.0,0.0,1.0
2000-07-05,13.75,14.0,13.69,14.0,11.5747,264300.0,0.0,1.0
2000-07-06,13.88,14.38,13.69,13.81,11.4176,234000.0,0.0,1.0
2000-07-07,13.75,14.12,13.75,14.0,11.5747,163600.0,0.0,1.0
