date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2011-06-23,38.0,39.0,36.5,39.0,16.3483,2548771.0,0.0,1.0
2011-06-24,38.75,39.15,36.84,37.25,15.6147,837700.0,0.0,1.0
2011-06-27,36.69,37.95,36.59,37.65,15.7824,447600.0,0.0,1.0
2011-06-28,38.34,39.99,37.7,38.7,16.2225,2075900.0,0.0,1.0
2011-06-29,39.0,40.97,38.7,40.07,16.7968,1847600.0,0.0,1.0
2011-06-30,40.67,42.0,40.175,41.4,17.3543,1512800.0,0.0,1.0
2011-07-01,41.2,47.43,41.0,42.2,17.6897,4167100.0,0.0,1.0
2011-07-05,42.21,43.0,41.65,42.21,17.6939,5911500.0,0.0,1.0
2011-07-06,41.6,42.25,41.01,41.89,17.5597,5491500.0,0.0,1.0
2011-07-07,42.19,43.26,41.705,41.78,17.5136,8353800.0,0.0,1.0
2011-07-08,40.8,42.6,40.52,41.41,17.3585,8208500.0,0.0,1.0
2011-07-11,40.79,40.79,39.51,40.1,16.8094,4747600.0,0.0,1.0
2011-07-12,39.86,40.99,39.44,40.48,16.9687,4005600.0,0.0,1.0
2011-07-13,40.52,41.24,39.24,39.96,16.7507,5821400.0,0.0,1.0
2011-07-14,39.97,40.02,38.21,38.64,16.1974,5764200.0,0.0,1.0
2011-07-15,39.0,39.47,38.1,39.16,16.4154,4969200.0,0.0,1.0
2011-07-18,38.73,39.59,37.75,39.12,16.3986,4155800.0,0.0,1.0
2011-07-19,39.26,39.94,39.13,39.74,16.6585,3211500.0,0.0,1.0
2011-07-20,39.79,39.94,39.4,39.53,16.5704,2724500.0,0.0,1.0
2011-07-21,39.53,40.24,39.11,40.1,16.8094,3624600.0,0.0,1.0
2011-07-22,40.28,40.82,39.91,40.57,17.0064,3322800.0,0.0,1.0
2011-07-25,41.25,42.12,40.65,41.37,17.3418,4449300.0,0.0,1.0
2011-07-26,41.39,43.72,41.27,43.05,18.046,5662100.0,0.0,1.0
2011-07-27,43.02,43.3,41.97,42.06,17.631,3499200.0,0.0,1.0
2011-07-28,42.43,42.94,42.19,42.78,17.9328,3327300.0,0.0,1.0
2011-07-29,42.35,44.61,41.974,43.79,18.3562,5354800.0,0.0,1.0
2011-08-01,45.04,45.38,43.99,44.97,18.8508,5759200.0,0.0,1.0
2011-08-02,44.53,44.9,42.25,42.33,17.7442,5497800.0,0.0,1.0
2011-08-03,43.28,45.4,39.02,41.43,17.3669,6706900.0,0.0,1.0
2011-08-04,40.71,40.71,37.23,38.42,16.1052,7688900.0,0.0,1.0
2011-08-05,38.91,39.22,33.44,37.31,15.6399,6174300.0,0.0,1.0
2011-08-08,35.24,36.0,29.48,32.33,13.5523,8271500.0,0.0,1.0
2011-08-09,33.07,36.41,32.42,36.1,15.1326,6027100.0,0.0,1.0
2011-08-10,35.55,36.84,34.12,35.12,14.7218,4841300.0,0.0,1.0
2011-08-11,35.9,38.6,35.43,37.34,15.6524,4378200.0,0.0,1.0
2011-08-12,37.59,39.12,36.905,37.41,15.6818,2953400.0,0.0,1.0
2011-08-15,37.89,39.65,37.89,39.1,16.474,2682700.0,0.2,1.0
2011-08-16,38.36,39.44,38.12,38.86,16.3729,3266200.0,0.0,1.0
2011-08-17,39.63,39.96,38.81,39.1,16.474,2813800.0,0.0,1.0
2011-08-18,38.11,38.5085,35.41,36.61,15.4249,3750700.0,0.0,1.0
2011-08-19,35.78,36.67,34.64,34.99,14.7424,4939300.0,0.0,1.0
2011-08-22,35.82,36.0,32.35,32.57,13.7227,5387000.0,0.0,1.0
2011-08-23,32.63,34.7,32.05,34.25,14.4306,5180000.0,0.0,1.0
2011-08-24,34.4,36.03,33.71,35.83,15.0963,3361700.0,0.0,1.0
2011-08-25,36.19,36.895,33.9164,34.38,14.4854,3188000.0,0.0,1.0
2011-08-26,34.4,36.76,34.07,34.87,14.6918,2940200.0,0.0,1.0
2011-08-29,35.27,36.356,35.04,36.0,15.1679,2087500.0,0.0,1.0
2011-08-30,35.89,36.38,34.75,36.03,15.1806,2192600.0,0.0,1.0
2011-08-31,36.51,37.45,36.51,37.06,15.6145,2865500.0,0.0,1.0
2011-09-01,37.43,38.22,36.91,37.01,15.5935,2257700.0,0.0,1.0
2011-09-02,35.83,36.99,35.12,35.42,14.9235,1797100.0,0.0,1.0
2011-09-06,34.23,35.4,33.29,35.0,14.7466,2861700.0,0.0,1.0
2011-09-07,35.58,36.93,35.25,36.29,15.2901,2606100.0,0.0,1.0
2011-09-08,36.16,38.15,35.57,37.73,15.8968,2043300.0,0.0,1.0
2011-09-09,36.62,37.78,35.93,36.35,15.3154,2944500.0,0.0,1.0
2011-09-12,36.12,36.88,34.89,36.66,15.446,1959600.0,0.0,1.0
2011-09-13,36.4,36.6299,34.44,35.34,14.8898,3573500.0,0.0,1.0
2011-09-14,35.24,35.31,34.46,35.03,14.7592,3820300.0,0.0,1.0
2011-09-15,35.88,36.96,35.23,35.42,14.9235,3040700.0,0.0,1.0
2011-09-16,35.53,35.67,34.86,35.1,14.7887,3597700.0,0.0,1.0
2011-09-19,34.18,34.56,33.1,33.55,14.1357,2548100.0,0.0,1.0
2011-09-20,33.57,34.23,33.5,33.69,14.1946,1929600.0,0.0,1.0
2011-09-21,33.35,34.46,32.34,32.4,13.6511,2006500.0,0.0,1.0
2011-09-22,31.16,31.4,28.84,29.47,12.4166,5536800.0,0.0,1.0
2011-09-23,29.18,30.32,29.06,29.53,12.4419,3384000.0,0.0,1.0
2011-09-26,29.9,30.36,29.5,30.1,12.6821,3985500.0,0.0,1.0
2011-09-27,30.83,31.82,29.7,29.83,12.5683,4706200.0,0.0,1.0
2011-09-28,29.97,30.64,28.92,28.98,12.2102,4422200.0,0.0,1.0
2011-09-29,29.67,29.85,26.35,27.84,11.7299,5258400.0,0.0,1.0
2011-09-30,27.37,27.93,26.83,27.06,11.4012,4813400.0,0.0,1.0
2011-10-03,26.91,27.8,26.61,27.15,11.4391,4324100.0,0.0,1.0
2011-10-04,26.8,28.81,26.67,28.76,12.1175,5100000.0,0.0,1.0
2011-10-05,29.07,31.78,28.53,31.48,13.2635,5231900.0,0.0,1.0
2011-10-06,31.52,33.35,31.1,33.29,14.0261,3989200.0,0.0,1.0
2011-10-07,33.72,33.98,31.25,31.6,13.3141,4266400.0,0.0,1.0
2011-10-10,32.28,33.47,32.08,32.97,13.8913,2502600.0,0.0,1.0
2011-10-11,32.68,33.61,32.43,33.15,13.9671,3307500.0,0.0,1.0
2011-10-12,33.42,34.13,33.28,33.57,14.1441,3772100.0,0.0,1.0
2011-10-13,33.33,33.89,32.83,33.77,14.2283,3170600.0,0.0,1.0
2011-10-14,34.43,36.2,34.35,36.14,15.2269,3369800.0,0.0,1.0
2011-10-17,36.04,36.48,34.85,34.94,14.7213,2358800.0,0.0,1.0
2011-10-18,34.75,36.54,34.17,36.19,15.248,2266800.0,0.0,1.0
2011-10-19,36.19,37.06,35.45,35.6,14.9994,3016900.0,0.0,1.0
2011-10-20,35.6,36.66,35.29,36.49,15.3744,2337700.0,0.0,1.0
2011-10-21,36.9,37.68,36.5,37.35,15.7367,3218100.0,0.0,1.0
2011-10-24,37.55,38.47,35.54,35.85,15.1047,3287100.0,0.0,1.0
2011-10-25,34.65,34.65,31.41,32.97,13.8913,9275300.0,0.0,1.0
2011-10-26,33.82,34.95,33.2,34.73,14.6328,3738500.0,0.0,1.0
2011-10-27,35.27,37.72,35.27,37.33,15.7283,3862100.0,0.0,1.0
2011-10-28,37.18,37.62,36.26,37.32,15.7241,3630000.0,0.0,1.0
2011-10-31,37.01,37.01,35.42,35.9,15.1258,3290600.0,0.0,1.0
2011-11-01,35.5,38.12,34.2922,36.0,15.1679,6594300.0,0.0,1.0
2011-11-02,36.9,38.43,36.75,38.33,16.1496,4585700.0,0.0,1.0
2011-11-03,39.0,39.55,38.1,38.67,16.2929,3901300.0,0.0,1.0
2011-11-04,38.2,38.72,37.49,38.62,16.2718,2828800.0,0.0,1.0
2011-11-07,38.13,39.05,38.13,38.92,16.3982,2055500.0,0.0,1.0
2011-11-08,39.03,39.44,37.72,38.11,16.0569,2509600.0,0.0,1.0
2011-11-09,37.02,38.99,36.54,37.02,15.5977,3487000.0,0.0,1.0
2011-11-10,37.69,37.89,36.0,37.7,15.8842,3460400.0,0.0,1.0
2011-11-11,38.27,39.18,37.64,37.77,15.9137,4018600.0,0.0,1.0
2011-11-14,37.43,37.63,35.37,36.71,15.5724,4073200.0,0.25,1.0
2011-11-15,36.51,37.32,36.242,36.98,15.6869,2806900.0,0.0,1.0
2011-11-16,34.74,35.06,32.2,32.64,13.8459,12384700.0,0.0,1.0
2011-11-17,32.72,33.33,31.24,31.62,13.4132,7821000.0,0.0,1.0
2011-11-18,31.85,32.95,31.61,32.82,13.9222,3167900.0,0.0,1.0
2011-11-21,32.33,33.305,31.3,32.84,13.9307,3282300.0,0.0,1.0
2011-11-22,33.09,33.55,32.23,33.52,14.2192,3047800.0,0.0,1.0
2011-11-23,32.98,33.43,32.49,32.83,13.9265,4120100.0,0.0,1.0
2011-11-25,32.64,32.72,32.19,32.27,13.6889,1366100.0,0.0,1.0
2011-11-28,33.62,34.19,32.67,33.28,14.1174,3815500.0,0.0,1.0
2011-11-29,33.51,33.61,32.78,33.17,14.0707,3813700.0,0.0,1.0
2011-11-30,34.11,34.53,32.45,33.39,14.164,6158700.0,0.0,1.0
2011-12-01,33.92,34.33,33.355,33.95,14.4016,2998600.0,0.0,1.0
2011-12-02,34.42,34.77,33.125,33.31,14.1301,3735600.0,0.0,1.0
2011-12-05,34.03,35.45,33.86,34.4,14.5925,4556100.0,0.0,1.0
2011-12-06,34.57,34.78,34.0,34.64,14.6943,2965300.0,0.0,1.0
2011-12-07,34.46,34.595,33.81,34.5,14.6349,4015700.0,0.0,1.0
2011-12-08,34.33,34.57,33.49,34.02,14.4313,4937400.0,0.0,1.0
2011-12-09,34.03,34.91,33.8,34.88,14.7961,3189300.0,0.0,1.0
2011-12-12,34.42,34.59,33.9,34.59,14.6731,5458200.0,0.0,1.0
2011-12-13,34.11,34.89,33.45,33.95,14.4016,3691700.0,0.0,1.0
2011-12-14,33.67,33.84,32.03,32.68,13.8629,3501900.0,0.0,1.0
2011-12-15,33.01,33.27,32.33,32.53,13.7992,1747900.0,0.0,1.0
2011-12-16,32.85,33.25,31.79,31.96,13.5574,4228400.0,0.0,1.0
2011-12-19,32.0,32.819,31.72,31.94,13.549,3137300.0,0.0,1.0
2011-12-20,32.67,32.96,31.81,32.2,13.6592,3145500.0,0.0,1.0
2011-12-21,32.05,32.845,32.0,32.67,13.8586,2154400.0,0.0,1.0
2011-12-22,32.93,33.41,32.67,33.31,14.1301,1846500.0,0.0,1.0
2011-12-23,33.32,33.58,33.21,33.53,14.2234,920500.0,0.0,1.0
2011-12-27,33.55,33.98,33.39,33.65,14.2743,769900.0,0.0,1.0
2011-12-28,33.59,33.84,32.745,33.14,14.058,1642500.0,0.0,1.0
2011-12-29,33.35,33.36,32.86,33.28,14.1174,1063500.0,0.0,1.0
2011-12-30,33.33,33.5,33.01,33.29,14.1216,1082800.0,0.0,1.0
2012-01-03,34.55,34.95,33.36,33.41,14.1725,2521600.0,0.0,1.0
2012-01-04,33.3,33.89,33.21,33.76,14.321,2895700.0,0.0,1.0
2012-01-05,33.06,33.13,31.0,31.92,13.5405,6196000.0,0.0,1.0
2012-01-06,31.97,32.03,31.13,31.66,13.4302,3777300.0,0.0,1.0
2012-01-09,31.63,31.7,30.24,30.96,13.1332,4839500.0,0.0,1.0
2012-01-10,31.51,31.88,30.97,31.83,13.5023,3004400.0,0.0,1.0
2012-01-11,31.57,33.08,31.07,32.89,13.9519,5631700.0,0.0,1.0
2012-01-12,32.95,33.33,32.5,32.64,13.8459,2792900.0,0.0,1.0
2012-01-13,32.5,33.3,32.33,33.03,14.0113,3099800.0,0.0,1.0
2012-01-17,33.43,33.95,32.94,33.54,14.2277,2220300.0,0.0,1.0
2012-01-18,33.44,35.845,33.2,35.46,15.0421,3990600.0,0.0,1.0
2012-01-19,35.67,36.09,35.08,35.85,15.2076,3146400.0,0.0,1.0
2012-01-20,37.26,37.78,36.76,37.17,15.7675,4838400.0,0.0,1.0
2012-01-23,37.17,38.01,37.01,37.87,16.0645,2703300.0,0.0,1.0
2012-01-24,37.48,39.04,37.12,39.04,16.5608,3711000.0,0.0,1.0
2012-01-25,38.76,38.85,37.94,38.76,16.442,5163700.0,0.0,1.0
2012-01-26,38.98,38.99,37.35,37.51,15.9117,3093800.0,0.0,1.0
2012-01-27,37.4,38.06,37.21,37.53,15.9202,3078300.0,0.0,1.0
2012-01-30,36.98,37.64,36.9,37.48,15.899,1850200.0,0.0,1.0
2012-01-31,38.75,38.75,37.28,38.22,16.2129,5197200.0,0.0,1.0
2012-02-01,41.7,43.48,40.67,41.88,17.7655,11147500.0,0.0,1.0
2012-02-02,41.45,42.99,41.01,42.56,18.054,3727700.0,0.0,1.0
2012-02-03,43.11,44.275,43.0,43.98,18.6563,5366300.0,0.0,1.0
2012-02-06,44.21,45.04,43.76,44.42,18.843,5480800.0,0.0,1.0
2012-02-07,44.3,44.99,43.2,43.92,18.6309,5861100.0,0.0,1.0
2012-02-08,44.15,45.42,44.11,44.95,19.0678,7968200.0,0.0,1.0
2012-02-09,44.76,45.24,43.83,44.84,19.0211,3554000.0,0.0,1.0
2012-02-10,44.37,44.77,43.79,44.08,18.6987,3502400.0,0.0,1.0
2012-02-13,44.21,44.62,43.13,43.48,18.4442,4467600.0,0.0,1.0
2012-02-14,43.1,44.67,43.07,44.02,18.7793,874800.0,0.25,1.0
2012-02-15,44.41,45.01,43.45,43.7,18.6428,4180300.0,0.0,1.0
2012-02-16,43.62,44.49,43.56,44.09,18.8092,3431800.0,0.0,1.0
2012-02-17,44.3,44.5,43.26,43.44,18.5319,3552500.0,0.0,1.0
