date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,151.25,153.63,146.25,149.0,243.4346,7982567.0,0.0,1.0
2000-01-04,143.5,145.75,137.0,137.88,225.2668,9655800.0,0.0,1.0
2000-01-05,137.0,137.38,130.75,134.25,219.3362,10930733.0,0.0,1.0
2000-01-06,133.5,134.0,118.0,119.0,194.4209,11145867.0,0.0,1.0
2000-01-07,123.0,129.13,121.94,128.81,210.4484,15293133.0,0.0,1.0
2000-01-10,132.38,143.63,131.38,139.75,228.322,11980733.0,0.0,1.0
2000-01-11,135.13,140.88,132.44,132.75,216.8855,8109733.0,0.0,1.0
2000-01-12,134.88,138.94,132.75,133.81,218.6173,8121167.0,0.0,1.0
2000-01-13,136.38,140.5,134.25,138.56,226.3778,5951400.0,0.0,1.0
2000-01-14,144.0,154.13,144.0,151.0,246.7021,12251400.0,0.0,1.0
2000-01-18,143.5,147.31,142.63,144.0,235.2656,16059167.0,0.0,1.0
2000-01-19,143.75,145.44,140.0,140.75,229.9558,8098067.0,0.0,1.0
2000-01-20,141.63,145.5,140.38,141.0,230.3643,8869233.0,0.0,1.0
2000-01-21,147.25,147.69,143.38,144.38,235.8865,7137667.0,0.0,1.0
2000-01-24,146.5,147.44,139.25,139.25,227.5051,6176800.0,0.0,1.0
2000-01-25,140.38,142.31,137.31,142.13,232.2104,7215600.0,0.0,1.0
2000-01-26,141.88,146.0,136.25,139.5,227.9136,7768833.0,0.0,1.0
2000-01-27,140.0,140.63,135.75,136.0,222.1953,8293367.0,0.0,1.0
2000-01-28,138.5,140.5,125.0,128.25,209.5334,11014967.0,0.0,1.0
2000-01-31,128.5,136.75,126.31,136.0,222.1953,9912467.0,0.0,1.0
2000-02-01,137.75,139.5,133.19,136.88,223.633,8103667.0,0.0,1.0
2000-02-02,137.0,147.63,136.94,144.63,236.2949,9596067.0,0.0,1.0
2000-02-03,146.13,152.94,146.13,152.75,249.5613,10355333.0,0.0,1.0
2000-02-04,152.94,157.56,150.38,156.0,254.8711,10179867.0,0.0,1.0
2000-02-07,154.63,159.06,153.19,158.88,259.5764,4782400.0,0.0,1.0
2000-02-08,160.0,161.38,156.56,159.88,261.2102,7603633.0,0.0,1.0
2000-02-09,160.0,160.0,152.13,153.56,250.8846,7389900.0,0.0,1.0
2000-02-10,153.81,157.44,153.63,155.28,253.6948,7763233.0,0.0,1.0
2000-02-11,154.5,155.25,148.5,151.25,247.1106,7042000.0,0.0,1.0
2000-02-14,152.63,152.63,146.31,147.25,240.5754,7035000.0,0.0,1.0
2000-02-15,148.31,149.94,143.06,148.94,243.3365,8389733.0,0.0,1.0
2000-02-16,148.94,151.0,147.13,147.88,241.6047,5831233.0,0.0,1.0
2000-02-17,145.5,148.63,143.0,147.25,240.5754,7932167.0,0.0,1.0
2000-02-18,147.13,148.0,144.63,144.94,236.8014,5938800.0,0.0,1.0
2000-02-22,146.0,158.38,144.56,156.75,256.0964,9562467.0,0.0,1.0
2000-02-23,153.88,161.81,151.44,160.75,262.6316,9418033.0,0.0,1.0
2000-02-24,159.75,164.75,157.56,164.25,268.3498,10147200.0,0.0,1.0
2000-02-25,162.0,163.5,158.0,159.25,260.1809,6664467.0,0.0,1.0
