date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,415.0,415.0,405.0,406.56,26.0012,11900.0,0.0,1.0
2000-01-04,406.31,406.31,384.0,393.5,25.166,10300.0,0.0,1.0
2000-01-05,395.38,395.38,388.75,395.25,25.2779,4900.0,0.0,1.0
2000-01-06,395.25,404.0,391.0,399.88,25.574,28500.0,0.0,1.0
2000-01-07,400.0,413.5,398.5,407.0,26.0293,33000.0,0.0,1.0
2000-01-10,405.5,411.06,404.25,407.25,26.0453,6100.0,0.0,1.0
2000-01-11,407.0,408.25,390.0,395.25,25.2779,5600.0,0.0,1.0
2000-01-12,394.5,401.44,394.0,399.88,25.574,12800.0,0.0,1.0
2000-01-13,399.88,410.25,399.88,410.25,26.2372,2800.0,0.0,1.0
2000-01-14,410.0,425.5,410.0,420.25,26.8767,5600.0,0.0,1.0
2000-01-18,423.0,424.75,420.0,420.0,26.8607,5600.0,0.0,1.0
2000-01-19,416.0,417.44,411.25,412.0,26.3491,7500.0,0.0,1.0
2000-01-20,413.0,413.0,408.75,408.75,26.1413,2800.0,0.0,1.0
2000-01-21,410.13,414.0,410.0,411.81,26.337,6600.0,0.0,1.0
2000-01-24,412.0,412.25,405.0,405.0,25.9014,22200.0,0.0,1.0
2000-01-25,407.0,407.0,400.06,405.0,25.9014,17100.0,0.0,1.0
2000-01-26,400.0,419.5,400.0,419.5,26.8288,22400.0,0.0,1.0
2000-01-27,421.75,422.0,415.75,420.0,26.8607,16900.0,0.0,1.0
2000-01-28,416.5,416.5,402.0,406.5,25.9974,4800.0,0.0,1.0
2000-01-31,406.0,414.5,401.94,411.0,26.2852,10600.0,0.0,1.0
2000-02-01,408.0,416.25,400.5,401.5,25.6776,5000.0,0.0,1.0
2000-02-02,401.75,406.75,400.5,404.0,25.8375,7300.0,0.0,1.0
2000-02-03,407.0,407.0,400.0,400.19,25.5938,9200.0,0.0,1.0
2000-02-04,400.19,407.0,400.0,405.25,25.9174,8400.0,0.0,1.0
2000-02-07,405.5,406.5,401.75,402.25,25.7256,7400.0,0.0,1.0
2000-02-08,402.5,405.0,402.5,403.5,25.8055,9600.0,0.0,1.0
2000-02-09,401.0,405.5,400.5,401.13,25.6539,13300.0,0.0,1.0
2000-02-10,401.5,401.75,401.0,401.0,25.6456,21100.0,0.0,1.0
2000-02-11,401.06,405.88,400.0,400.0,25.5817,14500.0,0.0,1.0
2000-02-14,400.0,401.5,395.75,400.0,25.5817,11500.0,0.0,1.0
2000-02-15,397.0,397.0,387.25,392.0,25.07,4600.0,0.0,1.0
2000-02-16,392.0,392.0,388.25,388.5,24.8462,19600.0,0.0,1.0
2000-02-17,388.5,388.5,377.0,384.75,24.6064,8700.0,0.0,1.0
2000-02-18,383.25,391.0,370.5,376.0,24.0468,8700.0,0.0,1.0
2000-02-22,375.0,375.0,368.75,372.0,23.7909,11100.0,0.0,1.0
2000-02-23,372.0,372.0,365.0,368.0,23.5351,4800.0,0.0,1.0
2000-02-24,367.0,369.5,358.0,369.5,23.6311,12500.0,0.0,1.0
2000-02-25,364.0,370.0,357.0,369.31,23.6189,22400.0,0.0,1.0
2000-02-28,368.06,368.06,360.0,367.44,23.5793,24900.0,1.25,1.0
2000-02-29,369.0,376.5,365.06,369.0,23.6794,11300.0,0.0,1.0
2000-03-01,369.0,371.5,366.0,369.94,23.7397,12700.0,0.0,1.0
2000-03-02,372.75,375.0,369.5,370.0,23.7435,26300.0,0.0,1.0
2000-03-03,370.0,371.0,369.0,370.0,23.7435,23600.0,0.0,1.0
2000-03-06,370.0,376.0,370.0,375.0,24.0644,7700.0,0.0,1.0
2000-03-07,374.5,374.5,361.0,368.0,23.6152,6900.0,0.0,1.0
