date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,54.31,54.31,52.12,52.87,16.0456,168300.0,0.0,1.0
2000-01-04,53.63,55.0,53.38,53.56,16.255,332250.0,0.0,1.0
2000-01-05,53.56,54.81,53.38,54.19,16.4462,306800.0,0.0,1.0
2000-01-06,53.0,53.0,52.0,52.5,15.9333,327050.0,0.0,1.0
2000-01-07,52.75,54.5,52.75,53.75,16.3126,472350.0,0.0,1.0
2000-01-10,54.0,54.25,53.0,53.13,16.1245,330450.0,0.0,1.0
2000-01-11,53.0,55.38,52.94,54.06,16.4067,258100.0,0.0,1.0
2000-01-12,54.31,54.5,53.5,53.5,16.2368,152850.0,0.0,1.0
2000-01-13,53.63,54.19,53.31,53.5,16.2368,138900.0,0.0,1.0
2000-01-14,53.5,54.0,53.25,53.25,16.1609,185150.0,0.0,1.0
2000-01-18,51.88,52.5,50.94,52.13,15.821,217800.0,0.0,1.0
2000-01-19,51.75,51.94,50.19,50.5,15.3263,354800.0,0.0,1.0
2000-01-20,50.75,51.44,49.13,50.75,15.4022,370650.0,0.0,1.0
2000-01-21,51.25,52.19,50.31,52.19,15.8392,296400.0,0.0,1.0
2000-01-24,52.19,52.75,48.63,48.75,14.7952,338550.0,0.0,1.0
2000-01-25,49.13,49.31,46.5,47.75,14.4917,323400.0,0.0,1.0
2000-01-26,48.13,48.25,45.25,47.88,14.5311,519850.0,0.0,1.0
2000-01-27,48.0,50.38,48.0,50.0,15.1745,672050.0,0.0,1.0
2000-01-28,50.13,50.94,49.5,50.06,15.1927,328350.0,0.0,1.0
2000-01-31,50.13,50.25,48.75,50.25,15.2504,263300.0,0.0,1.0
2000-02-01,50.75,50.75,49.13,50.25,15.2504,489400.0,0.0,1.0
2000-02-02,50.5,50.56,49.25,50.0,15.1745,389250.0,0.0,1.0
2000-02-03,50.63,50.81,49.44,49.94,15.1563,333800.0,0.0,1.0
2000-02-04,51.13,51.75,50.13,51.75,15.7056,339750.0,0.0,1.0
2000-02-07,52.5,54.13,49.5,49.88,15.1381,594650.0,0.0,1.0
2000-02-08,49.63,50.0,49.0,49.44,15.0046,218800.0,0.0,1.0
2000-02-09,49.44,49.5,47.88,48.38,14.6829,238600.0,0.0,1.0
2000-02-10,48.31,48.5,47.13,47.31,14.3581,428750.0,0.0,1.0
2000-02-11,47.31,47.56,46.5,46.88,14.2276,637050.0,0.0,1.0
2000-02-14,46.94,47.19,46.56,46.56,14.1305,453650.0,0.0,1.0
2000-02-15,46.38,46.5,44.75,45.19,13.7147,789350.0,0.0,1.0
2000-02-16,45.0,46.69,45.0,46.25,14.0364,349500.0,0.0,1.0
2000-02-17,46.0,46.56,45.88,46.31,14.0547,119400.0,0.0,1.0
2000-02-18,46.0,46.06,44.63,45.0,13.6571,421900.0,0.0,1.0
2000-02-22,45.0,46.5,45.0,45.94,13.9424,277900.0,0.0,1.0
2000-02-23,45.75,46.13,45.63,45.69,13.8665,186800.0,0.0,1.0
2000-02-24,45.88,46.0,45.19,45.94,14.0638,408950.0,0.4,1.0
2000-02-25,45.94,46.25,44.69,45.38,13.8923,369200.0,0.0,1.0
2000-02-28,45.38,46.0,44.81,44.88,13.7393,209050.0,0.0,1.0
2000-02-29,45.0,45.94,45.0,45.31,13.8709,182800.0,0.0,1.0
2000-03-01,45.19,45.19,43.56,43.81,13.4117,245900.0,0.0,1.0
2000-03-02,43.06,43.88,42.63,43.56,13.3352,720750.0,0.0,1.0
2000-03-03,43.81,44.38,43.81,44.38,13.5862,308550.0,0.0,1.0
2000-03-06,45.0,48.38,45.0,48.0,14.6944,631200.0,0.0,1.0
2000-03-07,48.0,48.81,46.56,46.69,14.2934,798300.0,0.0,1.0
2000-03-08,47.0,47.88,46.56,47.25,14.4648,353050.0,0.0,1.0
2000-03-09,47.13,47.5,47.0,47.5,14.5413,333800.0,0.0,1.0
2000-03-10,47.5,47.5,46.75,47.06,14.4066,292400.0,0.0,1.0
2000-03-13,47.0,47.38,46.75,47.0,14.3883,212150.0,0.0,1.0
2000-03-14,47.25,49.5,47.0,48.81,14.9424,428950.0,0.0,1.0
2000-03-15,48.56,52.5,48.0,52.5,16.072,476000.0,0.0,1.0
2000-03-16,52.56,54.75,52.38,54.63,16.7241,552600.0,0.0,1.0
2000-03-17,54.0,55.63,54.0,55.19,16.8955,534250.0,0.0,1.0
2000-03-20,55.0,55.13,51.0,52.63,16.1118,334900.0,0.0,1.0
2000-03-21,52.88,54.75,52.88,54.0,16.5312,628750.0,0.0,1.0
2000-03-22,54.38,54.5,53.19,53.56,16.3965,441150.0,0.0,1.0
2000-03-23,52.94,53.38,51.75,52.06,15.9373,219100.0,0.0,1.0
2000-03-24,52.0,53.5,52.0,53.5,16.3781,377050.0,0.0,1.0
2000-03-27,53.88,53.88,52.81,53.25,16.3016,297950.0,0.0,1.0
2000-03-28,53.5,53.69,52.5,52.63,16.1118,314000.0,0.0,1.0
2000-03-29,53.13,53.25,52.19,52.31,16.0138,414700.0,0.0,1.0
2000-03-30,52.5,54.19,52.38,53.0,16.2251,614350.0,0.0,1.0
2000-03-31,53.25,53.81,52.5,52.94,16.2067,939000.0,0.0,1.0
2000-04-03,52.94,52.94,51.19,52.44,16.0536,459750.0,0.0,1.0
2000-04-04,52.5,55.88,52.31,55.25,16.9139,579950.0,0.0,1.0
2000-04-05,55.0,57.0,54.75,55.25,16.9139,405850.0,0.0,1.0
2000-04-06,56.13,57.38,56.06,56.31,17.2384,309550.0,0.0,1.0
2000-04-07,56.56,57.13,54.81,54.81,16.7792,229750.0,0.0,1.0
2000-04-10,54.81,56.0,54.81,55.75,17.0669,232850.0,0.0,1.0
2000-04-11,56.0,57.13,56.0,56.56,17.3149,164900.0,0.0,1.0
2000-04-12,56.75,59.38,56.56,57.13,17.4894,488750.0,0.0,1.0
2000-04-13,57.75,62.5,57.38,60.06,18.3864,735800.0,0.0,1.0
2000-04-14,59.94,61.38,59.13,59.44,18.1966,640800.0,0.0,1.0
2000-04-17,60.19,64.25,60.19,63.81,19.5344,904800.0,0.0,1.0
2000-04-18,63.81,65.0,63.0,64.81,19.8405,856300.0,0.0,1.0
2000-04-19,64.69,65.06,63.75,63.88,19.5558,271800.0,0.0,1.0
2000-04-20,63.88,67.75,63.5,67.0,20.5109,526700.0,0.0,1.0
2000-04-24,68.5,70.75,68.38,70.44,21.564,924400.0,0.0,1.0
2000-04-25,70.25,74.0,69.19,72.56,22.213,1200300.0,0.0,1.0
2000-04-26,72.56,72.56,68.88,69.81,21.3712,1086750.0,0.0,1.0
2000-04-27,69.0,73.38,69.0,73.06,22.3661,783350.0,0.0,1.0
2000-04-28,73.25,74.13,70.56,70.88,21.6987,803300.0,0.0,1.0
2000-05-01,71.13,73.88,71.13,73.5,22.5008,495500.0,0.0,1.0
2000-05-02,73.5,75.19,72.0,72.94,22.3294,819700.0,0.0,1.0
2000-05-03,72.94,72.94,70.63,71.06,21.7538,402200.0,0.0,1.0
2000-05-04,71.69,73.5,71.13,73.38,22.4641,465400.0,0.0,1.0
2000-05-05,73.13,73.5,72.25,72.75,22.2712,411400.0,0.0,1.0
2000-05-08,72.56,74.44,72.13,73.38,22.4641,415450.0,0.0,1.0
2000-05-09,73.13,74.44,72.56,74.44,22.7886,490400.0,0.0,1.0
2000-05-10,74.19,74.75,73.63,74.44,22.7886,395000.0,0.0,1.0
2000-05-11,74.44,75.88,74.44,75.38,23.0763,543550.0,0.0,1.0
2000-05-12,75.38,76.88,75.31,75.69,23.1712,632300.0,0.0,1.0
2000-05-15,75.94,76.56,74.56,75.44,23.0947,421350.0,0.0,1.0
2000-05-16,75.69,76.44,75.13,76.25,23.3427,332350.0,0.0,1.0
2000-05-17,76.31,80.0,75.94,79.25,24.2611,1069700.0,0.0,1.0
