date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,20.25,20.38,19.88,20.13,13.3422,694200.0,0.0,1.0
2000-01-04,20.13,20.38,19.88,20.25,13.4217,859600.0,0.0,1.0
2000-01-05,20.38,20.38,19.81,19.88,13.1765,969300.0,0.0,1.0
2000-01-06,20.19,21.56,19.69,21.31,14.1243,1390700.0,0.0,1.0
2000-01-07,21.25,21.38,20.5,20.69,13.7134,730800.0,0.0,1.0
2000-01-10,20.81,21.31,20.38,21.31,14.1243,700400.0,0.0,1.0
2000-01-11,21.13,21.69,21.13,21.38,14.1707,749700.0,0.0,1.0
2000-01-12,21.63,21.81,20.94,21.19,14.0448,666400.0,0.0,1.0
2000-01-13,21.44,22.75,21.31,21.75,14.4159,1058900.0,0.0,1.0
2000-01-14,21.75,21.88,21.25,21.44,14.2105,871300.0,0.0,1.0
2000-01-18,21.0,21.0,20.13,20.38,13.5079,1251300.0,0.0,1.0
2000-01-19,20.25,20.44,20.0,20.06,13.2958,1144700.0,0.0,1.0
2000-01-20,20.06,20.25,19.19,19.75,13.0903,2308200.0,0.0,1.0
2000-01-21,20.0,20.0,19.44,19.69,13.0506,728400.0,0.0,1.0
2000-01-24,19.94,19.94,18.94,18.94,12.5535,743800.0,0.0,1.0
2000-01-25,19.0,19.81,18.31,18.81,12.4673,848000.0,0.0,1.0
2000-01-26,18.44,18.75,17.31,17.75,11.7647,1686100.0,0.0,1.0
2000-01-27,18.13,18.44,17.31,17.5,11.599,1854000.0,0.0,1.0
2000-01-28,17.25,17.69,17.06,17.25,11.4333,1595000.0,0.0,1.0
2000-01-31,17.25,17.31,16.56,17.0,11.2676,1309500.0,0.0,1.0
2000-02-01,16.75,17.25,16.75,16.75,11.1019,1023700.0,0.0,1.0
2000-02-02,16.56,16.75,16.25,16.31,10.9428,1065900.0,0.2,1.0
2000-02-03,16.38,16.5,16.0,16.06,10.7751,1025200.0,0.0,1.0
2000-02-04,16.06,16.06,15.63,15.75,10.5671,1264800.0,0.0,1.0
2000-02-07,16.0,16.44,15.75,16.25,10.9026,1249800.0,0.0,1.0
2000-02-08,16.0,16.25,15.31,15.38,10.3189,1128600.0,0.0,1.0
2000-02-09,15.88,15.94,15.31,15.31,10.2719,1693300.0,0.0,1.0
2000-02-10,15.5,15.75,15.0,15.0,10.0639,1809900.0,0.0,1.0
2000-02-11,15.31,15.31,14.56,14.63,9.8157,986200.0,0.0,1.0
2000-02-14,15.0,15.63,14.81,15.13,10.1512,2381300.0,0.0,1.0
2000-02-15,15.13,15.5,15.0,15.19,10.1914,1072600.0,0.0,1.0
2000-02-16,15.25,15.38,14.69,15.25,10.2317,1664900.0,0.0,1.0
2000-02-17,14.81,15.19,14.69,14.81,9.9365,1176800.0,0.0,1.0
2000-02-18,14.94,15.12,14.81,14.81,9.9365,1047000.0,0.0,1.0
2000-02-22,14.69,15.31,14.69,15.13,10.1512,1024400.0,0.0,1.0
2000-02-23,14.88,15.0,14.69,14.75,9.8962,1218800.0,0.0,1.0
2000-02-24,14.75,14.75,13.69,13.75,9.2253,2180200.0,0.0,1.0
2000-02-25,13.75,14.06,13.69,13.75,9.2253,1923700.0,0.0,1.0
2000-02-28,14.06,14.13,13.56,13.94,9.3527,2864500.0,0.0,1.0
2000-02-29,13.94,14.13,13.44,13.56,9.0978,2224400.0,0.0,1.0
2000-03-01,13.63,14.19,13.44,13.88,9.3125,1533600.0,0.0,1.0
2000-03-02,13.94,13.94,13.13,13.44,9.0173,1834500.0,0.0,1.0
2000-03-03,13.44,14.13,13.38,13.94,9.3527,1200500.0,0.0,1.0
2000-03-06,13.75,13.75,13.06,13.38,8.977,1080500.0,0.0,1.0
2000-03-07,13.38,13.5,12.69,12.94,8.6818,1652600.0,0.0,1.0
2000-03-08,13.0,13.31,12.88,12.94,8.6818,1023800.0,0.0,1.0
2000-03-09,13.0,13.25,12.75,13.19,8.8495,1030600.0,0.0,1.0
2000-03-10,12.94,13.19,12.81,13.19,8.8495,1382200.0,0.0,1.0
2000-03-13,12.88,13.13,12.69,12.94,8.6818,1201400.0,0.0,1.0
2000-03-14,12.88,12.88,12.69,12.75,8.5543,1871700.0,0.0,1.0
2000-03-15,12.88,13.69,12.75,13.63,9.1448,1619900.0,0.0,1.0
2000-03-16,13.88,15.13,13.81,15.13,10.1512,2207900.0,0.0,1.0
2000-03-17,15.13,15.94,15.0,15.88,10.6543,2308700.0,0.0,1.0
2000-03-20,15.94,16.0,14.69,15.0,10.0639,1052800.0,0.0,1.0
2000-03-21,14.69,15.06,14.38,15.0,10.0639,755100.0,0.0,1.0
