date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,54.81,54.81,53.56,54.31,4.0454,1141600.0,0.0,1.0
2000-01-04,54.25,54.94,53.38,53.75,4.0036,778200.0,0.0,1.0
2000-01-05,53.63,55.5,53.63,55.0,4.0968,1420000.0,0.0,1.0
2000-01-06,55.13,56.25,55.0,55.75,4.1526,934800.0,0.0,1.0
2000-01-07,55.63,56.44,54.81,55.94,4.1668,515600.0,0.0,1.0
2000-01-10,55.94,55.94,53.19,53.94,4.0178,699600.0,0.0,1.0
2000-01-11,54.38,55.19,54.13,55.06,4.1012,814400.0,0.0,1.0
2000-01-12,55.06,55.06,53.13,53.19,3.9619,544200.0,0.0,1.0
2000-01-13,53.5,55.75,53.5,55.0,4.0968,530800.0,0.0,1.0
2000-01-14,55.0,55.5,54.25,54.81,4.0826,722600.0,0.0,1.0
2000-01-18,55.0,55.0,53.0,53.75,4.0036,978600.0,0.0,1.0
2000-01-19,53.88,55.44,53.81,55.25,4.1154,1231400.0,0.0,1.0
2000-01-20,55.13,55.19,52.19,52.38,3.9016,896000.0,0.0,1.0
2000-01-21,52.63,52.63,50.25,51.06,3.8033,817400.0,0.0,1.0
2000-01-24,51.31,51.56,49.19,49.31,3.6729,563400.0,0.0,1.0
2000-01-25,50.0,50.38,48.06,48.94,3.6454,539800.0,0.0,1.0
2000-01-26,48.75,49.88,47.0,48.69,3.6267,1173200.0,0.0,1.0
2000-01-27,48.75,51.0,48.69,50.56,3.766,1294800.0,0.0,1.0
2000-01-28,50.44,51.94,49.94,50.69,3.7757,1124000.0,0.0,1.0
2000-01-31,49.88,49.88,48.88,49.75,3.7057,855600.0,0.0,1.0
2000-02-01,49.88,51.13,49.56,49.88,3.7154,581000.0,0.0,1.0
2000-02-02,50.0,50.25,49.56,49.56,3.6915,745600.0,0.0,1.0
2000-02-03,49.75,49.94,48.81,49.88,3.7154,587400.0,0.0,1.0
2000-02-04,48.75,49.75,48.63,48.75,3.6312,512400.0,0.0,1.0
2000-02-07,47.5,48.0,46.0,48.0,3.5754,1470200.0,0.0,1.0
2000-02-08,48.25,48.88,46.31,46.31,3.4495,591600.0,0.0,1.0
2000-02-09,48.0,48.38,47.31,47.44,3.5336,1736200.0,0.0,1.0
2000-02-10,47.44,47.44,45.0,45.25,3.3705,1528200.0,0.0,1.0
2000-02-11,46.13,47.88,46.06,47.13,3.5105,1081600.0,0.0,1.0
2000-02-14,47.38,47.88,47.13,47.63,3.5478,1602400.0,0.0,1.0
2000-02-15,47.75,53.75,47.75,51.88,3.8644,1851600.0,0.0,1.0
2000-02-16,52.5,53.06,50.13,50.88,3.7899,1764400.0,0.0,1.0
2000-02-17,50.25,51.75,50.0,50.69,3.7757,557200.0,0.0,1.0
2000-02-18,50.25,50.25,48.69,48.81,3.6357,684400.0,0.0,1.0
2000-02-22,49.0,52.25,49.0,51.75,3.8547,908000.0,0.0,1.0
2000-02-23,51.13,51.94,51.0,51.31,3.8219,784400.0,0.0,1.0
2000-02-24,51.0,51.94,49.81,50.06,3.7288,1441600.0,0.0,1.0
2000-02-25,50.06,50.63,48.06,48.06,3.5798,1016400.0,0.0,1.0
2000-02-28,48.38,50.38,47.56,49.13,3.6595,781000.0,0.0,1.0
2000-02-29,48.88,50.0,46.62,49.69,3.7012,532800.0,0.0,1.0
2000-03-01,48.75,49.75,47.44,49.75,3.7057,974200.0,0.0,1.0
2000-03-02,49.25,49.44,47.88,49.19,3.664,952600.0,0.0,1.0
2000-03-03,48.63,51.25,48.5,50.5,3.7616,1080800.0,0.0,1.0
2000-03-06,49.63,49.75,47.25,48.13,3.585,1127800.0,0.0,1.0
2000-03-07,48.19,49.44,48.0,48.44,3.6081,866400.0,0.0,1.0
2000-03-08,47.75,47.75,45.06,47.25,3.5195,1151400.0,0.0,1.0
2000-03-09,46.38,48.38,45.75,48.31,3.5984,1399400.0,0.0,1.0
2000-03-10,48.0,49.0,47.25,48.06,3.5798,669200.0,0.0,1.0
