date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,47.25,47.63,45.25,46.81,3.6126,626900.0,0.0,1.0
2000-01-04,46.0,46.13,43.25,45.56,3.5161,626000.0,0.0,1.0
2000-01-05,44.25,45.0,43.75,44.19,3.4104,392400.0,0.0,1.0
2000-01-06,44.06,44.06,39.5,41.19,3.1788,251000.0,0.0,1.0
2000-01-07,41.0,42.31,40.38,41.88,3.2321,148300.0,0.0,1.0
2000-01-10,42.0,45.0,41.25,43.25,3.3378,499700.0,0.0,1.0
2000-01-11,43.0,43.5,41.5,41.5,3.2028,308600.0,0.0,1.0
2000-01-12,41.5,41.56,39.88,40.44,3.121,257400.0,0.0,1.0
2000-01-13,40.38,42.5,39.88,42.13,3.2514,275400.0,0.0,1.0
2000-01-14,42.75,45.69,42.63,43.94,3.3911,1259500.0,0.0,1.0
2000-01-18,44.5,46.0,42.5,45.81,3.5354,545100.0,0.0,1.0
2000-01-19,46.0,46.0,45.0,45.38,3.5022,343100.0,0.0,1.0
2000-01-20,45.75,48.25,44.88,45.25,3.4922,374100.0,0.0,1.0
2000-01-21,45.13,45.31,43.63,44.75,3.4536,1133900.0,0.0,1.0
2000-01-24,46.19,46.19,42.5,42.75,3.2992,535300.0,0.0,1.0
2000-01-25,42.94,43.38,41.0,42.38,3.2707,494000.0,0.0,1.0
2000-01-26,42.38,43.5,39.88,40.63,3.1356,484300.0,0.0,1.0
2000-01-27,40.94,40.94,37.0,38.5,2.9712,954600.0,0.0,1.0
2000-01-28,38.0,38.25,35.88,37.38,2.8848,405100.0,0.0,1.0
2000-01-31,37.56,38.38,35.0,37.06,2.8601,380000.0,0.0,1.0
2000-02-01,37.13,38.25,35.75,37.94,2.928,193700.0,0.0,1.0
2000-02-02,38.13,39.75,37.94,39.0,3.0098,310500.0,0.0,1.0
2000-02-03,40.25,41.06,39.38,39.63,3.0584,225500.0,0.0,1.0
2000-02-04,40.88,40.88,39.75,40.56,3.1302,257700.0,0.0,1.0
2000-02-07,40.75,40.75,38.0,38.06,2.9373,453100.0,0.0,1.0
2000-02-08,39.0,41.25,38.0,39.88,3.0777,976700.0,0.0,1.0
2000-02-09,41.38,42.06,40.81,40.88,3.1549,1227200.0,0.0,1.0
2000-02-10,43.38,50.0,43.38,49.25,3.8009,2021000.0,0.0,1.0
2000-02-11,51.69,51.75,46.38,50.0,3.8587,882900.0,0.0,1.0
2000-02-14,50.12,58.0,49.63,58.0,4.4761,1354400.0,0.0,1.0
2000-02-15,58.13,58.19,53.38,55.75,4.3025,938500.0,0.0,1.0
2000-02-16,56.38,60.25,55.75,58.31,4.5001,2124100.0,0.0,1.0
2000-02-17,58.0,60.75,57.5,60.38,4.6598,1116200.0,0.0,1.0
2000-02-18,59.5,68.25,59.06,67.38,5.2,2001800.0,0.0,1.0
2000-02-22,65.25,66.13,63.0,65.5,5.055,1130200.0,0.0,1.0
2000-02-23,64.75,66.56,63.94,65.88,5.0843,1065400.0,0.0,1.0
2000-02-24,66.25,66.69,62.5,65.25,5.0357,509000.0,0.0,1.0
2000-02-25,65.31,65.31,58.5,61.19,4.7223,580700.0,0.0,1.0
2000-02-28,60.88,61.5,59.75,60.75,4.6884,1078900.0,0.0,1.0
2000-02-29,60.38,64.75,60.38,64.0,4.9392,637600.0,0.0,1.0
2000-03-01,64.0,64.0,61.13,62.13,4.7949,799100.0,0.0,1.0
2000-03-02,62.63,62.63,57.75,57.94,4.4715,398000.0,0.0,1.0
2000-03-03,58.0,59.5,57.5,58.88,4.5441,570200.0,0.0,1.0
2000-03-06,59.25,63.75,58.0,58.5,4.5147,900200.0,0.0,1.0
2000-03-07,74.75,87.25,71.75,83.31,6.4294,4067100.0,0.0,1.0
2000-03-08,83.27,84.75,77.25,84.0,6.4827,1393200.0,0.0,1.0
2000-03-09,85.0,108.0,84.75,100.3,7.7406,1985300.0,0.0,1.0
2000-03-10,105.5,145.0,104.9,118.0,9.1066,4502500.0,0.0,1.0
2000-03-13,107.0,150.0,107.0,149.3,11.5222,5031600.0,0.0,1.0
2000-03-14,148.4,148.4,108.0,110.1,8.4969,3266200.0,0.0,1.0
2000-03-15,118.0,121.1,102.0,105.6,8.1497,2074200.0,0.0,1.0
2000-03-16,109.0,112.8,92.63,94.17,7.2676,1563300.0,0.0,1.0
2000-03-17,92.0,107.0,91.98,99.88,7.7082,1161700.0,0.0,1.0
2000-03-20,103.4,107.1,96.63,99.81,7.7028,761000.0,0.0,1.0
2000-03-21,100.0,100.9,87.0,94.88,7.3223,1118000.0,0.0,1.0
2000-03-22,95.63,98.5,94.0,95.56,7.3748,480400.0,0.0,1.0
2000-03-23,94.69,102.5,94.5,97.25,7.5053,644600.0,0.0,1.0
2000-03-24,96.62,101.0,90.0,93.19,7.1919,482500.0,0.0,1.0
2000-03-27,93.0,96.0,86.25,87.06,6.7188,810300.0,0.0,1.0
