date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,122.7,125.0,111.6,118.1,26.4698,24528700.0,0.0,1.0
2000-01-04,115.5,118.6,105.0,107.7,24.1388,29206200.0,0.0,1.0
2000-01-05,102.4,104.9,96.0,103.5,23.1975,41513500.0,0.0,1.0
2000-01-06,100.2,105.0,94.69,96.0,21.5165,27470000.0,0.0,1.0
2000-01-07,95.0,103.5,93.56,103.4,23.175,22938900.0,0.0,1.0
2000-01-10,108.0,116.0,105.6,115.8,25.9543,22879500.0,0.0,1.0
2000-01-11,112.6,114.8,109.5,112.4,25.1922,21646300.0,0.0,1.0
2000-01-12,112.3,112.3,103.7,105.6,23.6681,20860900.0,0.0,1.0
2000-01-13,108.5,109.9,103.5,105.1,23.5561,13944800.0,0.0,1.0
2000-01-14,109.0,111.4,104.8,106.8,23.9371,14269500.0,0.0,1.0
2000-01-18,107.9,114.5,105.6,111.3,24.9457,16695000.0,0.0,1.0
2000-01-19,56.13,58.25,54.0,57.13,25.6091,12299600.0,0.0,2.0
2000-01-20,59.0,60.25,58.13,59.25,26.5594,27263400.0,0.0,1.0
2000-01-21,61.5,61.5,59.0,59.69,26.7566,25445500.0,0.0,1.0
2000-01-24,60.25,60.38,54.0,54.19,24.2912,25011200.0,0.0,1.0
2000-01-25,55.06,57.5,54.88,56.44,25.2998,26529600.0,0.0,1.0
2000-01-26,56.75,58.94,55.0,55.06,24.6812,23784600.0,0.0,1.0
2000-01-27,55.81,56.69,50.0,51.81,23.2244,30527000.0,0.0,1.0
2000-01-28,51.5,51.94,46.63,47.38,21.2386,43197000.0,0.0,1.0
2000-01-31,47.94,50.13,47.06,49.95,22.3906,34074000.0,0.0,1.0
2000-02-01,51.25,54.31,50.0,54.0,24.206,28552800.0,0.0,1.0
2000-02-02,54.94,56.0,54.0,54.31,24.345,31966500.0,0.0,1.0
2000-02-03,55.38,57.0,54.25,56.69,25.4119,27766600.0,0.0,1.0
2000-02-04,57.63,58.25,57.56,57.81,25.9139,20458000.0,0.0,1.0
2000-02-07,59.31,60.0,58.42,59.94,26.8687,22345600.0,0.0,1.0
2000-02-08,60.75,61.44,59.0,59.56,26.6984,27859000.0,0.0,1.0
2000-02-09,60.06,61.31,58.81,59.94,26.8687,26235800.0,0.0,1.0
2000-02-10,60.0,62.63,58.0,62.31,27.9311,22644300.0,0.0,1.0
2000-02-11,62.5,64.75,58.75,59.69,26.7566,27887000.0,0.0,1.0
2000-02-14,60.88,62.25,58.63,62.19,27.8773,18799900.0,0.0,1.0
2000-02-15,61.63,63.19,59.13,61.38,27.5142,23985700.0,0.0,1.0
2000-02-16,61.0,62.56,60.13,61.25,27.4559,16744600.0,0.0,1.0
