date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,21.44,21.69,20.75,20.81,5.9285,556300.0,0.0,1.0
2000-01-04,20.44,21.0,20.31,20.38,5.806,755100.0,0.0,1.0
2000-01-05,20.38,20.69,20.19,20.5,5.8402,561500.0,0.0,1.0
2000-01-06,20.31,21.44,20.25,21.06,5.9997,1598400.0,0.0,1.0
2000-01-07,21.56,22.5,21.31,21.69,6.1792,1593100.0,0.0,1.0
2000-01-10,21.69,21.69,20.81,21.0,5.9826,1081100.0,0.0,1.0
2000-01-11,21.0,22.0,20.94,21.81,6.2134,1049900.0,0.0,1.0
2000-01-12,21.94,22.0,21.63,21.69,6.1792,1011900.0,0.0,1.0
2000-01-13,21.69,22.5,21.63,22.38,6.3757,1436400.0,0.0,1.0
2000-01-14,22.38,22.44,21.56,22.0,6.2675,922200.0,0.0,1.0
2000-01-18,21.5,22.13,21.25,22.0,6.2675,1267100.0,0.0,1.0
2000-01-19,22.0,22.5,21.81,22.31,6.3558,1450500.0,0.0,1.0
2000-01-20,22.63,22.63,21.88,22.13,6.3045,789000.0,0.0,1.0
2000-01-21,22.13,22.25,21.5,21.69,6.1792,1540800.0,0.0,1.0
2000-01-24,22.0,22.0,20.63,20.88,5.9484,1302600.0,0.0,1.0
2000-01-25,21.75,21.75,19.75,19.81,5.6436,2052400.0,0.0,1.0
2000-01-26,20.0,20.56,19.88,20.31,5.786,1291300.0,0.0,1.0
2000-01-27,20.56,20.56,19.94,20.13,5.7348,1087600.0,0.0,1.0
2000-01-28,19.75,20.38,19.75,20.0,5.6977,1058500.0,0.0,1.0
2000-01-31,20.19,20.19,19.25,19.88,5.6635,1083400.0,0.0,1.0
2000-02-01,19.81,20.0,19.38,19.81,5.6436,766800.0,0.0,1.0
2000-02-02,19.81,20.13,19.5,19.63,5.5923,1211100.0,0.0,1.0
2000-02-03,19.5,19.75,19.31,19.5,5.5553,827800.0,0.0,1.0
2000-02-04,19.69,19.81,19.44,19.5,5.5553,913200.0,0.0,1.0
2000-02-07,19.31,19.56,19.25,19.44,5.5382,801000.0,0.0,1.0
2000-02-08,19.31,19.56,19.13,19.31,5.5011,709700.0,0.0,1.0
2000-02-09,19.5,19.5,18.88,19.0,5.4128,2091300.0,0.0,1.0
2000-02-10,19.0,19.5,18.94,18.94,5.3957,1106500.0,0.0,1.0
2000-02-11,19.0,19.19,18.38,18.5,5.2704,2198100.0,0.0,1.0
2000-02-14,18.5,18.56,16.75,17.25,4.9143,4715500.0,0.0,1.0
2000-02-15,17.19,18.0,16.94,17.94,5.1109,5831900.0,0.0,1.0
2000-02-16,17.94,18.25,17.63,18.13,5.165,1740100.0,0.0,1.0
2000-02-17,18.06,18.25,17.5,17.63,5.0225,761300.0,0.0,1.0
2000-02-18,17.63,17.69,17.06,17.25,4.9143,1193400.0,0.0,1.0
2000-02-22,17.25,17.5,17.13,17.25,4.9143,929300.0,0.0,1.0
2000-02-23,17.25,17.25,16.63,16.81,4.7889,1124200.0,0.0,1.0
2000-02-24,16.88,16.88,16.38,16.44,4.6835,1041000.0,0.0,1.0
2000-02-25,16.44,16.44,15.75,15.75,4.487,1633900.0,0.0,1.0
2000-02-28,16.0,16.13,15.75,15.88,4.524,2324900.0,0.0,1.0
2000-02-29,15.88,16.31,15.81,16.06,4.5753,1819500.0,0.0,1.0
2000-03-01,16.13,16.44,15.94,16.06,4.5753,2663300.0,0.0,1.0
2000-03-02,16.06,17.06,15.94,16.88,4.8089,3216200.0,0.0,1.0
2000-03-03,16.88,17.31,16.63,17.19,4.8972,1285400.0,0.0,1.0
2000-03-06,17.25,17.38,17.0,17.25,4.9143,1022600.0,0.0,1.0
2000-03-07,17.44,18.13,17.17,17.81,5.0738,1321200.0,0.0,1.0
2000-03-08,18.25,18.25,17.38,17.44,5.0396,2348600.0,0.25,1.0
2000-03-09,17.38,17.5,17.0,17.19,4.9674,1132300.0,0.0,1.0
2000-03-10,17.06,17.56,17.06,17.44,5.0396,1710000.0,0.0,1.0
2000-03-13,17.0,17.5,17.0,17.38,5.0223,1234900.0,0.0,1.0
2000-03-14,17.38,17.44,17.0,17.19,4.9674,1600700.0,0.0,1.0
2000-03-15,17.25,17.5,17.06,17.38,5.0223,1179200.0,0.0,1.0
2000-03-16,17.38,18.31,17.38,18.25,5.2737,1677300.0,0.0,1.0
2000-03-17,18.25,18.38,17.88,18.25,5.2737,1792100.0,0.0,1.0
2000-03-20,18.25,18.44,18.06,18.06,5.2188,878300.0,0.0,1.0
2000-03-21,18.13,18.69,18.13,18.5,5.3459,1322400.0,0.0,1.0
2000-03-22,18.5,18.81,18.44,18.69,5.4008,1362600.0,0.0,1.0
2000-03-23,18.69,18.88,18.63,18.81,5.4355,1561400.0,0.0,1.0
2000-03-24,18.94,19.19,18.81,19.0,5.4904,859000.0,0.0,1.0
2000-03-27,19.06,19.25,18.75,19.0,5.4904,1071700.0,0.0,1.0
2000-03-28,19.0,19.31,19.0,19.13,5.528,960000.0,0.0,1.0
2000-03-29,19.13,19.75,19.06,19.5,5.6349,1697700.0,0.0,1.0
2000-03-30,19.69,20.5,19.56,20.25,5.8516,1617200.0,0.0,1.0
2000-03-31,20.38,20.94,20.31,20.75,5.9961,2283100.0,0.0,1.0
2000-04-03,20.56,20.88,20.5,20.81,6.0135,954900.0,0.0,1.0
2000-04-04,20.75,21.0,20.31,20.63,5.9614,1723300.0,0.0,1.0
2000-04-05,20.75,21.19,20.63,20.94,6.051,2048400.0,0.0,1.0
2000-04-06,21.0,21.75,21.0,21.69,6.2677,1509700.0,0.0,1.0
2000-04-07,21.69,21.88,21.25,21.44,6.1955,1593300.0,0.0,1.0
2000-04-10,21.44,21.56,21.06,21.38,6.1782,1162600.0,0.0,1.0
2000-04-11,21.38,21.81,21.38,21.56,6.2302,2238900.0,0.0,1.0
2000-04-12,21.63,21.88,21.56,21.69,6.2677,2809000.0,0.0,1.0
2000-04-13,21.63,22.13,21.5,21.63,6.2504,960500.0,0.0,1.0
2000-04-14,21.75,22.06,20.75,21.44,6.1955,1613100.0,0.0,1.0
2000-04-17,21.0,21.25,20.38,20.88,6.0337,1019200.0,0.0,1.0
2000-04-18,21.06,21.06,19.75,20.13,5.817,1076700.0,0.0,1.0
2000-04-19,20.56,20.63,20.19,20.44,5.9065,916000.0,0.0,1.0
2000-04-20,20.44,20.63,19.75,20.56,5.9412,1253300.0,0.0,1.0
2000-04-24,20.75,21.13,20.5,20.94,6.051,956900.0,0.0,1.0
2000-04-25,21.31,21.44,21.19,21.38,6.1782,1113100.0,0.0,1.0
2000-04-26,21.63,22.13,21.5,21.75,6.2851,1085900.0,0.0,1.0
2000-04-27,21.75,22.13,21.63,21.94,6.34,1011300.0,0.0,1.0
2000-04-28,21.81,22.06,21.0,21.44,6.1955,1347400.0,0.0,1.0
2000-05-01,21.44,22.0,21.31,21.88,6.3227,663900.0,0.0,1.0
2000-05-02,22.0,22.19,21.75,21.88,6.3227,861300.0,0.0,1.0
2000-05-03,21.88,21.88,21.13,21.25,6.1406,1005800.0,0.0,1.0
2000-05-04,21.5,22.0,21.38,21.69,6.2677,971300.0,0.0,1.0
2000-05-05,21.56,22.25,21.56,22.19,6.4122,667000.0,0.0,1.0
