date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,43.75,43.81,42.25,43.5,4.7916,648000.0,0.0,1.0
2000-01-04,43.31,44.06,41.25,41.5,4.5713,336020.0,0.0,1.0
2000-01-05,41.38,44.0,41.31,43.88,4.8335,415842.0,0.0,1.0
2000-01-06,43.06,43.75,41.88,42.63,4.6958,697363.0,0.0,1.0
2000-01-07,42.56,44.25,41.5,44.25,4.8742,528830.0,0.0,1.0
2000-01-10,44.44,46.06,44.0,46.06,5.0736,352375.0,0.0,1.0
2000-01-11,45.56,45.56,41.81,42.63,4.6958,390953.0,0.0,1.0
2000-01-12,43.25,43.38,41.5,42.13,4.6407,412385.0,0.0,1.0
2000-01-13,42.0,44.0,41.88,43.63,4.8059,264652.0,0.0,1.0
2000-01-14,44.25,45.06,42.81,43.75,4.8191,275042.0,0.0,1.0
2000-01-18,43.5,44.75,43.0,44.38,4.8885,290568.0,0.0,1.0
2000-01-19,45.06,45.06,42.81,44.06,4.8533,398044.0,0.0,1.0
2000-01-20,44.47,44.5,42.0,43.0,4.7365,248000.0,0.0,1.0
2000-01-21,44.75,44.75,42.0,43.0,4.7365,381235.0,0.0,1.0
2000-01-24,43.13,43.25,40.88,41.31,4.5504,517057.0,0.0,1.0
2000-01-25,41.19,42.0,40.25,41.75,4.5988,540267.0,0.0,1.0
2000-01-26,42.38,42.5,40.69,41.0,4.5162,233363.0,0.0,1.0
2000-01-27,40.91,42.5,40.63,41.88,4.6132,384020.0,0.0,1.0
2000-01-28,40.5,41.13,39.75,40.13,4.4204,426153.0,0.0,1.0
2000-01-31,40.63,41.88,40.44,41.44,4.5647,465067.0,0.0,1.0
2000-02-01,42.75,43.13,41.75,42.38,4.6682,457778.0,0.0,1.0
2000-02-02,42.5,42.5,41.0,41.63,4.5856,337600.0,0.0,1.0
2000-02-03,42.06,42.81,41.44,42.5,4.6814,408000.0,0.0,1.0
2000-02-04,42.88,43.13,41.88,42.0,4.6264,376968.0,0.0,1.0
2000-02-07,41.88,42.63,41.88,42.31,4.6605,669235.0,0.0,1.0
2000-02-08,42.75,43.13,42.5,43.06,4.7431,431763.0,0.0,1.0
2000-02-09,43.0,43.13,42.44,42.56,4.6881,500385.0,0.0,1.0
2000-02-10,42.75,43.0,42.19,42.88,4.7233,443378.0,0.0,1.0
2000-02-11,42.88,43.06,42.38,42.39,4.6693,335842.0,0.0,1.0
2000-02-14,42.31,43.5,41.5,43.38,4.7784,348385.0,0.0,1.0
2000-02-15,43.38,44.0,42.06,43.44,4.785,326953.0,0.0,1.0
2000-02-16,43.5,45.0,43.5,44.81,4.9689,518242.0,0.3,1.0
2000-02-17,44.81,45.19,43.63,44.94,4.9834,379990.0,0.0,1.0
2000-02-18,44.63,44.94,44.0,44.75,4.9623,734657.0,0.0,1.0
2000-02-22,44.63,46.31,44.25,45.25,5.0177,738035.0,0.0,1.0
2000-02-23,45.13,46.13,43.94,44.56,4.9412,587378.0,0.0,1.0
2000-02-24,44.44,44.5,42.25,43.88,4.8658,760652.0,0.0,1.0
2000-02-25,43.88,44.38,42.56,42.88,4.7549,676385.0,0.0,1.0
2000-02-28,42.5,42.75,41.38,42.44,4.7061,599763.0,0.0,1.0
2000-02-29,42.41,43.13,41.75,43.06,4.7749,692444.0,0.0,1.0
2000-03-01,42.63,43.63,42.38,43.06,4.7749,362035.0,0.0,1.0
2000-03-02,42.56,43.25,41.63,42.88,4.7549,502775.0,0.0,1.0
2000-03-03,43.44,48.25,43.13,48.0,5.3227,801975.0,0.0,1.0
2000-03-06,47.81,47.81,42.94,43.06,4.7749,479763.0,0.0,1.0
2000-03-07,43.34,43.75,39.94,40.94,4.5398,1259852.0,0.0,1.0
2000-03-08,41.0,42.94,40.0,42.75,4.7405,1052563.0,0.0,1.0
2000-03-09,42.53,43.06,41.13,43.06,4.7749,342657.0,0.0,1.0
2000-03-10,43.06,44.0,42.5,42.56,4.7194,378390.0,0.0,1.0
2000-03-13,42.69,44.34,41.69,42.06,4.664,497600.0,0.0,1.0
2000-03-14,42.22,43.92,42.06,42.31,4.6917,509057.0,0.0,1.0
2000-03-15,42.44,45.25,42.19,44.94,4.9834,522035.0,0.0,1.0
2000-03-16,44.91,49.38,44.56,49.13,5.448,706035.0,0.0,1.0
2000-03-17,48.38,50.0,47.13,47.63,5.2816,753975.0,0.0,1.0
2000-03-20,47.38,48.5,46.31,46.44,5.1497,396030.0,0.0,1.0
2000-03-21,46.5,49.0,46.44,48.44,5.3715,516978.0,0.0,1.0
2000-03-22,48.44,48.63,46.38,46.88,5.1985,416178.0,0.0,1.0
2000-03-23,46.06,49.06,46.0,48.94,5.4269,350242.0,0.0,1.0
2000-03-24,48.88,49.0,46.94,48.44,5.3715,348642.0,0.0,1.0
2000-03-27,48.55,48.55,47.0,47.94,5.316,314390.0,0.0,1.0
2000-03-28,47.44,48.0,46.38,46.44,5.1497,313857.0,0.0,1.0
2000-03-29,46.38,48.25,45.44,47.5,5.2672,326578.0,0.0,1.0
2000-03-30,46.41,48.94,46.38,47.94,5.316,557768.0,0.0,1.0
2000-03-31,48.44,50.0,46.94,50.0,5.5445,655585.0,0.0,1.0
2000-04-03,49.75,51.5,49.25,49.88,5.5311,464020.0,0.0,1.0
2000-04-04,50.25,54.25,49.5,52.75,5.8494,746963.0,0.0,1.0
2000-04-05,51.58,52.31,50.44,50.75,5.6276,524168.0,0.0,1.0
2000-04-06,50.88,50.88,49.06,50.06,5.5511,574163.0,0.0,1.0
2000-04-07,50.75,50.75,46.13,46.89,5.1996,439842.0,0.0,1.0
2000-04-10,47.25,49.13,46.19,47.5,5.2672,456000.0,0.0,1.0
