date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,35.0,35.0,34.06,34.06,7.7382,2675600.0,0.0,1.0
2000-01-04,34.13,34.63,34.06,34.31,7.795,1041100.0,0.0,1.0
2000-01-05,34.31,35.19,34.31,35.13,7.9813,746400.0,0.0,1.0
2000-01-06,35.19,35.63,35.13,35.31,8.0222,504500.0,0.0,1.0
2000-01-07,35.31,35.38,35.06,35.06,7.9654,535900.0,0.0,1.0
2000-01-10,35.19,35.38,34.94,35.0,7.9517,674100.0,0.0,1.0
2000-01-11,35.0,35.56,35.0,35.44,8.0517,811400.0,0.0,1.0
2000-01-12,35.44,35.94,35.44,35.5,8.0653,551400.0,0.0,1.0
2000-01-13,35.44,35.81,35.25,35.31,8.0222,2198500.0,0.0,1.0
2000-01-14,35.06,35.19,34.69,34.75,7.8949,636900.0,0.0,1.0
2000-01-18,34.5,34.56,34.13,34.19,7.7677,429200.0,0.0,1.0
2000-01-19,34.44,35.25,34.44,34.81,7.9086,567900.0,0.0,1.0
2000-01-20,34.75,35.06,34.5,34.88,7.9245,621200.0,0.0,1.0
2000-01-21,35.0,35.63,34.75,35.56,8.079,423800.0,0.0,1.0
2000-01-24,35.63,36.0,35.13,35.25,8.0085,581300.0,0.0,1.0
2000-01-25,35.31,35.31,33.88,34.69,7.8813,934600.0,0.0,1.0
2000-01-26,34.13,34.5,33.94,34.5,7.8381,768900.0,0.0,1.0
2000-01-27,34.38,34.75,33.94,34.59,7.8586,502400.0,0.0,1.0
2000-01-28,34.13,34.38,33.38,33.5,7.6109,636500.0,0.0,1.0
2000-01-31,33.5,34.38,33.44,34.38,7.8109,414600.0,0.0,1.0
2000-02-01,34.44,34.56,33.88,34.44,7.8245,366000.0,0.0,1.0
2000-02-02,34.31,34.44,33.88,33.94,7.7109,311400.0,0.0,1.0
2000-02-03,33.88,34.75,33.88,34.44,7.8245,612000.0,0.0,1.0
2000-02-04,34.38,34.44,33.31,33.69,7.6541,552900.0,0.0,1.0
2000-02-07,33.25,33.69,33.19,33.5,7.6109,455600.0,0.0,1.0
2000-02-08,33.44,33.88,33.31,33.5,7.6109,262300.0,0.0,1.0
2000-02-09,33.25,33.63,32.94,33.13,7.5269,548100.0,0.0,1.0
2000-02-10,33.13,33.25,32.44,32.69,7.4269,264500.0,0.0,1.0
2000-02-11,32.56,32.88,32.31,32.56,7.3974,254000.0,0.0,1.0
2000-02-14,32.63,33.31,32.5,32.63,7.4133,529800.0,0.0,1.0
2000-02-15,32.5,32.69,32.06,32.25,7.3269,324200.0,0.0,1.0
