date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,35.38,37.38,35.13,36.88,23.8684,5298400.0,0.0,1.0
2000-01-04,36.56,37.56,35.75,35.94,23.26,4555700.0,0.0,1.0
2000-01-05,35.81,36.31,35.25,35.44,22.9364,5701900.0,0.0,1.0
2000-01-06,34.75,36.88,34.5,36.63,23.7066,6863100.0,0.0,1.0
2000-01-07,36.88,38.63,36.69,37.63,24.3538,10527800.0,0.0,1.0
2000-01-10,38.13,38.19,36.63,36.88,23.8684,6402500.0,0.0,1.0
2000-01-11,37.25,37.63,36.63,36.75,23.7843,5607800.0,0.0,1.0
2000-01-12,36.75,37.25,36.31,36.31,23.4995,4267300.0,0.0,1.0
2000-01-13,36.31,36.63,35.94,35.94,23.26,3144200.0,0.0,1.0
2000-01-14,36.06,36.81,35.94,36.19,23.4218,5413700.0,0.0,1.0
2000-01-18,35.94,37.0,35.56,36.25,23.4607,4821600.0,0.0,1.0
2000-01-19,36.88,36.88,35.94,36.44,23.5836,3999700.0,0.0,1.0
2000-01-20,36.44,36.44,36.0,36.13,23.383,3106100.0,0.0,1.0
2000-01-21,36.19,36.44,35.75,36.13,23.383,4454400.0,0.0,1.0
2000-01-24,36.19,36.38,34.81,35.31,22.8523,3785000.0,0.0,1.0
2000-01-25,35.31,35.38,33.88,34.31,22.2051,4356500.0,0.0,1.0
2000-01-26,34.31,34.94,33.75,33.94,21.9657,3174100.0,0.0,1.0
2000-01-27,34.0,34.31,33.25,33.81,21.8815,2610100.0,0.0,1.0
2000-01-28,33.56,34.0,33.19,33.25,21.5191,4090800.0,0.0,1.0
2000-01-31,33.5,34.38,33.25,34.13,22.0886,2989600.0,0.0,1.0
2000-02-01,34.0,34.31,33.69,34.0,22.0045,3602600.0,0.0,1.0
2000-02-02,33.75,33.94,32.94,33.0,21.3573,3289100.0,0.0,1.0
2000-02-03,33.0,33.38,32.63,33.06,21.3961,3662900.0,0.0,1.0
2000-02-04,33.63,34.13,32.69,32.75,21.1955,3885600.0,0.0,1.0
2000-02-07,32.88,33.19,32.25,32.38,20.956,3999700.0,0.0,1.0
2000-02-08,33.31,33.75,33.0,33.31,21.5579,5010500.0,0.0,1.0
2000-02-09,35.0,35.13,33.75,34.0,22.0045,8432500.0,0.0,1.0
2000-02-10,34.88,34.88,34.06,34.63,22.4122,5909500.0,0.0,1.0
2000-02-11,35.0,35.13,34.0,34.38,22.2504,5530400.0,0.0,1.0
2000-02-14,34.19,34.5,33.94,34.06,22.0433,3493300.0,0.0,1.0
2000-02-15,34.0,34.88,34.0,34.19,22.1274,3909600.0,0.0,1.0
2000-02-16,34.13,34.81,33.94,34.0,22.0045,4606800.0,0.0,1.0
2000-02-17,34.56,34.81,34.25,34.31,22.2051,2847700.0,0.0,1.0
2000-02-18,34.38,34.75,33.94,34.25,22.1663,3664500.0,0.0,1.0
2000-02-22,34.31,34.88,34.13,34.69,22.451,2929400.0,0.0,1.0
2000-02-23,34.31,34.75,34.0,34.19,22.1274,3249300.0,0.0,1.0
2000-02-24,34.06,34.38,33.19,34.0,22.0045,3612800.0,0.0,1.0
2000-02-25,34.0,34.38,32.69,32.75,21.1955,4205500.0,0.0,1.0
2000-02-28,33.19,33.88,32.75,33.25,21.5191,3654700.0,0.0,1.0
2000-02-29,32.88,33.06,32.13,32.13,20.7942,4635500.0,0.0,1.0
2000-03-01,32.0,32.94,31.88,32.56,21.0725,5496400.0,0.0,1.0
2000-03-02,32.69,32.88,31.56,31.56,20.4253,5170400.0,0.0,1.0
2000-03-03,32.5,32.5,31.31,31.63,20.4706,4626600.0,0.0,1.0
2000-03-06,31.06,31.44,30.69,31.0,20.0629,4457900.0,0.0,1.0
2000-03-07,31.0,31.5,29.69,30.63,19.8234,7053200.0,0.0,1.0
2000-03-08,31.0,31.5,30.06,30.5,19.8267,5159800.0,0.135,1.0
2000-03-09,30.75,31.75,30.63,31.38,20.3987,3913200.0,0.0,1.0
2000-03-10,31.06,31.38,30.5,30.75,19.9892,3649100.0,0.0,1.0
2000-03-13,30.13,31.19,30.13,31.13,20.2362,4308000.0,0.0,1.0
2000-03-14,30.63,30.75,30.13,30.69,19.9502,4602900.0,0.0,1.0
2000-03-15,30.44,33.19,30.31,33.19,21.5753,5463800.0,0.0,1.0
2000-03-16,33.0,34.19,32.25,34.06,22.1409,5410300.0,0.0,1.0
2000-03-17,33.0,33.94,32.81,33.0,21.4518,4464500.0,0.0,1.0
2000-03-20,32.5,33.63,32.25,33.25,21.6143,2643800.0,0.0,1.0
2000-03-21,33.38,34.31,32.63,34.31,22.3034,5479700.0,0.0,1.0
2000-03-22,34.31,34.38,32.75,33.5,21.7769,3431700.0,0.0,1.0
2000-03-23,32.88,34.0,32.75,33.5,21.7769,3792400.0,0.0,1.0
2000-03-24,33.0,33.5,32.56,32.94,21.4128,3345700.0,0.0,1.0
2000-03-27,32.75,32.94,31.56,32.36,21.0358,3397100.0,0.0,1.0
2000-03-28,31.69,33.13,31.56,32.5,21.1268,4814300.0,0.0,1.0
2000-03-29,32.38,33.69,32.38,33.25,21.6143,4254400.0,0.0,1.0
2000-03-30,33.94,35.94,33.81,35.94,23.363,6850900.0,0.0,1.0
2000-03-31,36.0,36.06,34.56,34.88,22.6739,4957600.0,0.0,1.0
2000-04-03,34.63,36.38,34.63,36.13,23.4865,4337100.0,0.0,1.0
2000-04-04,36.13,37.25,35.5,36.44,23.688,5803400.0,0.0,1.0
2000-04-05,37.0,37.38,36.5,36.75,23.8895,4780500.0,0.0,1.0
2000-04-06,36.69,37.31,36.13,36.81,23.9285,4050000.0,0.0,1.0
2000-04-07,36.44,36.56,35.31,36.0,23.402,3829600.0,0.0,1.0
2000-04-10,36.0,36.94,35.88,36.25,23.5645,2549500.0,0.0,1.0
2000-04-11,36.06,37.19,36.06,37.06,24.091,2408600.0,0.0,1.0
2000-04-12,36.25,37.88,36.25,37.25,24.2146,4071700.0,0.0,1.0
2000-04-13,36.56,36.94,36.25,36.44,23.688,2835500.0,0.0,1.0
2000-04-14,36.69,36.69,35.5,36.44,23.688,3407300.0,0.0,1.0
2000-04-17,35.81,36.63,34.63,36.63,23.8115,3648700.0,0.0,1.0
2000-04-18,36.13,36.25,35.0,35.94,23.363,2980300.0,0.0,1.0
2000-04-19,35.94,36.38,34.81,35.31,22.9535,2949900.0,0.0,1.0
2000-04-20,36.75,37.5,35.94,37.19,24.1756,4931800.0,0.0,1.0
2000-04-24,36.69,38.31,36.63,37.88,24.6241,4457300.0,0.0,1.0
2000-04-25,37.13,37.75,37.0,37.44,24.3381,3344800.0,0.0,1.0
