date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,51.31,51.31,48.5,48.81,23.8385,395600.0,0.0,1.0
2000-01-04,48.81,49.25,46.88,46.88,22.8959,145067.0,0.0,1.0
2000-01-05,47.06,47.75,46.63,47.06,22.9838,280600.0,0.0,1.0
2000-01-06,47.0,47.75,46.13,47.75,23.3208,802267.0,0.0,1.0
2000-01-07,52.0,54.0,51.75,52.13,25.4599,1753400.0,0.0,1.0
2000-01-10,52.13,53.44,50.75,51.5,25.1522,516600.0,0.0,1.0
2000-01-11,51.25,51.81,50.0,50.19,24.5124,349000.0,0.0,1.0
2000-01-12,50.44,51.19,50.38,50.88,24.8494,719267.0,0.0,1.0
2000-01-13,50.94,50.94,49.81,50.25,24.5418,367667.0,0.0,1.0
2000-01-14,50.38,50.38,48.63,49.63,24.2389,494067.0,0.0,1.0
2000-01-18,49.0,49.19,45.56,46.69,22.8031,875200.0,0.0,1.0
2000-01-19,46.0,47.88,45.75,47.88,23.3843,599467.0,0.0,1.0
2000-01-20,49.0,49.0,47.31,47.56,23.228,575200.0,0.0,1.0
2000-01-21,47.56,48.0,46.0,46.75,22.8324,503467.0,0.0,1.0
2000-01-24,46.81,46.81,44.13,44.31,21.6407,522600.0,0.0,1.0
2000-01-25,44.38,44.5,42.75,43.13,21.0644,370667.0,0.0,1.0
2000-01-26,43.31,44.63,41.81,44.06,21.5186,731800.0,0.0,1.0
2000-01-27,44.0,45.0,43.5,43.88,21.4307,295000.0,0.0,1.0
2000-01-28,43.63,43.63,42.0,42.19,20.6053,378067.0,0.0,1.0
2000-01-31,42.13,43.63,41.69,43.25,21.123,258600.0,0.0,1.0
2000-02-01,43.13,44.44,43.13,44.13,21.5528,470267.0,0.0,1.0
2000-02-02,44.13,44.75,42.75,43.06,21.0302,204067.0,0.0,1.0
2000-02-03,43.19,43.56,41.88,42.56,20.786,213600.0,0.0,1.0
2000-02-04,42.81,42.81,41.44,41.94,20.4832,269600.0,0.0,1.0
2000-02-07,42.0,42.44,40.25,40.94,19.9948,435467.0,0.0,1.0
2000-02-08,40.94,42.25,40.94,40.94,19.9948,391800.0,0.0,1.0
2000-02-09,41.13,41.19,38.19,38.69,18.8959,701400.0,0.0,1.0
2000-02-10,39.19,39.25,37.63,37.81,18.4661,552400.0,0.0,1.0
2000-02-11,37.81,37.81,35.38,35.5,17.338,562200.0,0.0,1.0
2000-02-14,35.75,38.81,35.63,38.19,18.6517,509067.0,0.0,1.0
2000-02-15,38.44,41.94,38.44,41.69,20.3611,986667.0,0.0,1.0
2000-02-16,41.5,43.38,41.5,41.94,20.4832,800667.0,0.0,1.0
2000-02-17,42.19,42.19,40.0,40.5,19.7799,322600.0,0.0,1.0
2000-02-18,41.25,42.44,41.06,41.19,20.1169,531267.0,0.0,1.0
2000-02-22,40.5,41.63,40.5,41.31,20.2585,517667.0,0.17,1.0
2000-02-23,41.31,41.38,40.63,41.25,20.2291,402600.0,0.0,1.0
2000-02-24,40.25,40.25,37.0,37.44,18.3607,514600.0,0.0,1.0
2000-02-25,37.69,38.25,34.13,34.31,16.8257,906600.0,0.0,1.0
2000-02-28,34.75,35.5,34.13,34.94,17.1347,1482667.0,0.0,1.0
2000-02-29,34.94,36.75,34.5,36.25,17.7771,828467.0,0.0,1.0
2000-03-01,35.88,37.31,35.81,37.06,18.1743,523800.0,0.0,1.0
2000-03-02,37.19,37.19,34.5,35.69,17.5025,506667.0,0.0,1.0
2000-03-03,35.69,37.75,35.38,35.94,17.6251,535800.0,0.0,1.0
2000-03-06,36.88,36.88,34.97,35.44,17.3799,355400.0,0.0,1.0
2000-03-07,35.25,35.25,34.06,34.06,16.7031,419867.0,0.0,1.0
2000-03-08,34.31,35.25,34.13,35.25,17.2867,329200.0,0.0,1.0
2000-03-09,35.5,36.25,35.44,36.0,17.6545,472400.0,0.0,1.0
2000-03-10,35.88,36.19,35.38,35.5,17.4093,293800.0,0.0,1.0
2000-03-13,34.63,35.31,34.56,35.0,17.1641,323200.0,0.0,1.0
2000-03-14,35.25,35.25,33.94,33.94,16.6443,195000.0,0.0,1.0
2000-03-15,34.0,37.38,33.94,36.5,17.8997,1030200.0,0.0,1.0
2000-03-16,36.56,40.63,36.56,40.25,19.7387,535667.0,0.0,1.0
2000-03-17,38.5,39.5,37.06,38.0,18.6353,755200.0,0.0,1.0
2000-03-20,38.0,39.5,38.0,39.25,19.2483,319867.0,0.0,1.0
2000-03-21,39.13,39.38,38.0,38.56,18.9099,278267.0,0.0,1.0
2000-03-22,38.56,38.56,37.06,37.38,18.3313,373400.0,0.0,1.0
2000-03-23,37.25,38.63,36.88,38.56,18.9099,369200.0,0.0,1.0
2000-03-24,38.75,39.38,38.5,39.12,19.1846,331667.0,0.0,1.0
2000-03-27,39.13,39.44,37.63,38.0,18.6353,145867.0,0.0,1.0
2000-03-28,41.5,41.5,39.63,40.5,19.8613,542200.0,0.0,1.0
2000-03-29,40.5,41.63,40.5,41.25,20.2291,586467.0,0.0,1.0
2000-03-30,41.63,42.94,41.25,41.56,20.3811,275867.0,0.0,1.0
2000-03-31,41.5,42.19,41.31,41.31,20.2585,243267.0,0.0,1.0
2000-04-03,41.06,42.94,40.94,41.81,20.5037,424267.0,0.0,1.0
2000-04-04,41.63,43.31,41.63,43.0,21.0873,537800.0,0.0,1.0
2000-04-05,43.25,43.25,42.56,42.63,20.9059,472267.0,0.0,1.0
2000-04-06,43.0,44.0,42.94,43.69,21.4257,411600.0,0.0,1.0
2000-04-07,43.56,45.0,43.56,43.94,21.5483,330467.0,0.0,1.0
2000-04-10,43.81,44.88,43.38,44.63,21.8867,409067.0,0.0,1.0
2000-04-11,44.19,46.38,44.19,45.75,22.4359,328867.0,0.0,1.0
2000-04-12,45.81,48.06,45.81,47.06,23.0784,487067.0,0.0,1.0
2000-04-13,47.06,47.06,44.69,44.75,21.9455,314467.0,0.0,1.0
2000-04-14,44.56,44.56,41.0,41.13,20.1703,461267.0,0.0,1.0
2000-04-17,41.0,42.44,40.5,42.13,20.6607,570000.0,0.0,1.0
2000-04-18,43.06,45.0,42.25,42.44,20.8127,390600.0,0.0,1.0
2000-04-19,42.31,44.19,42.13,42.81,20.9941,381800.0,0.0,1.0
2000-04-20,42.94,44.56,42.56,44.25,21.7003,344267.0,0.0,1.0
2000-04-24,43.5,44.75,43.38,44.38,21.7641,298667.0,0.0,1.0
2000-04-25,44.25,47.75,44.13,47.06,23.0784,663867.0,0.0,1.0
2000-04-26,46.25,47.31,45.81,46.13,22.6223,498867.0,0.0,1.0
2000-04-27,45.06,47.13,45.06,46.38,22.7449,385467.0,0.0,1.0
2000-04-28,46.75,47.31,46.31,46.5,22.8037,417667.0,0.0,1.0
2000-05-01,46.31,47.19,46.0,46.56,22.8332,298467.0,0.0,1.0
2000-05-02,46.06,47.56,45.94,46.38,22.7449,398467.0,0.0,1.0
2000-05-03,47.0,47.0,45.06,45.31,22.2202,234467.0,0.0,1.0
2000-05-04,45.56,45.88,44.88,45.25,22.1907,325200.0,0.0,1.0
2000-05-05,45.25,48.31,45.06,48.25,23.6619,575267.0,0.0,1.0
2000-05-08,47.5,47.63,46.19,46.38,22.7449,278800.0,0.0,1.0
2000-05-09,46.5,46.5,44.25,44.81,21.975,347467.0,0.0,1.0
2000-05-10,45.0,45.56,43.88,44.63,21.8867,195067.0,0.0,1.0
2000-05-11,45.13,46.19,45.0,45.69,22.4065,345667.0,0.0,1.0
2000-05-12,45.69,46.0,45.25,45.44,22.2839,213267.0,0.0,1.0
2000-05-15,45.69,46.25,45.38,45.5,22.3133,274467.0,0.0,1.0
2000-05-16,45.63,47.0,45.38,46.75,23.0097,315467.0,0.17,1.0
2000-05-17,46.0,46.38,45.25,45.69,22.488,135667.0,0.0,1.0
2000-05-18,45.5,46.06,45.06,45.44,22.3649,135467.0,0.0,1.0
