date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,22.5,22.5,20.12,21.12,4.6649,230900.0,0.0,1.0
2000-01-04,20.88,20.88,20.0,20.13,4.4462,49100.0,0.0,1.0
2000-01-05,20.13,20.25,19.56,19.88,4.391,261200.0,0.0,1.0
2000-01-06,19.81,19.81,19.44,19.63,4.3358,117300.0,0.0,1.0
2000-01-07,19.5,20.13,19.5,19.94,4.4043,127400.0,0.0,1.0
2000-01-10,19.81,20.06,19.56,19.56,4.3203,279100.0,0.0,1.0
2000-01-11,19.75,19.81,18.5,18.75,4.1414,383300.0,0.0,1.0
2000-01-12,19.0,19.0,17.88,18.13,4.0045,385100.0,0.0,1.0
2000-01-13,18.19,19.0,18.19,19.0,4.1966,363700.0,0.0,1.0
2000-01-14,19.25,19.38,18.44,18.88,4.1701,173200.0,0.0,1.0
2000-01-18,18.75,18.81,18.56,18.69,4.1282,88600.0,0.0,1.0
2000-01-19,18.81,18.81,17.81,17.94,3.9625,243400.0,0.0,1.0
2000-01-20,18.0,18.44,17.31,18.13,4.0045,474200.0,0.0,1.0
2000-01-21,19.25,19.38,18.13,18.38,4.0597,311300.0,0.0,1.0
2000-01-24,18.5,18.81,17.69,17.88,3.9492,339700.0,0.0,1.0
2000-01-25,18.13,18.13,16.75,17.0,3.7549,407900.0,0.0,1.0
2000-01-26,17.19,17.69,17.13,17.44,3.8521,696400.0,0.0,1.0
2000-01-27,17.5,18.0,17.38,17.94,3.9625,464700.0,0.0,1.0
2000-01-28,18.06,18.25,17.75,17.75,3.9205,311600.0,0.0,1.0
2000-01-31,17.94,17.94,17.31,17.44,3.8521,307000.0,0.0,1.0
2000-02-01,17.63,17.75,17.13,17.19,3.7968,199700.0,0.0,1.0
2000-02-02,17.44,17.44,16.94,17.0,3.7549,293100.0,0.0,1.0
2000-02-03,17.25,17.44,17.0,17.25,3.8101,249900.0,0.0,1.0
2000-02-04,17.31,17.56,17.06,17.25,3.8101,1061800.0,0.0,1.0
2000-02-07,17.25,17.31,16.44,16.56,3.6577,376600.0,0.0,1.0
2000-02-08,17.0,18.06,16.94,17.81,3.9338,349400.0,0.0,1.0
2000-02-09,17.75,17.88,17.5,17.69,3.9073,215100.0,0.0,1.0
