date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2000-01-03,19.94,19.94,19.75,19.81,7.205,36200.0,0.0,1.0
2000-01-04,19.94,19.94,19.0,19.5,7.0922,148500.0,0.0,1.0
2000-01-05,19.0,19.19,18.81,19.06,6.9322,178700.0,0.0,1.0
2000-01-06,19.38,19.81,19.38,19.63,7.1395,452800.0,0.0,1.0
2000-01-07,19.75,20.0,19.75,20.0,7.2741,290700.0,0.0,1.0
2000-01-10,20.0,20.19,19.94,20.13,7.3214,158200.0,0.0,1.0
2000-01-11,20.13,20.31,20.0,20.19,7.3432,146000.0,0.0,1.0
2000-01-12,20.25,20.25,20.0,20.0,7.2741,120000.0,0.0,1.0
2000-01-13,20.0,20.19,19.94,19.94,7.2523,85400.0,0.0,1.0
2000-01-14,20.0,20.0,19.75,19.75,7.1831,80500.0,0.0,1.0
2000-01-18,19.88,20.69,19.75,20.06,7.2959,548000.0,0.0,1.0
2000-01-19,20.13,20.31,20.06,20.19,7.3432,77100.0,0.0,1.0
2000-01-20,20.25,20.31,20.13,20.31,7.3868,271000.0,0.0,1.0
2000-01-21,20.38,20.5,20.31,20.44,7.4341,95000.0,0.0,1.0
2000-01-24,20.5,20.5,20.38,20.38,7.4123,34600.0,0.0,1.0
2000-01-25,20.38,20.56,20.38,20.44,7.4341,100400.0,0.0,1.0
2000-01-26,20.5,20.56,20.44,20.5,7.4559,151100.0,0.0,1.0
2000-01-27,20.5,20.63,20.5,20.56,7.4777,59100.0,0.0,1.0
2000-01-28,20.63,20.63,20.44,20.5,7.4559,118700.0,0.0,1.0
2000-01-31,20.5,20.5,20.44,20.44,7.4341,94800.0,0.0,1.0
2000-02-01,20.5,20.63,20.44,20.56,7.4777,366600.0,0.0,1.0
2000-02-02,20.63,20.63,20.5,20.5,7.4559,238200.0,0.0,1.0
2000-02-03,20.56,20.63,20.5,20.56,7.4777,380400.0,0.0,1.0
2000-02-04,20.56,20.56,20.44,20.5,7.4559,101300.0,0.0,1.0
2000-02-07,20.38,20.63,20.38,20.56,7.4777,230300.0,0.0,1.0
2000-02-08,20.5,20.56,20.38,20.44,7.4341,88000.0,0.0,1.0
2000-02-09,20.38,20.69,20.25,20.44,7.4341,143500.0,0.0,1.0
2000-02-10,20.44,20.56,20.38,20.44,7.4341,93300.0,0.0,1.0
2000-02-11,20.5,20.69,20.06,20.06,7.2959,43200.0,0.0,1.0
2000-02-14,20.06,20.38,20.0,20.31,7.3868,153200.0,0.0,1.0
2000-02-15,20.56,20.63,20.38,20.63,7.5032,144800.0,0.0,1.0
2000-02-16,20.63,20.69,20.5,20.63,7.5032,117900.0,0.0,1.0
2000-02-17,20.5,20.56,20.44,20.56,7.4777,102100.0,0.0,1.0
2000-02-18,20.56,20.56,20.31,20.5,7.4559,79300.0,0.0,1.0
2000-02-22,20.25,20.56,20.25,20.56,7.4777,195500.0,0.0,1.0
2000-02-23,20.63,20.63,20.44,20.5,7.4559,103200.0,0.0,1.0
2000-02-24,20.5,20.5,20.19,20.44,7.4341,235900.0,0.0,1.0
2000-02-25,20.25,20.25,20.13,20.25,7.365,43400.0,0.0,1.0
2000-02-28,20.13,20.25,20.0,20.13,7.3214,135400.0,0.0,1.0
